lat,lon,alt,gs,track,vs
30.580765,104.059969,26600,493.1,88.7,0
30.582958,104.107709,26600,493.2,88.5,0
30.579467,104.022894,30175,449.0,269.9,896
30.590698,103.89679,31800,436.2,280.4,2304
30.611343,103.808737,33025,426.3,288.2,1344
30.620945,103.774713,33325,427.9,288.0,896
30.630295,103.741042,33600,429.5,287.8,1088
30.639379,103.708136,33900,430.4,287.7,1344
30.647712,103.678033,34225,428.5,287.8,1536
30.6526,103.660236,34425,427.3,287.3,1536
30.667923,103.597358,35125,426.0,286.2,1536
30.50766,103.73738,9550,292.1,150.0,-2112
30.505646,103.73948,9525,292.1,150.0,-2112
30.50473,103.740396,9500,281.0,137.7,-768
30.500887,103.744336,9450,276.3,138.5,-1024
30.496045,103.749225,9375,272.5,139.8,-832
30.492321,103.752795,9300,267.7,140.3,-960
30.486595,103.758014,9225,263.2,142.6,-1024
30.483398,103.760591,9175,260.7,145.9,-960
30.479985,103.762848,9125,258.7,151.4,-960
30.476679,103.764441,9075,256.5,157.5,-832
30.473511,103.7656,9025,255.8,164.1,-960
30.471313,103.766138,9000,254.4,168.2,-960
30.467602,103.766638,8950,253.1,174.6,-1024
30.465271,103.766731,8900,252.1,178.9,-1088
30.461503,103.766418,8850,250.8,184.6,-1280
30.458152,103.765759,8775,250.1,190.4,-1280
30.454753,103.764661,8725,248.5,195.9,-1024
30.451541,103.763452,8675,245.1,199.5,-768
30.445587,103.760807,8600,240.3,201.2,-704
30.443348,103.759827,8575,236.2,201.4,-768
30.437439,103.757091,8500,231.6,201.8,-1088
30.429522,103.75351,8325,227.1,201.7,-1408
30.422012,103.750036,8125,224.9,201.7,-1600
30.41523,103.746918,7950,223.6,201.5,-1536
30.412298,103.745599,7875,223.6,201.5,-1088
30.407089,103.74325,7825,220.4,201.6,-640
30.399775,103.739886,7750,216.0,201.5,-576
30.391489,103.736096,7625,211.9,201.6,-1024
30.383854,103.732635,7450,209.7,201.6,-1280
30.37619,103.72914,7300,209.7,201.6,-960
30.366806,103.724886,7150,208.7,201.6,-896
30.358521,103.721062,7025,207.8,201.8,-960
30.353714,103.718854,6925,208.7,201.6,-1024
30.349312,103.71687,6825,208.7,201.6,-1024
30.345062,103.715138,6750,208.7,197.6,-1024
30.342133,103.714384,6700,209.5,191.9,-960
30.339909,103.714014,6675,209.6,187.1,-832
30.338196,103.713953,6650,209.2,182.2,-768
30.335449,103.714169,6625,209.3,177.0,-704
30.333624,103.714508,6600,209.3,169.8,-768
30.330878,103.715332,6550,208.4,162.7,-832
30.328504,103.716431,6525,209.5,157.8,-768
30.326595,103.717584,6475,209.3,152.7,-768
30.324783,103.718908,6450,208.6,145.6,-832
30.322824,103.72077,6425,209.0,140.8,-832
30.320984,103.722839,6375,208.7,133.6,-832
30.319519,103.724994,6350,208.3,129.0,-768
30.317843,103.727911,6325,208.6,124.4,-768
30.316864,103.730002,6300,208.0,117.8,-768
30.315003,103.734613,6225,207.7,113.8,-832
30.313002,103.740436,6150,206.9,110.4,-640
30.310135,103.749713,6075,206.2,109.0,-640
30.307343,103.75946,5975,205.5,108.4,-576
30.305649,103.766031,5925,205.4,106.4,-640
30.305191,103.768831,5875,205.2,100.1,-640
30.304995,103.771417,5850,204.9,95.3,-640
30.30542,103.777179,5800,203.9,80.4,-512
30.310115,103.789105,5700,202.6,63.9,-576
30.313751,103.794627,5650,202.6,63.9,-576
30.314987,103.796351,5625,202.4,50.4,-512
30.320755,103.804106,5550,203.4,48.8,-512
30.32579,103.810622,5475,203.3,48.4,-512
30.331623,103.818219,5400,201.9,48.4,-512
30.335254,103.822998,5350,201.9,48.4,-512
30.359573,103.84482,5075,201.9,48.4,-512
30.360855,103.84552,5075,197.8,24.5,-512
30.365936,103.848051,5025,197.1,23.3,-512
30.373054,103.851453,4975,193.3,22.2,-192
30.386078,103.857476,4950,188.5,21.8,0
30.401079,103.864471,4925,185.7,22.1,-64
