lat,lon,alt,gs,track,vs
32.90007,129.584784,31000,501.7,70.2,64
32.914078,129.631091,31000,501.3,70.3,0
32.929703,129.682785,31000,501.3,70.3,0
32.944977,129.733429,31000,501.3,70.3,0
32.959625,129.782043,31000,502.3,70.3,0
32.974823,129.832965,31000,502.9,70.5,0
32.990158,129.884052,31000,501.9,70.4,0
33.005211,129.934462,31000,501.9,70.4,0
33.01973,129.982874,31000,501.9,70.4,-64
33.034911,130.033731,31000,502.9,70.5,0
33.050366,130.08586,31000,503.8,70.5,0
33.065403,130.13642,31000,503.5,70.6,0
33.080566,130.187659,31000,503.8,70.5,0
33.095993,130.239514,31000,503.5,70.6,64
33.111396,130.291686,31000,504.4,70.7,-64
33.126801,130.344049,31000,505.1,70.8,-64
33.142214,130.396672,31000,505.1,70.8,0
33.157297,130.448073,31000,506.0,70.8,0
33.17244,130.5,31000,506.0,70.8,0
33.187509,130.55177,31000,506.0,70.8,-64
33.202592,130.603507,31000,506.0,70.8,0
33.217954,130.656196,31000,506.0,70.8,0
33.233002,130.707806,31000,506.0,70.8,0
33.248108,130.759717,31000,506.0,70.8,-64
33.263296,130.812023,31000,506.6,71.0,-64
33.278193,130.863647,31000,506.6,71.0,0
33.293335,130.915833,31000,506.9,70.9,-64
33.308499,130.968186,31000,507.6,71.0,0
33.323535,131.020371,31000,507.6,71.0,64
33.338654,131.073102,31000,508.2,71.2,0
33.353439,131.124573,31000,508.2,71.2,0
33.368411,131.176814,31000,509.1,71.2,64
33.383743,131.230646,31000,509.1,71.2,0
33.398666,131.28316,31000,509.8,71.3,0
33.4138,131.336452,31000,509.8,71.3,0
33.428743,131.389085,31000,509.8,71.3,0
33.443593,131.441607,31000,509.8,71.3,64
33.458588,131.494702,31000,509.8,71.3,128
33.473419,131.547272,31000,510.4,71.5,-64
33.488297,131.600171,31000,510.7,71.4,-64
33.503311,131.6534,31000,510.7,71.4,64
33.51817,131.706344,31000,510.4,71.5,64
33.532837,131.758813,31000,510.4,71.5,-64
33.54744,131.810938,31000,510.4,71.5,0
33.562394,131.864605,31000,510.1,71.6,0
33.577245,131.917877,31000,510.1,71.6,0
33.591843,131.970464,31000,510.1,71.6,0
33.6064,132.022873,31000,510.1,71.6,0
33.62105,132.075577,31000,509.8,71.7,0
33.635854,132.128963,31000,509.8,71.7,0
33.650471,132.181892,31000,510.7,71.7,0
33.665039,132.234865,31000,510.7,71.7,0
33.679779,132.288395,31000,511.3,71.9,64
33.694417,132.341938,31000,511.3,71.9,0
33.709081,132.395439,31000,512.3,71.9,0
33.723541,132.448481,31000,512.3,71.9,0
33.738269,132.502327,31000,512.6,71.8,0
33.752792,132.555654,31000,513.2,71.9,64
33.765564,132.602682,31000,513.2,71.9,-320
33.767624,132.610193,30975,513.2,71.9,-768
33.772064,132.626729,30875,513.9,72.1,-1216
33.781448,132.661257,30600,515.2,72.0,-1664
33.789734,132.691918,30225,516.1,72.1,-2048
33.797902,132.722111,29850,515.8,72.2,-2112
33.805801,132.751446,29475,517.1,72.1,-2112
33.813812,132.781098,29075,515.8,72.2,-2048
33.821869,132.811086,28700,512.9,72.1,-1984
33.829788,132.840402,28325,511.0,72.0,-1984
33.83831,132.871799,27950,511.0,72.0,-1984
33.846451,132.901892,27550,510.4,72.2,-2048
33.85437,132.931543,27175,506.0,72.3,-2048
33.862198,132.960971,26800,502.8,72.3,-2048
33.869522,132.988493,26450,498.7,72.3,-2048
33.877304,133.017416,26050,494.0,72.1,-2048
33.885269,133.047012,25675,490.8,72.1,-1984
33.892915,133.075504,25300,487.3,72.2,-1984
