lat,lon,alt,gs,track,vs
38.279846,114.343482,33075,505.0,64.0,0
38.346056,114.517842,33100,507.0,64.0,64
38.406946,114.679234,33125,509.0,64.0,-256
38.467092,114.840088,32225,498.0,64.0,-896
38.526169,114.998076,31300,490.0,64.0,-896
38.58403,115.154333,31100,490.0,65.0,-160
38.69925,115.46834,31100,489.0,65.0,0
38.763977,115.620296,31050,485.0,61.0,-64
38.832001,115.768373,31075,489.0,59.0,0
38.901215,115.919853,31100,493.0,60.0,128
38.964083,116.058167,31125,494.0,60.0,128
39.194916,116.530548,31100,460.0,55.0,64
39.202835,116.539925,31100,460.0,42.0,64
39.217758,116.555923,31100,460.0,39.0,0
39.22496,116.563049,31100,450.0,38.0,0
39.231853,116.56958,31100,450.0,36.0,0
39.242477,116.578972,31100,450.0,34.0,0
39.255127,116.589294,31100,450.0,32.0,-64
39.258408,116.591873,31100,440.0,31.0,-64
39.273056,116.602379,31100,440.0,29.0,-64
39.289444,116.612831,31100,440.0,26.0,0
39.295208,116.61615,31075,440.0,23.0,0
39.418121,116.674927,31125,430.0,20.0,0
39.455162,116.692322,31125,430.0,20.0,0
39.486259,116.706848,31100,430.0,20.0,0
39.489578,116.708359,31100,420.0,19.0,0
39.523956,116.724419,31100,420.0,20.0,0
39.542999,116.733376,31125,420.0,20.0,0
39.582092,116.75177,31075,420.0,20.0,-64
39.589142,116.755127,31075,410.0,20.0,64
39.623703,116.771469,31125,410.0,20.0,64
39.667908,116.792297,31100,400.0,20.0,-64
39.697952,116.806343,31100,400.0,20.0,0
39.716507,116.815002,31100,400.0,20.0,120
39.725281,116.818825,31100,400.0,18.0,120
39.730728,116.818764,31100,360.0,360.0,0
40.285748,116.90352,31075,677.5,4.9,-64
40.287735,116.904419,31075,677.6,5.0,0
