lat,lon,alt,gs,track,vs
23.3425,113.30943,3250,179.0,177.0,1152
23.2696,113.40302,6850,282.0,105.0,1536
23.32593,113.585002,8950,312.6,64.4,1408
23.333192,113.601532,9300,312.6,64.4,1472
23.333797,113.603007,9350,316.3,64.7,2368
23.341013,113.619385,9850,317.6,64.7,2816
23.341553,113.620705,9900,317.6,64.7,2816
23.359589,113.661957,10700,327.0,64.0,2688
23.361465,113.666298,11225,327.0,65.0,0
23.365452,113.675331,11525,327.0,64.0,0
23.369316,113.684288,11800,328.0,65.0,0
23.37323,113.693314,11975,333.0,65.0,1728
23.37509,113.697609,12025,337.0,65.0,928
23.381287,113.71199,12200,346.0,65.0,1088
23.385469,113.721771,12300,354.0,65.0,864
23.389755,113.73172,12400,360.0,65.0,800
23.391848,113.736473,12500,361.0,64.0,1984
23.393618,113.740593,12600,362.0,65.0,2080
23.398041,113.75074,12750,366.0,65.0,1248
23.400421,113.756233,12775,367.0,65.0,544
23.402601,113.761238,12800,368.0,65.0,288
23.417908,113.796387,12825,367.0,65.0,-96
23.421782,113.804832,12800,370.0,62.0,0
23.449722,113.837036,12875,370.0,47.0,0
23.592911,113.91566,16250,392.7,26.3,2560
23.605383,113.922574,16525,392.7,26.3,2560
23.617626,113.929363,16675,394.5,27.1,960
23.623631,113.932731,16700,394.0,27.0,384
23.625092,113.933512,16725,394.0,27.0,192
23.651795,113.948382,16725,393.6,27.2,-192
23.684235,113.966471,16700,393.1,27.1,0
23.714401,113.983205,16700,392.7,27.0,0
23.74054,113.997548,16700,391.3,26.6,0
23.772812,114.014893,16700,391.3,26.2,0
23.805232,114.032489,16700,390.4,26.3,128
23.813644,114.036662,16700,391.3,22.7,128
23.820694,114.039408,16725,393.1,17.9,-64
23.82756,114.041443,16700,393.4,14.4,-64
23.835114,114.04302,16700,394.6,10.5,-64
23.849084,114.045289,16700,395.0,8.1,-64
23.873611,114.048869,16700,395.8,6.8,64
23.885348,114.049953,16700,396.0,4.1,0
23.921219,114.052022,16700,394.6,3.0,128
23.935857,114.052648,16700,394.1,1.5,0
23.945938,114.052531,16700,394.1,359.0,-64
23.982285,114.051361,16700,393.2,358.2,-64
24.018723,114.05009,16700,392.2,358.1,0
24.051773,114.048869,16700,391.3,358.0,-64
24.081892,114.047673,16700,391.3,357.8,64
24.087708,114.047445,16700,390.3,357.6,64
24.446256,114.065552,16700,383.2,16.2,0
24.479233,114.076029,16700,383.2,16.2,64
24.505966,114.084574,16700,382.3,16.2,64
24.535497,114.093899,16700,382.3,16.0,64
24.583832,114.109395,17350,383.6,17.9,2304
24.595502,114.114213,17600,384.2,22.5,2112
24.603287,114.118093,17750,384.4,24.4,2048
24.612634,114.123437,17950,386.4,29.3,1856
24.618918,114.127583,18075,387.2,31.3,1856
24.626134,114.132817,18225,387.8,34.4,1856
24.633911,114.139201,18400,388.8,37.4,1600
24.638703,114.143493,18475,390.9,39.2,1600
24.645584,114.150238,18650,391.3,42.8,1856
24.65213,114.157461,18800,393.2,45.8,1664
24.655834,114.161889,18875,394.5,48.2,1472
24.664865,114.173757,19075,395.9,50.8,1600
24.680879,114.19547,19500,395.9,50.8,1600
24.694938,114.214437,19850,395.9,50.8,1600
24.731918,114.264476,20875,404.6,51.1,1728
24.744324,114.281362,21200,406.8,51.2,1920
24.760065,114.302846,21600,408.4,51.4,1792
24.773844,114.321658,21950,410.4,51.2,1792
24.789858,114.343475,22325,412.6,51.3,1664
24.795135,114.350688,22450,413.4,51.4,1408
24.81332,114.375553,22750,414.8,51.4,960
24.815872,114.379069,22800,420.4,51.3,1536
24.82547,114.392032,22975,421.7,51.1,1536
24.84494,114.418589,23325,424.6,51.2,1152
24.89859,114.492238,24250,436.8,51.3,896
24.909439,114.50709,24350,437.6,51.4,896
24.933289,114.539897,24575,447.6,51.4,896
24.937242,114.545271,24600,450.4,51.4,384
24.958649,114.574687,24600,454.6,51.3,0
29.66411,119.61612,29100,458.0,348.0,0
31.09061,117.741357,23650,394.3,203.0,1536
31.068924,117.730677,24000,395.2,202.9,1344
31.046665,117.719824,24350,398.0,202.8,1344
31.022919,117.708327,24675,400.8,202.6,1792
31.002365,117.698418,25025,400.0,202.3,1984
30.98204,117.688563,25400,398.9,202.7,1536
30.958878,117.677199,25725,400.1,203.1,1728
30.935359,117.665552,26100,400.1,203.1,1600
30.913696,117.65485,26450,400.6,202.9,1664
30.903259,117.649734,26650,399.7,203.0,2112
30.894253,117.645337,26825,399.7,203.0,1664
30.890991,117.643756,26875,399.7,203.0,1216
30.887596,117.642041,26900,400.6,202.9,704
30.883965,117.640283,26925,401.5,202.9,256
30.854777,117.625946,27050,411.4,202.9,256
30.823059,117.610474,27175,421.2,202.9,320
30.798752,117.598572,27275,427.9,203.0,768
30.792536,117.595514,27325,428.9,202.9,1216
30.766839,117.58299,27625,430.7,202.8,1216
30.741165,117.570567,27925,432.2,202.6,1280
30.713025,117.557007,28200,434.4,202.6,1152
30.685226,117.54364,28475,437.0,202.8,1216
30.655518,117.529207,28750,438.8,202.6,960
30.626175,117.514936,29025,440.9,203.0,1152
30.618073,117.511004,29075,441.9,202.9,768
30.612579,117.508312,29100,442.8,202.9,384
30.575272,117.490163,29125,443.7,202.8,-64
30.538687,117.472357,29100,445.0,202.9,-64
30.503866,117.455493,29100,445.5,202.7,0
24.79917,113.58713,13825,328.0,198.0,0
24.71928,113.55901,13800,332.0,198.0,0
24.6299,113.52821,13800,331.0,197.0,0
24.54094,113.49742,13600,333.0,198.0,-1024
24.46207,113.47,12775,333.0,198.0,0
24.32982,113.35642,11800,289.0,226.0,-128
24.26385,113.36853,11800,289.0,170.0,0
24.21107,113.43969,11200,288.0,129.0,-1024
24.16098,113.5082,10200,279.0,129.0,-512
24.10785,113.57422,9375,257.0,131.0,-1088
24.0305,113.58215,8275,259.0,175.0,-960
23.97045,113.5579,7375,250.0,200.0,-960
23.90802,113.52795,6375,242.0,204.0,-960
23.85095,113.48302,6100,224.0,216.0,0
23.81131,113.44849,6100,209.0,219.0,64
23.7692,113.41757,6100,205.0,214.0,0
23.70989,113.39979,6050,195.0,195.0,-320
23.65269,113.38435,4975,196.0,194.0,-512
23.60857,113.3724,4125,197.0,194.0,-1216
23.56316,113.36004,3325,167.0,194.0,-960
23.450737,113.646446,11475,355.0,27.0,1120
23.458696,113.650818,11575,357.0,27.0,0
23.465633,113.654686,11675,358.0,27.0,0
23.472801,113.658546,11750,360.0,26.0,1344
23.477646,113.661003,11850,360.0,25.0,0
23.486954,113.665466,12125,359.0,24.0,3072
23.496094,113.669846,12425,358.0,24.0,3104
23.509253,113.676094,12850,360.0,24.0,2848
23.513395,113.678078,12975,360.0,24.0,0
23.523218,113.682709,13250,362.0,23.0,0
