lat,lon,alt,gs,track,vs
23.297287,115.747559,16650,355.4,212.1,1856
23.292924,115.745138,16750,356.5,207.6,1792
23.286575,115.742215,16875,358.3,203.4,1856
23.278819,115.739136,17025,358.8,202.3,1856
23.262991,115.733032,17275,362.5,199.8,1344
23.258057,115.731049,17375,365.4,200.2,1920
23.246201,115.726335,17625,365.4,200.2,2112
23.219791,115.715841,18275,366.4,200.1,2368
23.207827,115.71111,18550,365.4,200.2,2304
23.199783,115.707908,18750,365.4,200.2,2240
23.180374,115.700267,19175,365.4,200.2,2240
23.161972,115.693026,19550,366.9,199.9,1920
23.145726,115.686696,19900,367.9,199.9,2304
23.129852,115.680542,20300,366.6,199.8,2560
23.11908,115.676347,20550,365.3,199.7,2112
23.105392,115.671054,20850,365.3,199.7,2112
23.087631,115.664212,21225,365.3,199.7,1728
23.067844,115.656484,21550,367.5,199.7,1600
23.04643,115.648193,21875,372.0,199.8,1536
23.024094,115.639443,22200,376.4,199.9,1344
23.001068,115.630454,22525,380.9,200.0,1472
22.972226,115.619202,22925,385.0,199.9,1472
22.948391,115.609945,23250,388.1,199.9,1344
22.924324,115.600281,23575,390.4,201.2,1408
22.916549,115.596517,23675,390.8,204.0,1344
22.90274,115.587308,23900,390.9,206.1,1408
22.88443,115.568232,24250,392.7,228.9,1600
22.880052,115.561879,24375,392.5,231.9,1536
22.876468,115.555929,24450,392.7,236.1,1536
22.873489,115.550154,24550,393.8,239.1,1536
22.869232,115.540267,24700,395.1,245.3,1600
22.861711,115.497843,25200,403.1,269.0,1408
22.862686,115.483837,25350,405.8,275.4,1280
22.863992,115.475871,25450,405.8,275.4,1280
22.868275,115.460052,25600,411.5,285.8,1024
22.875687,115.443137,25750,419.1,297.4,1280
22.883823,115.427907,25875,421.6,300.0,768
22.900909,115.395197,26200,426.2,299.2,960
22.909882,115.37677,26350,428.5,297.2,832
22.913058,115.368805,26425,429.3,294.1,1024
22.914455,115.364787,26450,428.8,291.5,1472
22.917387,115.355021,26575,427.0,287.6,1664
22.919907,115.34436,26700,425.4,283.9,1472
22.921692,115.334123,26825,424.9,280.3,1536
22.922927,115.323079,26975,422.8,276.6,1856
22.923477,115.3127,27125,421.6,273.1,1856
22.923486,115.303752,27275,419.0,269.6,1856
22.922927,115.292053,27425,417.9,266.3,1600
22.921624,115.279185,27575,416.7,263.5,1536
22.918784,115.250702,27900,418.2,264.1,1152
22.915787,115.219616,28175,420.2,264.1,1024
22.912354,115.18381,28425,425.3,264.1,704
22.908875,115.148204,28675,429.4,264.0,1024
22.905703,115.11617,28950,431.5,263.9,1280
22.902398,115.083008,29225,433.6,263.8,1024
22.898712,115.04693,29500,436.6,263.7,1024
22.895233,115.012973,29775,437.8,263.6,960
22.891597,114.977671,30025,439.7,263.6,960
22.890201,114.964498,30100,440.7,263.6,512
22.889409,114.957072,30125,441.8,263.5,128
22.884979,114.913996,30125,443.7,263.7,-64
22.880378,114.870453,30100,446.8,263.6,0
22.875778,114.826055,30100,447.9,263.5,0
22.871254,114.783834,30100,448.0,263.3,64
22.866599,114.741109,30100,448.0,263.3,0
22.863327,114.710299,30125,447.9,263.5,384
22.862921,114.70637,30125,447.9,263.5,768
22.862503,114.702259,30175,447.8,263.6,1216
22.85939,114.672047,30500,446.7,263.7,1536
22.856311,114.642029,30800,444.7,263.7,1408
22.853302,114.612072,31125,443.6,263.8,1280
22.849869,114.577415,31400,443.5,263.9,960
22.846302,114.54127,31650,444.5,263.9,896
22.842718,114.505971,31925,444.6,263.8,960
22.839981,114.479337,32100,444.7,263.7,512
22.838333,114.463157,32175,445.7,263.7,960
22.835312,114.435991,32425,444.7,262.6,1344
22.833593,114.426524,32525,442.8,258.5,1088
22.831192,114.417763,32600,441.2,253.9,1152
22.828147,114.409231,32650,439.6,249.2,832
22.825074,114.402313,32700,439.2,244.4,832
22.820068,114.392944,32775,438.0,240.4,832
22.814647,114.38385,32850,437.1,236.9,704
22.803474,114.366608,32975,437.8,234.9,832
22.782153,114.333903,33200,439.2,234.8,704
22.76088,114.301258,33450,440.8,235.0,768
22.739044,114.26755,33675,441.9,235.2,768
22.718903,114.236289,33925,442.7,235.3,832
22.70018,114.207076,34125,444.4,235.4,512
22.697845,114.20338,34125,444.9,235.4,64
22.674571,114.166972,34100,450.2,235.5,0
22.651015,114.130147,34100,453.0,235.4,-64
22.627879,114.093984,34100,453.8,235.5,-64
22.604187,114.056863,34100,454.4,235.4,-128
22.583313,114.024153,34100,454.3,235.9,0
22.577882,114.014282,34100,453.8,239.2,128
22.57439,114.0065,34100,454.8,243.2,0
22.571784,113.999736,34100,455.0,247.4,-128
22.568525,113.988902,34100,456.1,250.5,-64
22.566971,113.982156,34100,456.9,255.8,0
22.565506,113.973117,34100,457.9,260.1,0
22.564545,113.963079,34100,458.5,264.0,0
22.56395,113.950245,34100,459.4,267.5,0
22.562846,113.905131,34100,460.2,268.5,0
22.561981,113.859109,34100,460.1,269.0,0
22.561249,113.813416,34100,460.1,269.0,0
22.560608,113.768372,34100,461.1,269.1,0
22.560006,113.723348,34100,461.0,269.2,0
22.559601,113.678084,34100,462.0,269.5,0
22.559214,113.631897,34100,462.0,269.5,-64
22.558914,113.587946,34100,462.0,269.6,0
22.558795,113.543091,34100,462.0,269.9,64
22.558749,113.497264,34100,461.0,269.9,-64
22.55864,113.452015,34100,461.0,269.9,-64
22.558609,113.406779,34100,461.0,269.9,0
22.558228,113.383451,34100,460.2,268.3,128
22.557352,113.373718,34125,458.9,264.8,64
22.555816,113.364512,34125,457.7,260.2,-64
22.553582,113.355509,34100,456.5,255.5,-64
22.551347,113.348643,34100,456.0,250.9,-64
22.548135,113.340759,34100,454.5,246.3,0
22.544586,113.333463,34100,453.1,242.2,-128
22.537216,113.31978,34075,452.3,239.6,0
22.516205,113.282376,34100,451.1,238.6,0
22.494919,113.245023,34100,450.4,238.2,64
22.473312,113.207669,34100,449.2,238.0,0
22.452377,113.171438,34100,448.7,238.1,0
22.430637,113.13385,34100,447.8,238.1,0
22.409037,113.096415,34100,445.9,238.2,0
22.387623,113.059489,34100,444.8,237.9,0
22.365883,113.022156,34100,443.9,237.9,0
22.34404,112.984847,34100,443.1,237.8,0
22.322822,112.948558,34100,444.5,237.8,-64
22.301239,112.911837,34100,447.2,237.7,0
22.279668,112.875061,34100,449.4,237.7,0
22.257706,112.83763,34100,449.8,237.9,0
22.236282,112.800776,34100,449.2,238.0,64
22.223511,112.779003,34100,449.4,237.3,-64
22.214216,112.764587,34100,449.2,234.8,0
22.190094,112.728566,34100,447.7,234.2,64
22.166931,112.694308,34100,447.5,234.0,0
22.142303,112.657903,34100,447.5,234.0,0
22.118088,112.621998,34100,447.5,234.0,0
22.093692,112.585856,34100,447.1,234.3,0
22.070755,112.551586,34100,447.1,234.3,0
22.048024,112.517446,34100,447.3,234.5,0
22.025116,112.483171,34100,447.9,234.4,64
22.0011,112.44751,34100,448.3,234.1,0
21.977125,112.411906,34100,447.7,234.2,0
21.963455,112.391585,34100,448.5,234.2,0
21.940954,112.358246,34100,448.5,234.2,0
18.158445,107.18301,34000,470.2,237.6,0
18.094208,107.077572,34000,469.9,237.4,0
18.069763,107.037434,34000,469.9,237.4,0
18.048023,107.001588,34000,468.8,237.6,0
18.034058,106.978585,34000,468.8,237.6,0
17.989883,106.906272,34000,467.2,237.5,0
17.934762,106.816145,34000,467.2,237.5,0
17.91223,106.779115,34000,466.6,237.6,0
17.893936,106.749043,34000,466.6,237.6,0
17.438278,106.005779,34000,474.6,237.2,0
17.306865,105.78961,34000,477.3,236.3,0
15.454514,103.215011,34000,467.2,234.9,0
15.436117,103.188057,34000,466.6,234.9,64
15.417114,103.160224,34000,465.8,234.9,0
15.383698,103.111363,34000,467.2,234.9,0
15.377647,103.102471,34000,467.2,234.9,0
15.357925,103.073538,34000,467.2,234.9,0
15.341942,103.049747,34000,466.5,235.8,0
15.333939,103.036338,34000,466.5,238.3,0
15.312381,102.998935,34000,467.7,239.3,0
15.291293,102.962347,34000,468.5,239.3,0
15.269577,102.924692,34000,469.1,239.2,0
15.248744,102.888581,34000,469.1,239.2,0
15.228241,102.853233,34000,469.6,239.1,0
15.205811,102.814492,34000,469.6,239.1,0
15.183897,102.776805,34000,469.6,239.1,0
15.161598,102.738451,34000,470.1,239.0,0
15.139435,102.700388,34000,470.1,239.0,0
15.11756,102.662724,34000,470.1,239.0,0
15.095169,102.624351,34000,469.6,239.1,64
15.073522,102.587193,34000,468.7,239.1,64
15.051456,102.549231,34000,467.3,239.1,0
15.029297,102.511259,34000,466.5,239.0,0
15.007231,102.473357,34000,466.5,239.0,0
14.985445,102.435984,34000,465.6,239.0,0
14.963006,102.397581,34000,464.2,239.0,0
14.941223,102.360246,34000,464.2,239.0,0
14.929276,102.339718,33975,464.2,239.0,-448
14.926975,102.335783,33950,464.2,239.0,-832
14.922646,102.328377,33900,464.2,239.0,-1280
14.908768,102.304736,33575,465.6,239.0,-1536
14.894714,102.280643,33250,467.0,238.9,-1728
14.881714,102.258526,32875,467.5,238.8,-1920
14.869157,102.237053,32500,465.6,239.0,-1984
14.856076,102.214688,32125,462.0,239.0,-1984
14.844019,102.193941,31750,459.6,239.2,-1984
14.831497,102.172322,31400,456.0,239.3,-1984
14.819486,102.151698,31000,456.2,239.0,-1920
14.807053,102.130469,30625,451.7,238.9,-1984
14.795093,102.109969,30250,449.0,239.0,-1984
14.782291,102.087997,29850,446.2,239.1,-1984
14.770157,102.06725,29475,443.2,239.0,-2048
14.758596,102.047521,29100,440.1,238.9,-2048
14.74704,102.027898,28725,437.8,238.9,-1984
14.735133,102.007478,28350,435.1,239.0,-2048
14.722366,101.9858,27950,432.5,238.8,-2048
14.711485,101.967388,27575,432.0,238.9,-2112
14.700119,101.948153,27200,430.8,238.7,-2048
14.688395,101.928261,26825,428.4,238.9,-1984
14.677269,101.909276,26450,426.2,238.9,-2048
14.665695,101.889575,26075,425.3,238.9,-1984
14.654068,101.86978,25700,424.5,238.8,-2048
14.64296,101.850971,25325,425.3,238.9,-1984
14.631648,101.831745,24950,424.5,238.8,-1984
14.620289,101.812471,24575,421.7,238.9,-1984
14.608749,101.792781,24200,419.0,239.0,-2048
14.597665,101.773971,23825,416.9,238.6,-1984
14.586182,101.754566,23450,415.0,238.8,-2048
14.57518,101.736434,23075,414.2,237.4,-1984
14.56815,101.726122,22875,412.6,234.8,-1984
14.560913,101.716445,22675,411.1,232.0,-1984
14.547958,101.699871,22300,408.4,231.4,-2048
14.534729,101.682918,21925,405.6,231.4,-2048
14.521645,101.666083,21550,404.2,231.4,-1984
14.508408,101.649059,21175,402.8,231.4,-1984
14.49559,101.632627,20800,400.6,231.4,-2048
14.483002,101.616337,20425,399.3,231.6,-2048
14.470251,101.599972,20050,397.8,231.4,-1984
14.459823,101.58701,19775,397.3,229.7,-1984
14.451118,101.577325,19550,394.1,226.9,-1984
14.437592,101.562495,19175,392.7,227.0,-1984
14.423419,101.546872,18800,389.9,227.2,-2048
14.412992,101.535307,18525,387.8,227.1,-1600
14.407333,101.529062,18425,385.6,227.0,-1152
14.389389,101.50941,18150,375.7,226.8,-1408
14.374329,101.493025,17800,370.7,226.5,-1728
14.360714,101.478352,17450,367.8,226.3,-1920
14.34787,101.464423,17075,366.5,226.8,-2240
14.335602,101.451069,16700,367.1,226.7,-2240
14.32296,101.437298,16300,366.5,226.8,-2048
14.310333,101.423461,15925,365.8,226.9,-2112
14.297542,101.409446,15525,365.1,227.0,-2048
14.285765,101.396051,15200,363.5,228.7,-1856
14.272659,101.380415,14850,360.3,229.5,-1728
14.260207,101.365308,14475,358.4,229.9,-1920
14.248616,101.350853,14150,356.4,231.3,-1792
14.237397,101.335819,13825,354.2,233.0,-1600
14.227295,101.321411,13525,351.0,234.9,-1664
14.215988,101.304458,13175,347.8,235.9,-2048
14.205695,101.288741,12800,346.4,235.9,-1792
14.19516,101.27292,12450,345.3,235.6,-1792
14.184265,101.25663,12100,342.3,235.5,-1792
14.178229,101.247735,11900,340.6,235.3,-1728
14.171944,101.238435,11700,339.2,235.3,-1728
14.165334,101.228654,11500,337.6,235.1,-1472
14.160095,101.220971,11375,335.4,235.1,-1024
14.151215,101.207949,11250,328.8,234.9,-576
14.141739,101.194169,11150,320.2,234.9,-576
14.132858,101.181241,11075,310.7,234.8,-384
14.123795,101.168076,10975,302.1,234.8,-832
14.116608,101.157658,10825,297.1,234.9,-1216
14.110657,101.14885,10650,295.2,235.1,-1536
14.10449,101.139848,10475,294.4,235.0,-1344
14.098572,101.131187,10300,293.0,235.0,-1536
14.092712,101.122663,10125,292.4,235.2,-1536
14.087266,101.114598,9925,292.4,235.2,-1536
14.081268,101.105757,9750,291.6,235.1,-1280
14.074631,101.096191,9575,290.5,234.7,-1216
14.069576,101.089494,9425,290.3,231.4,-1536
14.065712,101.085301,9325,290.1,227.2,-1408
14.061768,101.081606,9250,290.1,223.0,-1216
14.05751,101.078102,9175,288.6,219.1,-1216
14.052724,101.074701,9075,287.6,214.5,-1344
14.046936,101.071235,8950,286.9,211.8,-1536
14.04213,101.06882,8850,286.2,207.0,-1472
14.037408,101.066846,8750,285.2,202.2,-1344
14.031555,101.06489,8675,284.6,198.4,-1088
14.024979,101.063088,8575,283.3,194.7,-960
14.014272,101.060197,8425,280.7,195.1,-1280
14.004263,101.057354,8250,279.0,195.4,-1088
13.993744,101.054424,8100,276.8,195.3,-1280
13.984059,101.051716,7925,275.8,195.4,-1216
13.97319,101.048647,7750,272.9,195.5,-1024
13.962845,101.045758,7600,270.7,195.4,-1472
13.953644,101.043201,7425,270.2,195.0,-1344
13.944809,101.040834,7250,269.7,194.6,-1664
13.940918,101.039792,7175,269.5,194.4,-1280
13.938904,101.039284,7150,269.5,194.4,-832
13.933457,101.037839,7100,268.5,194.4,-384
13.918945,101.033967,7075,267.8,194.7,64
13.895279,101.027574,7075,267.1,195.0,0
13.873032,101.021371,7075,262.2,195.3,-64
13.868424,101.020058,7075,258.1,195.3,-64
13.863693,101.018766,7075,253.7,195.1,-64
13.858275,101.017263,7075,249.6,195.1,0
13.852829,101.01548,7075,245.4,197.6,-448
13.848633,101.013699,7025,242.3,201.8,-512
13.845194,101.011915,7000,238.8,206.9,-384
13.8414,101.009532,6975,236.2,211.7,-576
13.837738,101.006785,6950,234.6,216.3,-832
13.834442,101.003849,6875,232.6,220.8,-896
13.831375,101.000724,6825,231.9,225.4,-1024
