lat,lon,alt,gs,track,vs
22.636013,113.798272,0,10.0,334.0,-64
22.639645,113.80558,0,5.0,62.0,-64
22.64003,113.806412,0,11.0,63.0,-64
22.642719,113.806587,0,18.0,3.0,-64
22.649162,113.803053,0,28.0,333.0,-64
22.652607,113.802579,0,8.0,353.0,-64
22.619919,113.821259,1350,149.8,153.4,2560
22.617691,113.822454,1500,150.3,153.9,2368
22.616409,113.823153,1600,150.3,153.9,2304
22.61517,113.823802,1675,150.3,153.9,2304
22.612517,113.825124,1825,150.7,154.4,2368
22.611191,113.8258,1925,150.3,154.8,2560
22.610001,113.826399,2000,150.3,154.8,2688
22.608582,113.827148,2100,148.5,154.5,2304
22.60675,113.828097,2200,149.4,154.6,1920
22.604836,113.829041,2300,149.9,155.1,1664
22.602508,113.83021,2400,151.6,154.6,1536
22.600296,113.831343,2500,153.0,155.3,1856
22.598411,113.832245,2600,152.1,155.1,1984
22.596497,113.833241,2700,151.6,154.6,2240
22.594711,113.83419,2800,152.1,154.3,2240
22.593104,113.834991,2900,151.2,154.1,2240
22.591324,113.835938,3000,151.6,153.8,2112
22.589473,113.836924,3100,152.5,153.1,1856
22.587433,113.838035,3200,153.4,153.3,1792
22.58533,113.839213,3300,153.4,153.3,1728
22.584027,113.839925,3350,154.7,153.1,1280
22.582626,113.840682,3400,156.1,152.9,1152
22.58194,113.841031,3400,158.3,152.9,640
22.577087,113.843678,3475,161.4,153.1,512
22.575089,113.844757,3525,173.1,153.6,896
22.572098,113.846424,3575,178.9,152.7,896
22.568897,113.848216,3650,183.4,152.7,896
22.566663,113.849436,3675,187.4,153.0,832
22.564708,113.850505,3725,191.4,153.3,704
22.562714,113.851568,3750,194.5,153.4,320
22.561478,113.852217,3750,199.0,153.4,192
22.559494,113.853302,3775,202.1,153.6,320
22.558548,113.853815,3775,204.4,153.6,640
22.556933,113.854675,3800,208.0,153.4,1088
22.55563,113.855387,3825,211.1,152.9,1344
22.553513,113.856562,3900,213.4,152.4,1792
22.550975,113.857981,4000,215.6,152.4,2112
22.548294,113.859508,4100,216.5,152.5,2240
22.546371,113.860557,4175,216.5,152.5,2240
22.544632,113.861556,4250,219.6,152.6,2368
22.542664,113.862654,4350,220.1,152.4,2624
22.540361,113.863983,4450,221.4,152.3,2880
22.538452,113.865051,4550,221.4,152.3,3200
22.53673,113.866018,4650,221.0,151.9,3328
22.5351,113.866933,4750,221.9,152.1,3072
22.533279,113.867998,4850,222.4,151.8,2816
22.531448,113.869096,4950,222.4,151.2,2624
22.529114,113.870594,5050,225.7,148.8,2368
22.526825,113.872242,5150,228.8,145.7,2176
22.524207,113.874359,5250,233.7,141.9,1984
22.521744,113.876637,5350,237.9,138.1,2048
22.519785,113.878784,5450,241.1,135.2,2176
22.518481,113.88031,5500,244.2,132.2,2304
22.516846,113.88253,5600,247.4,129.1,2368
22.515381,113.884627,5675,251.2,126.1,2432
22.513733,113.887473,5775,255.9,121.6,2496
22.512336,113.890228,5875,258.2,118.4,2432
22.511359,113.892568,5975,261.2,115.4,2432
22.510162,113.895813,6075,266.2,110.7,2432
22.509384,113.89846,6150,269.5,107.5,2432
22.508752,113.901062,6250,272.4,104.2,2368
22.50824,113.903803,6300,276.3,101.3,2112
22.507828,113.9066,6375,279.9,98.2,1920
22.507599,113.909346,6425,283.2,95.3,1664
22.507553,113.910844,6475,285.6,93.6,1536
22.507507,113.91399,6525,290.0,90.6,1344
22.50769,113.917087,6550,294.3,87.5,1088
22.507821,113.91861,6575,299.6,84.1,1024
22.508377,113.92263,6625,304.1,80.5,1024
22.508972,113.925526,6650,309.0,76.9,1088
22.509842,113.928622,6700,313.5,73.1,1216
22.510986,113.931718,6750,317.4,69.3,1408
22.511948,113.934165,6800,320.5,66.1,1600
22.514008,113.93861,6875,323.8,63.2,2048
22.515747,113.942155,6975,325.7,61.8,2304
22.51918,113.948975,7175,326.7,61.1,2624
22.52295,113.956197,7375,328.6,60.9,2432
22.526302,113.962758,7550,330.3,61.0,2240
22.530166,113.970184,7750,332.1,61.2,2176
22.534332,113.97846,7950,333.8,61.4,2176
22.538406,113.9863,8150,336.9,60.1,2240
22.541944,113.99231,8300,340.3,56.3,2304
22.545456,113.997287,8450,342.8,51.2,2432
22.548935,114.001432,8575,344.6,47.2,2432
22.553116,114.005686,8725,346.0,42.8,2496
22.556514,114.008636,8850,346.6,38.6,2624
22.56117,114.012044,9000,346.2,32.5,2752
22.566284,114.015115,9175,345.8,28.1,2624
22.570908,114.017312,9300,345.6,23.9,2560
22.57574,114.019267,9450,344.7,19.5,2944
22.581746,114.021454,9650,342.5,18.9,3072
22.587798,114.023844,9850,342.6,20.0,2880
22.593063,114.026251,10000,343.0,23.7,2432
22.59762,114.028778,10125,343.7,28.9,1984
22.603951,114.033101,10275,345.4,32.6,1728
22.607391,114.035939,10350,347.1,37.9,1664
22.611818,114.040019,10450,348.5,41.7,1856
22.61705,114.045327,10575,350.1,43.5,1408
22.623093,114.051669,10675,350.7,45.0,960
22.628769,114.057911,10725,349.3,45.7,512
22.645477,114.076638,10800,345.1,46.2,64
22.667169,114.100901,10825,344.4,46.1,0
22.689188,114.125417,10800,346.5,45.9,0
22.70256,114.140009,10800,346.5,44.3,0
22.707344,114.144541,10800,347.8,40.1,-64
22.711945,114.148199,10775,348.7,34.6,-64
22.716794,114.151306,10775,349.0,30.1,0
22.721077,114.153595,10775,348.3,24.1,64
22.727234,114.156089,10775,347.6,19.3,64
22.731737,114.15741,10775,346.4,14.7,64
22.736718,114.158427,10800,345.3,10.0,64
22.741425,114.158936,10775,342.8,4.0,64
