lat,lon,alt,gs,track
31.644116,118.442834,29100,505.7,94.8
31.643921,118.445219,29100,505.7,94.8
31.643921,118.445221,29100,505.7,94.8
31.634015,118.58313,29125,0.0,0.0
31.633667,118.587557,29125,0.0,0.0
31.379513,119.156122,26700,466.4,143.1
31.37851,119.157015,26700,466.4,143.1
31.335205,119.196813,26150,466.4,143.1
31.323578,119.208392,26000,460.0,139.2
31.303447,119.228906,25725,457.0,138.6
31.274538,119.258514,25375,454.0,138.7
31.24855,119.284865,25025,453.7,139.1
31.233994,119.299406,24825,452.4,139.3
31.214493,119.318794,24650,445.5,139.6
31.197418,119.335758,24625,445.5,139.6
31.214493,119.318794,24650,433.5,139.8
31.148666,119.38385,24575,433.5,139.8
30.91168,119.61564,20650,424.0,140.0
30.82924,119.69561,18475,420.0,140.0
30.73567,119.78771,16850,393.0,140.0
30.69152,119.8994,15200,381.0,115.0
30.64967,120.00723,13575,364.0,114.0
30.57053,120.07365,12225,339.0,144.0
30.49535,120.13687,10575,329.0,144.0
30.41695,120.18027,9600,301.0,154.0
30.3407,120.21866,8150,296.0,156.0
30.2747,120.26739,7125,278.0,148.0
30.29425,120.34957,6875,277.0,75.0
30.32817,120.42755,5800,263.0,63.0
30.36017,120.50042,4125,241.0,63.0
30.38594,120.56574,3425,212.0,65.0
30.37352,120.62433,3100,188.0,104.0
30.32625,120.60597,2650,192.0,198.0
30.21836,120.36506,2525,178.0,242.0
30.18768,120.29628,3800,254.0,243.0
30.15547,120.223,4875,282.0,243.0
30.11261,120.14573,7225,292.0,237.0
30.06884,120.07546,9500,302.0,234.0
30.01964,119.9958,11625,316.0,234.0
29.97437,119.90473,13775,323.0,240.0
29.92708,119.80931,15850,327.0,240.0
29.880981,119.716856,17800,327.0,240.0
29.83673,119.63444,19175,338.0,238.0
29.662527,107.601067,9875,0.0,253.0
29.584946,107.255295,8650,0.0,256.0
29.57366,107.171036,8175,0.0,261.0
29.573008,107.166565,8150,0.0,260.0
29.571762,107.159164,8100,280.0,259.0
29.563463,107.13205,7950,260.0,251.0
29.561325,107.126045,7925,260.0,248.0
29.559553,107.120903,7900,260.0,248.0
29.536423,107.053162,7475,250.0,249.0
29.533298,107.043945,7400,250.0,249.0
29.524035,107.016853,7225,250.0,249.0
29.513351,106.985283,7025,250.0,249.0
29.496847,106.936501,6925,250.0,249.0
29.494492,106.929611,6925,250.0,249.0
29.491634,106.921043,6925,240.0,249.0
29.488235,106.911079,6900,240.0,249.0
29.484232,106.899292,6825,240.0,249.0
29.480026,106.886887,6725,240.0,248.0
29.473343,106.86734,6625,240.0,249.0
29.468124,106.852287,6525,250.0,248.0
29.466476,106.847427,6475,240.0,249.0
29.461349,106.832642,6375,250.0,248.0
29.457001,106.820122,6300,250.0,248.0
29.454206,106.811882,6225,250.0,249.0
29.445282,106.785843,6050,250.0,248.0
29.443779,106.781456,6025,250.0,249.0
29.43924,106.768097,5925,250.0,249.0
29.434328,106.753883,5850,250.0,248.0
29.430313,106.741211,5725,250.0,250.0
29.429077,106.728058,5625,240.0,264.0
29.430138,106.720222,5575,240.0,279.0
29.431162,106.715805,5550,240.0,285.0
29.433151,106.708305,5500,230.0,287.0
29.435259,106.70105,5450,230.0,288.0
29.439262,106.687477,5350,220.0,289.0
29.444012,106.671486,5250,220.0,289.0
29.447891,106.658234,5150,210.0,288.0
29.450064,106.650642,5100,210.0,288.0
29.453089,106.640251,5025,210.0,288.0
29.457371,106.625061,4925,210.0,288.0
29.460398,106.614235,4825,210.0,288.0
29.463238,106.60379,4750,210.0,288.0
29.464508,106.599442,4725,210.0,288.0
29.468311,106.59124,4650,210.0,298.0
29.4711,106.587509,4600,210.0,311.0
29.472244,106.586288,4600,210.0,317.0
29.48085,106.580482,4525,210.0,336.0
29.488541,106.577629,4450,210.0,344.0
29.495777,106.575516,4400,210.0,346.0
29.501875,106.573845,4350,210.0,347.0
29.511475,106.572716,4250,210.0,359.0
29.51532,106.57309,4225,200.0,5.0
29.517145,106.573364,4225,200.0,7.0
29.521753,106.574387,4175,200.0,11.0
29.529295,106.576538,4125,200.0,14.0
29.545914,106.581978,3975,200.0,16.0
29.551804,106.583916,3950,190.0,16.0
29.555271,106.585045,3950,180.0,16.0
29.56016,106.586769,3950,180.0,17.0
29.563091,106.587738,3975,170.0,16.0
29.564804,106.588348,4000,170.0,17.0
29.569424,106.589951,3950,170.0,17.0
29.575754,106.592102,3850,170.0,17.0
29.582932,106.594582,3725,170.0,17.0
29.585762,106.595551,3675,160.0,17.0
29.589569,106.596855,3625,150.0,17.0
29.59498,106.598724,3525,150.0,17.0
29.597866,106.599747,3475,150.0,17.0
29.615707,106.605888,3100,140.0,17.0
29.625053,106.609123,2925,140.0,17.0
29.629148,106.610519,2875,140.0,17.0
29.632269,106.611595,2800,140.0,17.0
29.641068,106.614616,2625,140.0,17.0
29.645395,106.616119,2525,140.0,17.0
29.646793,106.616608,2500,140.0,17.0
