lat,lon,alt,gs,track
23.804764,107.129265,-50.0,0.0,94.0
23.20336,111.71621,26650,476.0,100.0
23.166229,111.935602,26600,0.0,0.0
23.16481,111.981845,26575,474.1,88.7
23.165497,112.011108,26375,474.2,88.4
23.16579,112.022349,26275,473.2,88.4
23.165817,112.023443,26275,473.2,88.4
23.166504,112.05031,25875,468.2,88.4
23.167053,112.077126,25500,463.1,89.0
23.167328,112.104093,25100,459.0,89.4
23.167511,112.13036,24700,454.0,89.5
23.16774,112.155728,24325,450.0,89.5
23.167877,112.173906,24025,447.0,89.4
23.168211,112.197011,23675,444.1,89.1
23.168583,112.218018,23350,444.1,89.0
23.169205,112.246466,22900,436.0,88.6
23.169654,112.269236,22525,435.1,88.7
23.170073,112.294057,22225,430.0,88.9
23.170944,112.337402,21900,416.1,88.8
23.171283,112.351074,21700,409.1,88.5
23.171585,112.362072,21550,408.2,88.3
23.172633,112.38795,21200,403.5,87.2
23.173874,112.41196,20850,399.6,86.8
23.175194,112.437083,20500,394.7,86.7
23.176497,112.459564,20150,392.8,86.3
23.177428,112.475433,19875,390.8,86.3
23.178685,112.496999,19475,390.7,86.5
23.180008,112.520125,19125,388.7,86.5
23.181199,112.541199,18725,387.7,86.4
23.182549,112.564443,18350,385.7,86.4
23.183201,112.573853,18200,385.2,85.5
23.202241,112.633311,17225,377.2,66.9
23.210449,112.653958,16875,373.6,66.7
23.218813,112.674764,16500,371.7,66.5
23.226791,112.694408,16125,369.8,66.1
23.235901,112.716331,15775,366.5,65.7
23.236633,112.717979,15725,366.5,65.7
23.31308,112.93121,14825,366.0,69.0
23.24609,113.01351,14200,371.0,132.0
23.164352,113.081576,13200,370.0,143.0
23.08507,113.14896,12200,360.0,142.0
22.993826,113.243357,11800,360.0,142.0
22.994293,113.248269,11775,360.0,142.0
22.89212,113.46435,11675,297.2,127.8
22.888478,113.468272,11600,297.2,127.8
22.876282,113.476884,11400,293.5,134.6
22.873908,113.477987,11350,283.5,153.6
22.86753,113.480377,11275,281.7,156.4
22.86145,113.482078,11175,279.3,162.9
22.845045,113.487447,10975,279.3,162.9
22.832932,113.491966,10800,280.8,161.3
22.828566,113.493551,10800,280.5,161.5
22.804916,113.502053,10775,278.6,161.4
22.796585,113.505399,10800,278.6,159.0
22.785784,113.510284,10825,277.8,157.1
22.783447,113.511341,10825,279.6,156.8
22.759761,113.522034,10800,278.4,157.4
22.746634,113.527934,10800,278.4,157.4
22.736113,113.532715,10700,276.9,157.1
22.735647,113.532969,10700,276.0,157.0
22.727966,113.53651,10525,275.5,156.7
22.721123,113.539734,10325,275.9,156.5
22.713272,113.543402,10125,277.2,156.4
22.70462,113.547496,9925,278.5,156.3
22.697288,113.550975,9725,279.4,156.4
22.689421,113.554637,9550,280.3,156.4
22.679459,113.559367,9375,278.5,156.3
22.670334,113.563726,9175,277.6,156.2
22.661636,113.567821,9000,277.6,156.2
22.652645,113.572133,8825,276.7,156.1
22.64394,113.576304,8625,276.7,156.1
22.634399,113.580855,8450,276.7,156.1
22.628036,113.583751,8350,273.5,157.6
22.624527,113.585002,8275,270.7,161.0
22.620941,113.585849,8225,268.8,164.5
22.618515,113.586248,8175,265.0,170.0
22.614658,113.586477,8125,261.7,175.8
22.610733,113.586198,8075,259.1,181.8
22.606651,113.585663,8050,257.0,187.1
22.597916,113.584101,8050,255.6,189.7
22.590172,113.582408,8050,254.8,192.2
22.582537,113.580221,8050,253.7,195.1
22.559959,113.573405,8075,251.4,195.7
22.53772,113.566523,8075,252.2,196.4
22.533005,113.565075,8075,252.2,196.4
22.530166,113.564148,8050,252.2,196.4
22.527969,113.563477,8025,252.2,196.4
22.522019,113.561605,7900,253.2,196.3
22.514105,113.559062,7700,254.4,196.4
22.506134,113.556535,7550,254.7,196.7
22.496613,113.553489,7400,253.4,196.5
22.487058,113.550415,7250,250.3,196.5
22.475979,113.546906,7050,248.1,196.4
22.469927,113.545074,6950,245.6,196.1
22.462051,113.542603,6850,243.4,196.0
22.455688,113.540655,6750,241.5,196.1
22.450096,113.538869,6650,240.5,196.2
22.444199,113.537009,6550,238.6,196.3
22.438797,113.535312,6450,236.7,196.4
22.433853,113.533764,6350,235.7,196.5
22.428356,113.531952,6250,234.8,196.6
22.422501,113.530118,6150,233.5,196.4
22.41737,113.528493,6050,232.3,196.2
22.411784,113.526764,5950,231.3,196.3
22.406525,113.525074,5850,229.4,196.5
22.402313,113.523726,5750,229.7,196.7
22.397736,113.522278,5650,228.4,196.5
22.393387,113.52088,5550,228.7,196.8
22.389764,113.519694,5450,228.7,196.8
22.38501,113.518183,5350,229.4,196.5
22.380341,113.516685,5250,228.4,196.5
22.375259,113.515087,5150,227.5,196.6
22.370636,113.513589,5050,227.5,196.6
22.366162,113.512166,4950,226.5,196.7
22.361252,113.510592,4850,225.3,196.5
22.357224,113.509318,4750,225.3,196.5
22.352569,113.507843,4650,225.0,196.3
22.348659,113.506673,4550,225.0,196.3
22.344589,113.505399,4450,224.7,196.0
22.341202,113.50435,4400,224.7,196.0
22.334414,113.502299,4300,220.6,196.1
22.326826,113.499959,4250,216.5,196.1
