lat,lon,alt,gs,track
37.486908,126.20597,8750,274.6,259.5
37.485817,126.198399,8925,278.7,259.5
37.482925,126.17903,9350,279.7,259.5
37.479401,126.155538,9825,281.8,259.4
37.477996,126.145796,10025,281.8,259.4
37.473587,126.115859,10575,300.9,259.7
37.462555,126.040591,11525,347.0,259.4
37.461319,126.032702,11700,349.1,259.3
37.46012,126.024648,11900,350.3,259.1
37.459167,126.018443,12050,351.3,259.2
37.455368,125.993548,12550,356.4,259.2
37.451648,125.968999,12950,355.4,259.1
37.449646,125.956148,13200,358.3,259.2
37.448063,125.945654,13425,360.3,259.3
37.446527,125.935443,13675,361.3,259.3
37.438797,125.884094,15250,354.2,259.3
37.436611,125.869824,15625,354.2,259.3
37.426346,125.802047,17275,340.3,259.0
37.424741,125.791785,17550,339.1,259.1
37.422913,125.779666,17825,337.9,259.3
37.421156,125.768081,18125,337.9,259.3
37.420039,125.760856,18275,337.9,259.3
37.417557,125.744311,18675,338.9,259.3
37.415176,125.728533,19025,338.9,259.3
37.41394,125.720585,19200,340.1,259.1
