lat,lon,alt,gs,track,vs
30.838394,105.392494,20300,450.0,78.0,1528
30.867113,105.530769,21650,460.0,76.0,888
30.869673,105.542854,21750,460.0,76.0,1080
30.95787,105.963997,25275,480.0,76.0,760
30.958029,105.965385,25275,480.0,82.0,888
30.960846,106.008423,25625,480.0,86.0,1024
30.960754,106.013596,25675,480.0,91.0,1400
30.655998,106.644394,29075,460.0,137.0,0
30.63588,106.666046,29075,460.0,138.0,0
30.598368,106.706635,29075,460.0,137.0,0
30.585709,106.720329,29075,470.0,137.0,0
30.570528,106.736794,29075,470.0,137.0,0
30.547989,106.761154,29075,470.0,137.0,0
30.521988,106.789261,29100,470.0,137.0,0
24.823143,116.434761,22600,440.0,125.0,-64
24.82077,116.438499,22600,430.0,125.0,0
24.799541,116.471664,22600,430.0,125.0,0
24.785477,116.493683,22600,430.0,125.0,-64
24.758528,116.53582,22100,430.0,125.0,-64
24.746429,116.554924,21800,420.0,125.0,-1920
24.731873,116.57766,21400,410.0,125.0,-1792
24.721752,116.593445,21125,410.0,125.0,-1848
24.713242,116.606697,20875,410.0,125.0,-1920
24.706696,116.61692,20675,400.0,125.0,-1920
24.695847,116.633812,20350,400.0,125.0,-1984
24.689255,116.644539,20150,400.0,124.0,-2040
24.680511,116.661324,19825,400.0,119.0,-1984
24.677202,116.668793,19675,400.0,116.0,-1920
24.672546,116.680145,19475,400.0,114.0,-1920
24.66655,116.695808,19225,400.0,113.0,-1792
24.659698,116.714241,18925,400.0,112.0,-1848
24.652771,116.732941,18600,390.0,112.0,-1920
24.644485,116.755623,18200,390.0,112.0,-1984
24.639261,116.770058,17950,390.0,112.0,-1920
24.632977,116.787361,17650,390.0,112.0,-1984
24.628601,116.799522,17450,390.0,112.0,-2040
24.621506,116.819458,17075,390.0,112.0,-2040
24.614635,116.838875,16725,380.0,111.0,-1984
24.609467,116.853485,16450,380.0,112.0,-1920
24.595413,116.892952,15775,380.0,111.0,-1792
24.590569,116.906815,15550,380.0,111.0,-1400
24.587128,116.916656,15450,370.0,111.0,-1152
24.57605,116.9487,15125,360.0,110.0,-888
24.565569,116.979935,14875,350.0,110.0,-704
24.563335,116.986519,14825,350.0,110.0,-384
24.558655,117.000069,14800,340.0,111.0,-64
24.55513,117.009636,14800,340.0,112.0,-64
24.551464,117.019264,14800,330.0,113.0,0
24.539703,117.050629,14800,330.0,112.0,-64
24.535172,117.062645,14800,320.0,112.0,64
24.527664,117.082771,14800,328.0,112.0,0
24.526154,117.087303,14800,329.0,110.0,-64
24.521856,117.103218,14750,330.0,105.0,-704
24.520889,117.107948,14725,334.0,103.0,-512
24.518133,117.12307,14650,330.0,101.0,-568
24.517319,117.127785,14625,320.0,101.0,-1152
24.515804,117.136543,14525,320.0,101.0,-1280
24.513885,117.147774,14325,320.0,100.0,-1920
24.510777,117.165771,14000,320.0,100.0,-1984
24.509335,117.174011,13900,330.0,101.0,-1664
24.505829,117.194214,13525,330.0,100.0,-1400
24.5044,117.202515,13425,320.0,101.0,-1280
24.500244,117.227119,13075,320.0,101.0,-1664
24.497726,117.241669,12800,320.0,101.0,-1848
24.494345,117.261383,12425,320.0,100.0,-1848
24.491924,117.275475,12175,320.0,101.0,-1344
24.489624,117.288612,12100,320.0,101.0,-1152
24.487976,117.298225,11900,320.0,101.0,-1152
24.485184,117.314201,11775,320.0,101.0,-704
24.48381,117.322136,11675,310.0,101.0,-640
24.481636,117.334816,11575,310.0,101.0,-1080
24.479691,117.345985,11425,310.0,101.0,-1344
24.478088,117.355141,11300,310.0,101.0,-1400
24.476469,117.364563,11150,310.0,101.0,-1280
24.473396,117.382179,10950,300.0,101.0,-1152
24.471348,117.393997,10750,300.0,100.0,-1080
24.469986,117.401833,10675,300.0,101.0,-760
24.467903,117.413841,10600,300.0,101.0,-320
24.466879,117.419754,10600,290.0,101.0,-120
24.465807,117.425659,10575,290.0,101.0,-760
24.464785,117.431511,10500,290.0,101.0,-1024
24.463806,117.437164,10400,290.0,101.0,-1920
24.463015,117.441727,10300,290.0,101.0,-2168
24.46064,117.455147,10000,290.0,101.0,-1664
24.458591,117.466545,9800,290.0,101.0,-1600
24.457626,117.472282,9700,290.0,100.0,-1472
24.455292,117.485756,9525,298.0,101.0,-1408
24.454077,117.49292,9450,290.0,101.0,-888
24.45108,117.51017,9275,290.0,101.0,-1208
24.449936,117.516785,9150,290.0,101.0,-1664
