lat,lon,alt,gs,track,vs
30.067932,106.728836,32125,440.0,201.0,0
29.804047,106.619888,32100,450.0,200.0,0
29.77977,106.613281,32100,450.0,193.0,0
29.766012,106.610092,32100,450.0,191.0,0
29.737244,106.604652,32100,450.0,189.0,0
29.732775,106.603951,32100,450.0,188.0,0
29.719833,106.602119,32100,450.0,187.0,0
29.686735,106.598885,32100,450.0,185.0,0
29.675308,106.598228,32100,460.0,183.0,-64
29.663132,106.597809,32100,460.0,182.0,-64
29.633293,106.597916,32100,460.0,180.0,-64
29.589615,106.598862,32100,460.0,179.0,0
29.558578,106.599388,32100,460.0,179.0,64
29.514908,106.600021,32100,460.0,179.0,0
29.488861,106.600395,32100,470.0,179.0,0
29.452484,106.60099,32100,460.0,179.0,64
29.408957,106.601685,32125,460.0,179.0,-64
29.400578,106.601852,32125,460.0,179.0,-320
29.391594,106.602013,32100,460.0,179.0,-640
29.357162,106.602615,31850,460.0,179.0,-1024
29.314037,106.603249,31525,460.0,179.0,-1024
29.297012,106.603088,31400,460.0,181.0,-960
29.287457,106.602768,31325,460.0,182.0,-960
29.266508,106.601311,31175,460.0,184.0,-960
29.253799,106.600021,31075,460.0,185.0,-1024
29.232199,106.597107,30900,460.0,188.0,-960
29.210953,106.593369,30725,460.0,190.0,-960
29.189896,106.588776,30575,450.0,191.0,-1024
29.177399,106.585655,30450,450.0,193.0,-1024
29.15818,106.5802,30300,450.0,195.0,-960
29.145676,106.576256,30200,450.0,195.0,-760
29.129551,106.570618,30125,450.0,197.0,-192
29.1129,106.564217,30100,460.0,199.0,-64
29.102325,106.55983,30100,460.0,200.0,-64
29.09203,106.555321,30100,450.0,201.0,-64
29.069078,106.544441,30100,450.0,203.0,0
29.053482,106.536377,30100,450.0,205.0,0
29.038284,106.527977,30100,450.0,206.0,0
29.023087,106.518951,30100,450.0,208.0,64
29.008888,106.509972,30100,450.0,209.0,0
29.000927,106.504639,30100,450.0,210.0,0
28.987015,106.494919,30100,450.0,212.0,-64
28.973282,106.484665,30100,440.0,214.0,-64
28.959229,106.473579,30100,440.0,215.0,-64
28.946045,106.462486,30100,440.0,217.0,0
28.932634,106.450516,30100,440.0,218.0,0
28.92009,106.438713,30100,440.0,220.0,0
28.913874,106.432587,30100,440.0,221.0,0
28.901459,106.419914,30100,440.0,222.0,0
28.895905,106.414001,30100,440.0,223.0,0
28.866251,106.381264,30100,440.0,224.0,-64
28.842278,106.354874,30100,440.0,224.0,0
28.818489,106.328857,30100,440.0,224.0,0
28.788836,106.296333,30100,440.0,224.0,-64
28.764679,106.269745,30100,440.0,224.0,64
28.741013,106.243652,30100,440.0,224.0,-64
28.717438,106.21772,30100,450.0,224.0,0
28.699036,106.197495,30100,440.0,224.0,64
28.669382,106.164925,30100,440.0,224.0,0
28.645035,106.138374,30100,440.0,224.0,0
28.615173,106.105743,30100,440.0,224.0,0
28.591095,106.079391,30100,440.0,224.0,0
28.580561,106.067825,30100,450.0,224.0,0
28.568344,106.054459,30100,440.0,224.0,0
28.56152,106.047043,30100,450.0,224.0,0
28.54937,106.033791,30100,440.0,224.0,0
28.51939,106.001099,30100,440.0,224.0,0
28.513338,105.99453,30100,450.0,224.0,0
28.482834,105.961395,30100,450.0,224.0,0
28.471893,105.949615,30100,440.0,224.0,0
28.465715,105.942886,30100,450.0,224.0,0
28.440536,105.915649,30100,450.0,224.0,0
28.416412,105.889503,30100,450.0,224.0,-64
28.386612,105.857124,30100,450.0,224.0,0
28.3748,105.84433,30100,440.0,224.0,0
28.346466,105.813553,30100,450.0,224.0,0
28.325546,105.790894,30100,450.0,224.0,0
27.841032,105.262863,30100,450.0,224.0,0
27.806946,105.225655,30100,450.0,224.0,0
27.789642,105.206734,30100,440.0,224.0,0
27.775114,105.190979,30100,450.0,224.0,0
27.749451,105.163002,30100,440.0,224.0,0
27.745041,105.158226,30100,440.0,224.0,0
30.329498,103.868247,4750,178.0,346.4,-640
30.336868,103.866416,4650,173.0,347.6,-640
30.342361,103.865015,4575,173.0,347.6,-640
30.351547,103.862659,4475,172.2,347.2,-576
30.358841,103.860707,4375,175.4,347.1,-576
30.367676,103.858391,4275,175.4,347.1,-640
30.372402,103.857275,4200,175.3,348.8,-640
30.376373,103.857045,4150,176.6,355.1,-640
30.381088,103.857583,4100,175.1,6.6,-640
30.384338,103.858337,4050,174.8,10.2,-576
30.387253,103.859253,4025,172.4,14.4,-576
30.391754,103.860869,3975,172.0,17.6,-512
30.444443,103.884618,3900,173.6,22.0,0
30.449633,103.887048,3900,171.4,21.9,-320
30.452454,103.888388,3875,172.7,22.1,-576
