lat,lon,alt,gs,track,vs
-13.001587,130.919147,6625,185.0,0.0,-640
-12.994266,130.919061,6525,187.1,358.5,-640
-12.98291,130.918721,6450,184.0,359.1,-256
-12.971832,130.918437,6400,183.1,358.1,-384
-12.969221,130.918338,6400,183.1,358.1,-448
-12.951577,130.91776,6275,183.1,357.8,-256
-12.941895,130.917585,6200,185.0,359.4,-320
-12.934027,130.917471,6125,186.0,358.8,-320
-12.932739,130.917395,6125,185.0,358.8,-192
-12.890259,130.916827,5800,188.0,359.1,-192
-12.873276,130.916732,5775,188.0,359.7,-128
-12.856064,130.916543,5775,189.0,359.1,-128
-12.844461,130.916218,5725,191.2,357.6,-384
-12.831802,130.915596,5600,190.0,358.8,-448
-12.814528,130.915206,5450,190.1,358.2,-384
-12.798141,130.914917,5275,191.0,358.8,-512
-12.784973,130.914554,5150,191.1,358.2,-512
-12.767975,130.914098,5000,188.1,358.5,-512
-12.750332,130.913664,4800,189.0,358.8,-512
-12.733292,130.913228,4650,189.1,357.9,-768
-12.723704,130.913038,4550,188.0,359.7,-448
-12.721982,130.913038,4525,187.0,0.0,-384
-12.654807,130.911255,3750,180.0,353.9,-576
-12.650291,130.910628,3700,183.3,350.9,-640
-12.6465,130.909866,3650,184.4,347.5,-576
-12.643204,130.908919,3625,184.8,343.3,-576
-12.638351,130.907119,3575,186.0,340.2,-448
-12.635767,130.905906,3550,185.2,335.1,-448
-12.626587,130.901484,3475,182.3,336.4,-320
-12.61734,130.897601,3375,182.9,337.5,-576
-12.612534,130.895754,3325,181.6,340.4,-448
-12.60553,130.893339,3250,180.3,341.6,-448
-12.595499,130.889957,3175,184.1,342.0,-512
-12.588051,130.887499,3100,182.5,341.5,-576
-12.578228,130.884319,3050,179.0,342.8,-256
-12.573015,130.882584,3000,178.4,340.4,-448
-12.569916,130.881263,3000,178.2,336.2,-256
-12.566208,130.879417,2975,176.7,332.7,-64
-12.561035,130.876528,2950,178.1,331.1,-128
-12.557652,130.874489,2950,179.5,327.3,-128
-12.549133,130.868611,2875,182.0,327.8,-448
-12.547028,130.867246,2850,182.9,328.0,-896
-12.543314,130.864948,2750,183.8,329.2,-960
-12.537542,130.861527,2650,185.1,329.8,-704
