lat,lon,alt,gs,track,vs
-19.770177,119.80416,32450,428.7,61.3,1024
-19.768222,119.807856,32475,428.7,61.3,1024
-19.748108,119.846616,32825,428.7,61.3,1024
-19.700958,119.936959,33650,423.4,61.2,960
-19.678143,119.980691,34000,423.4,61.2,832
-19.664131,120.007607,34200,423.4,61.2,896
-19.620758,120.090621,34900,422.5,61.1,1216
-19.604645,120.121373,35150,421.6,61.1,1088
-19.603546,120.123531,35150,421.6,61.1,1088
-19.565393,120.196622,35800,420.3,61.1,1088
-19.550079,120.225841,36050,418.5,61.0,832
-19.533412,120.257546,36325,417.2,61.0,1024
-19.516746,120.289257,36625,416.3,61.0,1152
-19.499429,120.322366,36875,415.8,61.1,768
-19.481646,120.356223,37100,417.2,61.0,768
-19.464189,120.389432,37325,417.7,60.9,832
-19.447769,120.420701,37575,418.5,61.0,896
-19.431427,120.451796,37825,417.2,61.0,896
-19.414536,120.483922,38050,417.7,60.9,768
-19.396316,120.518422,38225,419.0,60.9,704
-19.379013,120.551262,38450,419.9,60.9,768
-19.361801,120.583927,38700,420.3,61.1,896
-19.345341,120.615351,38950,419.4,61.0,1024
-19.327186,120.649508,39000,425.3,60.7,64
-19.308332,120.684964,39000,432.0,60.8,-64
-19.289478,120.72062,39000,437.8,61.0,0
-19.27034,120.75701,39000,443.6,61.0,-128
-19.250977,120.79355,39000,448.2,60.8,0
-19.23111,120.830776,39000,453.1,60.7,0
-19.210619,120.869385,39000,457.1,60.8,0
-19.190231,120.908023,39000,461.1,60.9,0
-19.169907,120.94623,39000,463.4,60.7,0
-19.149077,120.985241,39000,465.6,60.7,64
-19.128082,121.024642,39000,468.3,60.9,0
-19.107087,121.064242,39000,470.5,60.9,0
-19.085861,121.104159,39000,472.3,60.7,-64
-19.064621,121.143984,39000,472.3,60.7,0
-19.043747,121.183025,39000,473.7,60.7,0
-19.023013,121.221946,39000,474.6,60.7,0
-19.001724,121.261695,39000,475.9,60.7,0
-18.980576,121.301373,39000,475.9,60.7,0
-18.958771,121.342047,39000,476.4,60.6,0
-18.937683,121.381348,39000,477.3,60.6,0
-18.916176,121.421498,39000,477.3,60.6,0
-18.894715,121.461698,39000,477.3,60.6,0
-18.873581,121.501049,39000,477.8,60.5,0
-18.852074,121.541199,39000,477.3,60.6,0
-18.830475,121.581524,39000,477.3,60.6,0
-18.80896,121.621546,39000,476.9,60.5,-64
-18.787582,121.661175,39000,476.9,60.5,0
-18.765793,121.701589,39000,476.4,60.6,0
-18.744781,121.740875,39000,476.4,60.6,0
-18.722891,121.78145,39000,476.0,60.4,0
-18.701524,121.820951,39000,476.0,60.4,0
-18.67997,121.860901,39000,475.9,60.7,0
-18.658218,121.901452,39000,475.6,60.5,0
-18.636723,121.941101,39000,475.7,60.3,0
-18.614594,121.981937,39000,475.6,60.5,0
-18.593662,122.020752,39000,475.6,60.5,0
-18.572067,122.060852,39000,475.6,60.5,0
-18.550368,122.100802,39000,474.8,60.2,0
-18.528397,122.141091,39000,475.2,60.4,0
-18.506796,122.181102,39000,474.2,60.6,0
-18.485687,122.220252,39000,474.7,60.5,0
-18.46431,122.259489,39000,473.9,60.1,0
-18.442321,122.299705,39000,474.3,60.3,0
-18.420959,122.339189,39000,474.2,60.6,0
-18.399632,122.378706,39000,473.8,60.4,0
-18.378218,122.417858,39000,473.1,60.1,0
-18.356232,122.457929,39000,473.4,60.2,0
-18.335037,122.497117,39000,473.3,60.5,0
-18.313385,122.537041,39000,472.1,60.3,0
-18.291631,122.57661,39000,472.2,60.0,0
-18.27045,122.615212,39000,472.6,60.2,0
-18.249222,122.654264,39000,472.5,60.5,0
-18.228227,122.692915,39000,472.1,60.3,0
-18.206627,122.732267,39000,471.7,60.1,0
-18.18512,122.771398,39000,471.7,60.1,0
-18.163473,122.810963,39000,472.1,60.3,0
-18.141861,122.850615,39000,472.6,60.2,0
-18.120255,122.889983,39000,473.1,60.1,0
-18.098557,122.92935,39000,473.1,60.1,0
-18.076538,122.969537,39000,472.6,60.2,0
-18.055206,123.008519,39000,472.6,60.2,0
-18.033685,123.047611,39000,472.2,60.0,0
-18.012178,123.086504,39000,473.1,60.1,0
-17.990891,123.125273,39000,472.6,60.2,0
-17.969559,123.164207,39000,472.6,60.2,0
-17.947796,123.203724,39000,472.2,60.0,-64
-17.926346,123.242364,39000,472.7,59.9,-64
-17.904549,123.281855,39000,473.1,60.1,0
-17.883182,123.320847,39000,472.6,60.2,64
-17.861488,123.360182,39000,473.6,60.0,0
-17.839325,123.400028,39000,473.2,59.8,0
-17.817683,123.439097,39000,473.1,60.1,0
-17.796387,123.477847,39000,473.4,60.2,0
-17.774762,123.516982,39000,474.1,59.9,0
-17.753115,123.555826,39000,473.7,59.7,0
-17.731155,123.595276,39000,473.6,60.0,0
-17.709589,123.634447,39000,473.9,60.1,-64
-17.687849,123.673733,39000,473.6,60.0,64
-17.665604,123.713572,39000,474.6,59.8,-64
-17.644043,123.752256,39000,474.1,59.9,0
-17.622391,123.791343,39000,474.4,60.0,0
-17.600327,123.831048,39000,474.1,59.9,64
-17.589569,123.849455,39000,473.6,57.8,0
-17.578629,123.866609,39000,473.2,55.9,0
-17.563477,123.889112,39000,472.9,54.3,0
-17.543564,123.91706,39000,473.4,53.0,0
-17.517467,123.953002,39000,474.2,53.1,0
-17.492798,123.987893,39000,474.1,54.1,0
-17.468355,124.023579,39000,475.0,54.8,0
-17.44317,124.060707,39000,475.3,54.5,0
-17.418182,124.096503,39000,474.8,53.6,0
-17.392009,124.133148,39000,475.2,53.3,0
-17.365997,124.16989,39000,474.4,53.8,0
-17.341128,124.205736,39000,474.3,54.3,0
-17.316129,124.241687,39000,473.8,53.9,0
-17.290572,124.277785,39000,473.2,53.4,0
-17.264832,124.313965,39000,472.8,53.7,0
-17.239411,124.350373,39000,472.7,54.1,0
-17.21418,124.386618,39000,473.8,53.9,-64
-17.188157,124.423452,39000,473.4,53.6,64
-17.162274,124.459893,39000,474.2,53.7,0
-17.136749,124.496251,39000,473.8,53.9,0
-17.110886,124.533258,39000,473.8,53.9,0
-17.085571,124.56906,39000,474.8,53.6,-64
-17.059937,124.605151,39000,474.8,53.6,0
-17.034302,124.64156,39000,475.2,53.9,0
-17.008713,124.678007,39000,475.0,53.7,64
-16.98262,124.714918,39000,474.2,53.7,0
-16.956802,124.751394,39000,474.2,53.7,0
-16.931763,124.786811,39000,475.0,53.7,0
-16.90605,124.823129,39000,475.6,53.6,0
-16.881191,124.858148,39000,475.6,53.6,0
-16.85582,124.893951,39000,475.6,53.6,0
-16.83045,124.929755,39000,475.6,53.6,0
-16.805637,124.964823,39000,475.6,53.6,0
-16.780426,125.000418,39000,475.6,53.6,-64
-16.75502,125.036123,39000,474.8,53.6,0
-16.730036,125.071302,39000,475.6,53.6,0
-16.704529,125.107245,39000,475.6,53.6,0
-16.679352,125.142613,39000,475.6,53.6,0
-16.654063,125.178125,39000,474.8,53.6,0
-16.627621,125.215302,39000,474.8,53.6,0
-16.602036,125.251128,39000,475.4,53.5,0
-16.576786,125.286615,39000,474.8,53.6,0
-16.55127,125.32249,39000,474.8,53.6,0
-16.525486,125.358663,39000,474.8,53.6,0
-16.499176,125.395588,39000,475.4,53.5,0
-16.475327,125.428981,39000,474.8,53.6,0
-16.449792,125.46475,39000,474.0,53.5,0
-16.424374,125.500259,39000,474.0,53.5,0
-16.399003,125.535818,39000,474.0,53.5,0
-16.374252,125.570406,39000,474.0,53.5,0
-16.348448,125.606493,39000,474.0,53.5,0
-16.322565,125.642689,39000,473.2,53.4,0
-16.297806,125.677185,39000,473.8,53.3,0
-16.272125,125.712987,39000,473.2,53.4,0
-16.2556,125.735972,39000,473.2,53.4,0
-13.450104,129.879329,29775,446.2,60.2,-2624
-12.95032,130.566005,13825,354.5,33.4,-1792
-12.947574,130.567836,13775,353.4,33.1,-1856
-12.911545,130.590694,12925,347.8,31.4,-1920
-12.894737,130.60118,12575,343.9,31.6,-2048
-12.887833,130.605563,12400,343.5,31.8,-2112
-12.871124,130.616313,12025,341.8,32.6,-1856
-12.862335,130.622043,11825,340.6,32.9,-1856
-12.853492,130.627923,11625,338.9,33.1,-1856
-12.843613,130.634545,11425,338.1,33.2,-1856
-12.835849,130.639681,11250,336.7,33.1,-1920
-12.827469,130.645222,11050,336.5,32.8,-1920
-12.818764,130.65086,10850,334.9,32.3,-1856
-12.809692,130.656659,10650,333.3,31.9,-1856
-12.801041,130.662105,10450,332.7,31.7,-1920
-12.791717,130.667966,10250,331.4,31.7,-1856
-12.783234,130.673328,10050,329.7,31.9,-1920
-12.774539,130.678855,9850,329.3,32.1,-1984
-12.766113,130.684267,9650,328.2,32.4,-1984
-12.760155,130.688155,9500,323.4,32.8,-1920
-12.756042,130.690897,9400,319.0,32.8,-1792
-12.752986,130.692926,9325,314.5,32.9,-1728
-12.749308,130.695335,9250,310.9,32.9,-1664
-12.745025,130.698178,9175,306.5,33.0,-1600
-12.740323,130.70131,9075,302.1,33.1,-1600
-12.737297,130.703286,9000,297.9,32.9,-1600
-12.729011,130.708731,8825,292.9,32.9,-1600
-12.720428,130.714385,8625,293.2,32.6,-1792
-12.711914,130.719878,8425,292.7,32.4,-1728
