lat,lon,alt,gs,track,vs
-37.735886,144.420484,250,85.8,201.2,1472
-37.73706,144.419881,350,83.2,200.4,1664
-37.738907,144.419023,450,83.2,200.4,1024
-37.741342,144.417791,550,84.3,202.3,960
-37.74353,144.416569,650,85.1,203.6,1024
-37.745439,144.415582,750,83.9,201.7,1024
-37.747513,144.414582,850,83.2,200.4,1024
-37.749664,144.41353,950,82.3,200.6,960
-37.751907,144.412537,1050,82.5,199.1,832
-37.755029,144.411163,1125,81.6,199.3,576
-37.757629,144.409965,1225,81.3,200.9,704
-37.760708,144.408476,1300,82.3,200.6,512
-37.763455,144.407282,1400,83.2,198.2,704
-37.765869,144.406225,1450,83.6,201.0,576
-37.766922,144.405583,1500,83.7,204.7,512
-37.767784,144.405013,1500,85.2,211.1,576
-37.768936,144.404005,1550,86.0,215.5,576
-37.77067,144.402267,1600,86.1,218.9,576
-37.7723,144.400535,1650,87.9,221.3,448
-37.773882,144.398625,1700,89.8,224.6,448
-37.775512,144.396475,1725,91.3,227.2,576
-37.777542,144.393544,1800,91.6,229.9,512
-37.779748,144.390027,1875,94.0,231.9,448
-37.781098,144.387698,1925,96.3,235.1,448
-37.782727,144.384533,1975,96.6,238.1,576
-37.784637,144.380513,2075,95.9,240.0,640
-37.786652,144.37613,2150,97.2,239.7,384
-37.788437,144.371981,2200,99.8,241.9,128
-37.789617,144.369308,2175,104.3,240.7,-256
-37.791,144.366137,2175,108.8,240.8,-384
-37.792364,144.363098,2150,113.7,240.5,-320
-37.794617,144.357956,2100,118.2,240.6,-576
-37.796739,144.353545,2025,122.6,238.0,-448
-37.800603,144.345962,1975,122.9,237.0,-192
-37.804514,144.338379,1925,120.1,237.2,-320
-37.8078,144.332126,1875,121.5,235.4,-384
-37.811403,144.325661,1800,121.8,234.4,1728
-37.815491,144.318802,1750,120.6,232.8,1728
-37.818649,144.31366,1725,121.2,232.4,1728
-37.818787,144.313426,1725,121.2,232.4,2720
-37.822995,144.306435,1650,120.8,233.4,3040
-37.827278,144.29927,1600,121.2,232.4,3040
-37.831561,144.292344,1550,121.2,232.4,3040
-37.835797,144.285298,1500,120.2,233.8,3040
-37.838823,144.279805,1475,117.3,235.8,3040
-37.842826,144.27258,1475,115.4,234.5,3040
-37.846481,144.266033,1475,113.2,236.2,0
-37.849344,144.260519,1450,113.2,238.0,64
-37.852203,144.254871,1450,114.5,236.0,64
-37.857537,144.244995,1425,113.5,235.1,3200
-37.859538,144.241592,1425,114.2,232.8,3200
-37.861261,144.238487,1425,115.4,236.3,3200
-37.864007,144.233352,1400,115.4,234.5,3200
-37.866149,144.229769,1375,114.6,231.7,3200
-37.869873,144.223918,1375,115.8,233.4,0
-37.872014,144.219918,1400,114.5,236.0,128
-37.875459,144.21329,1450,111.5,237.4,2720
-37.878532,144.207319,1525,107.6,236.8,2720
-37.881271,144.201809,1550,109.1,238.5,2720
-37.883469,144.197193,1625,106.2,240.1,2496
-37.885515,144.192571,1700,106.1,241.3,2496
-37.888458,144.185739,1750,106.6,240.8,2496
-37.890472,144.181006,1825,107.8,243.0,2496
-37.892258,144.176389,1825,112.7,244.8,-256
-37.896687,144.164269,1825,117.7,245.4,64
-37.899806,144.155433,1875,118.2,246.0,64
-37.904251,144.142963,1850,120.0,246.4,1120
-37.90773,144.132736,1850,120.5,247.1,1120
-37.908829,144.129171,1850,122.1,250.4,1120
-37.910751,144.121808,1900,119.9,252.0,192
-37.911896,144.116958,1900,120.3,254.6,256
-37.91304,144.111172,1975,116.7,255.6,512
-37.914001,144.106906,2025,114.2,252.7,320
-37.914656,144.104561,2050,112.7,248.7,256
-37.915375,144.102757,2050,111.4,242.7,256
-37.916053,144.101397,2050,109.8,236.9,192
-37.916844,144.100083,2050,108.9,231.3,192
-37.917636,144.099128,2075,106.9,222.4,384
-37.918194,144.09859,2075,104.1,211.2,256
-37.919037,144.098141,2100,103.6,202.1,128
-37.91973,144.097934,2075,103.4,192.3,-64
-37.920456,144.097907,2075,103.0,181.7,0
-37.921097,144.098082,2100,103.6,170.0,128
-37.921779,144.098352,2100,104.7,161.1,64
-37.922516,144.0989,2100,105.7,150.5,0
-37.923175,144.099546,2100,107.8,139.5,0
-37.92366,144.100303,2100,110.0,130.2,-64
-37.924072,144.101063,2100,112.1,123.0,-128
-37.924479,144.102233,2100,115.6,113.5,-256
-37.924712,144.103307,2100,118.1,105.2,-128
-37.924851,144.104442,2075,120.9,97.1,0
-37.924805,144.105796,2100,124.1,87.2,256
-37.924618,144.107308,2100,125.3,79.0,384
-37.9242,144.10886,2100,127.1,70.7,0
-37.923687,144.110233,2100,130.7,61.7,-512
-37.923129,144.111249,2075,134.5,55.6,-832
-37.922333,144.112399,2050,137.6,49.7,-1024
-37.921829,144.112984,2025,141.5,43.3,-1152
-37.920731,144.113977,2000,146.2,35.5,-1024
-37.919498,144.114891,1975,149.8,27.4,-640
-37.917847,144.115672,1950,151.8,19.6,-256
-37.916473,144.11614,1975,152.8,12.9,-192
-37.914982,144.116383,1950,152.8,6.0,-448
-37.913586,144.116324,1925,154.0,358.9,-448
-37.912262,144.11614,1900,153.9,351.0,-448
-37.910792,144.115607,1900,153.1,342.5,-384
-37.909607,144.114854,1875,152.5,333.1,-640
-37.908744,144.114115,1850,150.6,326.1,-768
-37.907867,144.113159,1850,150.0,316.6,-512
-37.906998,144.111757,1825,147.2,306.7,-128
-37.906463,144.110532,1825,144.1,299.0,-64
-37.906044,144.109338,1825,140.6,291.3,-128
-37.905853,144.108134,1825,137.8,283.4,-320
-37.905716,144.106906,1800,134.7,276.0,-448
-37.905765,144.105755,1800,132.1,267.8,-576
-37.905945,144.104627,1775,127.8,256.0,1760
-37.906357,144.103225,1775,125.0,246.9,1760
-37.906815,144.10229,1775,122.3,237.4,1760
-37.907348,144.101456,1725,120.6,229.7,1760
-37.907953,144.100859,1700,119.9,220.6,1760
-37.908605,144.100322,1675,120.2,211.1,1760
-37.909442,144.099904,1625,120.2,202.5,1760
-37.910513,144.099546,1575,120.8,192.4,1760
-37.911863,144.099307,1550,122.7,186.1,1760
-37.914276,144.099134,1550,118.2,183.4,1760
-37.915649,144.099076,1575,114.1,182.0,1760
-37.918474,144.098949,1575,110.1,182.1,1760
-37.923362,144.09871,1600,106.0,181.6,1824
-37.926315,144.098667,1575,104.0,178.4,1824
