lat,lon,alt,gs,track,vs
-34.942062,138.541185,-375,56.1,230.1,0
-34.942429,138.540681,-400,59.7,230.4,0
-34.942668,138.54023,-400,68.9,230.3,0
-34.943087,138.539658,-400,77.5,230.8,-64
-34.943506,138.539085,-400,81.7,230.5,-64
-34.943786,138.538628,-400,85.1,229.8,0
-34.944391,138.537769,-400,88.0,229.6,0
-34.94481,138.53714,-375,98.7,230.3,-64
-34.945541,138.536084,-375,107.9,230.3,-64
-34.946091,138.535299,-375,112.2,230.1,-64
-34.946579,138.534565,-400,115.0,229.9,-64
-34.947876,138.532721,-400,128.6,230.4,0
-34.948534,138.531704,-400,132.8,230.2,0
-34.949558,138.530273,-400,142.0,230.1,0
-34.950117,138.529472,-400,143.4,230.1,0
-34.950531,138.528797,-400,147.6,229.9,128
-34.951513,138.527412,-400,151.2,230.1,192
-34.952444,138.526039,-400,156.8,229.9,448
-34.952911,138.525378,-375,157.6,230.1,704
-34.953375,138.524666,-375,159.0,230.1,1152
-34.953918,138.523921,-325,158.3,229.9,1600
-34.955284,138.521976,-225,157.6,230.1,1920
-34.956711,138.519885,-125,157.0,230.4,1792
-34.958217,138.51757,-25,158.4,230.4,1664
-34.959641,138.515513,75,158.4,230.4,1792
-34.961243,138.513165,175,159.0,230.1,1920
-34.962662,138.511141,275,159.8,230.3,1984
-34.964269,138.508759,375,159.8,230.3,2048
-34.9655,138.506993,475,159.8,230.3,1984
-34.966922,138.504925,575,160.4,230.1,1792
-34.968644,138.502407,675,161.8,230.0,1600
-34.970352,138.49993,750,165.3,229.7,1152
-34.972183,138.497352,800,170.3,229.8,768
-34.973648,138.495222,825,175.2,229.4,704
-34.975159,138.493148,850,179.4,229.3,832
-34.977173,138.490345,925,184.3,229.0,1024
-34.978775,138.488047,950,188.6,229.3,1024
-34.980469,138.485584,1025,193.0,229.6,1088
-34.982483,138.482722,1075,196.5,229.8,1024
-34.984286,138.480091,1125,200.3,230.3,1216
-34.986557,138.47678,1200,204.6,230.6,1344
-34.988895,138.473339,1300,208.2,230.6,1664
-34.990494,138.470951,1375,209.6,230.6,1984
-34.992279,138.468373,1475,209.6,230.6,2432
-34.993829,138.466072,1575,208.8,230.4,2688
-34.99504,138.464241,1675,208.2,230.6,2880
-34.99625,138.46241,1775,207.6,230.9,2816
-34.997635,138.460413,1875,206.8,230.7,2816
-34.998779,138.458675,1975,206.8,230.7,2752
