lat,lon,alt,gs,track
-19.248596,146.771556,-200,19.7,30.5
-19.248373,146.771651,-200,14.8,28.3
-19.247177,146.769987,-175,0.0,0.0
-19.247269,146.769938,-175,0.0,307.0
-19.24942,146.768957,-200,0.0,0.0
-19.252376,146.767606,-125,66.5,201.2
-19.252749,146.767406,-100,61.9,202.8
-19.253959,146.766857,0,58.2,204.4
-19.256104,146.765867,100,59.1,204.0
-19.258301,146.764837,175,58.3,202.2
-19.259903,146.764199,275,57.2,199.4
-19.261002,146.763758,325,58.3,202.2
-19.263199,146.762777,400,59.2,201.8
-19.264252,146.762336,450,59.8,197.5
-19.264759,146.762213,475,60.2,191.5
-19.265271,146.762213,500,59.0,181.9
-19.265991,146.762238,550,59.1,177.1
-19.266575,146.762312,550,59.0,169.3
-19.266953,146.762434,575,60.7,159.8
-19.267456,146.762728,600,60.9,150.5
-19.267868,146.763022,600,62.0,142.2
-19.268251,146.763411,625,63.6,135.0
-19.268623,146.76391,650,65.2,125.6
-19.269012,146.764592,675,66.2,118.9
-19.269507,146.765608,700,68.5,115.1
-19.269973,146.766857,725,69.6,111.0
-19.270477,146.768417,775,74.3,107.2
-19.270671,146.769354,800,73.5,101.8
-19.270752,146.769987,800,75.2,93.8
-19.270718,146.770802,825,78.2,86.3
-19.270578,146.771751,825,80.2,79.9
-19.270386,146.772586,825,82.5,70.9
-19.270065,146.773322,825,83.2,64.4
-19.269601,146.774098,825,84.6,57.1
-19.268967,146.77494,825,87.2,49.2
-19.268157,146.775746,825,87.7,44.1
-19.267413,146.776395,825,87.8,37.1
-19.266575,146.776994,825,87.5,31.0
-19.262106,146.779841,850,87.1,31.9
-19.257523,146.782935,875,87.5,31.0
-19.255142,146.784357,900,88.2,29.2
-19.250468,146.787032,850,91.4,30.2
-19.246837,146.789279,875,90.4,29.1
-19.24411,146.790782,875,87.2,26.6
-19.243159,146.791226,875,86.7,20.9
-19.242368,146.791476,850,90.2,12.8
-19.241669,146.791526,825,92.3,5.0
-19.240831,146.791526,800,93.2,356.3
-19.239716,146.791322,800,94.2,350.8
-19.238663,146.791077,775,95.2,342.9
-19.236511,146.790243,725,96.2,339.3
-19.234863,146.789458,675,94.8,335.1
-19.23349,146.788673,625,93.2,330.4
-19.232592,146.78803,600,91.4,323.0
-19.23175,146.787251,575,90.5,315.9
-19.23111,146.786466,550,91.1,308.8
-19.230497,146.785484,525,89.6,303.2
-19.230031,146.784535,500,88.6,294.0
-19.229736,146.783622,475,88.9,287.0
-19.229612,146.782837,450,90.1,278.9
-19.229566,146.781938,425,90.0,270.0
-19.229612,146.781039,400,89.9,261.7
-19.229798,146.78039,375,89.8,253.2
-19.230031,146.779741,350,90.0,245.7
-19.230515,146.778864,325,89.9,237.7
-19.231102,146.778093,275,90.9,230.4
-19.232254,146.776902,225,90.5,225.0
-19.23315,146.776245,175,91.8,213.0
-19.233994,146.775774,150,93.5,206.0
-19.235092,146.775333,125,91.4,199.8
-19.238504,146.774048,25,88.0,201.3
-19.240738,146.773049,0,85.5,204.2
-19.243607,146.771703,-75,81.0,204.0
-19.246045,146.770552,-125,76.6,203.9
-19.248276,146.769496,-150,71.7,203.0
-19.250793,146.768319,-150,69.9,203.6
-19.251251,146.768123,-150,58.6,205.2
-19.252562,146.767456,-175,58.6,205.2
-19.252562,146.767456,31,47.9,203.0
-19.252749,146.769254,-175,0.0,0.0
-19.252441,146.769398,-175,12.5,28.6
-19.252167,146.771949,-175,7.3,164.1
