lat,lon,alt,gs,track
-27.386588,153.119835,-50.0,1.1,0.0
-27.386635,153.119677,-50.0,3.2,0.0
-27.386868,153.119334,-50.0,1.9,0.0
-27.386902,153.119344,-50.0,0.9,0.0
-27.387016,153.11937,-50.0,0.2,0.0
-27.387005,153.119396,-50.0,0.0,0.0
-27.386996,153.119387,-50.0,0.3,0.0
-27.387042,153.119413,-50.0,1.9,0.0
-27.387194,153.119505,-50.0,2.2,0.0
-27.387394,153.119564,-50.0,2.8,0.0
-27.387543,153.119603,-50.0,1.9,0.0
-27.3876,153.119824,-50.0,2.2,0.0
-27.387659,153.120007,-50.0,2.2,0.0
-27.387636,153.120205,-50.0,2.2,0.0
-27.387589,153.120407,-50.0,2.2,0.0
-27.387589,153.120614,-50.0,2.2,0.0
-27.387741,153.120707,-50.0,2.2,0.0
-27.387857,153.120799,-50.0,2.2,0.0
-27.387909,153.12086,-50.0,1.1,0.0
-27.387915,153.120879,-50.0,0.3,0.0
-27.38781,153.12076,-50.0,1.4,0.0
-27.387703,153.120562,-50.0,2.8,0.0
-27.387589,153.120303,-50.0,2.8,0.0
-27.387508,153.120057,-50.0,2.8,0.0
-27.387394,153.119772,-50.0,2.8,0.0
-27.387245,153.119577,-50.0,2.8,0.0
-27.387005,153.119435,-50.0,3.2,0.0
-27.386868,153.119331,-50.0,0.0,0.0
-27.386844,153.119281,-50.0,3.8,0.0
-27.387124,153.119175,-50.0,8.2,0.0
-27.387486,153.119292,-50.0,8.2,0.0
-27.387741,153.119453,-50.0,8.2,0.0
-27.388103,153.11959,-50.0,7.8,0.0
-27.388298,153.119422,-50.0,6.2,0.0
-27.388334,153.119202,-50.0,3.8,0.0
-27.386925,153.119085,-50.0,7.8,0.0
-27.386707,153.119474,-50.0,9.2,0.0
-27.386627,153.119642,-50.0,9.8,0.0
-27.3866,153.119637,-50.0,3.2,0.0
-27.386707,153.119862,-50.0,6.2,0.0
-27.386742,153.119914,-50.0,2.8,0.0
-27.386719,153.119927,-50.0,0.2,0.0
-27.386662,153.119798,-50.0,1.1,0.0
-27.386581,153.119836,-50.0,5.8,0.0
-27.386344,153.120047,-50.0,5.8,0.0
-27.386364,153.120199,-50.0,1.6,0.0
-27.386375,153.120212,-50.0,0.2,0.0
-27.386433,153.120277,-50.0,0.2,0.0
-27.386449,153.120284,-50.0,0.2,0.0
-27.386449,153.120284,-50.0,0.2,0.0
-27.386437,153.120284,-50.0,0.2,0.0
-27.386501,153.120355,-50.0,2.2,0.0
-27.386658,153.120509,-50.0,2.2,0.0
-27.386799,153.120692,-50.0,2.2,0.0
-27.386972,153.120813,-50.0,2.2,0.0
-27.387159,153.120879,-50.0,2.2,0.0
-27.387325,153.120912,-50.0,2.2,0.0
-27.38745,153.121011,-50.0,1.9,0.0
-27.387508,153.121132,-50.0,0.4,0.0
-27.387508,153.12113,-50.0,0.0,0.0
-27.387461,153.12105,-50.0,0.0,0.0
-27.387461,153.12105,-50.0,0.0,0.0
-27.387451,153.121015,-50.0,1.9,0.0
-27.387394,153.120912,-50.0,2.2,0.0
-27.387252,153.120733,-50.0,2.2,0.0
-27.387074,153.120588,-50.0,2.8,0.0
-27.386879,153.120469,-50.0,1.4,0.0
-27.386787,153.120445,-50.0,1.6,0.0
-27.386593,153.120394,-50.0,2.8,0.0
-27.386387,153.120238,-50.0,2.8,0.0
-27.386341,153.12007,-50.0,3.2,0.0
-27.386542,153.119968,-50.0,2.8,0.0
-27.386662,153.11994,-50.0,0.7,0.0
-27.386707,153.119862,-50.0,1.1,0.0
-27.38674,153.119928,-50.0,0.3,0.0
-27.38674,153.119928,-50.0,0.6,0.0
-27.386763,153.119968,-50.0,0.0,0.0
-27.386996,153.119862,-50.0,0.2,0.0
-27.387005,153.119862,-50.0,0.0,0.0
-27.387005,153.119875,-50.0,0.2,0.0
-27.386996,153.119862,-50.0,0.0,0.0
-27.387005,153.119862,-50.0,1.1,0.0
-27.387177,153.11994,-50.0,2.2,0.0
