lat,lon,alt,gs,track
-31.931969,115.961819,-50.0,8.8,0.0
-31.931797,115.961462,-50.0,7.2,0.0
-31.931671,115.960995,-50.0,4.8,0.0
-31.931681,115.96096,-50.0,7.2,0.0
-31.931798,115.961338,-50.0,8.2,0.0
-31.931926,115.961716,-50.0,7.8,0.0
-31.932089,115.961941,-50.0,8.2,0.0
-31.932827,115.962506,-50.0,3.2,0.0
-31.932827,115.962547,-50.0,3.2,0.0
-31.932758,115.962506,-50.0,3.8,0.0
-31.932793,115.962451,-50.0,4.2,0.0
-31.936375,115.961548,-50.0,0.0,0.0
-31.932564,115.962273,-50.0,9.8,0.0
-31.932798,115.962459,-50.0,3.2,0.0
-31.932787,115.962529,-50.0,2.8,0.0
-31.932752,115.962473,-50.0,7.2,0.0
-31.932775,115.962445,-50.0,8.2,0.0
