lat,lon,alt,gs,track
23.017847,72.630516,-50.0,176.8,144.0
23.000669,72.644602,2325,0.0,144.0
22.99769,72.649282,2450,184.0,132.8
22.996061,72.653859,2550,185.4,110.2
22.994659,72.65868,2600,185.4,110.2
22.992096,72.668019,2775,191.8,106.4
22.990311,72.67496,2875,191.9,105.4
22.989212,72.679105,2950,194.1,105.5
22.987588,72.685343,3050,194.1,105.5
22.986052,72.691345,3150,195.1,105.5
22.984516,72.697245,3250,196.3,105.7
22.983026,72.702942,3350,195.3,105.7
22.981955,72.70696,3450,194.4,105.8
22.980466,72.712606,3550,193.4,105.9
22.979395,72.716675,3650,192.4,106.0
22.978138,72.721405,3750,191.2,105.8
22.976898,72.726096,3850,190.2,105.9
22.97609,72.729136,3925,188.0,105.7
22.974976,72.733387,4025,187.1,105.8
22.973902,72.737885,4125,187.8,102.9
22.973483,72.740529,4175,188.4,97.0
22.973328,72.743275,4225,189.1,91.5
22.973436,72.745514,4275,189.3,87.0
22.973902,72.74999,4375,188.2,83.6
22.97438,72.754311,4425,189.4,83.0
22.975342,72.761952,4525,191.9,81.9
22.976183,72.768402,4625,192.8,82.2
22.977356,72.777283,4725,193.9,82.0
22.978138,72.783305,4825,194.9,82.0
22.97905,72.790117,4925,194.9,82.0
22.980057,72.797907,5025,195.7,82.4
22.980978,72.805481,5125,196.6,82.7
22.981723,72.811686,5225,195.5,82.9
22.982437,72.818182,5325,195.4,83.2
22.983119,72.824148,5425,194.3,83.5
22.983856,72.830966,5525,193.3,83.5
22.984543,72.837558,5625,192.2,83.7
22.985092,72.842901,5725,190.3,83.4
22.985726,72.848409,5825,189.4,83.0
22.986564,72.855225,5925,189.5,82.7
22.987448,72.862752,6025,190.5,82.8
22.98838,72.870534,6125,190.5,82.8
22.989212,72.877358,6225,191.5,82.8
22.990195,72.885844,6325,191.5,82.8
22.991126,72.893728,6425,192.5,82.8
22.992142,72.902027,6500,193.5,82.9
22.992849,72.908376,6600,193.5,82.9
22.99364,72.914988,6700,192.4,83.1
22.994156,72.919456,6800,190.4,83.1
22.994618,72.923635,6900,187.4,82.9
22.995209,72.928295,7000,184.4,82.8
22.996124,72.936085,7175,181.5,82.7
22.997177,72.945024,7300,180.9,84.3
22.997269,72.94817,7350,180.0,89.4
22.997131,72.951508,7375,179.4,93.8
22.996811,72.954063,7425,178.5,99.7
22.9962,72.956696,7450,177.8,104.7
22.995026,72.960804,7500,177.4,108.7
22.992783,72.967246,7575,179.2,111.3
22.989166,72.977384,7700,180.7,110.7
22.985633,72.987925,7800,184.4,109.3
22.982095,72.999217,7900,188.2,107.9
22.979255,73.008677,8025,189.1,107.9
22.976416,73.018188,8150,189.8,107.5
22.973669,73.027496,8275,189.8,107.5
22.970969,73.036702,8400,190.7,107.4
22.968246,73.046148,8525,190.7,107.4
22.965336,73.056081,8675,188.8,107.6
22.962822,73.064677,8825,186.6,107.5
22.960215,73.073527,8950,185.6,107.6
22.957469,73.082835,9075,184.7,107.7
22.955154,73.090793,9225,182.5,107.5
22.952499,73.099831,9350,181.2,107.3
22.949741,73.109283,9475,180.3,107.4
22.947088,73.118286,9600,179.3,107.5
22.944305,73.127747,9725,178.4,107.6
22.941874,73.136088,9850,177.1,107.4
22.939133,73.145475,9975,176.2,107.5
22.936066,73.155812,10100,175.2,107.6
22.93309,73.166049,10225,174.0,107.4
22.93005,73.176371,10325,174.0,107.4
22.926727,73.187622,10425,177.1,107.4
22.923111,73.200057,10525,179.3,107.5
22.919312,73.212991,10625,180.3,107.4
22.91492,73.227895,10700,184.7,107.7
22.911392,73.240007,10800,186.6,107.5
22.90803,73.251444,10900,186.6,107.5
22.903473,73.266923,10975,190.7,107.4
22.899536,73.280357,11075,192.9,107.5
22.894949,73.295949,11150,196.1,107.5
22.891434,73.307822,11250,196.1,107.5
22.88778,73.320109,11350,196.1,107.5
22.884201,73.332242,11450,196.1,107.5
22.879898,73.346824,11550,197.3,107.7
22.875444,73.361969,11650,198.3,107.6
22.870743,73.377785,11725,199.6,107.8
22.867111,73.390147,11825,199.2,107.5
22.862686,73.405101,11925,199.2,107.5
22.857056,73.424123,12050,200.5,107.7
22.851517,73.442854,12175,200.5,107.7
22.84584,73.461981,12300,201.5,107.6
22.840256,73.480857,12400,202.4,107.5
22.834396,73.500682,12525,203.7,107.7
22.82872,73.519809,12625,204.6,107.6
22.823026,73.539073,12725,205.6,107.6
22.817114,73.558858,12825,206.8,107.7
22.81176,73.576914,12950,207.8,107.7
22.805895,73.596598,13075,207.8,107.7
22.800076,73.616231,13200,208.7,107.6
22.794113,73.636314,13300,209.0,107.8
22.788251,73.655904,13425,210.0,107.7
22.782303,73.676014,13500,211.2,107.9
22.776398,73.69584,13600,211.9,107.6
22.770355,73.716064,13725,210.9,107.7
22.764496,73.73574,13800,213.2,107.8
22.758458,73.755951,13900,213.2,107.8
22.752453,73.776194,14000,214.1,107.7
22.74646,73.796215,14125,214.4,107.9
22.740396,73.81663,14225,215.4,107.8
22.734421,73.836564,14325,215.4,107.8
22.728333,73.856989,14425,215.4,107.8
22.722198,73.877563,14525,215.4,107.8
22.715973,73.898288,14625,215.4,107.8
22.709976,73.918313,14725,215.4,107.8
22.704132,73.937937,14825,215.4,107.8
22.698266,73.95752,14925,214.4,107.9
22.692123,73.977939,15025,214.4,107.9
22.686035,73.998263,15125,215.4,107.8
22.679855,74.018838,15200,215.4,107.8
22.673904,74.038713,15300,216.3,107.8
22.667816,74.058988,15375,216.3,107.8
22.661545,74.079712,15450,217.6,107.9
22.655457,74.100087,15550,217.6,107.9
22.649277,74.120511,15625,218.5,107.8
22.643051,74.141285,15700,218.5,107.8
22.636817,74.161936,15775,218.5,107.8
22.631184,74.180552,15825,219.5,107.8
22.6249,74.201355,15925,219.8,108.0
22.618698,74.221885,15975,219.8,108.0
22.612656,74.24206,16050,220.7,107.9
22.606384,74.262784,16100,220.7,107.9
22.600367,74.282735,16175,221.7,107.9
22.594666,74.301586,16225,222.6,107.8
22.588898,74.320562,16275,223.9,107.9
22.582535,74.341686,16350,223.9,107.9
22.576218,74.36256,16400,223.9,107.9
22.569782,74.383799,16475,225.2,108.1
22.563358,74.404907,16550,224.8,107.9
22.557404,74.424583,16600,225.2,108.1
22.551207,74.444987,16675,225.2,108.1
22.544737,74.466248,16825,221.0,108.2
22.538731,74.486135,16975,216.6,108.0
22.534542,74.499868,17000,216.6,108.0
22.531424,74.510139,17000,221.0,108.2
22.522705,74.538791,17000,225.2,108.1
22.518435,74.552867,17000,227.4,108.2
22.512039,74.573847,17000,229.3,108.0
22.506378,74.592336,17000,232.4,108.1
22.499814,74.613902,17000,234.6,108.1
22.493042,74.636219,17000,236.9,108.2
22.486176,74.658791,17000,238.8,108.1
22.479263,74.681413,17000,241.0,108.1
22.472534,74.70342,17000,241.9,108.1
22.465551,74.726257,17000,243.2,108.2
22.45922,74.747009,17000,244.1,108.1
22.452796,74.767965,17000,245.4,108.3
22.446325,74.789225,17000,246.3,108.2
22.439342,74.812063,17000,246.3,108.2
22.432546,74.834137,17000,248.2,108.1
22.42547,74.85733,17000,248.6,108.3
22.418289,74.880715,17000,248.6,108.3
22.412435,74.899851,17000,249.5,108.2
22.405655,74.921964,17000,250.5,108.2
22.399866,74.940796,17000,251.4,108.1
22.39389,74.960166,17000,251.4,108.1
22.388182,74.978739,17000,251.7,108.3
22.381571,75.000305,17000,252.7,108.2
22.374252,75.024037,17000,252.7,108.2
22.370041,75.03772,17000,252.7,108.2
22.366425,75.049408,17000,252.7,109.0
22.356903,75.080317,17000,251.7,108.3
22.351913,75.096596,17000,251.0,108.0
22.343674,75.123213,17000,250.8,108.4
22.339005,75.138394,17000,249.5,108.2
22.335068,75.151179,17000,249.5,108.2
22.330317,75.166524,17000,249.5,108.2
22.330317,75.166527,17000,249.5,108.0
22.305784,75.246025,17000,250.8,108.0
22.296241,75.276896,17000,252.0,108.0
22.291397,75.29245,17000,251.7,108.3
22.286093,75.309502,17000,251.7,109.0
22.257339,75.402216,17000,252.0,108.5
22.25318,75.415649,17000,252.0,108.0
22.244797,75.442566,17000,252.0,109.0
22.239029,75.461067,17000,0.0,109.0
22.232185,75.482994,17000,0.0,110.0
22.226692,75.500587,17000,251.0,109.0
22.220169,75.521667,17000,251.0,108.0
22.213394,75.543343,17000,251.0,108.0
22.207838,75.561066,17000,252.0,109.0
22.202271,75.579048,17000,251.0,109.0
22.194431,75.604042,17000,251.0,109.0
22.18782,75.625359,17000,251.0,109.0
22.181118,75.646767,17000,251.0,109.0
22.174553,75.667778,17000,252.0,109.0
22.166473,75.693604,17000,251.0,109.0
22.160934,75.711281,17000,251.0,108.0
22.154251,75.732704,17000,251.0,108.0
22.147568,75.754028,17000,251.0,108.0
22.141827,75.772346,17000,251.0,108.0
22.135216,75.793404,17000,251.0,108.0
22.128616,75.8144,17000,251.0,109.0
22.121857,75.835976,17000,251.0,109.0
22.116316,75.85363,17000,252.0,109.0
22.108356,75.878853,17000,252.0,109.0
22.102753,75.896698,17000,252.0,109.0
22.097231,75.914253,17000,252.0,109.0
22.090485,75.935753,17000,252.0,109.0
22.08371,75.957275,17000,252.0,108.0
22.077213,75.977936,17000,252.0,109.0
22.070137,76.00042,17000,253.0,109.0
22.0632,76.021782,17000,253.0,109.0
22.057205,76.039726,17000,252.0,110.0
22.04892,76.064743,17000,252.0,110.0
22.042923,76.08287,17000,252.0,110.0
22.037178,76.100311,17000,252.0,109.0
22.030056,76.121773,17000,253.0,110.0
22.022964,76.143341,17000,253.0,109.0
22.016144,76.16407,17000,254.0,109.0
22.008827,76.186119,17000,255.0,110.0
22.001705,76.20768,17000,255.0,110.0
21.99584,76.22538,17000,255.0,109.0
21.987413,76.250862,17000,255.0,110.0
21.9814,76.26889,17000,255.0,110.0
21.973122,76.293945,17000,255.0,110.0
21.967257,76.311646,17000,255.0,111.0
21.96125,76.329803,17000,255.0,110.0
21.952835,76.355034,17000,256.0,110.0
21.946838,76.373207,17000,256.0,109.0
21.938627,76.397858,17000,256.0,110.0
21.932528,76.416267,17000,256.0,110.0
21.925415,76.437675,17000,256.0,110.0
21.918144,76.459503,17000,257.0,110.0
21.91095,76.481071,17000,257.0,110.0
21.904922,76.499123,17000,257.0,110.0
21.89645,76.524605,17000,257.0,110.0
21.890491,76.542458,17000,257.0,110.0
21.883415,76.563774,17000,257.0,110.0
21.875977,76.585945,17000,257.0,110.0
21.868658,76.607971,17000,257.0,110.0
21.861328,76.629837,17000,257.0,110.0
21.855438,76.647491,17000,257.0,110.0
21.846954,76.672882,17000,257.0,110.0
21.839539,76.695007,17000,257.0,110.0
21.833698,76.712547,17000,257.0,109.0
21.826309,76.734612,17000,250.0,110.0
21.81908,76.756187,17000,250.0,110.0
21.811678,76.778259,17000,257.0,110.0
21.805801,76.79583,17000,257.0,110.0
21.797108,76.821693,17000,257.0,110.0
21.791199,76.839279,17000,257.0,110.0
21.78511,76.857452,17000,256.0,110.0
21.776764,76.882271,17000,256.0,110.0
21.770479,76.900482,17000,256.0,110.0
21.762131,76.925568,17000,257.0,110.0
21.756048,76.943764,17000,257.0,110.0
21.749039,76.964722,17000,257.0,110.0
21.742584,76.983948,17000,257.0,110.0
21.734215,77.00872,17000,257.0,110.0
