lat,lon,alt,gs,track
13.207123,77.693087,3275,178.0,270.3
13.207149,77.69006,3375,180.0,270.6
13.207196,77.68741,3500,181.0,270.6
13.207242,77.685386,3600,181.1,271.6
13.207352,77.683142,3700,181.5,274.1
13.207581,77.680964,3775,181.8,275.4
13.20808,77.678592,3875,182.2,278.8
13.209045,77.67566,4000,183.8,289.7
13.209663,77.674304,4075,183.5,294.5
13.211246,77.671557,4175,184.8,302.4
13.212753,77.669457,4275,187.4,307.9
13.214676,77.667231,4325,189.2,311.4
13.216278,77.665574,4375,193.1,314.4
13.218508,77.663365,4425,196.6,315.4
13.220352,77.661501,4475,200.8,315.8
13.223442,77.658354,4550,205.8,314.0
13.225956,77.655415,4625,210.6,310.6
13.228638,77.651841,4675,214.6,307.6
13.22982,77.650114,4725,217.6,306.0
13.230331,77.649378,4725,221.1,305.1
13.231496,77.647609,4775,222.4,304.2
13.233358,77.644621,4875,227.2,302.8
13.236099,77.640191,4950,231.7,301.8
13.237781,77.637297,5000,235.5,300.9
13.240128,77.633183,5100,240.1,300.0
13.241458,77.630744,5150,243.6,299.5
13.242371,77.629158,5200,243.1,299.3
13.243181,77.627612,5275,244.0,299.2
13.244158,77.625829,5350,243.5,299.0
13.245229,77.623901,5450,242.6,299.1
13.246307,77.621912,5550,242.6,299.1
13.247044,77.620577,5600,242.6,299.1
13.248069,77.618649,5650,244.0,299.2
13.249512,77.61604,5750,246.2,299.2
13.250815,77.613686,5825,247.6,299.3
13.251617,77.612252,5875,247.6,299.3
13.253036,77.609695,5975,246.7,299.4
13.254307,77.607326,6075,246.7,299.4
13.255377,77.605398,6175,246.7,299.4
13.256914,77.602651,6275,248.1,299.5
13.258543,77.599664,6375,249.4,299.5
13.260545,77.596291,6475,250.4,301.3
13.262421,77.593452,6575,251.3,305.0
13.264709,77.590564,6675,251.7,310.6
13.266998,77.588338,6775,251.0,315.2
13.268831,77.586895,6825,250.6,320.0
13.270646,77.585642,6900,250.1,324.3
13.272537,77.584502,7000,249.2,328.3
13.275558,77.582939,7100,249.1,333.0
13.278979,77.581498,7225,248.8,337.6
13.283681,77.57986,7400,248.9,341.5
13.289337,77.578015,7575,249.8,342.3
13.294739,77.576168,7775,251.4,341.2
13.30058,77.574126,7975,252.4,340.6
13.306,77.572143,8175,253.1,340.1
13.311447,77.570106,8350,254.3,340.0
13.317106,77.568006,8550,254.7,339.8
13.32225,77.566034,8700,257.8,339.8
13.327021,77.564248,8825,261.0,339.8
13.332916,77.562056,8900,265.1,339.9
13.33717,77.560489,8975,269.2,340.0
13.340973,77.559073,9025,272.7,339.8
13.345184,77.55751,9100,276.8,339.9
13.349599,77.555863,9175,280.9,340.0
13.355418,77.553695,9250,285.0,340.1
13.359192,77.552348,9325,288.2,340.1
13.367429,77.54931,9525,290.1,340.2
13.375901,77.546178,9725,294.5,340.1
13.383545,77.543398,9925,296.7,340.1
13.391915,77.540299,10125,299.9,340.1
13.396271,77.53871,10225,300.8,340.2
13.400345,77.537195,10275,303.0,340.1
13.404373,77.535679,10325,306.5,340.0
13.416229,77.531228,10475,315.4,339.8
13.428272,77.526711,10625,324.0,339.8
13.437024,77.523434,10725,329.4,339.8
13.447723,77.519389,10925,333.8,339.7
13.456623,77.516014,11125,335.1,339.6
13.465118,77.512807,11325,337.0,339.7
13.474731,77.50922,11525,338.8,339.8
13.48558,77.505135,11725,342.0,339.8
13.495633,77.501317,11925,344.2,339.8
13.513184,77.494764,12275,348.0,340.0
13.529151,77.488837,12675,348.9,340.1
13.543629,77.483537,13050,347.6,340.2
13.555779,77.479055,13400,346.7,340.1
13.570267,77.473692,13800,344.8,340.0
13.5867,77.467536,14200,346.1,339.9
13.604892,77.460697,14550,349.6,339.8
13.622498,77.454087,14850,352.8,339.8
13.642822,77.446463,15175,356.9,339.8
13.66127,77.439549,15525,358.7,340.0
13.679468,77.432749,15875,359.7,340.0
13.698807,77.425579,16225,361.6,340.1
13.718944,77.4181,16550,363.8,340.1
13.737396,77.411231,16925,364.1,339.9
13.757676,77.403693,17275,366.0,340.0
13.777542,77.396267,17625,367.3,339.9
13.797944,77.388659,17975,368.2,340.0
13.81842,77.381018,18300,370.8,339.8
13.83847,77.373489,18650,370.5,340.0
13.858063,77.366149,19000,370.8,339.8
13.878293,77.358543,19325,371.7,339.9
13.898941,77.350806,19650,372.7,339.9
13.918991,77.343324,19975,374.6,340.0
13.943802,77.33409,20275,378.1,339.9
13.967487,77.325247,20575,381.2,339.9
13.993057,77.315716,20875,385.3,340.0
14.016998,77.306813,21175,387.5,339.9
14.040201,77.29807,21475,388.5,340.0
14.063664,77.2893,21775,390.7,339.9
14.08699,77.280531,22100,392.0,339.9
14.111298,77.271439,22425,392.9,339.9
14.135168,77.262461,22725,394.2,339.8
14.159003,77.253498,23025,397.4,339.8
14.183722,77.244295,23325,399.8,340.1
14.193329,77.240706,23425,400.5,339.9
14.221802,77.229984,23675,405.9,339.8
14.247894,77.220154,23950,407.8,339.9
14.277106,77.209216,24200,408.7,340.0
14.305456,77.198567,24475,409.1,339.8
14.334365,77.187725,24750,410.0,339.9
14.364252,77.176546,25025,410.0,339.9
14.392868,77.16579,25275,411.3,339.8
14.420906,77.155248,25550,412.2,339.9
14.449722,77.144386,25825,413.2,339.9
14.478607,77.133542,26100,414.5,339.8
14.506841,77.122915,26400,416.3,339.9
14.537333,77.111399,26675,415.7,339.7
14.567047,77.100157,26925,415.4,339.9
14.596454,77.089137,27175,416.3,339.9
14.625183,77.078515,27450,415.9,340.5
14.654551,77.067839,27700,416.9,340.5
14.683972,77.05719,27950,417.8,340.6
14.713257,77.046598,28200,417.8,340.6
14.74324,77.035707,28450,417.8,340.6
14.773361,77.02472,28725,418.1,340.4
14.803286,77.013823,28975,417.2,340.4
14.832102,77.003272,29225,416.3,340.4
14.867203,76.990405,29375,424.8,340.3
14.904351,76.976738,29475,434.3,340.4
14.941779,76.962956,29675,439.7,340.3
14.977205,76.949959,29900,443.8,340.4
14.988281,76.945881,29975,446.0,340.4
14.995686,76.94319,30000,446.9,340.4
15.033999,76.929163,30000,445.6,340.5
15.072544,76.915087,29975,444.7,340.4
15.111043,76.900962,29975,443.8,340.4
15.149277,76.88695,29975,442.8,340.3
15.187807,76.872809,29975,442.8,340.3
15.225861,76.858858,29975,441.5,340.4
15.263809,76.844884,29975,440.6,340.4
15.295389,76.833278,29975,439.3,340.5
15.333023,76.81949,29975,438.7,340.3
15.371037,76.805518,29975,438.7,340.3
15.408646,76.791687,29975,438.7,340.3
15.446228,76.777858,30000,438.4,340.4
15.482902,76.764417,30000,438.4,340.4
15.511252,76.75402,29975,438.4,340.4
15.526199,76.748513,30000,438.4,340.4
15.555771,76.737623,30000,438.4,340.4
15.580894,76.728368,29975,439.7,340.3
15.618555,76.714488,30000,439.7,340.3
15.652771,76.701773,30000,440.2,339.4
15.662521,76.697436,30000,441.2,336.6
15.668564,76.694304,29975,441.9,332.8
15.678543,76.688377,30000,442.4,332.1
15.70207,76.670151,29975,444.4,320.1
15.707982,76.664412,29975,445.7,316.6
15.722692,76.647344,30000,447.0,310.3
15.729349,76.638565,29975,447.5,307.9
15.754162,76.606047,29975,447.9,308.2
15.775576,76.577846,29975,446.7,308.0
15.800807,76.544397,30000,446.9,307.8
15.825485,76.511584,30000,446.9,307.8
15.84978,76.479263,29975,446.9,307.8
15.873801,76.447285,29975,446.2,307.7
15.898544,76.414297,29975,446.9,307.8
15.923309,76.381338,29975,446.9,307.8
15.94861,76.347673,29975,446.1,307.9
15.974028,76.313929,30000,446.1,307.9
15.999023,76.280678,29975,446.1,307.9
16.023788,76.247719,29975,446.2,307.7
16.048096,76.215194,30000,446.2,307.7
16.072128,76.182958,29975,446.4,307.5
16.097438,76.149036,29975,447.0,307.6
16.122064,76.116126,29975,446.9,307.8
16.143265,76.087839,30000,446.9,307.8
16.168671,76.053917,29975,446.9,307.8
16.173504,76.04751,29975,446.2,307.7
16.193024,76.021343,29975,446.2,307.7
16.217636,75.98841,29975,447.0,307.6
16.243007,75.95447,29975,446.2,307.7
16.25809,75.934263,29975,447.0,307.6
16.282669,75.901255,30000,447.0,307.6
16.307528,75.867953,30000,447.0,307.6
16.314744,75.858241,30000,447.0,307.6
16.334575,75.831658,29975,447.0,307.6
16.356171,75.802677,29975,447.7,307.7
16.381073,75.769284,29975,448.4,307.7
16.417145,75.720906,29975,448.4,307.7
16.562728,75.525022,29975,447.8,307.6
16.566405,75.520069,29975,447.8,307.6
16.600621,75.473965,29975,447.8,307.6
16.625565,75.440513,30000,448.1,308.0
16.648616,75.410156,30000,448.5,308.3
16.674179,75.376619,30000,448.5,308.3
16.699219,75.343708,30000,449.3,308.2
16.724899,75.309882,30000,449.3,308.2
16.750626,75.275815,29975,449.5,308.0
16.775471,75.242909,29975,449.5,308.0
16.785828,75.229653,29975,448.6,309.9
16.791687,75.223196,29975,448.3,314.8
16.797816,75.217405,29975,447.4,319.3
16.806244,75.210812,29975,445.8,322.6
16.812527,75.206664,29975,445.6,328.0
16.822443,75.200926,29975,445.3,331.4
16.852066,75.18484,30000,443.7,332.6
16.887955,75.165614,29975,443.7,332.6
16.92421,75.146243,29975,443.2,332.7
