lat,lon,alt,gs,track
28.443557,76.901658,12000,274.3,65.2
28.454078,76.927508,12000,276.1,65.4
28.458527,76.938524,11975,275.2,65.3
28.459711,76.941457,11950,274.8,65.5
28.460999,76.944651,11900,273.9,65.4
28.462131,76.947488,11850,273.9,65.4
28.462876,76.949427,11800,273.9,65.9
28.465073,76.955373,11650,276.0,69.2
28.466414,76.960521,11525,276.6,74.1
28.466926,76.963591,11475,277.2,80.0
28.467345,76.968007,11425,276.8,85.7
28.467407,76.972909,11350,276.0,90.6
28.467133,76.977187,11275,275.1,95.2
28.466446,76.981624,11200,274.9,99.6
28.465343,76.987071,11100,275.0,103.9
28.463013,76.997417,10925,274.1,103.9
28.460921,77.007321,10750,273.4,103.3
28.458733,77.017822,10550,273.1,103.1
28.45665,77.027946,10375,273.4,103.3
28.454498,77.038298,10200,273.4,103.3
28.452216,77.048896,10000,272.9,103.8
28.449966,77.059373,9825,273.1,104.0
28.447357,77.071205,9675,272.1,104.0
28.445023,77.081821,9500,272.1,104.0
28.442322,77.094128,9350,271.9,103.8
28.439693,77.106198,9175,270.9,103.9
28.437012,77.118583,9025,269.7,103.7
28.435867,77.123812,8925,268.7,103.8
28.433781,77.133502,8750,268.7,103.8
28.433222,77.136302,8725,268.7,103.8
28.431839,77.142669,8650,264.6,103.8
28.431034,77.146212,8625,261.7,103.9
28.428893,77.155959,8425,258.5,103.9
28.426849,77.165328,8250,257.6,103.9
28.424703,77.175185,8050,257.6,103.9
28.422546,77.185029,7875,258.5,103.9
28.42186,77.188146,7800,258.5,103.9
28.421173,77.191315,7700,258.5,103.9
28.419754,77.197759,7500,260.5,103.8
28.418381,77.204097,7300,262.4,103.7
28.416696,77.211914,7100,262.4,103.7
28.415771,77.216192,7000,262.7,103.9
28.414948,77.220048,6900,262.7,103.9
28.414043,77.224193,6800,261.7,103.9
28.413158,77.228286,6700,261.7,103.9
28.412274,77.232163,6600,261.7,103.9
28.411389,77.236418,6500,260.7,104.0
28.410458,77.240565,6400,260.7,104.0
28.409592,77.244556,6300,260.5,103.8
28.408722,77.248465,6200,260.5,103.8
28.407715,77.253271,6100,259.3,103.6
28.406891,77.257074,6000,259.3,103.6
28.406067,77.260983,5900,259.0,103.4
28.405105,77.265661,5800,259.0,103.4
28.40422,77.269915,5700,258.8,103.2
28.403336,77.274062,5600,258.8,103.2
28.402496,77.278096,5500,259.8,103.1
28.40181,77.281477,5400,259.8,103.1
28.401031,77.285438,5300,259.8,103.1
28.400116,77.289875,5200,260.5,102.9
28.399286,77.293988,5100,260.5,102.9
28.398215,77.299212,5000,259.6,102.9
28.397191,77.304113,4900,258.6,103.0
28.396225,77.308837,4800,257.6,103.0
28.395401,77.312904,4700,257.8,103.2
28.394398,77.317738,4600,257.8,103.2
28.393478,77.3222,4500,256.9,103.3
28.392536,77.326624,4400,257.1,103.5
28.391556,77.331232,4300,258.1,103.4
28.390674,77.335456,4200,259.8,103.1
28.389603,77.340788,4100,262.0,103.2
28.388306,77.346972,4000,262.0,103.2
28.386703,77.354631,3900,262.2,103.4
28.38532,77.362114,3800,261.1,100.2
28.384872,77.366198,3775,259.4,96.0
28.384715,77.370354,3750,257.1,91.6
28.384808,77.374393,3725,254.3,87.3
28.385227,77.378702,3675,251.9,82.9
28.38588,77.382466,3650,248.3,78.2
28.386763,77.386026,3625,244.0,73.6
28.388067,77.390011,3600,239.6,69.2
28.389231,77.392865,3575,236.2,64.4
28.391139,77.396635,3525,233.1,59.6
28.392654,77.399157,3500,229.5,54.6
28.395003,77.40229,3450,225.6,49.7
28.397095,77.40465,3400,222.0,44.6
28.398972,77.406499,3375,218.8,39.4
28.401764,77.408717,3350,213.8,34.1
28.40436,77.410368,3300,209.3,27.3
28.407479,77.411984,3275,206.5,23.1
28.411203,77.413599,3225,201.8,19.7
28.414788,77.414838,3200,198.5,15.8
28.417255,77.41543,3175,195.7,11.2
28.419983,77.415795,3125,191.8,5.4
28.422562,77.415861,3100,189.0,359.7
28.425169,77.415592,3050,186.2,353.5
28.427536,77.415108,3025,183.4,347.4
28.43001,77.414246,3000,181.8,341.1
28.431931,77.413312,2975,180.5,336.8
28.434082,77.411992,2950,177.9,330.0
28.435867,77.410513,2950,176.6,323.5
28.437878,77.408645,2950,175.1,318.9
28.440994,77.405231,2950,173.2,315.2
28.452118,77.392766,2950,172.5,315.5
28.463379,77.380248,2975,172.5,315.0
28.474607,77.367715,2975,173.3,315.7
28.478485,77.363346,2975,173.2,315.2
28.480054,77.361253,2975,171.8,309.8
28.481218,77.359314,2975,171.7,302.4
28.482288,77.356944,2975,174.4,295.8
28.483337,77.353997,2975,175.1,291.4
28.485123,77.348187,2975,176.1,288.5
28.489644,77.333571,2975,176.2,287.5
28.491925,77.324847,2975,176.4,285.5
28.49382,77.316337,2975,175.8,283.5
28.497325,77.298943,2950,171.3,282.8
28.499542,77.288079,3000,167.4,283.1
28.500677,77.282787,2975,162.5,283.5
28.503423,77.269915,2950,158.4,283.5
28.506866,77.253747,2975,160.6,283.7
28.510345,77.237426,2950,159.6,283.8
28.513229,77.223957,3000,155.7,284.1
28.515198,77.214872,2975,151.3,283.8
28.516296,77.209907,2925,150.4,283.9
28.517622,77.203782,2825,151.3,283.8
28.518951,77.1976,2725,151.1,283.4
28.520322,77.191072,2650,151.3,283.8
28.521765,77.184448,2575,151.1,283.4
28.52298,77.178638,2475,151.1,283.4
28.524279,77.172708,2375,148.4,284.0
28.525543,77.166648,2275,146.0,283.5
28.526871,77.160521,2175,150.1,283.5
28.528061,77.15487,2075,154.3,283.5
28.52948,77.148003,1975,158.2,283.2
28.531029,77.14088,1875,161.0,284.4
28.532332,77.135064,1775,163.7,283.8
28.533729,77.128601,1675,165.7,283.6
28.535065,77.122175,1575,167.4,283.1
28.536149,77.117022,1475,170.5,283.2
28.537491,77.110449,1375,171.5,283.1
28.538727,77.104692,1275,171.7,283.5
28.54006,77.09855,1175,170.0,284.0
28.541382,77.092543,1075,168.3,284.5
28.542526,77.087473,1050,165.4,284.7
28.542806,77.086271,1075,159.8,284.1
28.542984,77.085518,1050,150.9,283.0
28.543167,77.084462,1075,146.3,282.2
28.543396,77.0833,1050,142.0,281.8
28.543671,77.081874,1050,129.1,282.5
28.544249,77.079055,1050,124.2,283.0
28.544769,77.076671,-50.0,79.0,284.1
28.544804,77.07646,-50.0,73.0,284.1
28.54489,77.076106,-50.0,66.5,284.1
28.545018,77.07546,-50.0,58.5,284.1
28.545341,77.07407,-50.0,37.5,286.9
28.545444,77.073727,-50.0,33.5,289.7
28.545553,77.073427,-50.0,28.5,292.5
28.545708,77.073106,-50.0,26.5,300.9
28.545867,77.072794,-50.0,24.5,303.8
28.546007,77.072592,-50.0,22.5,306.6
28.546234,77.072248,-50.0,22.5,309.4
28.546414,77.072027,-50.0,19.5,312.2
28.546682,77.07169,-50.0,15.5,315.0
28.546961,77.071367,-50.0,14.2,312.2
28.547241,77.07102,-50.0,10.8,312.2
28.547485,77.070734,-50.0,9.8,312.2
28.547653,77.070531,-50.0,8.2,312.2
28.547857,77.070263,-50.0,6.8,306.6
28.547974,77.069953,-50.0,7.8,289.7
28.548032,77.069765,-50.0,7.2,286.9
28.548067,77.069536,-50.0,5.2,284.1
28.548122,77.069356,-50.0,6.2,284.1
28.548203,77.069131,-50.0,7.8,295.3
28.548253,77.069065,-50.0,7.8,303.8
28.548363,77.068986,-50.0,8.2,326.2
28.548477,77.068947,-50.0,8.2,343.1
28.548544,77.068944,-50.0,8.8,354.4
28.549015,77.069039,-50.0,10.2,11.2
28.549161,77.069078,-50.0,10.8,11.2
28.549568,77.069186,-50.0,11.2,14.1
28.549964,77.069294,-50.0,10.2,14.1
28.550182,77.069356,-50.0,11.2,14.1
28.550571,77.069462,-50.0,12.2,14.1
28.550766,77.069514,-50.0,11.2,14.1
28.551155,77.06962,-50.0,10.2,14.1
28.551487,77.069712,-50.0,8.8,14.1
28.552048,77.07032,-50.0,9.8,84.4
28.551872,77.071219,-50.0,11.2,104.1
28.551663,77.072121,-50.0,11.8,104.1
28.551488,77.072875,-50.0,12.8,104.1
28.551314,77.073669,-50.0,13.2,104.1
28.551197,77.074154,-50.0,12.8,104.1
28.551151,77.074396,-50.0,12.2,104.1
28.551075,77.074677,-50.0,11.2,104.1
28.550983,77.0751,-50.0,10.8,104.1
28.550872,77.075568,-50.0,7.8,104.1
28.55079,77.075904,-50.0,7.8,104.1
28.55072,77.076209,-50.0,8.2,104.1
28.550686,77.076381,-50.0,7.8,104.1
28.550594,77.076777,-50.0,7.8,104.1
28.550592,77.076806,-50.0,7.8,104.1
28.550278,77.078126,-50.0,7.8,104.1
28.550197,77.078476,-50.0,6.8,104.1
28.550068,77.079041,-50.0,5.8,104.1
28.55001,77.079297,-50.0,4.2,104.1
28.54994,77.079607,-50.0,3.8,104.1
28.549894,77.079782,-50.0,2.8,104.1
28.549882,77.079836,-50.0,0.0,104.1
28.549885,77.079827,-50.0,0.0,104.1
28.550895,77.083915,-50.0,4.8,59.1
28.551407,77.083789,-50.0,5.2,329.1
28.551244,77.083902,-50.0,2.8,331.9
28.551224,77.083907,-50.0,2.2,331.9
28.551104,77.084319,-50.0,2.8,59.1
28.551224,77.084541,-50.0,2.8,59.1
28.551247,77.084607,-50.0,2.8,59.1
28.551279,77.084642,-50.0,2.8,59.1
28.551302,77.084696,-50.0,2.8,59.1
28.551302,77.084694,-50.0,3.0,59.1
28.551535,77.085194,-50.0,4.2,67.5
28.551533,77.085202,-50.0,4.8,70.3
28.551477,77.085787,-50.0,5.2,104.1
28.551201,77.086839,-50.0,7.2,115.3
28.551144,77.086918,-50.0,7.8,123.8
28.548397,77.09018,-50.0,12.2,104.1
28.54834,77.090444,-50.0,13.2,104.1
28.548323,77.090499,-50.0,13.2,104.1
28.548237,77.090919,-50.0,14.8,104.1
28.548137,77.091307,-50.0,15.5,104.1
28.548042,77.091751,-50.0,14.2,104.1
28.547928,77.0922,-50.0,9.8,104.1
28.547822,77.092694,-50.0,10.2,104.1
28.547706,77.093165,-50.0,11.8,104.1
28.54759,77.093663,-50.0,13.8,104.1
28.547493,77.094115,-50.0,15.5,104.1
28.54739,77.09455,-50.0,15.5,104.1
28.547298,77.09496,-50.0,15.5,104.1
28.547081,77.095871,-50.0,16.5,104.1
28.546973,77.096356,-50.0,16.5,104.1
28.546868,77.096827,-50.0,17.5,104.1
28.546775,77.097231,-50.0,17.5,104.1
28.546659,77.097715,-50.0,17.5,104.1
28.546554,77.09816,-50.0,18.5,104.1
28.546452,77.098644,-50.0,18.5,104.1
28.546344,77.099062,-50.0,18.5,104.1
28.546257,77.099476,-50.0,18.5,104.1
28.546143,77.099964,-50.0,18.5,104.1
28.546042,77.100408,-50.0,18.5,104.1
