lat,lon,alt,gs,track
35.57579,139.780712,1375,159.4,341.3
35.577455,139.78028,1450,158.7,349.5
35.579132,139.78014,1550,158.7,354.6
35.580946,139.780163,1650,158.0,0.4
35.582575,139.780455,1750,157.7,8.4
35.584305,139.781055,1850,157.9,14.3
35.585741,139.781741,1950,157.9,20.4
35.586905,139.782501,2025,158.3,26.2
35.588104,139.783401,2125,159.0,31.9
35.589232,139.784429,2200,158.6,36.8
35.590073,139.78529,2300,159.0,39.9
35.591094,139.786416,2400,159.4,41.7
35.592133,139.787579,2500,159.3,42.2
35.593189,139.788753,2600,158.7,41.4
35.594307,139.789922,2700,158.8,40.9
35.595245,139.790897,2800,158.3,40.1
35.596619,139.792271,2900,158.4,39.6
35.597472,139.793136,3000,157.9,38.8
35.598636,139.794247,3100,158.7,38.6
35.599986,139.795591,3200,157.9,38.8
35.60083,139.796448,3300,158.5,39.1
35.601974,139.797535,3400,158.4,39.6
35.603151,139.798746,3500,159.0,39.9
35.604641,139.800324,3600,161.1,40.2
35.606323,139.802113,3675,166.0,40.6
35.608109,139.804001,3775,169.4,40.9
35.609902,139.805817,3875,173.0,40.8
35.611624,139.807687,3950,177.2,40.9
35.613533,139.809674,4050,181.5,41.0
35.615115,139.811369,4100,185.0,40.8
35.615433,139.811668,4125,186.5,40.9
35.617769,139.814174,4225,190.7,41.0
35.619736,139.816303,4300,194.9,41.0
35.621074,139.81768,4375,197.7,41.1
35.622391,139.819107,4425,201.3,41.0
35.624817,139.821739,4525,206.2,41.3
35.62706,139.824085,4625,209.8,41.1
35.629081,139.826271,4700,214.8,41.0
35.631036,139.828374,4800,219.0,41.1
35.633606,139.831123,4900,223.3,40.8
35.635986,139.833641,5000,227.7,40.5
35.638504,139.836102,5100,231.9,38.7
35.641464,139.838659,5200,235.9,35.5
35.644363,139.840908,5300,240.6,31.6
35.647202,139.842739,5375,244.7,28.0
35.649902,139.844284,5475,248.4,24.5
35.653152,139.845829,5575,252.0,21.2
35.655396,139.846802,5650,253.6,18.9
35.656769,139.84726,5725,254.9,17.6
35.657181,139.847431,5725,255.6,16.6
35.659387,139.848126,5825,256.2,15.4
35.661392,139.84869,5925,257.8,13.2
35.662994,139.849091,6025,258.1,11.4
35.664787,139.849529,6125,258.3,10.5
35.666565,139.849892,6225,258.9,10.0
35.668325,139.85023,6325,259.6,9.5
35.668945,139.850349,6350,259.6,9.5
35.670593,139.850693,6450,260.6,9.5
35.671909,139.85099,6550,260.7,9.7
