lat,lon,alt,gs,track
35.262085,135.273399,39000,570.7,106.9
35.246841,135.334674,39000,570.7,106.9
35.231572,135.395625,38975,571.0,107.0
35.216256,135.456619,38975,571.0,107.0
35.200928,135.517871,39000,571.0,107.0
35.18541,135.579305,38975,569.4,107.2
35.169983,135.64024,39000,568.1,107.1
35.154481,135.701351,38975,567.1,107.1
35.139305,135.761261,39000,567.1,107.1
35.124207,135.820724,39000,566.5,107.2
35.108688,135.881597,39000,565.2,107.2
35.093353,135.941629,39000,563.6,107.3
35.077856,136.001873,38975,563.3,107.2
35.062546,136.061526,39000,563.6,107.3
35.047364,136.120605,39000,564.6,107.3
35.031909,136.180687,39000,564.9,107.4
35.016495,136.24039,38975,565.2,107.5
35.001114,136.29975,38975,563.9,107.4
34.985458,136.360231,39000,563.0,107.5
34.969855,136.420155,39000,561.4,107.6
34.954586,136.478405,38975,559.2,107.6
34.938995,136.537974,39000,559.2,107.6
34.923535,136.596909,39000,558.5,107.7
34.908051,136.655741,38975,557.2,107.7
34.892715,136.714204,39000,557.5,107.8
34.87703,136.773548,39000,557.5,107.8
34.861435,136.832542,39000,556.9,107.9
34.847488,136.885893,38975,556.8,106.8
34.841091,136.913967,38975,558.4,104.7
34.834625,136.945925,39000,559.4,103.0
34.829041,136.977875,38975,559.7,101.2
34.824188,137.010666,39000,560.4,99.3
34.819957,137.045918,39000,560.9,97.6
34.813202,137.107357,38975,561.0,97.7
34.806317,137.16877,39000,560.2,97.8
34.799427,137.229767,38975,559.2,97.8
34.792584,137.290649,39000,559.2,97.8
34.78569,137.351803,38975,558.1,97.7
34.778824,137.412564,38975,557.3,97.9
34.771729,137.47439,39000,556.2,97.8
34.766049,137.523537,38950,555.4,98.0
34.764954,137.533077,38900,555.4,98.0
34.76037,137.572861,38575,555.4,98.0
34.760044,137.575951,38550,555.4,98.0
34.759827,137.577471,38525,555.4,98.0
34.755798,137.612112,38125,556.6,98.2
34.753806,137.629108,37875,558.5,98.0
34.750314,137.659607,37475,561.0,97.7
34.748978,137.671752,37325,561.8,97.5
34.748795,137.673601,37300,561.8,97.5
34.74794,137.681408,37225,561.6,97.4
34.747787,137.683018,37200,561.6,97.4
34.747055,137.689857,37100,561.6,97.4
34.746872,137.691706,37075,561.6,97.4
34.744537,137.713567,36675,561.3,97.1
34.742494,137.734566,36300,561.9,96.8
34.741889,137.740803,36150,562.9,96.7
34.741749,137.742062,36125,562.9,96.7
34.739822,137.761828,35750,564.0,96.8
34.7379,137.781335,35350,564.9,96.7
34.73584,137.802747,34950,564.8,96.6
34.734487,137.816906,34700,564.5,96.4
34.734347,137.818794,34675,564.5,96.4
34.731647,137.850609,34275,556.8,95.8
34.729366,137.87653,33875,551.4,96.3
34.728516,137.885425,33725,550.6,96.6
34.728388,137.886944,33675,550.6,96.6
34.726822,137.903193,33325,549.7,96.7
34.726639,137.904987,33275,549.7,96.7
34.724762,137.923933,32875,547.8,96.7
34.722988,137.942562,32475,547.5,96.5
34.722519,137.947755,32350,547.3,96.3
34.722382,137.949549,32325,547.3,96.3
34.720963,137.966645,32025,546.5,95.5
34.720847,137.968197,32000,546.5,95.5
34.718659,138.000298,31600,540.6,94.3
34.717216,138.026161,31200,536.0,93.4
34.716156,138.051565,30800,533.5,92.6
34.715469,138.076676,30400,531.2,91.7
34.715028,138.100777,30000,530.1,91.1
34.714888,138.119774,29725,531.0,90.1
34.715028,138.149471,29325,529.0,89.6
34.715103,138.176506,28925,529.0,89.9
34.715149,138.203187,28525,529.0,89.8
34.715286,138.233344,28125,527.0,89.8
34.715354,138.264885,27725,525.0,89.9
34.715424,138.297468,27350,523.0,89.9
34.715447,138.331718,27000,522.0,89.9
34.715469,138.366469,26650,520.0,90.0
34.715493,138.399925,26300,518.0,90.0
34.715515,138.433844,25950,517.0,90.0
34.71554,138.467674,25600,515.0,89.9
34.71554,138.501091,25250,512.0,90.0
34.715607,138.534571,24900,509.0,89.6
34.715836,138.566913,24550,502.0,89.7
34.715959,138.591728,24300,496.0,89.8
34.715927,138.593146,24275,495.0,89.8
34.716005,138.604488,24150,492.0,89.8
34.715973,138.605814,24150,491.0,89.8
34.716052,138.618164,24025,489.0,89.8
34.716052,138.619823,24000,488.0,89.8
34.716064,138.645667,23725,484.0,90.1
34.715881,138.67801,23375,478.0,90.4
34.715698,138.709455,23025,475.0,90.4
34.715561,138.741349,22675,472.0,90.2
34.715424,138.774645,22325,470.0,90.2
34.715332,138.806202,21975,468.0,90.2
34.715261,138.837376,21625,467.0,90.2
34.715149,138.868533,21275,466.0,90.2
34.715103,138.899306,20900,464.0,90.0
34.715057,138.929462,20550,463.0,90.1
34.714981,138.960285,20200,461.0,90.1
34.71492,138.991568,19850,459.0,90.1
34.714795,139.022141,19500,457.0,90.4
34.714645,139.052554,19150,456.0,90.4
34.714469,139.081879,18800,454.0,90.2
34.714283,139.112377,18450,452.0,90.6
34.713959,139.144929,18100,449.0,90.8
34.713678,139.176235,17750,446.0,90.5
34.713501,139.206923,17400,444.0,90.4
34.713399,139.238491,17050,442.0,90.1
34.713364,139.252045,16950,439.0,90.4
34.713166,139.281635,16750,434.0,90.5
34.713119,139.291363,16725,431.0,90.5
34.71286,139.322111,16625,421.0,90.5
34.712631,139.351427,16575,411.0,90.4
34.712654,139.375362,16525,402.1,88.7
34.713226,139.385395,16500,397.6,84.8
34.714371,139.395484,16500,392.3,81.5
34.716156,139.406527,16475,385.2,78.2
34.71838,139.417076,16450,378.9,75.0
34.721146,139.427658,16450,371.6,71.8
34.724338,139.43779,16400,364.0,68.2
34.727097,139.445371,16375,360.1,66.4
34.730949,139.454842,16250,353.8,62.9
34.734626,139.462738,16100,350.6,60.4
34.735016,139.463588,16100,350.3,60.2
34.741745,139.477882,15875,347.4,60.7
34.742121,139.47876,15875,347.4,60.7
34.753154,139.503021,15575,340.1,61.2
34.763672,139.526031,15275,333.9,61.0
34.773125,139.546795,14950,331.2,61.1
34.782669,139.567958,14625,326.3,61.2
34.79187,139.588025,14300,323.2,60.7
34.798403,139.60207,14075,322.4,60.7
34.798782,139.602879,14050,321.0,60.7
34.807892,139.622834,13850,313.7,61.2
34.819398,139.648075,13600,309.7,61.0
34.830571,139.672623,13350,306.6,60.9
34.842224,139.698225,13125,302.1,61.3
34.845607,139.705753,13100,298.5,61.4
34.853428,139.723091,13100,289.1,61.5
34.860457,139.738712,13100,279.3,61.3
34.867067,139.753475,13100,276.4,62.4
34.869141,139.759042,13100,277.6,66.2
34.871024,139.765377,13100,279.6,70.8
34.872482,139.771598,13100,280.9,74.7
34.873631,139.778252,13100,281.8,78.3
34.874359,139.784434,13100,283.3,82.7
34.874863,139.792057,13100,284.5,86.8
34.874908,139.799736,13100,285.0,90.4
34.874542,139.806799,13100,286.0,94.8
34.873718,139.814142,13100,287.1,98.4
34.872607,139.820595,13100,287.3,102.1
34.871109,139.827314,13100,287.9,106.6
34.863281,139.858143,13125,286.7,106.4
34.855616,139.888916,13075,288.5,106.9
34.848028,139.9193,12875,289.5,106.9
34.844467,139.934151,12775,289.6,104.8
34.842865,139.943063,12725,289.7,101.3
34.841836,139.951286,12675,289.5,97.5
34.841045,139.96067,12625,289.8,94.2
34.840714,139.971201,12575,289.2,92.0
34.840851,139.979946,12525,288.1,88.2
34.8414,139.989306,12450,287.2,84.8
34.842488,139.999352,12400,286.0,81.8
34.846026,140.030651,12225,287.4,82.6
34.849457,140.062511,12050,287.5,82.4
34.851425,140.079159,11950,287.7,80.8
34.85245,140.084953,11900,286.2,77.1
34.8538,140.090504,11875,285.3,73.1
34.855243,140.094967,11850,283.1,66.7
34.857571,140.100288,11825,280.5,61.7
34.859299,140.103598,11800,278.5,56.4
34.862457,140.108474,11775,276.1,51.5
34.865485,140.112362,11725,272.3,46.6
34.87,140.117626,11700,269.6,43.0
34.876602,140.124618,11650,265.3,40.4
34.889786,140.137846,11625,263.8,39.0
34.901283,140.14904,11550,261.8,37.4
34.905945,140.15298,11525,261.0,33.8
34.909103,140.15511,11500,259.2,29.3
34.912354,140.15696,11500,257.4,24.1
34.91604,140.158482,11475,254.9,19.0
34.919083,140.15937,11425,252.7,13.3
34.922516,140.160043,11400,249.9,7.1
34.928377,140.160542,11350,247.4,3.2
34.934875,140.160659,11275,247.0,359.8
34.945741,140.160255,11150,247.2,357.7
34.955563,140.159569,11000,246.4,356.7
34.965042,140.158922,10825,246.5,356.5
34.97451,140.158195,10650,246.5,356.5
34.984451,140.157464,10500,246.4,356.7
34.997543,140.15668,10375,243.3,357.2
35.007841,140.156078,10225,244.2,357.4
35.016998,140.155559,10050,244.3,357.2
35.024274,140.154934,9950,242.2,354.3
35.02893,140.154076,9900,239.9,349.7
35.033066,140.152812,9875,237.0,345.1
35.037872,140.150962,9800,235.0,341.6
35.042679,140.148664,9725,233.6,337.6
35.047085,140.146122,9625,233.4,333.5
35.052109,140.142723,9500,233.4,329.9
35.059616,140.137454,9325,234.2,330.6
35.06659,140.13279,9150,236.2,331.7
35.074318,140.127754,8975,235.8,331.4
35.082092,140.122488,8800,236.8,331.0
35.090053,140.117111,8625,238.2,330.9
35.097175,140.112247,8450,238.2,330.9
35.105043,140.106926,8275,235.4,331.0
35.112488,140.101972,8100,230.5,331.2
35.118027,140.098273,7975,226.0,331.2
35.123428,140.094573,7875,222.0,330.9
35.12776,140.091648,7775,217.6,330.8
35.131251,140.089302,7700,212.6,331.0
35.134789,140.086899,7625,208.1,331.0
35.138933,140.084095,7525,203.2,331.2
35.144426,140.080376,7400,198.3,330.7
35.151306,140.075684,7225,194.7,330.8
35.158905,140.070583,7075,195.1,331.2
35.162767,140.067959,6975,195.6,331.0
35.167419,140.064809,6875,195.6,331.0
35.171798,140.061836,6775,196.5,331.1
35.176267,140.058804,6675,197.0,330.8
35.180191,140.056177,6575,197.9,331.0
35.184494,140.053206,6475,197.9,331.0
35.188604,140.050449,6375,197.9,331.0
35.193192,140.047321,6275,199.2,330.9
35.19754,140.04435,6175,200.6,330.8
35.201871,140.041409,6075,202.3,331.0
35.20634,140.038376,5975,203.2,331.2
35.210763,140.0354,5875,203.2,331.2
35.215347,140.032299,5775,204.6,331.0
35.219833,140.029272,5675,205.0,330.8
35.224216,140.026302,5575,205.0,330.8
35.228732,140.023212,5475,205.0,330.8
35.232037,140.020986,5375,205.0,330.8
35.235994,140.018239,5275,204.2,330.7
35.240158,140.01543,5175,201.4,330.9
35.24469,140.012398,5075,197.9,331.0
35.249354,140.00924,4975,194.7,331.5
35.254898,140.005531,4875,192.0,331.0
35.259567,140.002384,4775,192.0,331.0
35.264158,139.999247,4675,190.3,330.7
35.267975,139.996617,4575,189.4,330.6
35.272072,139.993812,4475,188.0,330.7
35.276733,139.990711,4375,186.7,330.8
