lat,lon,alt,gs,track,vs
13.695511,100.741028,150,105.0,194.0,64
13.693634,100.740509,150,116.0,195.0,64
13.684341,100.738047,200,164.7,195.1,1216
13.678956,100.736534,400,169.1,195.4,2240
13.677001,100.735955,500,169.1,195.4,2496
13.674999,100.735425,600,168.8,195.1,2624
13.67351,100.73504,700,168.8,195.1,2688
13.671661,100.734495,800,166.9,195.3,2880
13.670204,100.734076,900,166.2,195.7,2944
13.668732,100.733643,1000,165.2,195.8,3072
13.667272,100.733209,1100,164.3,195.9,3072
13.665802,100.732838,1200,163.1,195.7,3008
13.664246,100.732364,1300,161.8,195.4,2944
13.662781,100.731985,1400,161.6,195.1,2944
13.661362,100.731606,1500,160.3,194.8,2816
13.659576,100.731133,1600,160.3,194.8,2624
13.657745,100.730659,1700,160.1,194.5,2496
13.656052,100.730186,1800,160.1,194.5,2432
13.654609,100.729788,1900,160.1,194.5,2368
13.652701,100.729306,2000,159.8,194.1,2304
13.650885,100.728824,2100,158.9,194.2,2240
13.648865,100.728339,2200,158.6,193.9,2176
13.646835,100.727812,2300,159.4,193.4,2048
13.64488,100.72733,2400,159.4,193.4,1984
13.642785,100.726848,2500,159.6,193.8,1984
13.640504,100.72627,2600,159.4,193.4,1984
13.63884,100.725876,2700,159.4,193.4,1984
13.636688,100.725355,2800,159.4,193.4,1984
13.634545,100.724825,2900,159.4,193.4,1984
13.632156,100.724219,3000,160.6,193.7,1920
13.630216,100.723765,3100,160.6,193.7,1920
13.627716,100.72313,3200,161.5,193.6,1792
13.625514,100.722608,3300,161.5,193.6,1792
13.622861,100.721933,3400,162.5,193.5,1600
13.619974,100.721211,3475,165.9,193.9,1152
13.616959,100.720431,3550,170.3,194.3,1024
13.613617,100.719531,3650,174.6,194.6,1088
13.610943,100.718753,3700,178.4,196.6,896
13.608353,100.717826,3750,183.1,199.1,896
13.60531,100.716585,3800,187.8,202.9,1152
13.602081,100.714985,3900,191.4,206.7,1408
13.598793,100.713067,3975,195.7,209.7,1088
13.596634,100.711765,4025,199.5,210.4,832
13.593905,100.710128,4075,203.9,210.3,704
13.591764,100.708827,4100,208.4,210.3,832
13.588738,100.707044,4150,212.3,209.9,1152
13.585526,100.705165,4250,216.8,209.9,1344
13.581848,100.703004,4325,221.8,210.0,1280
13.578094,100.700778,4400,226.2,210.0,1088
13.5744,100.698612,4475,230.7,209.9,1408
13.572491,100.697503,4550,232.4,209.6,1856
13.569534,100.695759,4650,233.8,209.7,2240
13.566925,100.694243,4750,235.2,209.8,2176
13.563972,100.692492,4850,236.9,209.6,1728
13.559875,100.690131,4950,237.8,209.5,1408
13.556076,100.687945,5050,237.8,209.5,1600
13.552734,100.686004,5150,237.3,209.3,1920
13.549913,100.684397,5250,237.3,209.3,2048
13.54712,100.682807,5350,237.4,209.8,2112
13.544327,100.681072,5450,237.5,211.8,2176
13.542139,100.679482,5550,237.4,214.4,2176
13.539486,100.677265,5650,237.4,221.1,2112
13.537262,100.675065,5750,237.6,224.3,2048
13.535019,100.67246,5850,238.7,228.2,2112
13.533155,100.669989,5950,239.6,232.5,2048
13.531219,100.667014,6050,240.8,237.0,1984
13.5298,100.664362,6150,243.4,241.5,1984
13.528313,100.661027,6250,244.9,246.2,1984
13.527054,100.657401,6350,248.0,250.7,2048
13.526184,100.654039,6450,249.4,255.1,2048
13.525543,100.650724,6550,251.2,259.5,2048
13.525148,100.647005,6650,253.4,263.9,2048
13.52504,100.64381,6750,254.4,266.9,2048
13.525177,100.639833,6850,256.3,272.9,1984
13.525613,100.635922,6950,258.1,277.4,1984
13.526451,100.632115,7050,261.4,281.7,1920
13.527429,100.62855,7150,263.3,286.1,1920
13.528702,100.625058,7250,265.8,290.5,1984
13.530454,100.621274,7375,269.3,295.0,1984
13.532364,100.61786,7450,271.4,299.6,1920
13.534515,100.614735,7550,274.9,304.3,1920
13.536896,100.611751,7650,277.6,309.9,1920
13.539597,100.608957,7750,279.3,314.9,1984
13.542558,100.606336,7850,281.1,318.0,1984
13.545491,100.60412,7950,284.1,324.7,1984
13.548796,100.602048,8025,285.6,329.5,1856
13.552753,100.600024,8125,288.5,334.3,1664
13.556384,100.598578,8200,290.8,339.3,1536
13.561226,100.597133,8300,294.1,344.2,1536
13.567291,100.595698,8425,296.8,347.7,1664
13.572556,100.594751,8550,298.2,350.4,2112
13.578506,100.593804,8725,299.6,351.2,2560
13.584778,100.592857,8925,298.3,351.5,2688
13.591438,100.591832,9125,298.3,351.5,2624
13.59819,100.59082,9325,298.3,351.5,2368
13.604985,100.589808,9525,298.1,351.7,2368
13.611465,100.588831,9725,298.3,351.5,2496
13.618469,100.587742,9925,298.4,351.3,2304
13.626073,100.58658,10125,299.4,351.4,2112
13.633242,100.585424,10325,300.5,351.2,2240
13.640762,100.584238,10525,300.5,351.2,2496
13.646975,100.583448,10725,300.3,352.9,2432
13.652514,100.583159,10875,300.3,357.5,2432
13.658112,100.583338,11025,300.2,2.3,2368
13.664339,100.583785,11200,301.8,4.2,1920
13.66777,100.584049,11275,302.9,4.4,1536
13.669922,100.584191,11300,303.9,4.5,1216
13.673928,100.584556,11350,306.0,4.7,832
13.685054,100.585472,11475,315.1,4.7,1024
13.697763,100.58658,11625,322.1,4.8,1024
13.710705,100.587688,11775,331.2,4.8,1344
13.72229,100.588689,11975,335.2,4.8,1792
13.73204,100.589542,12175,336.2,4.8,2240
13.748878,100.591061,12575,338.3,5.1,2176
13.7668,100.5927,12950,342.4,5.2,2112
13.775894,100.59352,13175,342.4,5.2,2560
13.790449,100.594964,13575,341.6,5.5,2432
13.806335,100.596692,13975,343.0,7.5,2624
13.811554,100.597592,14100,343.3,10.1,2176
13.817077,100.598916,14225,344.9,14.4,1728
13.822403,100.600765,14325,346.4,20.3,1792
13.827644,100.603108,14425,347.2,24.9,2048
13.833416,100.606384,14575,347.9,29.4,2112
13.840353,100.610866,14775,348.4,32.5,2560
13.842773,100.612456,14850,348.4,33.0,2944
13.853434,100.619684,15250,345.9,33.3,2688
13.85646,100.621659,15350,345.9,33.3,2240
13.871031,100.631537,15750,348.9,33.8,2688
13.87792,100.6365,15975,348.9,35.8,2240
13.883469,100.640685,16100,349.6,36.5,1792
13.892026,100.647342,16325,351.6,37.5,2176
13.904362,100.657172,16725,350.6,37.8,2432
13.917164,100.667339,17125,350.5,38.0,2304
13.92978,100.677506,17525,350.3,38.3,2496
13.936661,100.683068,17725,351.1,38.2,2112
13.951147,100.694709,18100,353.5,37.9,1984
13.965997,100.706418,18475,355.0,36.9,1728
13.973694,100.711859,18625,357.0,33.7,1728
13.980708,100.716199,18775,357.2,30.4,1856
13.989441,100.720999,18950,359.2,27.7,1792
13.995837,100.724246,19075,360.0,26.2,1472
13.999375,100.725933,19125,361.9,25.4,1024
14.003239,100.727812,19150,363.7,25.2,576
14.022629,100.737194,19300,372.6,25.3,960
14.040248,100.745593,19425,381.6,25.0,576
14.058729,100.754362,19550,391.1,24.8,576
14.082596,100.765654,19700,400.9,24.8,768
14.09935,100.773563,19850,407.2,24.7,1216
14.123245,100.784786,20150,411.7,24.7,1600
14.14648,100.795706,20450,414.8,24.6,1152
14.168872,100.806258,20725,420.2,24.6,1600
14.192288,100.817293,21050,422.8,24.8,1408
14.203227,100.822497,21200,422.8,24.8,1856
14.215851,100.828447,21425,422.8,24.8,1408
14.22371,100.832134,21500,424.2,24.8,960
14.233521,100.836781,21600,426.0,24.7,1408
14.238922,100.839339,21700,426.0,24.7,1856
14.253387,100.846158,21925,426.0,24.7,1408
14.277924,100.85776,22225,429.5,24.8,1728
14.300475,100.86837,22550,430.4,24.7,1408
14.324524,100.879732,22875,432.7,24.7,1344
14.352008,100.892752,23175,434.9,24.7,1152
14.377258,100.904688,23475,437.1,24.8,1344
14.402847,100.916859,23775,439.4,24.8,1216
14.428214,100.928843,24075,440.7,24.8,1216
14.45596,100.941997,24350,443.9,24.8,1216
14.483844,100.955248,24650,445.2,24.8,1344
14.509552,100.967481,24950,446.5,24.9,1216
14.535471,100.979775,25250,447.4,24.9,1408
14.563477,100.9931,25550,448.7,24.9,1280
14.590393,101.005933,25850,450.6,24.8,1152
14.618729,101.019382,26125,451.9,24.9,1024
14.649896,101.034128,26400,455.0,24.8,1024
14.681459,101.049114,26650,458.6,24.9,960
14.713533,101.064389,26900,461.7,24.8,832
14.748959,101.081254,27125,466.2,24.9,768
14.784485,101.09818,27350,469.8,24.9,768
14.81955,101.114944,27600,472.9,24.9,832
14.857178,101.132861,27825,477.4,24.9,576
14.891828,101.149455,28075,478.7,25.0,960
14.928406,101.16688,28325,481.4,24.8,832
14.961563,101.182709,28575,481.8,24.9,960
14.99671,101.199483,28825,484.1,24.9,896
15.029716,101.215275,29075,485.0,24.9,768
15.065002,101.232098,29325,486.3,24.9,832
15.102173,101.249807,29550,488.6,24.9,640
15.135483,101.265695,29800,489.0,24.8,1024
15.168628,101.281537,30075,488.6,24.9,1088
15.200272,101.296644,30350,488.1,24.8,1152
15.230713,101.311148,30650,486.3,24.9,1152
15.242249,101.316641,30775,485.0,24.9,1536
15.267288,101.328639,31100,481.8,24.9,1472
15.293472,101.341167,31425,478.7,25.0,1344
15.321487,101.354563,31725,476.1,24.8,1280
15.351059,101.368681,32025,474.2,24.9,1024
15.381837,101.383454,32300,472.9,24.9,960
15.414889,101.399247,32550,471.6,24.8,832
15.448975,101.41547,32800,471.6,24.8,896
15.482436,101.431471,33050,471.1,25.0,896
15.518375,101.448735,33325,470.2,25.0,832
15.553574,101.465727,33550,469.3,25.1,896
15.585875,101.481301,33800,468.0,25.0,832
15.620231,101.497879,34050,467.0,25.1,832
15.655192,101.514702,34275,466.6,25.0,768
15.690478,101.531721,34500,465.7,25.0,704
15.728511,101.550015,34725,465.7,25.0,704
15.765884,101.567977,34950,465.3,24.9,768
15.800947,101.584789,35175,464.4,25.0,704
15.836513,101.601955,35400,463.5,25.0,640
15.873801,101.619906,35600,462.6,25.1,640
15.911648,101.638151,35800,462.2,25.0,640
15.947726,101.655513,36025,460.8,24.9,640
15.984968,101.673415,36200,459.9,25.0,576
