lat,lon,alt,gs,track,vs
-37.664298,144.841257,100,8.2,352.1,0
-37.663925,144.841193,100,8.8,352.1,0
-37.663507,144.841108,100,12.2,352.1,0
-37.663076,144.841033,100,15.5,352.1,0
-37.662634,144.840944,100,15.5,352.1,0
-37.662204,144.840869,100,14.8,352.1,0
-37.661774,144.840784,100,13.2,352.1,0
-37.661331,144.840705,100,11.8,352.1,0
-37.660892,144.840624,100,12.2,352.1,0
-37.660469,144.840551,100,10.2,352.1,0
-37.66016,144.840477,100,5.2,352.1,0
-37.659818,144.840421,100,3.2,352.1,24
-37.659515,144.840362,100,4.2,352.1,0
-37.659245,144.840317,100,6.8,352.1,0
-37.658887,144.840242,100,9.2,352.1,0
-37.658468,144.840168,100,10.8,352.1,0
-37.658037,144.840093,100,10.8,352.1,0
-37.657619,144.84001,100,7.8,352.1,0
-37.657269,144.839944,100,7.8,352.1,0
-37.656931,144.839884,100,7.2,352.1,0
-37.656624,144.83982,100,6.8,352.1,0
-37.656303,144.839762,100,6.8,352.1,0
-37.655989,144.839705,100,7.2,352.1,0
-37.65564,144.839645,100,8.8,352.1,0
-37.655331,144.839572,100,9.8,349.3,0
-37.655023,144.839481,100,10.2,346.5,0
-37.654674,144.839391,100,10.8,349.3,0
-37.654346,144.839294,100,10.8,346.5,0
-37.653917,144.839182,100,9.8,346.5,0
-37.653694,144.835014,100,0.0,172.1,0
-37.653763,144.835028,100,3.2,172.1,0
-37.653877,144.835057,100,7.2,172.1,0
-37.653917,144.835062,100,9.8,172.1,0
-37.653975,144.835077,100,12.8,172.1,0
-37.654057,144.835092,100,16.5,172.1,0
-37.654118,144.835101,100,21.5,172.1,0
-37.654336,144.835137,100,25.5,172.1,0
-37.654429,144.835152,100,30.5,172.1,0
-37.654575,144.835189,100,34.5,172.1,0
-37.658945,144.835988,125,90.9,171.8,0
-37.659364,144.836048,100,95.0,171.5,0
-37.6604,144.83627,100,99.1,171.3,0
-37.660721,144.836328,100,107.2,171.4,0
-37.661179,144.836406,100,111.3,171.2,0
-37.661831,144.836525,100,115.3,171.5,0
-37.66225,144.836585,100,118.4,171.2,-128
-37.662918,144.836737,100,122.3,171.5,-128
-37.663647,144.836884,100,126.4,171.4,-192
-37.664159,144.836943,100,130.4,171.6,-128
-37.664904,144.837122,100,133.4,171.8,-128
-37.665482,144.837205,100,137.5,171.6,-192
-37.666207,144.837361,75,140.6,171.4,-192
-37.667185,144.83754,75,148.6,171.5,-192
-37.668302,144.837719,75,151.6,171.7,-192
-37.668961,144.837848,75,154.7,171.4,-192
