lat,lon,alt,gs,track
-3.201187,102.341557,36000,0.0,0.0
-3.196137,102.329549,36025,469.7,292.8
-3.155264,102.23285,36000,0.0,0.0
-3.132477,102.178577,36000,468.0,292.6
-3.119843,102.148225,36000,468.0,292.6
-3.045273,101.967975,35975,0.0,0.0
-3.027649,101.925426,35975,470.4,292.4
-3.011307,101.885531,35975,471.5,292.0
-2.996429,101.848708,36000,472.0,291.9
-2.981644,101.811839,36000,473.0,291.9
-2.966541,101.77455,36000,473.0,291.9
-2.949922,101.733162,36025,473.5,291.7
-2.934311,101.694201,36025,473.5,291.7
-2.929276,101.681632,36025,473.3,292.0
-2.928415,101.679603,36025,473.3,292.0
-2.911789,101.638665,36025,472.8,292.1
-2.896042,101.600212,36025,473.7,292.1
-2.880386,101.561714,36025,473.3,292.0
-2.877457,101.554405,36025,473.3,292.0
-2.876312,101.551565,36025,473.3,292.0
-2.867804,101.530483,36025,473.9,291.8
-2.864227,101.521539,36000,473.5,291.7
-2.857609,101.505337,36025,473.5,292.3
-2.856352,101.502543,36000,473.5,293.3
-2.850766,101.491178,36000,472.3,296.4
-2.849716,101.489279,36000,471.9,297.9
-2.849044,101.488148,36000,471.9,297.9
-2.844315,101.48034,36000,470.9,300.9
-2.83843,101.471763,36025,469.6,304.5
-2.831261,101.462576,36025,467.9,308.1
-2.824356,101.454876,36025,465.4,311.6
-2.822881,101.453342,36025,464.9,313.0
-2.813965,101.444681,36050,463.9,315.0
-2.804819,101.436341,36050,461.5,317.6
-2.77272,101.406974,36050,459.9,316.9
-2.74458,101.380415,36025,459.0,316.3
-2.727682,101.36422,36025,458.3,316.1
-2.701126,101.338682,36000,457.6,316.0
-2.672745,101.311496,36000,456.2,316.0
-2.644121,101.284096,35975,455.5,316.2
-2.614467,101.255919,35975,455.5,316.4
-2.595749,101.238222,35950,455.5,316.4
-2.565075,101.209227,35950,456.2,316.5
-2.537097,101.182803,35950,456.9,316.4
-2.506943,101.154289,35975,456.9,316.4
-2.483562,101.132134,35925,458.3,316.4
-2.4817,101.130382,35925,458.3,316.4
-2.464336,101.113997,35800,461.9,316.5
-2.440887,101.091815,35500,466.1,316.5
-2.426376,101.078129,35250,467.6,316.5
-2.420065,101.072135,35100,470.4,316.5
-2.405502,101.058391,34725,469.0,316.5
-2.39447,101.047963,34475,468.2,316.4
-2.392878,101.046469,34425,467.5,316.3
-2.388176,101.042017,34350,466.8,316.4
-2.386919,101.040834,34300,466.8,316.4
-2.369462,101.024259,33900,464.0,316.4
-2.358261,101.013654,33600,462.6,316.4
-2.342416,100.998688,33200,460.5,316.5
-2.329468,100.986421,32850,459.0,316.3
-2.313446,100.971245,32475,456.9,316.4
-2.297818,100.956447,32100,455.5,316.4
-2.28348,100.942904,31725,453.4,316.5
-2.267653,100.92794,31325,451.3,316.4
-2.251266,100.912455,30925,449.9,316.4
-2.235306,100.897367,30525,447.8,316.5
-2.221161,100.884006,30150,445.6,316.5
-2.204714,100.868462,29750,444.2,316.3
-2.19136,100.855703,29400,442.8,316.3
-2.177109,100.84218,29025,442.0,316.2
-2.161469,100.827259,28650,439.9,316.3
-2.147315,100.813814,28250,438.5,316.3
-2.130295,100.797652,27850,437.1,316.3
-2.115051,100.783174,27475,435.0,316.4
-2.101318,100.770186,27100,433.6,316.4
-2.085571,100.755289,26700,433.6,316.4
-2.071063,100.741551,26325,431.5,316.5
-2.055933,100.727297,25925,430.8,316.4
-2.042038,100.714184,25525,430.1,316.5
-2.02614,100.699216,25125,428.0,316.6
-2.012314,100.686193,24775,427.2,316.5
-1.9991,100.67373,24400,425.8,316.5
-1.985081,100.660479,24025,425.1,316.4
-1.97023,100.64651,23625,423.0,316.5
-1.95538,100.632493,23250,422.3,316.4
-1.941647,100.619754,22875,421.8,317.3
-1.937737,100.616534,22675,421.5,319.8
-1.929963,100.610662,22350,421.8,322.8
-1.926727,100.608464,22225,422.5,325.2
-1.917952,100.60318,21825,424.5,328.8
-1.892628,100.591625,20825,426.3,332.5
-1.887085,100.589238,20675,426.3,332.5
-1.866074,100.580346,20150,432.8,336.9
-1.004551,100.531958,20875,372.2,131.0
-1.019401,100.548959,21200,375.7,130.9
-1.035555,100.567427,21500,379.2,131.0
-1.043236,100.576188,21625,382.8,131.0
-1.055237,100.591658,21875,384.0,127.2
-1.065488,100.607584,22100,387.1,121.8
-1.07341,100.621219,22350,387.3,120.4
-1.076986,100.628231,22475,387.3,117.0
-1.081512,100.638024,22625,388.0,114.5
-1.086685,100.649523,22725,390.8,114.0
-1.087555,100.651478,22750,390.8,114.0
-1.09556,100.669051,22975,394.7,114.6
-1.095886,100.669714,23000,394.7,114.6
-1.106873,100.693154,23350,394.6,115.2
-1.116462,100.71328,23675,396.3,115.4
-1.127884,100.737134,23975,398.5,115.4
-1.137726,100.757757,24325,398.5,115.4
-1.146163,100.775457,24500,400.4,115.3
-1.157987,100.800366,24775,404.4,115.2
-1.169206,100.824138,25075,406.6,115.2
-1.183125,100.853592,25325,412.0,115.1
-1.195358,100.879537,25625,414.2,115.1
-1.20575,100.90165,25975,412.9,115.1
-1.215775,100.923017,26300,411.6,115.0
-1.219528,100.930978,26400,411.6,115.0
-1.223557,100.93959,26500,412.5,114.9
-1.223877,100.940288,26500,412.5,114.9
-1.237033,100.968381,26750,416.1,115.0
-1.242783,100.980602,26875,417.0,115.0
-1.243922,100.983013,26900,417.0,115.0
-1.255467,101.007496,27175,418.7,115.2
-1.2692,101.036714,27450,421.9,115.1
-1.282002,101.063895,27725,422.8,115.1
-1.295197,101.091955,28000,424.6,114.9
-1.306814,101.116838,28300,424.6,114.9
-1.318452,101.141699,28575,423.7,115.0
-1.332321,101.171327,28825,428.1,115.0
-1.346832,101.202191,29100,429.5,115.1
-1.354949,101.219456,29225,430.4,115.0
-1.355648,101.220877,29225,431.7,115.1
-1.368256,101.247719,29400,434.8,115.0
-1.368589,101.248437,29425,434.8,115.0
-1.381622,101.276069,29725,435.3,115.2
-1.393076,101.300338,30050,433.0,115.1
-1.406342,101.328534,30325,431.7,115.1
-1.417877,101.353067,30625,431.7,115.1
-1.42955,101.377879,30925,429.5,115.1
-1.439301,101.398595,31275,425.9,115.0
-1.44945,101.420146,31650,421.9,115.1
-1.46202,101.446807,31950,419.6,115.1
-1.475008,101.474509,32225,419.2,115.0
-1.489288,101.50506,32450,420.1,114.9
-1.504761,101.538205,32700,422.3,114.9
-1.518036,101.566462,32975,421.4,115.0
-1.531082,101.5943,33250,421.4,115.0
-1.545627,101.625287,33525,421.4,115.0
-1.556893,101.649249,33725,421.4,115.0
-1.571324,101.679935,33975,421.9,115.1
-1.58664,101.712515,34200,423.7,115.0
-1.592971,101.725964,34350,423.7,115.0
-1.60568,101.753145,34650,421.0,114.9
-1.616852,101.777012,34950,419.2,115.0
-1.62984,101.80462,35225,418.3,115.0
-1.64241,101.831423,35525,415.2,115.1
-1.653117,101.854201,35825,412.9,115.1
-1.66571,101.880969,36100,409.4,115.0
-1.679372,101.910079,36350,409.4,115.0
-1.692081,101.937119,36625,408.4,115.1
-1.704529,101.963599,36900,405.3,115.1
-1.707092,101.969046,36950,405.3,115.1
-1.710754,101.97682,36975,406.2,115.1
-1.719267,101.994939,37000,409.4,115.0
-1.734583,102.027756,37000,415.6,114.9
-1.750351,102.061452,37000,421.0,114.9
-1.766564,102.096137,37000,422.3,114.9
-1.78363,102.132537,37000,422.8,115.1
-1.794891,102.156512,37000,421.9,115.1
-1.79538,102.157556,37000,421.9,115.1
-1.795898,102.158653,37000,421.9,115.1
-1.806972,102.18218,37000,419.6,115.1
-1.80748,102.183233,37000,419.6,115.1
-1.809952,102.188493,37000,419.6,115.1
-1.826058,102.222764,37000,418.3,115.0
-1.843002,102.258834,37000,419.2,115.0
-1.859253,102.293562,37000,419.2,115.0
-1.869415,102.315301,37000,419.2,115.0
-1.870236,102.317094,37000,419.2,115.0
-1.871912,102.320599,37000,419.2,115.0
