lat,lon,alt,gs,track,vs
-1.723389,116.599434,16350,370.0,203.0,1920
-1.740692,116.591942,16725,371.0,204.0,2176
-1.743521,116.590706,16800,372.0,204.0,0
-1.750122,116.587799,16950,372.0,204.0,0
-1.759735,116.583519,17175,373.0,204.0,2240
-1.769302,116.579277,17400,374.0,204.0,2432
-1.778641,116.575089,17625,374.0,204.0,2432
-1.80249,116.564293,18225,373.0,204.0,0
-1.807571,116.561958,18375,373.0,205.0,2368
-1.821356,116.555656,18700,374.0,204.0,2048
-1.826803,116.553146,18800,374.0,205.0,0
-1.836411,116.548744,19025,374.0,205.0,2496
-1.845098,116.544769,19275,373.0,204.0,2816
-1.859576,116.53804,19650,372.0,205.0,2048
-1.873262,116.531601,19925,374.0,205.0,1600
-1.897705,116.520248,20325,379.0,204.0,1536
-1.902512,116.518066,20400,380.0,204.0,0
-1.92163,116.5093,20675,383.0,205.0,1280
-1.941833,116.50016,20925,389.0,205.0,1408
-1.951051,116.495995,21075,390.0,204.0,1856
-1.961151,116.491386,21275,391.0,204.0,2240
-1.966786,116.488792,21400,390.0,205.0,0
-1.973511,116.48571,21550,390.0,205.0,2112
-1.976841,116.4842,21625,390.0,204.0,2112
-2.022741,116.463226,22325,390.0,204.0,2112
-2.028886,116.460381,22425,396.0,205.0,1472
-2.051743,116.449913,22750,396.0,205.0,1472
-2.061054,116.445702,22850,399.0,204.0,1152
-2.070236,116.441483,22950,401.0,205.0,960
-2.076276,116.43869,23000,403.0,205.0,0
-2.09122,116.431732,23150,407.0,205.0,1024
-2.095409,116.429794,23200,408.0,205.0,1280
-2.100861,116.427238,23275,409.0,205.0,0
-2.111191,116.422401,23375,411.0,205.0,1216
-2.116311,116.419991,23450,412.0,205.0,0
-2.138123,116.409782,23675,412.0,205.0,0
-2.148514,116.404892,23775,419.0,205.0,960
-2.155508,116.401665,23850,419.0,205.0,0
-2.159,116.400002,23875,421.0,205.0,1088
-2.182136,116.38916,24175,423.0,205.0,1536
-2.18779,116.386505,24250,424.0,205.0,0
-2.195171,116.383049,24350,425.0,205.0,1344
-2.234573,116.364998,24725,429.0,204.0,1280
-2.260065,116.353546,25050,429.0,204.0,1280
-2.282822,116.343307,25400,429.0,204.0,1280
-2.292114,116.339119,25525,429.0,204.0,1280
-2.593518,116.20533,28775,443.0,204.0,0
-2.646728,116.18132,29175,447.0,204.0,1024
-2.650871,116.179474,29225,447.0,204.0,0
-2.662509,116.174118,29325,448.0,205.0,1088
-2.685133,116.16375,29500,449.0,205.0,832
-2.696818,116.158356,29600,450.0,205.0,0
-2.708496,116.152908,29675,450.0,205.0,0
-2.710411,116.152008,29700,451.0,205.0,704
-2.754364,116.13163,29925,456.0,205.0,896
-2.760455,116.128799,29975,457.0,205.0,768
-2.764526,116.126884,30000,457.0,205.0,0
-2.776382,116.121391,30075,458.0,205.0,704
-2.780658,116.119431,30100,459.0,205.0,0
-2.801514,116.109764,30225,461.0,205.0,0
-2.805191,116.108063,30250,461.0,205.0,768
-2.836381,116.093666,30475,463.0,205.0,832
-2.866608,116.079773,30675,467.0,205.0,704
-2.876999,116.075027,30725,467.0,204.0,0
-2.882887,116.072311,30775,468.0,205.0,832
-2.901741,116.063736,30925,469.0,204.0,1088
-2.903603,116.062836,30950,469.0,206.0,0
-2.923645,116.053703,31125,469.0,204.0,0
-2.937057,116.047562,31250,469.0,205.0,1280
-2.946075,116.043419,31350,469.0,205.0,1152
-2.977936,116.028847,31575,472.0,204.0,896
-2.995972,116.02047,31725,472.0,205.0,1216
-2.999771,116.018745,31775,471.0,204.0,0
-3.014025,116.01207,31900,472.0,205.0,960
-3.019958,116.009293,31950,472.0,205.0,768
-3.037308,116.001244,32025,474.0,205.0,192
-3.067795,115.987137,32000,480.0,205.0,0
-3.098145,115.973213,32025,478.0,204.0,64
-3.139481,115.954269,32000,476.0,204.0,0
-3.182739,115.934441,32000,473.0,205.0,0
-3.211965,115.921059,32000,473.0,204.0,0
-3.243015,115.906944,32000,473.0,204.0,0
-3.283905,115.888214,32000,472.0,205.0,0
-3.321213,115.871223,32000,471.0,204.0,64
-3.349946,115.858025,32025,471.0,205.0,0
-3.390839,115.839142,32000,472.0,205.0,0
-3.422009,115.824783,32000,472.0,204.0,0
-3.451035,115.811356,32000,472.0,204.0,64
-3.492814,115.792061,32000,472.0,205.0,0
-3.523041,115.778206,32000,472.0,205.0,0
-3.559158,115.761681,32025,470.0,204.0,0
-3.587402,115.748787,32025,469.0,204.0,0
-3.61804,115.734718,32025,469.0,205.0,0
-3.636108,115.725746,32025,469.0,207.0,0
-3.652814,115.716766,32025,470.0,209.0,0
-3.693237,115.693626,32000,470.0,210.0,64
-3.719696,115.678352,32000,469.0,210.0,0
-3.74955,115.661224,32025,469.0,210.0,64
-3.7806,115.643509,32025,468.0,210.0,0
-3.810425,115.626495,32025,468.0,210.0,-64
-3.832925,115.613159,32000,469.0,212.0,0
-3.850113,115.601959,32000,470.0,213.0,0
-3.865082,115.591675,32000,470.0,215.0,64
-3.893646,115.571846,32000,469.0,214.0,0
-3.93143,115.545631,32025,466.0,215.0,0
-3.957359,115.527679,32025,466.0,215.0,-64
-3.994675,115.502106,32000,465.0,214.0,0
-4.020577,115.484543,32000,464.0,213.0,0
-4.039617,115.471611,32000,464.0,214.0,-64
-4.073973,115.44841,32000,463.0,214.0,0
-4.106792,115.426292,32000,462.0,214.0,0
-4.139937,115.404037,32000,461.0,214.0,64
-4.166146,115.386566,32000,461.0,214.0,0
-4.192474,115.369011,32000,460.0,214.0,0
-4.224383,115.347778,32000,458.0,214.0,0
-4.255508,115.327072,32000,458.0,213.0,0
-4.283295,115.308685,32000,457.0,213.0,0
-4.314148,115.2882,31975,457.0,214.0,0
-4.351273,115.263481,31975,457.0,214.0,0
-4.378377,115.245445,31975,456.0,214.0,0
-4.404307,115.228256,32000,456.0,214.0,0
-4.436417,115.206779,32000,455.0,214.0,0
-4.467618,115.18573,32000,455.0,214.0,0
-4.497803,115.165207,32000,454.0,214.0,0
-4.520641,115.149742,32000,454.0,214.0,0
-4.574203,115.113441,32000,453.0,214.0,0
-4.602015,115.094574,32000,453.0,214.0,0
-4.640442,115.068565,32000,453.0,214.0,0
-4.665698,115.051483,32000,458.0,214.0,-64
-4.693536,115.032631,32000,467.0,214.0,0
-4.721146,115.013962,32000,472.0,214.0,0
-4.747604,114.996086,32000,475.0,214.0,0
-4.785244,114.970551,32000,474.0,214.0,0
-4.819367,114.947441,32000,473.0,214.0,0
-4.852249,114.92514,32000,472.0,214.0,0
-4.883514,114.903908,32000,471.0,214.0,0
-4.910431,114.885666,32000,471.0,214.0,0
-4.949387,114.859222,32000,472.0,214.0,0
-4.976388,114.840843,32000,472.0,214.0,0
-5.013676,114.815605,32000,473.0,214.0,0
-5.040894,114.797119,32025,472.0,214.0,32
-5.078201,114.771843,32000,473.0,214.0,0
-5.104034,114.754326,32000,473.0,214.0,0
-5.132803,114.734818,32000,473.0,214.0,0
-5.166461,114.711945,32000,474.0,214.0,0
-5.19928,114.689674,32000,476.0,214.0,0
-5.231122,114.668098,32000,477.0,214.0,0
-5.271103,114.640938,32000,477.0,214.0,0
-5.295731,114.624176,32025,477.0,214.0,0
-5.331619,114.599831,32025,477.0,214.0,0
-5.359451,114.580887,32025,477.0,214.0,0
-5.386047,114.562775,32025,476.0,214.0,0
-5.417703,114.541229,32025,476.0,214.0,0
-5.451872,114.518028,32025,476.0,214.0,0
-5.47459,114.502586,32000,476.0,214.0,0
-5.587246,114.426064,32000,475.0,214.0,0
-5.612524,114.408875,32000,476.0,214.0,0
-5.629283,114.397461,32000,476.0,214.0,0
-6.923808,112.626907,9750,300.0,247.0,0
-6.927113,112.619331,9625,300.0,246.0,0
-6.929947,112.612747,9525,300.0,247.0,-1208
-6.935911,112.598785,9325,300.0,247.0,-1208
-6.940892,112.587036,9200,280.0,247.0,-1208
-6.944687,112.577972,9075,280.0,247.0,-1208
-6.947828,112.570602,8925,280.0,247.0,-1208
-6.951087,112.562889,8750,270.0,247.0,-1208
-6.953888,112.556374,8575,270.0,247.0,-1208
-6.957275,112.54837,8425,270.0,247.0,-1208
-6.960022,112.541847,8275,270.0,247.0,-1208
-6.961624,112.538124,8175,270.0,247.0,-1984
-6.963284,112.534187,8050,270.0,247.0,-1984
-6.967427,112.524529,7825,270.0,246.0,-1664
-6.973343,112.514336,7500,260.0,237.0,-2112
-6.975906,112.511406,7400,260.0,229.0,-2112
-6.984741,112.50489,7125,260.0,213.0,-1344
-6.988358,112.503304,7050,260.0,204.0,-1344
-6.998749,112.500839,6875,260.0,191.0,-1152
-7.002319,112.500748,6825,260.0,181.0,-1152
-7.005786,112.5009,6775,250.0,178.0,-1152
-7.013281,112.501892,6700,250.0,172.0,-568
-7.019531,112.502792,6650,250.0,172.0,-568
-7.026581,112.503815,6575,250.0,172.0,-568
-7.033218,112.5047,6525,240.0,172.0,-568
-7.046997,112.506378,6450,240.0,173.0,-568
-7.054596,112.507217,6400,240.0,174.0,-568
-7.077616,112.509705,6225,240.0,174.0,-568
-7.359025,112.68042,4825,230.0,291.0,3840
-7.356995,112.67704,5050,230.0,301.0,3840
-7.35288,112.67218,5425,230.0,310.0,3840
-7.350459,112.670097,5600,230.0,320.0,3840
-7.342498,112.665459,6050,230.0,331.0,3840
-7.336716,112.663818,6350,230.0,344.0,3840
-7.332458,112.663353,6550,230.0,354.0,3840
-7.329231,112.663376,6725,230.0,0.0,3840
-7.326691,112.663582,6850,230.0,5.0,3840
-7.320328,112.665169,7200,220.0,14.0,3840
-7.31736,112.666451,7375,220.0,23.0,3840
-7.309341,112.671822,7875,220.0,37.0,3840
-7.307144,112.673965,8025,220.0,44.0,3840
-7.290127,112.717834,9400,260.0,93.0,1664
-7.291058,112.721527,9475,270.0,104.0,1664
-7.292587,112.725731,9600,270.0,110.0,1664
-7.294281,112.729362,9725,280.0,115.0,1664
-7.297761,112.735878,10025,280.0,118.0,1664
-7.29982,112.73951,10200,280.0,120.0,1664
-7.302246,112.743469,10375,280.0,122.0,2808
-7.306327,112.749939,10625,290.0,122.0,2808
-7.308236,112.752831,10750,290.0,124.0,3072
-7.31061,112.756332,10925,290.0,124.0,3072
-7.315292,112.763115,11275,290.0,125.0,3072
-7.317719,112.766556,11425,290.0,125.0,3072
-7.319641,112.769302,11550,290.0,125.0,3072
-7.324855,112.776695,11900,290.0,125.0,3072
-7.329529,112.783363,12200,290.0,125.0,3072
-7.334212,112.790092,12525,290.0,125.0,3072
-7.339233,112.797424,12875,290.0,124.0,3200
-7.343755,112.804115,13175,290.0,124.0,2752
-7.350906,112.815018,13550,300.0,123.0,1984
-7.352833,112.818039,13625,300.0,123.0,1984
-7.355114,112.821587,13700,300.0,123.0,1472
-7.357361,112.825073,13775,310.0,123.0,1472
-7.364868,112.83699,13925,320.0,122.0,1472
-7.372013,112.848534,14100,330.0,122.0,1472
-7.382393,112.86525,14475,340.0,122.0,1848
-7.389609,112.8769,14875,340.0,122.0,1848
-7.392151,112.881073,15025,340.0,122.0,3072
-7.399612,112.893135,15450,340.0,122.0,2944
-7.402039,112.897087,15600,340.0,122.0,0
-7.407206,112.905357,15875,340.0,122.0,0
-7.41243,112.913803,16150,340.0,122.0,2360
-7.417308,112.921692,16350,340.0,122.0,2360
-7.42543,112.934753,16750,340.0,122.0,2360
-7.43335,112.94751,17125,350.0,122.0,2488
-7.440903,112.959656,17450,350.0,122.0,2432
-7.450195,112.974556,17850,350.0,122.0,2432
-7.455872,112.983681,18100,350.0,122.0,2432
-7.464186,112.997086,18450,360.0,122.0,2112
-7.475098,113.014633,18825,360.0,122.0,1792
-7.480545,113.023384,19025,360.0,122.0,1792
-7.486267,113.032555,19275,360.0,122.0,2488
-7.494119,113.045197,19625,360.0,122.0,2488
-7.499705,113.054192,19875,360.0,122.0,2432
-7.51018,113.071098,20275,360.0,122.0,2432
-7.515472,113.079575,20475,370.0,122.0,2040
-7.521698,113.089676,20700,370.0,122.0,2040
-7.532664,113.107231,21100,370.0,122.0,2040
-7.541931,113.119843,21350,370.0,129.0,1720
-7.552734,113.130547,21600,380.0,137.0,0
-7.557011,113.134132,21700,380.0,140.0,0
-7.569214,113.143814,21925,380.0,142.0,1400
-7.591141,113.161041,22300,380.0,142.0,1400
-7.594894,113.164024,22350,380.0,142.0,1400
-7.603144,113.170494,22425,390.0,142.0,568
-7.621445,113.184921,22550,400.0,142.0,568
-7.643921,113.20266,22775,410.0,142.0,760
-7.666316,113.22036,22950,410.0,142.0,760
-7.683447,113.233902,23000,410.0,142.0,760
-7.692261,113.240875,23000,410.0,142.0,0
-7.719955,113.262756,23000,410.0,142.0,0
-7.751832,113.288078,23000,410.0,142.0,0
-7.774612,113.306282,23000,410.0,142.0,0
-7.798896,113.325676,23000,410.0,141.0,0
-7.833206,113.352882,23000,410.0,142.0,0
-7.958725,113.452461,23000,410.0,142.0,0
-7.983948,113.472527,23000,410.0,142.0,-64
-8.018436,113.499992,23000,410.0,142.0,-64
-8.040161,113.517303,23000,410.0,142.0,0
-8.067224,113.538826,23000,410.0,142.0,0
-8.092361,113.558853,23000,410.0,142.0,0
