lat,lon,alt,gs,track,vs
49.471527,20.188318,4350,102.6,60.2,320
49.473577,20.193688,4425,104.1,58.8,640
49.475739,20.199159,4500,107.2,59.1,576
49.478348,20.205592,4575,110.7,57.2,384
49.480179,20.209712,4625,110.7,55.3,512
49.48114,20.211591,4650,111.4,53.0,384
49.485541,20.215735,4625,112.5,47.5,256
49.486588,20.215856,4650,117.4,8.8,-128
49.486844,20.215883,4650,115.1,2.0,384
49.489265,20.215883,4725,113.0,359.5,768
49.492401,20.215639,4775,111.2,356.9,384
49.495503,20.215215,4825,110.7,353.8,576
49.497784,20.214695,4875,108.7,349.9,768
49.498489,20.21441,4900,104.4,339.8,768
49.499176,20.213832,4925,101.4,329.1,896
49.4996,20.213433,4950,99.6,324.4,960
49.500065,20.212617,4975,97.0,312.1,1024
49.500458,20.211736,5000,94.9,302.5,960
49.500778,20.210579,5025,92.7,293.5,832
49.500903,20.209573,5025,90.0,282.2,768
49.500961,20.208266,5075,90.1,273.2,832
49.500961,20.207255,5075,90.1,266.8,512
49.50081,20.20601,5075,91.2,257.3,256
49.50032,20.204291,5100,92.1,242.9,192
49.499817,20.203207,5100,93.5,235.5,128
49.499313,20.202412,5100,94.8,227.6,64
49.498576,20.201408,5100,95.6,222.0,64
49.49707,20.199593,5150,96.2,217.8,448
49.492943,20.194727,5200,100.9,219.4,128
49.490894,20.192055,5175,105.5,222.3,-128
49.488876,20.189113,5150,110.3,225.0,-256
49.487217,20.186264,5150,114.9,229.2,-256
49.485672,20.183258,5150,115.6,232.7,64
49.483167,20.178025,5150,117.1,235.1,0
49.481956,20.175055,5150,118.0,238.9,0
49.480886,20.172012,5125,120.7,243.4,-320
49.479996,20.169019,5150,120.9,246.6,128
49.479355,20.1662,5125,122.7,252.4,-128
49.478851,20.163165,5125,125.0,257.5,-320
49.478165,20.158828,5125,124.9,255.6,0
49.477208,20.153899,5150,122.4,252.9,128
49.476425,20.150444,5150,119.4,248.4,192
49.475672,20.148109,5175,117.2,242.6,512
49.474869,20.146107,5225,113.2,236.2,768
49.474091,20.144589,5225,113.1,231.1,640
49.473083,20.143144,5250,112.5,223.9,320
49.472227,20.142171,5250,112.8,217.1,256
49.471344,20.141409,5250,114.9,207.5,-128
49.470062,20.140614,5250,116.1,200.1,-128
49.469009,20.14018,5250,116.9,192.9,-128
49.467819,20.140036,5250,118.4,184.8,64
49.466641,20.140092,5225,121.2,177.2,-256
49.46521,20.140397,5200,124.8,170.3,-576
49.464127,20.140909,5175,128.1,162.3,-704
49.462784,20.141842,5150,131.5,154.8,-640
49.461846,20.142616,5125,132.5,151.1,-512
49.460907,20.143649,5125,133.6,143.2,-192
49.459379,20.145734,5150,133.1,138.0,64
49.458618,20.147119,5150,135.1,129.0,0
49.457794,20.14907,5125,136.8,122.8,-192
49.456924,20.151672,5125,137.3,116.4,-256
49.455917,20.155214,5100,135.6,111.6,-128
49.455282,20.158205,5100,133.8,106.9,0
49.455049,20.160061,5125,133.2,100.4,128
49.45491,20.164143,5125,132.8,99.5,128
49.454956,20.165628,5125,131.4,85.6,0
49.455235,20.168375,5100,131.2,82.1,-128
