lat,lon,alt,gs,track,vs
20.888626,-156.427705,450,74.2,183.9,1024
20.888626,-156.427704,750,77.7,191.0,1024
20.881239,-156.441767,1125,93.4,232.4,1152
20.881805,-156.453842,1425,97.1,273.0,1216
20.88089,-156.459091,1850,97.1,259.0,1216
20.879608,-156.462479,1850,100.0,247.0,1088
20.877422,-156.467392,2225,100.0,244.0,1088
20.876266,-156.46994,2225,106.0,244.0,704
20.873791,-156.475327,2225,110.0,243.0,640
20.869217,-156.48494,2225,113.0,242.0,768
20.867065,-156.488373,2725,114.0,236.0,640
20.863409,-156.492401,2875,114.0,226.0,640
20.860012,-156.495743,3025,114.0,223.0,640
20.858381,-156.497253,3100,114.0,221.0,640
20.852377,-156.502791,3200,114.0,221.0,640
20.833511,-156.520355,3350,122.6,221.0,0
20.823654,-156.528809,3350,141.0,219.0,-128
20.81749,-156.534331,3425,141.0,219.0,-128
20.81662,-156.535361,3425,140.8,227.0,128
20.815321,-156.537048,3425,140.9,231.3,192
20.81439,-156.538497,3425,139.5,237.0,192
20.813319,-156.540594,3450,139.6,241.8,64
20.812481,-156.542591,3450,138.9,247.1,192
20.811923,-156.544389,3425,137.9,251.8,-192
20.811411,-156.546487,3400,136.6,256.9,-192
20.811131,-156.548334,3400,134.8,260.6,-256
20.810992,-156.550132,3400,131.5,265.2,-256
20.810945,-156.55213,3375,127.0,270.9,-192
20.811085,-156.553728,3375,122.5,275.1,-192
20.811318,-156.555475,3375,117.5,279.3,-256
20.811643,-156.557123,3350,114.2,283.7,-256
20.81218,-156.55905,3325,109.8,287.0,-384
20.812574,-156.56022,3325,105.0,289.5,-320
20.813644,-156.563268,3275,100.7,291.0,-256
20.81456,-156.565574,3250,96.3,293.9,-320
20.815292,-156.567143,3225,93.0,296.8,-384
20.815887,-156.568173,3200,89.0,302.6,-384
20.816718,-156.569408,3175,86.4,307.0,-512
20.81858,-156.571805,3125,83.1,309.6,-384
20.821094,-156.575051,3100,78.1,309.8,-128
20.821745,-156.5758,3100,74.4,311.2,-64
20.822257,-156.576349,3100,70.7,313.9,0
20.823303,-156.577443,3125,66.5,317.4,192
20.824036,-156.57808,3125,61.7,319.6,256
20.824219,-156.578276,3125,58.4,322.0,256
20.824539,-156.578473,3150,52.2,327.5,192
20.824771,-156.578597,3150,50.8,327.9,192
20.824818,-156.578647,3150,44.7,333.4,256
20.824997,-156.578718,3150,39.2,340.6,320
20.825144,-156.578746,3175,34.9,346.8,384
20.825272,-156.578718,3175,29.0,358.0,384
20.82533,-156.578697,3175,26.2,6.6,384
20.825409,-156.578669,3175,21.9,24.2,384
20.825455,-156.578571,3175,18.5,49.4,384
20.825469,-156.578497,3175,19.2,81.0,320
20.825423,-156.578447,3175,22.4,100.3,192
20.825376,-156.578297,3175,29.7,122.6,0
20.825226,-156.578178,3175,37.5,136.1,-128
20.825144,-156.578097,3175,39.7,139.1,-192
20.82486,-156.577933,3150,44.7,145.9,-128
20.824725,-156.577848,3150,51.5,150.9,-64
20.82431,-156.577688,3150,61.1,158.9,-192
20.824166,-156.577648,3125,63.6,160.7,-256
20.823898,-156.57759,3125,67.7,163.7,-384
20.822304,-156.577148,3100,66.7,167.0,-384
20.821884,-156.57705,3100,62.4,168.0,-256
20.821466,-156.576999,3100,58.5,167.1,-192
20.82114,-156.576899,3100,54.3,167.2,-64
20.820694,-156.576805,3100,49.8,169.6,0
20.820395,-156.576749,3100,46.5,171.4,0
20.820116,-156.576699,3075,42.3,173.2,-64
20.819962,-156.576707,3075,39.2,174.1,-128
20.819824,-156.576707,3075,37.1,175.4,-192
20.819778,-156.576707,3075,31.1,176.3,-256
20.819687,-156.576707,3075,28.0,177.9,-256
20.819595,-156.576707,3050,25.0,180.0,-320
20.819511,-156.576699,3050,18.0,183.2,-384
20.819464,-156.576699,3050,16.0,183.6,-384
20.819464,-156.576749,3025,7.2,213.7,-512
20.819458,-156.576756,3025,8.1,277.1,-576
20.819511,-156.576849,3000,6.1,260.5,-512
20.819557,-156.576849,3000,17.8,308.2,-704
20.819604,-156.576899,2975,20.6,309.1,-704
20.819687,-156.57705,2975,28.3,312.1,-768
20.819744,-156.577098,2975,32.6,312.5,-768
20.819883,-156.577248,2950,39.7,310.9,-768
20.820053,-156.577443,2950,45.3,311.4,-768
20.820209,-156.577648,2950,53.3,309.7,-704
20.820511,-156.57808,2925,57.0,307.9,-640
20.820694,-156.578375,2925,59.0,308.8,-576
20.820877,-156.57862,2925,63.6,306.7,-256
20.821466,-156.579446,2950,68.2,304.9,128
