lat,lon,alt,gs,track
35.239509,-120.648408,-50.0,0.0,0.0
35.239529,-120.648394,-50.0,0.0,0.0
35.239529,-120.648422,-50.0,0.0,0.0
35.239529,-120.648422,-50.0,0.0,0.0
35.239485,-120.648437,-50.0,0.0,0.0
35.239483,-120.648394,-50.0,0.9,0.0
35.239334,-120.648165,-50.0,3.2,0.0
35.239265,-120.647821,-50.0,4.2,0.0
35.239231,-120.647306,-50.0,1.9,0.0
35.239231,-120.647221,-50.0,3.2,0.0
35.239231,-120.646935,-50.0,5.2,0.0
35.23914,-120.64662,-50.0,9.2,0.0
35.238911,-120.646162,-50.0,12.2,0.0
35.238647,-120.645761,-50.0,14.2,0.0
35.238407,-120.645304,-50.0,15.5,0.0
35.238155,-120.644875,-50.0,15.5,0.0
35.237915,-120.644445,-50.0,13.2,0.0
35.237686,-120.643973,-50.0,10.2,0.0
35.23772,-120.643544,-50.0,5.2,0.0
35.23772,-120.643458,-50.0,1.9,0.0
35.23772,-120.643358,-50.0,4.2,0.0
35.237743,-120.642986,-50.0,7.2,0.0
35.237789,-120.6426,-50.0,11.2,0.0
35.237789,-120.642457,-50.0,15.5,0.0
35.237789,-120.642242,-50.0,19.5,0.0
35.237789,-120.641727,-50.0,23.5,0.0
35.237789,-120.641184,-50.0,22.5,0.0
35.237789,-120.640712,-50.0,18.5,0.0
35.237789,-120.640225,-50.0,14.2,0.0
35.237709,-120.639725,-50.0,11.2,0.0
35.237469,-120.639324,-50.0,12.2,0.0
35.237251,-120.638952,-50.0,12.2,0.0
35.237,-120.638509,-50.0,13.2,0.0
35.236736,-120.63808,-50.0,12.2,0.0
35.236565,-120.637751,-50.0,14.2,0.0
35.236347,-120.637393,-50.0,14.2,0.0
35.236141,-120.637007,-50.0,13.2,0.0
35.235821,-120.63642,-50.0,12.2,0.0
35.235649,-120.636106,-50.0,13.2,0.0
35.235455,-120.635777,-50.0,14.2,0.0
35.235214,-120.635376,-50.0,13.2,0.0
35.234997,-120.63499,-50.0,13.2,0.0
35.234768,-120.634575,-50.0,11.2,0.0
35.23455,-120.634217,-50.0,10.2,0.0
35.23431,-120.633788,-50.0,10.2,0.0
35.234058,-120.633359,-50.0,10.2,0.0
35.233818,-120.632944,-50.0,10.2,0.0
35.233692,-120.632687,-50.0,10.2,0.0
35.233429,-120.632243,-50.0,8.2,0.0
35.233246,-120.632,-50.0,4.2,0.0
35.233073,-120.632074,-50.0,0.0,0.0
35.233074,-120.632071,-50.0,0.0,0.0
35.233074,-120.632071,-50.0,0.0,0.0
35.233074,-120.632071,-50.0,0.0,0.0
35.233074,-120.632071,-50.0,0.0,0.0
35.233051,-120.632157,-50.0,3.2,0.0
35.233028,-120.632243,-50.0,6.2,0.0
35.232788,-120.632944,-50.0,8.2,0.0
35.232811,-120.633059,-50.0,10.2,0.0
35.23288,-120.633187,-50.0,15.5,0.0
35.233246,-120.633831,225,15.5,248.0
35.233383,-120.63406,200,39.4,305.7
35.233521,-120.634346,200,47.4,304.7
35.233932,-120.63509,200,51.6,305.5
35.234161,-120.635376,200,64.6,304.9
35.234665,-120.636292,175,72.7,304.4
35.234894,-120.636806,200,79.9,304.3
35.235443,-120.637665,200,85.4,305.0
35.235672,-120.638065,200,89.1,304.9
35.236359,-120.639324,250,93.5,304.5
35.23764,-120.641556,350,97.9,304.2
35.238876,-120.643845,450,102.6,303.1
35.240021,-120.646019,550,104.0,303.2
35.241074,-120.647907,650,106.5,304.3
35.242401,-120.650196,750,108.2,305.6
35.243317,-120.651684,825,109.0,307.9
35.244095,-120.652828,900,108.6,310.1
35.245239,-120.654202,1000,108.2,316.1
35.246017,-120.654945,1075,107.9,320.3
35.246658,-120.655518,1125,107.3,326.0
35.24762,-120.656147,1175,106.9,331.5
35.248947,-120.656776,1250,107.7,338.2
35.249908,-120.65712,1325,107.0,344.3
35.251282,-120.657406,1400,106.5,350.3
35.252426,-120.657578,1475,106.4,355.1
35.253708,-120.657578,1550,106.0,1.1
35.255447,-120.657349,1625,105.5,5.4
35.257782,-120.656948,1725,105.2,8.8
35.259476,-120.656605,1800,104.6,9.9
35.261581,-120.656147,1900,104.6,9.9
35.263504,-120.655689,2000,104.7,10.4
35.265976,-120.655117,2100,103.9,11.1
35.268173,-120.654602,2200,105.1,11.5
35.270508,-120.653915,2300,108.2,13.9
35.273026,-120.653114,2400,109.2,15.9
35.275635,-120.652084,2500,109.4,18.1
35.278336,-120.65094,2600,110.1,19.1
35.281265,-120.649796,2700,111.6,18.3
35.283737,-120.648823,2800,111.3,17.8
35.286072,-120.647907,2900,112.0,17.1
35.288681,-120.646935,3000,112.0,17.1
35.290833,-120.646076,3100,112.0,17.1
35.293533,-120.645103,3200,112.0,17.1
35.296829,-120.643845,3300,114.2,17.3
35.299393,-120.642986,3400,113.5,14.3
35.302917,-120.642014,3500,115.7,12.5
35.306168,-120.640984,3600,118.1,15.2
35.308548,-120.640297,3650,119.4,11.6
35.311066,-120.63961,3725,120.5,13.9
35.311981,-120.639153,3750,121.6,21.7
35.315231,-120.637665,3850,120.2,19.9
35.317337,-120.636921,3950,117.4,15.8
35.319214,-120.636292,4050,115.2,15.6
35.321732,-120.635433,4150,112.5,14.4
35.324249,-120.634689,4250,112.5,14.4
35.326813,-120.633888,4350,112.3,13.9
35.329514,-120.63303,4450,112.8,14.9
35.331528,-120.632343,4550,111.8,15.0
