lat,lon,alt,gs,track,vs
38.180946,-85.745165,275,14.2,337.5,0
38.181179,-85.745246,275,15.5,345.9,0
38.181843,-85.74547,275,16.5,345.9,0
38.182576,-85.745709,275,16.5,345.9,0
38.182972,-85.745837,275,15.5,345.9,0
38.183384,-85.745983,275,15.5,345.9,0
38.177676,-85.745724,300,72.3,165.6,0
38.167831,-85.742447,375,72.3,165.6,0
38.166876,-85.742141,425,153.1,165.2,1728
38.165909,-85.741804,475,152.1,165.1,2432
38.165247,-85.741604,550,148.9,165.2,2944
38.163944,-85.741186,650,147.7,165.5,3136
38.162594,-85.740768,750,145.3,166.1,3264
38.161469,-85.740402,850,143.3,165.9,3392
38.159409,-85.739759,1050,138.0,166.2,3520
38.158218,-85.739408,1150,135.8,166.4,3520
38.157257,-85.739116,1225,134.1,165.8,3520
38.156449,-85.738797,1325,132.2,165.5,3456
38.155563,-85.738532,1400,130.5,164.9,3456
38.154694,-85.738181,1500,129.8,164.4,3392
38.153549,-85.737772,1600,127.2,163.6,3264
38.152451,-85.737363,1700,126.5,163.0,3072
38.151421,-85.736946,1800,125.9,162.4,2752
38.150583,-85.736588,1850,125.9,162.4,2368
38.149109,-85.736019,1950,126.8,162.6,2048
38.148193,-85.735668,2000,128.4,163.3,1600
38.146161,-85.734916,2075,133.2,163.9,1152
38.144348,-85.734266,2125,138.1,164.4,960
38.142157,-85.733662,2175,142.8,168.7,1088
38.140228,-85.733272,2250,146.9,173.8,1216
38.137548,-85.733125,2325,150.1,177.7,1344
38.135035,-85.733185,2400,155.1,181.9,1216
38.132055,-85.733304,2475,159.1,182.2,1408
38.129355,-85.733424,2575,164.1,181.4,1664
38.126283,-85.733424,2675,169.0,180.3,1408
38.123886,-85.733389,2750,173.0,179.3,1408
38.121231,-85.733331,2825,177.0,179.0,1600
38.118741,-85.733304,2900,180.0,179.1,2048
38.11674,-85.733245,3000,181.0,179.1,2176
38.114738,-85.733185,3100,183.0,179.1,2368
38.112167,-85.733156,3200,184.0,179.4,2560
38.110474,-85.733156,3300,184.0,179.7,2624
38.108368,-85.733156,3400,185.0,179.4,2688
38.106354,-85.733097,3500,186.0,179.7,2624
38.104523,-85.733097,3600,187.0,179.7,2624
38.102681,-85.733125,3700,188.0,180.0,2560
38.100586,-85.733125,3800,189.0,180.3,2496
38.098398,-85.733185,3900,190.1,181.5,2432
38.096191,-85.733389,3975,191.8,185.4,1984
38.094953,-85.733603,4025,194.2,188.6,1664
38.09351,-85.733961,4050,196.3,192.1,1280
38.091741,-85.734618,4100,199.9,197.2,896
38.089371,-85.735844,4125,203.8,203.4,640
38.087677,-85.737012,4150,208.5,210.9,768
38.0858,-85.738707,4200,212.8,217.0,896
38.084712,-85.739872,4225,216.5,223.1,960
38.083129,-85.742081,4250,220.5,229.2,1216
38.081872,-85.744171,4300,224.1,236.1,1536
38.08049,-85.747181,4375,227.7,242.5,1920
38.079483,-85.750161,4450,232.0,249.3,2048
38.078613,-85.753784,4550,234.2,253.9,2240
38.078008,-85.757307,4650,238.2,260.6,2432
38.077744,-85.760388,4750,240.0,264.7,2368
38.077636,-85.764651,4850,243.0,269.3,2624
38.077636,-85.767039,4925,243.0,270.2,2944
38.077682,-85.769786,5025,243.0,270.9,2880
38.077775,-85.772652,5125,244.1,271.6,2752
38.077868,-85.775578,5225,245.3,273.0,2496
38.078156,-85.779847,5325,247.9,274.9,2176
38.078522,-85.783471,5425,252.2,277.5,1856
38.079265,-85.788952,5525,256.9,281.2,1664
38.080243,-85.794326,5625,261.0,284.2,1792
38.081174,-85.798446,5700,263.8,287.2,2240
38.081965,-85.801372,5800,264.7,289.2,2496
38.083082,-85.804835,5900,266.2,293.0,2752
38.0842,-85.807641,6000,267.4,297.1,2880
38.085846,-85.81117,6100,269.1,302.1,2752
38.087458,-85.814149,6200,270.6,306.0,2560
38.088994,-85.816478,6300,271.6,309.0,2432
38.091293,-85.819468,6400,274.4,315.3,2304
38.093836,-85.82221,6500,276.1,321.5,2432
38.09635,-85.824479,6600,277.4,326.0,2432
38.099096,-85.826449,6700,278.4,331.2,2432
38.102308,-85.8283,6800,279.7,337.3,2304
38.105484,-85.829753,6900,280.9,342.6,2240
38.109009,-85.830864,7000,282.1,347.1,2304
38.112876,-85.831823,7125,282.2,349.0,2752
38.118509,-85.833196,7325,282.8,349.4,2880
38.123676,-85.83439,7525,282.8,349.4,2880
