lat,lon,alt,gs,track
33.184344,-82.382551,1600,0.0,0.0
33.181551,-82.382663,1700,0.0,0.0
33.179489,-82.382959,1800,88.7,187.1
33.177221,-82.383224,1800,92.3,184.4
33.175232,-82.383398,1900,94.1,183.0
33.169913,-82.38384,2000,95.2,183.6
33.167492,-82.383952,2100,99.0,181.2
33.162185,-82.384008,2200,103.0,181.7
33.157669,-82.383952,2200,102.0,179.4
33.157196,-82.383948,2300,100.0,178.3
33.15455,-82.383952,2300,99.0,181.7
33.15152,-82.384058,2400,97.0,181.2
33.14946,-82.384003,2400,95.1,177.0
33.144402,-82.383896,2500,95.0,179.4
33.141748,-82.383952,2600,95.0,179.4
33.138676,-82.384064,2700,91.0,180.0
33.136002,-82.384058,2800,92.0,180.6
33.128853,-82.383952,2900,93.0,181.2
33.124237,-82.384058,3000,87.1,183.3
33.122243,-82.384289,3000,86.5,186.0
33.121674,-82.384387,3100,85.6,186.7
33.120117,-82.384442,3100,85.5,186.0
33.117681,-82.384457,3200,85.0,180.7
33.113445,-82.384569,3300,87.0,180.7
33.110093,-82.384345,3400,91.1,177.5
33.107719,-82.384345,3400,94.0,180.6
33.104926,-82.384457,3500,95.1,182.4
33.100067,-82.384662,3600,94.1,181.8
33.097549,-82.384717,3600,90.1,182.5
33.094684,-82.384905,3700,89.1,182.6
33.092239,-82.384937,3800,86.0,181.3
33.088211,-82.384937,3900,86.0,179.3
33.083817,-82.384937,4000,84.0,180.0
33.078624,-82.385073,4100,84.0,181.4
33.076529,-82.384961,4200,81.1,177.9
33.072851,-82.384961,4200,82.0,181.4
33.071455,-82.385017,4200,85.1,183.4
33.068987,-82.385129,4200,94.0,181.2
33.061958,-82.385241,4300,97.0,180.0
33.061111,-82.385266,4300,104.0,180.6
33.057675,-82.38541,4200,107.1,182.1
33.050537,-82.385815,4200,103.0,181.7
33.047201,-82.38597,4200,98.1,182.3
33.045639,-82.386035,4300,93.0,181.2
33.041245,-82.38609,4200,96.0,181.2
33.036484,-82.38609,4200,96.0,181.2
33.028244,-82.38609,4300,91.0,181.3
33.025406,-82.38609,4200,92.0,180.0
33.017221,-82.386082,4200,95.0,180.0
33.008888,-82.386026,4200,92.0,180.6
33.006095,-82.386026,4200,90.0,178.7
32.999857,-82.385858,4200,94.0,178.8
32.995148,-82.385815,4200,95.0,180.0
32.987549,-82.385925,4300,93.0,180.6
32.983978,-82.38598,4200,95.0,181.2
32.97686,-82.386138,4200,95.1,182.4
32.973043,-82.386306,4200,96.0,180.0
32.96489,-82.386255,4200,95.0,180.0
32.960083,-82.3862,4200,95.0,178.2
32.957428,-82.3862,4200,95.0,180.6
32.94928,-82.386255,4200,92.0,180.6
32.947311,-82.386255,4200,92.0,180.6
32.942179,-82.386026,4200,94.0,179.4
32.939392,-82.385925,4300,91.1,177.5
32.937058,-82.385858,4300,92.0,180.6
32.934448,-82.38598,4200,94.1,182.4
32.926575,-82.38631,4200,92.1,181.9
32.924011,-82.386365,4200,90.0,179.4
32.917553,-82.386306,4200,93.0,180.6
32.909267,-82.386419,4200,94.0,180.6
32.901073,-82.386475,4200,90.0,181.3
32.894603,-82.386531,4200,88.0,180.0
32.891739,-82.38653,4300,88.0,181.3
32.889633,-82.386584,4200,91.0,180.6
32.885376,-82.386584,4200,92.0,178.8
32.879333,-82.38653,4200,89.0,180.0
32.87249,-82.386699,4200,88.0,179.4
32.870865,-82.386639,4300,85.1,178.0
32.867523,-82.38653,4300,88.0,180.0
32.865414,-82.386643,4200,91.1,182.5
32.860886,-82.386859,4200,92.0,181.2
32.855499,-82.386811,4200,92.0,180.0
32.848206,-82.386859,4200,92.0,180.6
32.846421,-82.386923,4300,93.0,181.2
32.844606,-82.386979,4200,94.0,181.2
32.839645,-82.387024,4200,95.1,182.4
32.8358,-82.387189,4200,95.0,180.6
32.831497,-82.387134,4200,99.0,178.8
32.824076,-82.386979,4200,95.0,179.4
