lat,lon,alt,gs,track
36.380853,-84.028638,2550,133.2,267.0
36.380853,-84.030625,2600,133.1,271.7
36.381039,-84.033664,2700,132.4,274.3
36.381226,-84.036312,2750,132.5,274.8
36.381454,-84.040031,2850,131.5,274.8
36.381877,-84.044475,2950,131.0,277.0
36.382462,-84.051075,3050,134.7,276.0
36.382576,-84.054293,3100,136.1,272.5
36.382645,-84.059715,3200,138.0,270.4
36.382669,-84.064987,3300,138.0,270.0
36.382507,-84.069843,3350,139.1,267.9
36.382296,-84.072175,3400,140.2,262.6
36.381775,-84.07608,3450,139.8,258.5
36.381086,-84.079713,3550,139.7,256.8
36.380219,-84.084949,3650,139.3,259.7
36.379922,-84.087895,3700,139.8,263.8
36.379715,-84.091873,3775,141.1,268.0
36.379689,-84.096836,3875,141.0,269.6
36.379578,-84.101715,3975,141.2,267.2
36.379317,-84.105134,4025,139.0,263.0
36.378799,-84.108181,4075,136.6,256.9
36.377874,-84.112438,4175,134.5,253.6
36.376803,-84.116646,4275,132.2,252.4
36.3755,-84.121555,4375,130.9,251.3
36.374243,-84.12623,4450,131.3,253.6
36.373764,-84.128666,4500,131.7,256.4
36.373219,-84.13219,4550,133.7,261.0
36.372986,-84.135288,4600,135.4,265.8
36.372849,-84.139423,4675,137.0,269.2
36.372893,-84.146099,4750,138.0,270.4
36.3728,-84.152644,4825,139.1,267.9
36.37262,-84.159737,4925,139.0,269.6
36.37262,-84.16626,5000,139.1,267.9
36.372334,-84.169006,5050,137.5,261.6
36.371915,-84.170935,5075,136.1,256.0
36.371384,-84.172611,5100,135.8,247.0
36.370377,-84.174957,5125,135.6,241.4
36.368936,-84.178006,5150,137.1,237.8
36.367074,-84.181395,5175,138.5,234.7
36.365631,-84.183616,5200,137.1,230.6
36.363785,-84.186115,5275,137.2,226.8
36.361542,-84.188805,5325,135.8,223.2
36.358741,-84.191739,5400,134.2,219.9
36.356227,-84.194193,5450,133.6,216.8
36.354365,-84.195712,5500,132.6,212.4
36.352968,-84.196647,5525,131.9,206.6
36.351151,-84.197617,5550,131.7,200.9
36.347672,-84.199047,5650,130.6,198.3
36.345799,-84.19992,5675,131.1,201.5
36.344238,-84.200935,5700,131.1,207.7
36.34227,-84.202423,5750,131.5,213.2
36.339841,-84.204537,5825,130.8,216.6
36.335907,-84.208374,5900,131.0,218.2
36.33202,-84.212134,6000,130.4,217.8
36.327988,-84.216042,6100,130.4,217.8
36.323959,-84.219818,6175,129.8,217.5
36.320102,-84.223529,6275,129.0,217.8
36.316099,-84.227327,6350,130.0,216.9
36.312701,-84.230425,6450,130.0,216.9
36.308511,-84.234281,6525,133.0,216.4
36.304275,-84.23808,6600,134.6,215.9
36.299806,-84.242054,6675,136.0,216.0
36.295523,-84.245911,6750,136.0,216.0
36.29068,-84.250259,6825,136.8,215.8
36.286057,-84.254379,6900,136.8,215.8
36.281525,-84.258385,6975,136.0,216.0
36.274714,-84.264494,7075,136.0,216.0
36.268057,-84.270455,7200,136.8,215.8
36.262161,-84.27578,7275,136.4,216.9
36.260562,-84.277409,7300,136.8,221.1
36.259398,-84.27887,7325,138.0,227.1
36.25856,-84.280272,7350,138.8,233.8
36.257721,-84.282017,7350,140.5,241.1
36.257217,-84.283504,7375,142.2,248.1
36.256851,-84.285107,7400,143.1,254.6
36.256577,-84.287167,7400,144.4,262.0
36.256512,-84.289272,7425,145.1,268.4
36.256605,-84.292135,7475,146.3,273.5
36.256989,-84.296207,7525,146.2,277.5
36.258281,-84.306861,7625,145.7,278.7
36.259506,-84.317207,7725,148.5,278.1
