lat,lon,alt,gs,track,vs
40.270665,-79.413612,975,132.2,225.9,960
40.267365,-79.417969,1100,140.7,224.1,1408
40.265917,-79.419791,1200,144.3,223.9,1728
40.263915,-79.422226,1300,147.9,223.1,1728
40.260544,-79.423401,1350,152.4,198.0,960
40.258701,-79.422725,1375,158.4,165.0,768
40.257706,-79.422302,1400,162.9,161.0,704
40.25521,-79.421227,1475,165.1,160.9,1536
40.252323,-79.420041,1650,165.1,162.0,2240
40.250601,-79.419292,1775,165.1,162.0,2496
40.248553,-79.418481,1850,165.1,162.0,2368
40.247063,-79.417856,1925,166.0,162.1,2496
40.245573,-79.417295,2025,168.3,163.1,2240
40.242873,-79.416233,2175,169.2,163.2,2432
40.240499,-79.415297,2325,168.3,163.1,2944
40.238125,-79.414361,2450,168.2,162.0,2752
40.236915,-79.413861,2525,169.2,162.1,2624
40.234541,-79.412863,2625,170.5,161.9,2048
40.231659,-79.411621,2725,172.4,161.0,1920
40.228721,-79.410303,2825,176.5,160.1,1536
40.225602,-79.408868,2925,180.0,159.9,1664
40.223415,-79.407869,3000,182.0,159.1,1856
40.22168,-79.406982,3100,181.1,159.0,2112
40.218666,-79.405497,3200,184.4,158.0,1728
40.215912,-79.404053,3300,187.8,157.1,1856
40.212521,-79.402251,3400,192.2,157.0,1472
40.207718,-79.399597,3500,196.1,155.9,1152
40.203049,-79.396851,3600,198.6,155.0,1152
40.198463,-79.394073,3675,203.5,154.1,640
40.193161,-79.390686,3775,207.5,153.1,1408
40.189362,-79.388123,3875,208.5,152.0,1600
40.185428,-79.385397,3975,209.0,151.1,1344
40.181145,-79.381964,4050,209.7,147.1,1152
40.179888,-79.380715,4050,211.2,141.0,640
40.177826,-79.37793,4050,213.5,135.0,128
40.177002,-79.37647,4075,215.4,126.1,256
40.1754,-79.373108,4075,217.1,121.1,128
40.174255,-79.370041,4100,218.0,114.1,-64
40.172579,-79.364173,4125,215.1,110.1,512
40.170547,-79.356689,4200,210.6,109.1,768
40.168716,-79.349878,4250,206.2,108.1,448
40.165643,-79.337706,4175,206.2,108.1,-2048
40.162857,-79.326477,4150,207.0,106.0,832
40.160569,-79.316295,4225,203.8,105.9,448
40.159312,-79.311676,4275,202.1,110.0,576
40.157867,-79.307434,4325,200.0,115.2,640
40.154238,-79.297194,4400,198.9,113.1,384
40.148163,-79.278748,4375,203.7,111.9,-256
40.144226,-79.267395,4375,207.7,113.8,0
40.140784,-79.256932,4375,209.5,112.2,64
40.138596,-79.249379,4400,208.5,109.9,192
40.134842,-79.23584,4325,210.6,109.1,-256
40.131592,-79.223694,4300,214.7,109.0,-192
40.127005,-79.206182,4275,216.6,108.0,-192
40.1237,-79.192824,4275,216.6,108.8,-384
40.122757,-79.190247,4250,216.1,114.9,-256
40.121109,-79.186646,4275,215.7,121.0,-128
40.119138,-79.183086,4275,214.2,127.0,320
40.115158,-79.177002,4300,215.7,130.1,-192
40.113737,-79.174784,4400,214.7,128.9,1408
40.113144,-79.173828,4475,211.9,128.9,2432
40.112248,-79.172474,4550,205.5,128.9,4096
40.111908,-79.171936,4650,205.5,128.9,4096
40.110851,-79.170227,4750,201.9,129.0,4800
40.109985,-79.168945,4850,199.8,129.1,4480
40.10871,-79.166919,4975,198.3,129.1,4160
40.107925,-79.165649,5075,196.9,129.0,3968
40.107239,-79.164551,5175,194.1,128.9,3840
40.106094,-79.162781,5275,192.7,128.9,4032
40.104334,-79.160052,5375,194.5,130.0,2432
40.10257,-79.157349,5475,197.3,130.1,2048
40.100796,-79.154621,5575,199.1,128.9,1920
40.099045,-79.151794,5675,200.5,128.9,2048
40.097537,-79.149316,5775,200.8,128.1,2048
40.095675,-79.146257,5875,201.4,126.9,2368
40.094421,-79.144104,5975,202.8,127.0,2240
40.092649,-79.141263,6075,204.4,128.1,2176
40.090275,-79.13733,6150,208.0,128.0,1472
40.083292,-79.125595,6225,211.4,126.9,384
40.075562,-79.112305,6175,213.4,125.8,-192
40.065308,-79.093933,6125,216.2,126.0,-448
40.053955,-79.073547,6125,216.1,125.0,320
40.046906,-79.060364,6175,214.7,124.0,128
40.043164,-79.053497,6275,210.3,125.1,832
40.038881,-79.045695,6375,210.3,125.1,768
40.035902,-79.040389,6475,209.8,125.9,1216
40.033854,-79.036706,6575,207.6,126.0,1216
40.032504,-79.034334,6650,206.2,125.9,1216
40.032271,-79.033959,6675,206.2,125.9,1920
40.030037,-79.029902,6750,206.1,124.9,1920
40.029465,-79.028931,6775,206.1,124.9,1344
40.026499,-79.02341,6875,206.1,124.9,1152
40.023193,-79.017355,6975,206.1,124.9,1152
40.017609,-79.006836,7100,208.9,124.1,832
40.014816,-79.001892,7125,212.6,126.0,384
40.012347,-78.997504,7100,216.2,126.0,64
40.006943,-78.987915,7200,221.1,125.1,320
40.006574,-78.987267,7200,221.1,125.1,832
40.001358,-78.977417,7350,220.5,123.9,1152
39.994354,-78.963623,7400,224.1,123.0,1408
39.99115,-78.957153,7300,228.6,121.9,1408
39.987762,-78.950012,7200,233.4,120.1,1408
39.984508,-78.942323,7175,235.7,117.0,1408
39.980505,-78.931711,7200,232.6,114.9,448
39.975384,-78.917167,7275,227.8,114.1,320
39.973243,-78.911174,7250,226.7,117.0,-128
39.971603,-78.907715,7225,227.8,122.1,-768
39.969086,-78.903198,7125,229.8,126.0,-1344
39.966213,-78.89869,7100,232.8,130.1,-640
39.956772,-78.883911,7150,228.2,129.1,832
39.950199,-78.873097,7200,223.4,127.2,-128
39.944916,-78.864502,7175,224.0,129.0,-256
39.937677,-78.853559,7125,228.5,130.0,-192
39.930368,-78.842572,7075,233.2,131.0,-256
39.923432,-78.833147,7025,237.7,132.9,-192
39.910675,-78.815321,7100,235.8,132.1,1408
39.898041,-78.79699,7150,231.8,131.0,-128
39.885492,-78.778198,7150,230.7,129.9,192
39.878788,-78.767517,7200,228.7,128.1,192
39.871124,-78.754598,7150,230.6,127.1,-192
39.865082,-78.74379,7150,231.1,125.1,-64
39.853958,-78.72337,7175,230.5,124.0,128
39.843979,-78.704144,7175,231.3,123.0,-64
39.837543,-78.691162,7075,234.9,123.0,-512
39.834471,-78.685669,7025,237.0,127.1,-768
39.827534,-78.674561,7000,238.2,129.0,-320
39.823158,-78.66748,7050,233.7,128.1,0
39.810217,-78.646118,7075,230.6,127.1,0
39.802917,-78.634046,7000,233.0,127.8,-384
39.800262,-78.630345,6975,232.8,133.1,-640
39.797745,-78.627359,6975,231.5,138.0,-128
39.793167,-78.622344,7050,229.0,139.1,512
39.790851,-78.61969,7100,225.9,138.1,1536
39.786568,-78.614685,7175,221.5,137.0,704
39.776505,-78.602759,7175,220.7,136.1,-64
39.774307,-78.599595,7175,221.2,131.0,-192
39.771997,-78.59552,7175,221.2,126.0,64
39.770142,-78.591654,7150,222.9,121.1,-128
39.768925,-78.588501,7150,223.6,117.1,-448
39.76712,-78.583354,7100,225.9,112.9,-576
39.765341,-78.578064,7000,228.1,113.0,-1088
39.764037,-78.573975,6900,232.9,111.9,-1728
39.762873,-78.570312,7000,231.9,112.0,448
39.761398,-78.565501,7075,226.9,110.9,1728
39.759567,-78.560008,7075,225.6,114.1,-128
39.758377,-78.557202,7050,226.4,117.9,-384
39.756454,-78.553619,7025,226.9,124.0,-576
