lat,lon,alt,gs,track,vs
36.046655,-79.477903,300,25.6,51.3,0
36.047306,-79.476851,300,48.4,51.7,0
36.049759,-79.47298,300,81.2,52.0,128
36.051729,-79.46978,300,82.6,51.9,640
36.052893,-79.468085,400,81.7,50.5,768
36.054289,-79.465923,500,83.2,51.3,640
36.055573,-79.464054,500,87.2,49.2,640
36.056671,-79.462509,600,90.0,49.0,576
36.058136,-79.460621,600,91.2,45.4,768
36.058731,-79.45982,700,91.9,44.1,832
36.060853,-79.457274,800,91.9,45.0,896
36.063492,-79.453926,900,94.1,46.3,768
36.065918,-79.450951,1000,92.6,44.6,704
36.069093,-79.446989,1100,93.3,45.0,576
36.070404,-79.4454,1100,92.8,41.9,704
36.072144,-79.443626,1200,92.5,38.8,704
36.075668,-79.44025,1300,93.4,37.6,512
36.077545,-79.438419,1300,92.9,41.1,704
36.078869,-79.436938,1400,91.4,41.0,768
36.080824,-79.434951,1400,91.1,38.8,704
36.081476,-79.434308,1500,90.6,37.4,704
36.084688,-79.431269,1600,91.1,38.8,512
36.088486,-79.427433,1700,93.0,40.2,576
36.091415,-79.424229,1800,92.0,42.4,640
36.094208,-79.420967,1800,91.2,43.7,576
36.09465,-79.4204,1900,91.2,44.6,576
36.097024,-79.417419,1900,92.0,46.8,576
36.098188,-79.415783,2000,92.1,48.5,576
36.10019,-79.41292,2000,92.5,51.2,576
36.101166,-79.411297,2100,92.2,53.4,640
36.103455,-79.40752,2200,90.6,52.6,640
36.105927,-79.403744,2200,91.7,50.8,576
36.106293,-79.403114,2300,90.9,50.4,576
36.108765,-79.399452,2400,90.4,51.7,576
36.111595,-79.394921,2500,89.8,52.2,512
36.114574,-79.39007,2600,91.6,53.9,576
36.11705,-79.385777,2600,91.3,55.3,512
36.117188,-79.385548,2700,91.5,56.1,512
36.119881,-79.380604,2800,91.5,56.1,576
36.122255,-79.376279,2900,89.9,55.4,576
36.124257,-79.372598,2900,90.4,57.2,512
36.125015,-79.371128,3000,90.2,58.6,576
36.127258,-79.366436,3100,90.2,58.6,448
36.129318,-79.362202,3100,91.8,60.6,320
36.130371,-79.359741,3200,93.1,61.8,448
36.131287,-79.357796,3200,92.1,57.9,704
36.132683,-79.355241,3300,89.6,54.5,512
36.133707,-79.353664,3300,90.1,50.0,448
