lat,lon,alt,gs,track,vs
29.814651,-95.670847,225,65.4,156.6,704
29.813496,-95.670346,275,66.7,160.8,576
29.811913,-95.669861,350,65.5,164.1,704
29.809982,-95.669315,425,66.7,167.0,640
29.808334,-95.668945,475,65.9,170.4,704
29.806412,-95.668576,575,65.6,172.1,768
29.80535,-95.668514,600,66.1,177.4,512
29.803069,-95.668514,650,69.0,180.0,512
29.801651,-95.668576,700,69.2,184.1,640
29.799717,-95.668784,725,72.6,187.1,448
29.79776,-95.669209,775,73.2,190.2,576
29.796249,-95.669632,825,73.2,194.2,512
29.795013,-95.670055,875,71.5,197.9,768
29.793944,-95.670507,925,72.6,202.7,640
29.793013,-95.671046,950,73.8,206.6,576
29.792267,-95.671533,950,76.6,213.3,256
29.791534,-95.67222,975,78.1,219.8,320
29.790872,-95.672984,975,79.9,225.5,384
29.790115,-95.674016,1000,81.7,230.5,448
29.78901,-95.675731,1050,82.4,234.4,640
29.787706,-95.677993,1125,81.8,237.5,576
29.78595,-95.681041,1200,83.5,235.7,512
29.784439,-95.683629,1300,82.4,236.9,640
29.782745,-95.686745,1375,82.2,238.4,512
29.781235,-95.689439,1425,83.5,235.7,320
29.779266,-95.69245,1500,82.2,233.4,576
29.777418,-95.695442,1575,83.0,233.8,576
29.77523,-95.698996,1650,82.7,235.4,640
29.773224,-95.702168,1725,80.8,233.6,384
29.770901,-95.70589,1750,84.1,235.2,320
29.769039,-95.708852,1825,83.6,233.3,256
29.766897,-95.712083,1900,84.2,232.7,512
29.765717,-95.713736,1925,82.2,228.9,384
29.764206,-95.715532,1975,82.7,225.5,256
29.762466,-95.717644,2000,84.3,228.4,320
29.761047,-95.719599,2025,86.1,231.1,0
29.759628,-95.721764,2025,83.8,234.2,128
29.757354,-95.725493,2025,84.3,236.1,-256
29.754561,-95.730286,1975,86.3,235.4,0
29.752533,-95.733807,1950,85.4,237.4,-128
29.751389,-95.73592,1925,88.2,240.8,-320
29.750519,-95.738085,1925,88.6,244.6,-64
29.749627,-95.740087,1925,85.5,241.3,0
29.748696,-95.741757,1925,84.6,237.1,0
29.745895,-95.746695,1875,88.8,236.5,64
29.744064,-95.749864,1875,84.1,235.2,64
29.741959,-95.75335,1900,83.2,237.3,64
29.739532,-95.757892,1900,81.5,236.5,320
29.738594,-95.759313,1925,79.8,232.1,128
29.737381,-95.761009,1925,80.1,228.5,0
29.736328,-95.762382,1900,83.6,228.9,-256
29.734963,-95.764376,1900,88.4,232.4,128
29.733444,-95.766766,1925,87.7,235.2,256
29.731476,-95.770041,2000,85.2,234.1,512
29.729507,-95.77321,2025,87.9,236.1,192
29.728445,-95.775146,2075,87.0,239.6,512
29.727002,-95.778216,2150,82.4,240.9,576
29.724814,-95.782686,2200,82.5,239.4,192
29.72379,-95.784517,2225,82.9,236.3,256
29.721975,-95.787641,2300,82.1,235.9,576
29.720123,-95.79064,2375,81.6,234.0,448
29.718483,-95.793134,2425,79.0,231.7,512
29.716232,-95.796292,2500,79.8,232.1,256
29.714712,-95.798735,2525,80.2,234.1,512
29.713036,-95.801374,2625,77.1,236.1,704
29.711929,-95.803369,2675,75.8,239.0,704
29.710739,-95.805905,2725,76.1,241.8,512
29.709312,-95.809021,2800,77.4,243.1,448
29.708847,-95.809937,2825,75.5,238.0,384
29.708474,-95.810475,2850,73.1,230.0,512
29.707901,-95.811134,2900,68.7,222.1,832
29.707264,-95.81166,2925,66.9,214.6,768
29.706757,-95.811979,2950,66.2,206.9,704
29.706007,-95.812252,2950,65.8,199.5,576
29.705402,-95.812468,2975,66.0,194.0,512
29.704468,-95.812665,2975,68.7,188.4,128
29.703186,-95.812877,3000,71.8,192.9,0
29.702362,-95.813194,3000,72.5,200.2,128
29.70163,-95.813616,3025,72.5,208.0,384
29.701026,-95.814083,3050,73.2,215.0,512
29.700514,-95.814568,3050,73.7,221.7,576
29.699955,-95.815268,3075,74.3,227.7,512
29.699397,-95.816184,3100,75.0,233.1,512
29.698517,-95.817525,3150,72.2,233.4,704
29.697693,-95.818634,3225,68.0,228.6,896
29.696557,-95.8199,3250,69.3,225.0,448
29.695766,-95.820869,3250,72.9,227.8,0
29.69339,-95.823916,3300,73.6,226.1,448
29.691925,-95.825553,3350,69.3,225.0,512
29.690505,-95.827385,3400,68.7,227.9,320
29.688038,-95.830347,3425,70.0,226.7,320
29.68734,-95.831101,3450,67.4,220.8,448
29.687014,-95.831371,3475,66.3,213.9,512
29.686502,-95.831694,3500,65.7,206.2,576
29.685974,-95.831892,3500,65.1,197.9,448
29.685384,-95.832017,3525,66.1,190.5,448
29.684738,-95.83205,3525,68.0,181.7,384
29.683988,-95.831963,3525,70.6,172.7,192
29.683136,-95.831733,3550,73.8,167.5,192
29.682129,-95.831416,3550,77.2,161.1,-64
29.681009,-95.830886,3550,81.4,155.3,64
29.680031,-95.830294,3550,84.2,150.1,192
29.679245,-95.82962,3550,86.4,143.0,128
29.678495,-95.828839,3575,88.4,134.5,448
29.67789,-95.827924,3600,90.6,127.4,640
29.677414,-95.827032,3625,92.3,119.9,768
29.675995,-95.824022,3700,89.4,121.7,448
29.675515,-95.823346,3700,87.6,128.1,192
29.674942,-95.822648,3700,84.9,135.9,64
29.674212,-95.822,3700,84.4,143.7,0
29.673467,-95.821461,3725,81.5,150.6,256
29.672722,-95.821138,3725,78.2,159.0,256
29.672058,-95.820905,3725,76.7,164.9,384
29.671186,-95.820761,3750,74.7,172.3,192
29.67041,-95.820747,3750,73.0,180.0,256
29.669769,-95.8208,3775,72.6,187.1,256
29.669091,-95.821031,3775,71.6,195.4,384
29.668486,-95.8213,3800,70.8,203.3,320
29.667938,-95.821645,3800,71.7,210.1,256
29.667343,-95.82212,3800,72.0,217.7,320
29.666577,-95.822915,3825,72.9,223.3,192
29.665741,-95.823757,3850,71.6,221.0,640
29.66478,-95.824655,3900,68.6,216.7,768
29.663179,-95.825931,3950,68.8,215.5,320
29.661736,-95.82717,3975,71.2,218.2,320
29.660843,-95.828089,3975,73.6,222.8,0
29.658663,-95.830455,3975,74.4,221.2,192
29.656336,-95.832717,4025,72.9,223.3,256
29.655853,-95.833371,4025,75.2,229.3,-64
