lat,lon,alt,gs,track,vs
44.65242,-97.959006,1900,106.8,215.5,704
44.651882,-97.959528,1900,105.4,215.4,640
44.641479,-97.970385,2100,103.2,218.3,640
44.64093,-97.970973,2100,103.1,219.1,448
44.63205,-97.979867,2200,103.1,219.1,448
44.628159,-97.983595,2300,103.0,216.0,448
44.623625,-97.988065,2300,103.0,214.0,448
44.621437,-97.990075,2300,113.7,212.4,448
44.61897,-97.992219,2300,114.4,211.1,448
44.615158,-97.9953,2300,116.0,209.4,448
44.608795,-98.00027,2400,116.0,209.4,0
44.601885,-98.005751,2400,117.8,210.1,192
44.596756,-98.01008,2400,117.1,211.4,128
44.594949,-98.011713,2400,117.1,211.4,128
44.555705,-98.040987,2700,115.4,206.8,192
44.551483,-98.043889,2700,116.3,206.6,0
44.505522,-98.080712,2700,126.4,210.4,-256
44.504964,-98.081181,2600,126.4,210.4,-256
44.498337,-98.086591,2600,125.9,210.0,-256
44.482339,-98.099737,2500,127.9,211.6,-192
44.481812,-98.100194,2500,127.9,211.6,-192
44.473068,-98.107583,2500,128.6,210.4,0
44.650439,-97.953767,1700,131.2,49.6,64
44.653093,-97.93032,1800,98.8,154.2,1088
44.652767,-97.929985,1800,97.9,145.8,960
44.668625,-97.959072,2100,118.1,207.2,0
44.661286,-97.96415,2100,119.9,206.8,0
44.655793,-97.967901,2100,118.5,205.5,0
44.654114,-97.969077,2100,119.0,204.8,0
44.643585,-97.975682,2100,119.0,204.8,-64
44.633541,-97.982438,2200,122.1,205.7,-64
44.630561,-97.984448,2200,120.8,205.5,256
44.621841,-97.989938,2200,122.7,204.1,256
44.615525,-97.993894,2200,120.4,204.0,64
44.576654,-98.020622,2300,127.5,206.6,0
44.557892,-98.033818,2300,126.6,206.8,0
44.548599,-98.040292,2300,124.3,206.8,448
44.703735,-98.43011,2100,130.0,341.1,-128
44.706253,-98.431287,2100,129.3,342.0,-192
44.715363,-98.435669,2000,129.0,341.0,-192
44.724976,-98.440443,2000,128.4,340.4,-192
44.735184,-98.445674,2000,127.8,339.9,-192
44.73967,-98.447832,2000,124.6,341.3,-192
44.748013,-98.451769,2000,123.0,340.5,0
44.750201,-98.452841,2100,123.0,340.5,0
44.754018,-98.454783,2000,123.0,340.5,0
44.764306,-98.459942,2000,125.3,340.4,-128
44.77492,-98.465234,2000,125.3,340.4,0
44.782089,-98.468583,2000,125.2,341.9,0
44.785721,-98.470263,2100,125.2,341.9,320
44.796295,-98.474971,2100,125.2,341.9,-384
44.802944,-98.478163,2100,128.4,340.4,192
44.807465,-98.480661,2100,126.1,338.1,192
44.811768,-98.482884,2100,126.2,340.6,-64
44.817902,-98.485827,2200,124.3,341.7,320
44.82352,-98.488211,2200,124.0,343.6,128
44.830078,-98.490731,2100,126.1,345.3,-256
44.832367,-98.491516,2200,125.9,345.7,0
44.832596,-98.491647,2100,125.9,345.7,0
44.832877,-98.491762,2200,125.9,345.7,0
44.842346,-98.495178,2300,122.0,345.3,704
44.850861,-98.498121,2300,124.4,346.5,-256
44.854385,-98.499265,2200,127.3,346.8,-128
44.860107,-98.501064,2200,129.3,347.0,-192
44.864673,-98.502413,2200,129.6,348.4,-192
44.867432,-98.503091,2200,130.2,349.4,64
44.894257,-98.508584,1900,132.2,356.5,-576
44.89968,-98.508978,1900,130.1,357.4,-448
44.901542,-98.508911,1900,129.1,2.7,-384
44.902985,-98.508643,1900,129.0,7.1,-128
44.90387,-98.508375,1900,128.8,13.9,-128
44.906708,-98.50708,1900,126.6,13.7,-64
44.90778,-98.506901,1900,123.7,6.0,192
44.908356,-98.506884,1900,122.0,359.5,320
44.908997,-98.507015,1900,119.1,352.3,320
44.909549,-98.507303,1900,116.7,345.6,192
44.910416,-98.50793,1900,113.1,333.2,192
44.911085,-98.508643,1900,109.9,319.1,-256
44.911423,-98.509304,1900,109.2,310.5,-256
44.911644,-98.509782,1900,107.9,302.5,-320
44.91197,-98.510854,1900,108.2,296.3,-256
44.912155,-98.511919,1800,107.9,283.4,-576
44.912202,-98.513265,1800,110.0,270.5,-576
44.912018,-98.514731,1800,111.6,257.6,-128
44.911697,-98.516105,1800,112.6,251.9,-384
44.911411,-98.516816,1800,114.0,243.4,-512
44.910946,-98.517821,1800,115.2,239.2,-576
44.910324,-98.518851,1800,117.2,230.2,-384
44.909456,-98.520098,1800,118.1,224.7,-640
44.90863,-98.521075,1700,119.9,220.6,-704
44.906158,-98.52369,1700,122.0,217.3,0
44.904521,-98.52519,1700,121.0,212.5,0
44.903091,-98.526306,1700,119.9,207.9,448
44.901728,-98.527132,1700,120.3,201.4,-64
44.900425,-98.527601,1700,121.8,196.2,-128
44.898935,-98.527936,1700,122.8,189.9,256
44.897771,-98.52807,1700,124.1,182.3,-384
44.894714,-98.527091,1700,125.4,159.0,192
44.893707,-98.526306,1700,126.4,149.6,256
44.8927,-98.525325,1700,126.8,145.9,256
44.89158,-98.523984,1700,127.1,140.4,320
44.888507,-98.520165,1700,128.3,139.1,-256
44.886566,-98.516432,1800,128.7,135.6,-128
44.891327,-98.509369,1700,123.0,0.9,-1536
44.891952,-98.50938,1600,123.0,0.9,-1536
44.894047,-98.509447,1500,130.0,358.7,-1472
44.898283,-98.509447,1400,133.0,0.9,-2368
44.898651,-98.509434,1400,138.0,0.8,-1920
44.901077,-98.509434,1300,139.0,359.2,-1024
44.90451,-98.509304,1300,134.0,1.3,1152
44.905127,-98.509313,1400,126.2,3.2,3072
44.905964,-98.509045,1400,122.2,8.0,2752
44.906663,-98.508643,1500,117.2,27.4,1984
44.907128,-98.508174,1500,115.8,36.6,1536
44.908152,-98.506499,1500,115.8,53.4,384
44.909177,-98.504289,1500,115.1,50.6,448
44.909546,-98.50381,1600,111.4,40.3,832
44.910233,-98.503287,1600,107.4,29.0,1088
44.911011,-98.503091,1600,99.2,4.0,896
44.912201,-98.50368,1600,94.6,342.1,576
44.912567,-98.504137,1600,91.8,324.8,-64
44.912933,-98.505184,1600,90.6,312.3,-64
44.912933,-98.506622,1600,91.1,261.2,-256
44.912476,-98.50793,1600,96.8,231.7,-896
44.910736,-98.509369,1500,109.2,200.9,-1664
44.910247,-98.509514,1500,114.1,191.1,-1728
44.909409,-98.509581,1400,121.1,182.4,-1920
44.907806,-98.509565,1400,124.0,180.5,-1984
44.907501,-98.509581,1400,129.0,180.9,-1024
44.907221,-98.509581,1300,129.0,180.9,-1024
44.899704,-98.509696,1400,128.0,180.9,1152
44.8992,-98.509696,1400,116.0,181.0,2496
44.898144,-98.509849,1500,111.2,188.3,1664
44.897598,-98.510023,1500,106.5,194.7,1600
44.896729,-98.510611,1500,104.4,203.1,1024
44.896514,-98.510787,1600,101.3,214.9,960
44.896049,-98.51139,1600,99.0,226.6,704
44.895351,-98.513399,1600,94.9,251.6,512
44.895025,-98.515275,1600,94.6,254.1,384
