lat,lon,alt,gs,track,vs
42.87773,-85.532619,625,173.8,261.7,1536
42.87759,-85.534058,675,174.9,261.5,1920
42.877441,-85.535335,700,174.9,261.5,2240
42.877213,-85.537443,800,174.0,261.4,2752
42.876938,-85.539742,900,172.1,261.0,2944
42.876663,-85.541914,1000,170.8,259.5,3200
42.876297,-85.543894,1100,167.8,256.2,3392
42.875868,-85.545829,1200,167.2,254.4,3392
42.875356,-85.547594,1300,164.0,247.0,3328
42.874797,-85.549033,1400,163.7,244.7,3136
42.874052,-85.550799,1500,162.2,239.6,3008
42.873121,-85.552564,1600,161.8,232.3,2752
42.871902,-85.554433,1700,162.1,227.2,2560
42.870529,-85.556094,1800,162.2,221.8,2368
42.869156,-85.557436,1900,163.0,216.5,2240
42.867645,-85.558649,1975,163.4,208.9,2304
42.865813,-85.559758,2075,164.9,202.8,2304
42.863951,-85.560739,2175,166.8,200.7,1984
42.861786,-85.561779,2275,170.5,198.1,1792
42.859109,-85.562831,2375,174.0,196.4,1728
42.856828,-85.563681,2450,178.0,195.0,1536
42.854324,-85.564589,2525,181.9,194.6,1792
42.852264,-85.565292,2600,186.6,195.2,1728
42.84924,-85.566428,2700,190.7,195.2,1536
42.847458,-85.56708,2750,194.1,195.5,1152
42.845673,-85.567783,2775,198.2,195.5,1024
42.843979,-85.568422,2825,202.3,195.5,1024
42.841978,-85.569175,2850,205.5,195.5,1280
42.839743,-85.570025,2925,210.2,196.0,1728
42.836997,-85.571136,3025,214.3,196.0,2112
42.834045,-85.572254,3125,216.2,195.8,2560
42.831969,-85.573033,3225,217.2,195.8,2816
42.83034,-85.573687,3325,218.1,195.7,2880
42.827911,-85.574618,3425,220.3,195.8,2816
42.825917,-85.575387,3525,221.3,195.7,2624
42.823823,-85.576172,3625,224.4,195.8,2368
42.821045,-85.577236,3725,227.6,195.8,2048
42.817841,-85.57845,3800,232.0,196.0,1664
42.815583,-85.579376,3875,235.2,196.1,1600
42.812988,-85.580366,3950,239.8,196.5,1792
42.809097,-85.581936,4050,244.6,196.1,2240
42.80658,-85.582934,4150,247.5,195.9,2368
42.804016,-85.583871,4250,248.9,195.4,2688
42.80171,-85.58471,4350,250.6,195.0,2944
42.799393,-85.585556,4450,251.0,194.5,3392
42.797607,-85.58618,4550,252.0,194.5,3520
42.795456,-85.586929,4650,251.8,194.3,3648
42.793843,-85.587456,4750,251.8,194.3,3584
42.791655,-85.588223,4850,252.7,194.2,3456
42.789979,-85.588798,4950,253.7,194.1,3392
42.78772,-85.589551,5050,254.9,194.3,3264
42.785797,-85.590238,5150,254.9,194.3,3200
42.783462,-85.591033,5250,255.9,194.2,3200
42.781274,-85.5918,5350,257.1,194.4,3456
42.779412,-85.592438,5450,256.4,194.7,3712
42.77742,-85.593172,5550,256.4,194.7,3904
42.775641,-85.59378,5650,256.4,194.7,4032
42.773849,-85.59442,5750,256.4,194.7,3968
42.772705,-85.594857,5825,256.4,194.7,3968
42.7708,-85.595504,5925,256.4,194.7,3904
42.769135,-85.596105,6025,256.6,194.9,3840
42.767303,-85.596792,6125,256.6,194.9,3712
42.765701,-85.597354,6200,256.4,194.7,3584
42.76391,-85.597995,6300,257.3,194.6,3456
42.762187,-85.598634,6400,257.3,194.6,3392
42.759567,-85.599539,6500,258.3,194.6,3200
42.757507,-85.600288,6600,259.5,194.7,3200
42.755251,-85.601061,6700,259.5,194.7,3328
42.753067,-85.601848,6800,260.5,194.7,3392
42.75119,-85.602472,6900,260.5,194.7,3392
42.749386,-85.603105,7000,261.2,194.4,3392
42.744684,-85.604766,7200,262.2,194.4,3200
42.740616,-85.606155,7400,262.9,194.1,3072
42.735839,-85.607768,7600,264.8,194.0,3136
42.731416,-85.609237,7800,265.8,193.9,3264
42.727087,-85.610706,8000,266.1,194.1,3264
42.722432,-85.612367,8200,267.5,194.5,3200
42.718414,-85.613771,8375,267.8,194.7,3264
42.714192,-85.615305,8575,268.0,194.9,3328
42.7099,-85.61683,8775,269.0,194.9,3264
42.705626,-85.618371,8975,269.3,195.1,3200
42.701019,-85.620076,9175,269.8,195.5,3008
42.69603,-85.621948,9375,271.3,195.8,2944
42.691242,-85.623801,9575,272.3,195.8,3072
42.686866,-85.625461,9775,272.9,195.5,3136
42.682297,-85.627129,9950,274.3,195.0,3072
42.677353,-85.628877,10150,276.0,194.7,2752
42.671969,-85.630763,10350,277.7,194.4,2560
42.666733,-85.63256,10525,280.6,194.2,2112
42.662891,-85.633893,10625,283.8,194.3,1664
42.660233,-85.634807,10675,286.0,194.4,1216
42.651443,-85.637928,10775,295.4,194.5,768
