lat,lon,alt,gs,track,vs
33.687973,-112.076914,1800,89.2,86.1,384
33.688019,-112.075625,1850,105.2,86.7,1216
33.688156,-112.07271,1950,105.2,86.7,1344
33.688248,-112.070692,2050,104.2,86.7,1472
33.688339,-112.06817,2150,102.2,86.6,1344
33.688522,-112.065311,2250,103.2,86.7,1280
33.68866,-112.062341,2350,103.2,86.1,1216
33.688843,-112.059258,2450,103.2,86.1,1152
33.689072,-112.055782,2550,104.3,85.6,1152
33.689301,-112.052307,2650,106.4,85.2,1088
33.689575,-112.048664,2750,109.5,84.8,896
33.689941,-112.044964,2850,111.8,83.3,1024
33.690262,-112.042778,2900,112.6,77.7,1088
33.690765,-112.040704,2950,113.3,74.1,1024
33.691251,-112.039089,3000,113.1,68.2,1152
33.692042,-112.037201,3050,113.1,63.2,1088
33.692787,-112.03577,3100,113.4,56.9,1024
33.693878,-112.03409,3150,114.0,52.1,1024
33.694931,-112.032801,3200,113.9,46.8,960
33.695984,-112.03168,3225,115.7,39.7,896
33.697349,-112.030563,3275,115.9,34.1,896
33.698868,-112.02955,3325,116.4,28.8,960
33.700378,-112.028765,3375,116.0,23.9,1024
33.702005,-112.028103,3425,116.1,18.6,960
33.703171,-112.027812,3450,116.9,12.9,1024
33.705093,-112.027476,3525,117.0,7.4,960
33.707777,-112.027302,3600,116.2,3.5,1088
33.711044,-112.027139,3700,117.0,1.5,960
33.715439,-112.027139,3800,119.0,359.5,768
33.719788,-112.027252,3900,122.1,357.6,704
33.724731,-112.027644,3975,125.4,355.4,704
33.729126,-112.028092,4075,125.4,355.4,768
33.734436,-112.028709,4175,127.7,354.2,704
33.739792,-112.029494,4275,131.2,352.1,704
33.744693,-112.030449,4350,132.0,350.0,704
33.749348,-112.031593,4425,134.0,347.9,768
33.753387,-112.032689,4525,134.4,347.1,640
33.756546,-112.033586,4550,136.6,346.9,192
33.759338,-112.034426,4550,140.9,346.5,0
33.761673,-112.035099,4550,145.0,346.4,-128
33.76506,-112.036052,4550,149.2,346.4,-64
33.771973,-112.038126,4550,153.1,345.2,0
33.774161,-112.039032,4550,154.3,341.1,-192
33.776628,-112.040234,4550,156.4,337.0,-64
33.779421,-112.041893,4550,157.9,333.3,128
33.781237,-112.043324,4550,157.5,331.2,128
33.78186,-112.043899,4550,158.7,321.4,64
33.784495,-112.0467,4550,158.5,317.0,192
33.790081,-112.053165,4550,161.9,315.2,-192
33.792968,-112.056828,4550,162.8,312.5,128
33.794403,-112.059033,4550,162.4,306.2,0
33.795502,-112.061332,4550,162.6,299.9,-64
33.796555,-112.06391,4550,162.9,294.7,128
33.797791,-112.06761,4550,162.1,291.3,64
33.79888,-112.071762,4550,163.2,287.1,-128
33.799393,-112.074224,4550,163.2,283.1,-128
33.799805,-112.077475,4550,164.5,277.7,0
33.80037,-112.084122,4550,164.7,275.2,0
33.801161,-112.096596,4550,166.4,273.8,192
33.802185,-112.114806,4550,164.4,273.8,64
33.803146,-112.13207,4550,163.3,273.5,0
33.804094,-112.149696,4550,163.4,273.9,-64
33.805118,-112.167664,4550,164.4,274.2,0
33.805664,-112.178706,4550,165.2,272.8,0
33.805863,-112.18729,4550,165.0,270.7,0
33.806002,-112.201195,4550,165.0,270.0,0
33.805816,-112.206059,4550,164.2,266.9,0
33.804794,-112.222539,4550,165.4,265.8,-64
33.804326,-112.227859,4550,164.2,263.0,64
33.80246,-112.245689,4550,166.1,263.4,0
33.802231,-112.250117,4550,167.1,267.6,0
33.802232,-112.256584,4550,168.0,270.3,0
33.802414,-112.260319,4550,169.6,274.7,-128
33.802826,-112.26413,4550,170.0,278.8,64
33.803833,-112.270408,4550,170.4,281.5,64
33.806282,-112.283707,4550,171.3,282.8,64
33.808889,-112.296982,4550,171.0,283.9,0
33.81224,-112.312374,4550,169.8,285.0,0
33.816337,-112.330513,4550,170.6,286.0,0
33.819534,-112.342828,4550,170.8,287.4,-64
33.824203,-112.360933,4550,170.8,287.4,0
33.828813,-112.378922,4550,171.5,287.0,0
33.833235,-112.396317,4550,171.2,286.6,0
33.837611,-112.414112,4550,169.9,286.4,-64
33.841919,-112.432176,4550,170.6,286.0,0
33.846317,-112.450104,4550,170.2,286.7,-64
33.850692,-112.467613,4550,169.2,286.8,0
33.85524,-112.485258,4550,168.6,287.2,0
33.859772,-112.503027,4550,167.3,287.0,64
33.863846,-112.519562,4550,167.7,286.3,0
33.866409,-112.530661,4550,168.6,284.8,0
33.8703,-112.548598,4550,169.3,284.4,0
33.874008,-112.565974,4550,169.3,284.4,-64
33.877716,-112.583519,4550,169.3,284.4,0
33.881607,-112.601624,4550,169.3,284.4,-64
33.885223,-112.618608,4550,169.5,283.3,-64
33.887009,-112.628585,4550,169.7,281.9,0
33.890121,-112.647082,4550,169.4,281.6,0
33.893188,-112.664851,4550,169.4,281.6,0
33.896347,-112.682788,4550,169.9,282.2,0
33.897263,-112.688337,4550,170.5,279.8,-64
