lat,lon,alt,gs,track,vs
40.795624,-73.098755,-100,12.2,345.9,0
40.79567,-73.098816,-100,58.7,314.3,512
40.79686,-73.100403,0,59.4,313.6,448
40.798102,-73.102091,0,59.4,316.4,576
40.799452,-73.103714,100,60.9,317.7,192
40.801575,-73.106262,100,64.4,315.6,448
40.802105,-73.10696,200,63.6,315.0,640
40.803635,-73.109131,300,63.7,312.5,576
40.804825,-73.110718,300,64.4,314.4,640
40.805597,-73.111642,300,63.8,318.8,640
40.805832,-73.111938,400,63.8,318.8,576
40.807022,-73.113159,400,62.8,322.8,640
40.808487,-73.114624,500,63.0,324.0,512
40.809926,-73.116011,500,63.0,327.3,512
40.81123,-73.116948,500,64.0,331.0,448
40.811462,-73.117126,600,63.5,331.8,448
40.812332,-73.117615,600,63.2,336.7,512
40.813278,-73.118071,600,63.2,341.6,640
40.814069,-73.118321,700,62.8,346.2,704
40.815079,-73.118591,700,63.8,351.0,576
40.816589,-73.118835,700,65.3,354.7,640
40.817413,-73.118835,800,67.0,0.9,448
40.818166,-73.118695,800,68.6,7.5,576
40.820206,-73.118225,900,68.7,8.4,768
40.821762,-73.118042,900,66.3,5.2,896
40.822357,-73.117981,1000,64.1,3.6,896
40.824692,-73.117859,1100,62.0,1.9,704
40.826294,-73.117676,1100,63.3,5.4,384
40.828354,-73.117371,1200,63.5,7.2,448
40.830782,-73.116885,1200,65.9,9.6,448
40.831806,-73.116635,1300,65.1,10.6,576
40.833994,-73.116198,1300,62.7,8.3,576
40.834925,-73.116074,1300,63.1,2.7,576
40.835083,-73.116089,1400,63.1,2.7,576
40.83702,-73.115949,1400,63.3,5.4,768
40.837206,-73.115886,1500,63.4,6.3,704
40.839066,-73.115601,1500,58.6,7.8,1024
40.839432,-73.11554,1600,56.4,7.1,960
40.840558,-73.115387,1600,52.1,3.3,1088
40.840744,-73.115387,1600,53.1,3.2,576
40.841675,-73.115325,1700,55.0,1.0,448
40.843164,-73.115262,1700,58.1,4.0,320
40.844421,-73.115051,1800,58.4,6.9,640
40.846024,-73.114868,1800,59.1,3.9,768
40.847028,-73.114825,1800,64.1,2.7,448
40.847351,-73.114807,1800,64.1,2.7,-64
40.84903,-73.114638,1800,66.4,6.1,256
40.849503,-73.114563,1900,66.3,5.2,256
40.852066,-73.114258,1900,70.4,5.7,320
40.852661,-73.114197,1900,72.3,5.6,-64
40.853668,-73.114075,1800,76.4,6.0,-384
40.855222,-73.113826,1800,80.5,6.4,-256
40.857193,-73.113464,1800,84.7,7.5,-192
