lat,lon,alt,gs,track
33.660992,-126.253338,35000,481.0,76.7
33.670861,-126.203041,35000,481.7,76.8
33.674678,-126.183815,35000,482.0,76.7
33.773117,-125.67782,35000,482.2,77.1
33.783096,-125.625635,35000,483.2,77.1
33.792409,-125.576935,35000,483.2,77.1
33.802139,-125.526142,35000,483.2,77.1
33.809738,-125.4864,35000,483.2,77.1
33.811615,-125.476479,35000,483.2,77.1
33.823746,-125.412635,35000,0.0,0.0
33.830658,-125.376257,35000,484.0,77.2
33.838449,-125.335007,35000,484.0,77.2
33.838852,-125.33276,35000,484.0,77.2
33.862198,-125.208996,35000,0.0,0.0
33.870895,-125.162808,35000,485.0,77.2
33.870895,-125.162811,35000,485.0,77.0
33.888748,-125.067463,35000,484.7,77.4
33.898269,-125.016346,35000,485.7,77.4
33.907998,-124.964275,35000,485.7,77.4
33.917681,-124.912148,35000,485.5,77.5
33.925552,-124.869092,35000,485.6,78.6
33.929738,-124.841309,35000,485.8,80.4
33.934487,-124.804287,35000,486.1,81.7
33.940247,-124.750597,35000,486.0,82.7
33.94375,-124.712849,35000,486.2,83.4
33.946243,-124.683389,35000,486.5,84.2
33.95018,-124.63283,35000,486.1,84.7
33.953945,-124.581814,35000,486.8,85.1
33.957687,-124.528628,35000,486.6,85.3
33.961347,-124.475727,35000,486.6,85.3
33.964327,-124.432354,35000,486.6,85.3
33.967818,-124.380569,35000,486.6,85.3
33.971542,-124.326668,35025,486.6,85.3
33.975174,-124.273644,35000,486.6,85.3
33.978241,-124.229419,35000,486.6,85.3
33.981923,-124.175892,35000,487.6,85.3
33.985228,-124.128399,35000,487.7,85.2
33.988174,-124.086204,35000,486.6,85.3
33.991837,-124.03329,35000,486.6,85.3
33.995499,-123.980433,35000,486.6,85.3
33.999101,-123.927441,35000,486.6,85.3
34.002594,-123.876567,35000,486.6,85.3
34.006119,-123.82427,35000,486.6,85.3
34.009644,-123.771917,35000,486.6,85.4
34.013123,-123.720628,35000,486.6,85.4
34.016605,-123.667889,35000,487.5,85.5
34.019852,-123.618332,35000,487.5,85.5
34.023376,-123.564858,35000,487.5,85.5
34.026855,-123.511047,35000,487.5,85.5
34.030291,-123.457661,35000,487.5,85.5
34.033782,-123.403587,35000,487.5,85.5
34.037201,-123.349896,35000,488.4,85.7
34.040533,-123.2967,35000,488.4,85.7
34.043931,-123.242798,35000,488.4,85.7
34.047283,-123.189468,35000,488.4,85.7
34.050613,-123.135719,35000,488.3,85.8
34.053893,-123.083038,35000,488.3,85.8
34.057152,-123.029079,35000,488.3,85.8
34.06041,-122.975693,35000,488.3,85.9
34.063614,-122.922438,35000,489.3,85.8
34.066835,-122.868576,35000,489.3,85.9
34.069977,-122.815714,35000,489.3,85.9
34.073119,-122.762032,35000,490.2,86.0
34.076331,-122.707672,35000,490.2,86.0
34.079453,-122.653721,35000,490.2,86.0
34.082523,-122.600269,35000,490.2,86.0
34.085595,-122.546082,35000,490.1,86.1
34.088668,-122.492466,35000,490.1,86.1
34.091675,-122.438423,35000,490.1,86.1
34.094626,-122.385521,35000,490.1,86.1
34.097652,-122.331333,35000,490.0,86.3
34.100585,-122.277718,35000,490.0,86.3
34.103485,-122.224246,35000,490.0,86.3
34.106404,-122.170143,35000,490.0,86.3
34.109344,-122.115559,35000,491.0,86.3
34.112223,-122.06171,35000,491.0,86.4
34.11497,-122.008839,35000,491.0,86.4
34.117813,-121.954688,35000,491.0,86.4
34.120602,-121.901093,35000,490.9,86.5
34.123395,-121.84679,35000,490.9,86.5
34.126142,-121.793003,35000,491.9,86.5
34.128891,-121.738773,35000,491.9,86.5
34.131546,-121.685523,35000,491.9,86.6
34.134196,-121.631241,35000,491.9,86.6
34.136849,-121.577339,35000,491.9,86.6
34.139511,-121.523587,35000,491.9,86.6
34.142156,-121.46925,35000,492.9,86.6
34.144684,-121.416022,35000,492.8,86.7
34.147247,-121.361763,35000,492.8,86.7
34.149837,-121.307144,35000,492.8,86.7
34.152374,-121.252796,35000,492.7,86.9
34.154251,-121.211205,34975,491.7,86.8
34.155004,-121.194935,34900,490.7,86.8
34.155853,-121.17578,34775,488.7,86.9
34.157146,-121.146698,34500,484.6,87.0
34.157798,-121.132221,34300,482.6,87.0
34.158646,-121.113562,34025,481.8,86.7
34.159744,-121.090748,33625,481.8,86.7
34.160684,-121.070766,33225,483.6,87.0
34.161568,-121.049995,32825,484.7,86.9
34.162537,-121.028866,32425,485.7,86.9
34.163498,-121.00751,32025,485.7,86.9
34.164459,-120.986098,31625,486.7,86.8
34.165375,-120.966031,31225,487.7,86.8
34.166336,-120.944899,30825,488.7,86.9
