lat,lon,alt,gs,track
33.531796,-112.293265,-50.0,16.5,0.0
33.532077,-112.293095,-50.0,16.5,0.0
33.532333,-112.292955,-50.0,17.5,0.0
33.533776,-112.292129,-50.0,18.5,0.0
33.534954,-112.291507,-50.0,10.8,0.0
33.535301,-112.29154,-50.0,6.8,0.0
33.535545,-112.291022,-50.0,0.5,0.0
33.535549,-112.291013,-50.0,0.6,0.0
33.535572,-112.29093,-50.0,5.8,0.0
33.53558,-112.290909,-50.0,6.2,0.0
33.534254,-112.290923,-50.0,38.5,0.0
33.531391,-112.292549,1100,77.9,204.3
33.528259,-112.294336,1100,80.5,205.0
33.52748,-112.294847,1200,93.5,208.8
33.524827,-112.296473,1200,94.4,205.8
33.523453,-112.297192,1300,93.6,203.3
33.520544,-112.298603,1400,95.5,202.8
33.517006,-112.300452,1400,99.3,205.0
33.514801,-112.301697,1500,102.4,206.1
33.512238,-112.30307,1600,101.2,203.3
33.510163,-112.30404,1600,100.9,199.7
33.508804,-112.304553,1700,100.3,196.8
33.506532,-112.305273,1700,99.9,193.9
33.503971,-112.306002,1700,101.2,192.0
33.503265,-112.306091,1800,100.3,189.2
33.501225,-112.306394,1800,99.4,185.2
33.499689,-112.30645,1800,98.0,181.2
33.499456,-112.30645,1900,98.0,179.4
33.496902,-112.306311,1900,97.3,175.9
33.494888,-112.306036,1900,95.9,172.2
33.494614,-112.305981,2000,96.0,171.6
33.493683,-112.305833,2000,97.0,171.7
33.491867,-112.305542,2000,101.8,172.7
33.490265,-112.305267,2000,104.2,171.2
33.489354,-112.305105,2000,104.4,170.6
33.488376,-112.304881,2000,102.6,169.9
33.487427,-112.304663,2100,100.8,169.1
33.486282,-112.304376,2100,95.8,166.1
33.485458,-112.304114,2200,93.4,164.5
33.484863,-112.303894,2200,93.0,163.1
33.483721,-112.303367,2200,94.0,159.4
33.482758,-112.302905,2200,97.5,159.0
33.481339,-112.302356,2200,102.5,161.2
33.479507,-112.301752,2200,106.2,165.8
33.475528,-112.300677,2300,109.7,167.4
33.474131,-112.300284,2300,109.7,167.4
33.473877,-112.300214,2300,109.7,167.4
33.472362,-112.299836,2400,107.3,168.2
33.468964,-112.298883,2500,104.8,166.8
33.465179,-112.297687,2600,103.8,164.4
33.460785,-112.296259,2700,104.3,165.6
33.457885,-112.295464,2700,106.1,168.6
33.456023,-112.295183,2700,107.7,173.6
33.454533,-112.294959,2800,108.7,173.7
33.452042,-112.294501,2800,109.7,170.0
33.449366,-112.293838,2900,110.9,167.0
33.445541,-112.292633,2900,109.9,164.7
33.442978,-112.291699,3000,109.5,163.6
33.438984,-112.290307,3100,106.9,162.6
33.432404,-112.287799,3200,108.8,161.2
33.430206,-112.286755,3200,107.5,157.0
33.429581,-112.286439,3300,107.5,157.0
33.425205,-112.284253,3400,106.8,158.0
33.420038,-112.281787,3500,108.6,158.4
33.417068,-112.280438,3600,105.1,158.8
33.414276,-112.27912,3700,101.4,158.0
33.412445,-112.278186,3700,101.6,156.2
33.411193,-112.277527,3700,103.0,155.9
33.409517,-112.27663,3800,105.2,155.9
33.405793,-112.2745,3800,108.2,153.7
33.403838,-112.273379,3900,107.4,154.6
33.401962,-112.272418,3900,105.9,157.8
33.401743,-112.272314,3900,106.4,158.5
33.400812,-112.271922,3900,106.6,159.7
33.399902,-112.271539,3900,108.8,161.2
33.3976,-112.270688,3900,113.6,163.6
33.395877,-112.270016,4000,115.1,162.8
33.39418,-112.269397,4000,115.1,162.8
33.391159,-112.268243,4100,113.2,160.9
33.38768,-112.266705,4100,117.5,158.0
33.386474,-112.266148,4100,118.9,157.8
33.386287,-112.266036,4100,118.9,157.8
33.38269,-112.264233,4100,122.2,155.3
33.380722,-112.263025,4200,119.5,151.5
33.378606,-112.261496,4200,117.3,147.5
33.37842,-112.261384,4200,117.3,147.5
33.377563,-112.260663,4300,118.4,146.7
33.376465,-112.259784,4300,120.1,145.5
33.376282,-112.259619,4300,120.1,145.5
33.373765,-112.257516,4300,121.0,144.1
33.373486,-112.257236,4300,120.8,143.4
33.372601,-112.256451,4400,119.6,141.8
33.371017,-112.254785,4400,118.9,137.7
33.368923,-112.252303,4500,119.5,134.0
33.365991,-112.248548,4600,117.5,132.2
33.363896,-112.245633,4600,115.9,129.1
33.362961,-112.244128,4700,115.2,126.2
33.361149,-112.241261,4700,114.5,129.0
33.359846,-112.239579,4700,115.3,133.9
33.358383,-112.237976,4700,116.3,139.2
33.35817,-112.237729,4800,116.3,139.2
33.356689,-112.236383,4800,116.0,144.1
33.354996,-112.235065,4900,115.7,147.0
33.352478,-112.233307,4900,114.6,150.8
33.350372,-112.231989,5000,112.7,152.5
33.343918,-112.228033,5100,116.3,152.3
33.339549,-112.225174,5100,116.0,150.6
33.338059,-112.224109,5200,117.0,149.7
33.333916,-112.221138,5300,118.5,148.5
33.330611,-112.218672,5400,115.7,147.0
33.326385,-112.215289,5500,114.5,146.0
33.321766,-112.211441,5600,115.4,144.5
33.31778,-112.208093,5700,111.8,144.5
33.311279,-112.202545,5800,115.2,143.8
33.308499,-112.200062,5900,112.2,143.3
33.304355,-112.19625,6000,110.4,142.0
33.299048,-112.191374,6100,114.2,142.8
33.295278,-112.188011,6200,110.8,143.4
33.292465,-112.185571,6300,109.4,143.6
33.289133,-112.18263,6400,110.8,143.4
33.285004,-112.178979,6500,111.6,143.8
33.282476,-112.1768,6600,109.4,143.6
33.279053,-112.173706,6700,108.6,143.2
33.274109,-112.169366,6800,111.4,143.0
33.270813,-112.166455,6900,110.0,143.1
33.267105,-112.163104,7000,108.6,143.2
33.261978,-112.158545,7100,111.4,143.0
33.258224,-112.155194,7100,111.4,143.0
33.255386,-112.152667,7300,109.4,143.6
33.249985,-112.148053,7400,111.0,144.2
33.244629,-112.143449,7500,111.6,143.8
33.243186,-112.14216,7500,115.2,143.8
33.242981,-112.141956,7500,115.8,143.4
33.242488,-112.141543,7500,116.6,143.7
33.240067,-112.139413,7600,116.4,143.0
33.236575,-112.136218,7600,121.2,142.4
33.235365,-112.135153,7600,124.8,142.5
33.234833,-112.134705,7600,127.6,142.3
33.233322,-112.133276,7600,131.2,142.4
33.229019,-112.129431,7600,135.8,143.4
33.228699,-112.129156,7600,135.8,143.4
33.223114,-112.124213,7600,139.4,143.5
33.213501,-112.115808,7600,143.8,143.8
33.202639,-112.106342,7600,148.2,144.1
33.191528,-112.096582,7600,150.8,143.4
33.18045,-112.086804,7600,152.8,143.0
33.169261,-112.076914,7600,153.6,143.2
33.158066,-112.066919,7600,153.6,143.2
33.146896,-112.056976,7600,153.4,142.7
33.135544,-112.046814,7600,153.0,143.5
33.124191,-112.036707,7600,152.8,143.0
