lat,lon,alt,gs,track,vs
33.271957,-84.276178,1900,125.7,219.5,0
33.256314,-84.290248,1800,125.6,220.2,-128
33.254333,-84.291833,1800,124.9,215.2,128
33.249481,-84.295953,1900,124.3,214.8,192
33.245453,-84.299854,1900,124.2,217.1,128
33.243484,-84.301886,1900,124.2,217.1,128
33.241975,-84.303533,1900,123.9,222.1,128
33.241425,-84.304138,1900,123.9,222.1,128
33.204175,-84.346357,1900,121.7,223.7,-192
33.198624,-84.352808,1800,122.3,224.0,-320
33.195237,-84.356278,1800,118.9,222.3,-192
33.194412,-84.357037,1700,113.8,216.1,-192
33.190535,-84.36037,1700,112.4,218.5,-192
33.186764,-84.364014,1600,110.0,216.9,-320
33.18576,-84.364948,1700,107.9,219.7,-128
33.184113,-84.366705,1600,108.4,221.6,-256
33.181046,-84.370111,1600,107.5,223.5,-256
33.179123,-84.372253,1600,106.1,225.0,-320
33.177733,-84.374159,1500,107.3,230.7,-448
33.176743,-84.375714,1500,106.0,234.2,-512
33.176514,-84.376154,1400,106.5,237.6,-448
33.176239,-84.376923,1400,107.5,247.0,-256
33.175873,-84.378131,1400,107.6,253.2,-256
33.175644,-84.379285,1400,108.3,258.3,-64
33.175552,-84.380493,1400,107.2,266.3,0
33.175552,-84.382855,1400,105.0,270.0,-192
33.175827,-84.385217,1500,105.1,278.2,-192
33.176239,-84.387524,1400,107.1,281.3,-64
33.176331,-84.388129,1500,107.0,283.5,-128
33.177547,-84.39232,1400,106.5,284.7,-64
33.178024,-84.393732,1400,109.2,294.9,-128
33.178664,-84.395067,1500,108.7,296.8,-128
33.179502,-84.396636,1400,108.7,296.8,-128
33.179626,-84.396863,1400,108.6,306.8,-64
33.180267,-84.397742,1400,105.4,313.1,0
33.181,-84.398511,1400,99.0,324.9,0
33.18219,-84.39928,1300,97.2,329.7,-128
33.183014,-84.399609,1300,93.1,345.1,-448
33.18544,-84.39939,1300,89.1,357.4,-640
33.186172,-84.399005,1300,84.5,20.8,-640
33.188114,-84.397477,1300,81.8,32.5,-512
33.18837,-84.397247,1300,80.1,41.5,-448
33.189418,-84.395964,1200,80.7,47.0,-512
33.190155,-84.39494,1200,77.6,51.8,-640
33.190567,-84.394226,1200,75.8,59.0,-768
33.190842,-84.393512,1100,74.1,68.6,-704
33.191071,-84.392358,1100,73.0,80.5,-896
33.191025,-84.39071,1000,72.3,95.6,-768
33.190796,-84.389941,1000,71.5,107.9,-832
33.190704,-84.389557,900,71.3,112.2,-832
33.190116,-84.388284,900,69.8,119.1,-832
33.189697,-84.387524,900,71.6,123.0,-896
33.188553,-84.385602,800,72.4,125.4,-896
33.187088,-84.38324,700,73.4,127.8,-832
33.186401,-84.382251,600,72.6,128.3,-640
33.185989,-84.381702,600,69.7,129.2,-320
33.185806,-84.381372,600,67.0,127.7,-320
33.184891,-84.380054,700,59.7,129.6,-128
33.184433,-84.37934,700,52.6,128.8,0
33.18425,-84.37901,800,64.4,126.2,192
33.184067,-84.378735,700,73.1,130.0,192
33.183838,-84.378406,800,72.3,130.5,256
33.183472,-84.377802,800,76.2,128.1,192
33.182922,-84.377087,800,80.4,128.4,192
