lat,lon,alt,gs,track
47.910645,-122.28566,525,89.0,359.4
47.913528,-122.28566,600,93.0,0.6
47.916412,-122.28566,700,94.0,0.0
47.91943,-122.28572,800,94.0,0.0
47.922037,-122.285649,900,94.0,0.6
47.924561,-122.28566,1000,94.0,359.4
47.927112,-122.28579,1100,92.1,357.5
47.929504,-122.286003,1200,90.3,355.5
47.931976,-122.286346,1300,89.7,353.0
47.934219,-122.286896,1375,91.4,349.9
47.936422,-122.287621,1425,92.7,346.3
47.937607,-122.2882,1475,91.8,339.6
47.938385,-122.28875,1525,92.1,332.9
47.939355,-122.289734,1550,92.1,325.6
47.940308,-122.290878,1600,93.0,319.8
47.942334,-122.293678,1675,94.8,316.7
47.944243,-122.296424,1775,96.2,315.0
47.945892,-122.299049,1850,95.6,312.0
47.947906,-122.302414,1925,99.9,311.4
47.95015,-122.306259,2000,104.2,310.7
47.952436,-122.310368,2100,106.7,308.9
47.954819,-122.314911,2175,109.4,306.5
47.956579,-122.318467,2275,110.8,306.6
47.958953,-122.323115,2375,111.2,307.7
47.961421,-122.327904,2475,112.6,307.8
47.964307,-122.333257,2550,113.6,310.0
47.967178,-122.338326,2650,115.6,310.4
47.969614,-122.342623,2675,120.0,309.9
47.97258,-122.347595,2700,123.9,312.1
47.975922,-122.353294,2750,125.0,309.8
47.979034,-122.358788,2775,128.9,311.9
47.981369,-122.362358,2775,130.1,315.0
47.985209,-122.367765,2775,126.7,317.2
47.990143,-122.374737,2800,123.0,315.7
47.996521,-122.383963,2775,125.9,316.9
48.000549,-122.389275,2725,128.3,319.1
48.003937,-122.3936,2725,127.0,319.8
48.008113,-122.398893,2800,122.8,320.0
48.011627,-122.403351,2775,124.1,319.2
48.015884,-122.408638,2725,127.3,321.1
48.023568,-122.417908,2750,124.2,319.9
48.032227,-122.428894,2725,125.5,319.2
48.037673,-122.436007,2750,123.2,317.6
48.041584,-122.441711,2775,121.6,315.7
48.049622,-122.453545,2775,124.5,315.6
48.053604,-122.459724,2800,123.1,313.7
48.057541,-122.46563,2850,118.8,315.7
48.060763,-122.470163,2875,116.8,318.1
48.064022,-122.474318,2900,117.2,320.2
48.071284,-122.483333,2950,116.3,319.2
48.074112,-122.48719,2950,117.4,316.4
48.077336,-122.491784,2900,121.7,316.3
48.080063,-122.49543,2875,125.5,319.2
48.082077,-122.498039,2875,125.6,319.8
48.08313,-122.499344,2900,122.7,319.3
48.084412,-122.50108,2950,118.9,317.0
48.086181,-122.503826,3025,114.6,313.6
48.087387,-122.50573,3025,114.6,312.9
48.089393,-122.508897,3025,115.4,312.5
48.09137,-122.511978,3000,118.1,316.0
48.095957,-122.518475,3000,118.9,317.7
48.10401,-122.529179,3025,119.7,318.0
48.107502,-122.533828,3025,120.0,320.1
48.111226,-122.538335,3000,121.8,318.3
48.113068,-122.541023,2950,125.9,316.3
48.115082,-122.543839,2875,130.9,316.5
48.118744,-122.548782,2825,133.8,317.7
48.12442,-122.55661,2750,135.4,318.9
48.126114,-122.558601,2700,138.0,323.5
48.130498,-122.563195,2625,141.2,324.5
48.134995,-122.568077,2550,141.6,323.6
48.138878,-122.572561,2525,138.7,321.1
48.141449,-122.575699,2550,134.2,320.1
48.144104,-122.579132,2600,129.8,319.7
48.148281,-122.584322,2625,125.0,320.2
48.150604,-122.587029,2650,124.4,323.5
48.15559,-122.592351,2700,119.4,323.5
48.157425,-122.594582,2725,117.7,319.1
48.159668,-122.597672,2725,118.8,315.7
48.167313,-122.608901,2725,118.8,315.7
48.169463,-122.611831,2725,118.3,318.8
48.173326,-122.61689,2750,116.7,316.7
48.174911,-122.619324,2775,115.4,312.5
48.177521,-122.62362,2775,116.7,314.6
48.179657,-122.626503,2775,118.2,317.4
48.187571,-122.637634,2750,121.0,317.3
48.189926,-122.640592,2750,121.5,320.7
48.191761,-122.642694,2750,122.6,324.6
48.19367,-122.644501,2750,123.3,329.3
48.195392,-122.645874,2750,123.4,333.0
48.197617,-122.647353,2750,122.4,337.4
48.199582,-122.648404,2750,121.1,341.7
48.201782,-122.649325,2775,120.5,346.1
48.204051,-122.649922,2775,120.8,350.0
48.206472,-122.650428,2800,120.6,354.3
48.209032,-122.650572,2775,122.0,358.6
48.211395,-122.650452,2775,123.2,3.3
48.214325,-122.65024,2800,121.0,0.9
48.215689,-122.650428,2825,118.6,354.2
48.216992,-122.650789,2825,118.5,348.3
48.218491,-122.651438,2850,117.6,342.2
48.220047,-122.652353,2850,118.7,336.7
48.221695,-122.653621,2825,119.5,331.5
