lat,lon,alt,gs,track
42.220599,-83.749674,800,0.0,0.0
42.220322,-83.750652,900,79.6,234.7
42.219635,-83.752213,900,76.2,240.1
42.219016,-83.753761,900,82.7,237.9
42.21855,-83.754464,1000,79.6,243.1
42.218307,-83.754897,1000,88.2,237.0
42.217899,-83.755933,1000,86.1,239.3
42.216921,-83.757786,1100,87.8,239.9
42.215836,-83.760889,1200,91.2,244.0
42.215105,-83.762512,1200,90.0,245.7
42.071365,-83.850965,2300,124.7,200.2
42.069583,-83.852447,2300,125.2,211.3
42.065114,-83.856662,2200,125.2,211.3
42.062647,-83.859217,2200,125.2,211.3
42.062439,-83.859392,2200,117.3,219.1
42.060226,-83.861836,2200,113.4,217.5
42.059993,-83.862028,2200,106.5,219.7
42.059528,-83.862539,2100,108.7,219.4
42.054749,-83.867569,2000,104.6,218.4
42.0518,-83.870395,2000,103.8,216.0
42.051498,-83.87069,1900,105.4,215.4
42.047005,-83.875058,1900,106.4,217.0
42.046866,-83.875697,1800,107.8,217.1
42.045329,-83.877422,1800,106.3,221.2
42.04356,-83.879402,1700,107.2,220.1
42.04086,-83.88234,1700,107.0,217.4
42.037322,-83.885917,1700,106.0,215.8
42.036438,-83.886171,1700,100.4,213.2
42.03511,-83.886795,1700,110.1,199.1
42.033878,-83.886683,1700,94.3,184.3
42.033371,-83.886421,1700,105.1,164.0
42.032043,-83.885172,1700,93.5,147.7
42.031597,-83.884512,1700,93.5,138.5
42.031131,-83.883681,1700,94.8,133.3
42.030572,-83.882404,1700,96.4,127.0
42.030304,-83.881052,1700,98.4,109.0
42.030293,-83.880104,1700,98.9,97.6
42.030526,-83.879082,1700,99.1,81.3
42.031224,-83.877422,1700,99.1,81.3
42.031643,-83.876847,1700,103.2,51.7
42.032341,-83.875889,1700,104.7,47.3
42.033459,-83.874547,1700,104.7,45.0
42.034855,-83.872886,1700,105.6,41.5
42.037043,-83.870459,1700,106.5,39.7
42.03844,-83.869054,1600,109.8,37.6
42.04086,-83.866882,1600,109.0,35.3
