lat,lon,alt,gs,track
29.084724,-81.038484,-50.0,0.0,217.9
29.084721,-81.038468,-50.0,0.0,217.9
29.084724,-81.038484,-50.0,0.0,217.9
29.084709,-81.038482,-50.0,0.0,217.9
29.084702,-81.038497,-50.0,0.0,217.9
29.084702,-81.038497,-50.0,0.0,223.5
29.084674,-81.038522,-50.0,0.0,232.0
29.084564,-81.038682,-50.0,4.8,232.0
29.084395,-81.03894,-50.0,6.8,232.0
29.084198,-81.03921,-50.0,6.2,232.0
29.084034,-81.039451,-50.0,7.2,232.0
29.083809,-81.039791,-50.0,8.8,232.0
29.083557,-81.040138,-50.0,7.8,232.0
29.083374,-81.040412,-50.0,8.8,232.0
29.083278,-81.040555,-50.0,9.8,232.0
29.083033,-81.040905,-50.0,9.2,232.0
29.081955,-81.042458,-50.0,11.2,232.0
29.081462,-81.043167,-50.0,11.8,229.1
29.081234,-81.043488,-50.0,12.8,229.1
29.081008,-81.043813,-50.0,13.2,232.0
29.080765,-81.044175,-50.0,12.8,232.0
29.08049,-81.044571,-50.0,11.8,232.0
29.08024,-81.044931,-50.0,11.2,232.0
29.079996,-81.045281,-50.0,8.2,232.0
29.079964,-81.045337,-50.0,3.8,232.0
29.079868,-81.045469,-50.0,4.2,232.0
29.079849,-81.045509,-50.0,4.8,226.3
29.07981,-81.045537,-50.0,4.2,217.9
29.079792,-81.045548,-50.0,3.8,206.6
29.079775,-81.04555,-50.0,4.2,201.0
29.079735,-81.045575,-50.0,4.2,189.8
29.079517,-81.045601,-50.0,7.2,189.8
29.079158,-81.045685,-50.0,8.8,189.8
29.078902,-81.045752,-50.0,8.2,192.6
29.078773,-81.045786,-50.0,7.2,189.8
29.078704,-81.045793,-50.0,6.2,184.1
29.078682,-81.045786,-50.0,5.2,172.9
29.078658,-81.045766,-50.0,4.2,144.8
29.078634,-81.045725,-50.0,3.8,116.7
29.078625,-81.045707,-50.0,3.2,97.0
29.078623,-81.045685,-50.0,1.9,82.9
29.078623,-81.045685,-50.0,0.1,77.3
29.078636,-81.045667,-50.0,0.9,66.0
29.078646,-81.045644,-50.0,1.1,40.7
29.078658,-81.045631,-50.0,1.1,29.5
29.078693,-81.045628,-50.0,2.2,15.4
29.078785,-81.045601,-50.0,3.2,12.6
29.078844,-81.045591,-50.0,4.2,15.4
29.078876,-81.045575,-50.0,4.2,21.0
29.078902,-81.04555,-50.0,4.2,26.6
29.078925,-81.045537,-50.0,4.2,35.1
29.078983,-81.045483,-50.0,3.8,32.3
29.079007,-81.045469,-50.0,3.2,21.0
29.07903,-81.045469,-50.0,2.2,12.6
29.079042,-81.045469,-50.0,0.1,7.0
29.079042,-81.045469,-50.0,0.1,7.0
29.07954,-81.045509,-50.0,7.8,358.5
29.079682,-81.04551,-50.0,7.8,1.3
29.079735,-81.045509,-50.0,7.2,9.8
29.079798,-81.045496,-50.0,7.2,18.2
29.079833,-81.045483,-50.0,7.2,23.8
29.079872,-81.045456,-50.0,7.2,32.3
29.079906,-81.04543,-50.0,7.2,37.9
29.079949,-81.045389,-50.0,7.8,46.3
29.080021,-81.045271,-50.0,8.2,52.0
29.08025,-81.044941,-50.0,7.8,52.0
29.080461,-81.044621,-50.0,8.8,52.0
29.080729,-81.044258,-50.0,9.2,52.0
29.08095,-81.043921,-50.0,11.2,52.0
29.081211,-81.043528,-50.0,10.8,52.0
29.081474,-81.043158,-50.0,10.8,52.0
29.081683,-81.042857,-50.0,10.8,52.0
29.081916,-81.042534,-50.0,10.8,52.0
29.083301,-81.040542,-50.0,10.8,52.0
29.083488,-81.040253,-50.0,11.8,52.0
29.08372,-81.039895,-50.0,12.8,49.2
29.083941,-81.039599,-50.0,10.8,52.0
29.084209,-81.039209,-50.0,8.8,52.0
29.084465,-81.038832,-50.0,8.8,52.0
29.084546,-81.038724,-50.0,8.8,52.0
