lat,lon,alt,gs,track
30.045419,-95.552161,400,83.0,211.2
30.044266,-95.553427,500,83.9,219.2
30.042938,-95.556228,700,84.4,233.7
30.042801,-95.556659,700,87.0,252.6
30.042435,-95.559513,800,89.4,259.7
30.042572,-95.560967,800,92.1,271.9
30.042664,-95.561452,800,91.4,280.1
30.103271,-95.589456,1600,0.0,0.0
30.111923,-95.592256,1600,134.9,346.3
30.118057,-95.593818,1600,133.9,346.2
30.124283,-95.595057,1600,135.3,349.4
30.12616,-95.59538,1600,136.3,352.0
30.141174,-95.596349,1600,135.0,353.2
30.143051,-95.596403,1600,135.0,359.1
30.147491,-95.596619,1600,138.1,357.9
30.15509,-95.596673,1600,139.1,357.9
30.157654,-95.596511,1600,136.1,1.7
30.162598,-95.596134,1600,133.3,3.9
30.163239,-95.59608,1700,130.4,4.4
30.165573,-95.595865,1700,126.4,4.5
30.168457,-95.595542,1800,123.5,5.1
30.174179,-95.594895,1900,123.7,6.0
30.178162,-95.594303,1900,122.7,6.1
30.179901,-95.593926,1900,126.8,9.5
30.314026,-95.55682,3500,0.0,0.0
30.323639,-95.548742,3500,131.7,30.1
30.334808,-95.541795,3500,132.1,29.5
30.417023,-95.443295,3500,0.0,0.0
30.421829,-95.438125,3500,141.5,43.8
30.458908,-95.406458,3500,0.0,0.0
30.465775,-95.399349,3600,140.9,41.8
30.473465,-95.391971,3700,137.3,42.6
30.474426,-95.39111,3700,130.6,37.2
30.477356,-95.388579,3800,130.2,36.2
30.480789,-95.385778,3900,126.2,33.7
30.48317,-95.384001,4000,124.3,33.2
30.484589,-95.382924,4000,119.3,33.0
30.487335,-95.380877,4100,118.2,32.2
30.489716,-95.379208,4100,119.6,32.4
30.493515,-95.376461,4200,119.9,31.7
30.50029,-95.371668,4200,123.0,31.4
30.507339,-95.366175,4400,123.5,31.8
30.573212,-95.312213,5300,0.0,0.0
30.575546,-95.310166,5400,126.4,37.0
30.576965,-95.308928,5400,125.8,36.6
30.586853,-95.300203,5500,125.8,36.6
30.587357,-95.299772,5500,131.8,37.9
30.591293,-95.296164,5500,136.7,38.5
30.596375,-95.291425,5500,141.5,39.0
30.603149,-95.285016,5500,145.5,40.3
30.605164,-95.28297,5500,145.3,40.8
30.63533,-95.248072,5500,0.0,0.0
30.643982,-95.238055,5500,154.7,40.3
30.6094,-95.200488,4500,0.0,0.0
30.607498,-95.206012,4500,138.2,250.1
30.588043,-95.249795,4200,0.0,0.0
30.585892,-95.255665,4200,148.8,247.1
30.571518,-95.288194,4000,0.0,0.0
30.567673,-95.295087,3900,153.4,237.2
30.563461,-95.302681,3900,151.2,237.1
30.55687,-95.314959,3800,150.3,236.9
30.552933,-95.322284,3700,147.1,238.9
30.551422,-95.324815,3700,143.1,235.5
30.548401,-95.329823,3700,141.2,234.5
30.544464,-95.335855,3700,140.4,234.3
30.537781,-95.345172,3600,139.8,232.6
30.536865,-95.346303,3600,143.2,229.0
30.524689,-95.362944,3400,143.3,229.5
30.520523,-95.368222,3400,147.2,227.8
30.513519,-95.376731,3300,144.3,226.7
30.508392,-95.38287,3300,145.0,225.3
30.50322,-95.389063,3300,145.7,226.7
30.502762,-95.389656,3300,145.8,227.8
30.496536,-95.399942,3200,145.9,228.3
30.496216,-95.400642,3200,147.4,240.3
30.491913,-95.40969,3200,147.7,240.8
30.490036,-95.41389,3200,146.3,242.7
