lat,lon,alt,gs,track
21.380139,-155.201772,33800,560.0,86.5
21.3827,-155.156097,34050,561.0,86.6
21.38512,-155.112,34300,561.0,86.6
21.387588,-155.066783,34575,561.0,86.6
21.390289,-155.01734,34825,562.0,86.6
21.392988,-154.967244,35050,563.0,86.6
21.395781,-154.915975,35300,564.0,86.7
21.398575,-154.86433,35525,564.9,86.8
21.401596,-154.8084,35725,566.9,86.8
21.404486,-154.753927,35925,568.0,86.7
21.407372,-154.700521,36150,568.9,86.8
21.410259,-154.645589,36350,569.9,86.8
21.413145,-154.590607,36525,570.8,86.9
21.416124,-154.534658,36725,572.0,86.7
21.41901,-154.479167,36900,572.9,86.8
21.420731,-154.445751,37000,573.8,86.9
21.423666,-154.388428,37000,573.8,86.9
21.426505,-154.332225,37000,573.9,86.8
21.429382,-154.276262,37000,573.9,86.8
21.432129,-154.22178,37000,573.8,86.9
21.434921,-154.166249,37000,572.8,87.0
21.437759,-154.109669,37000,571.8,86.9
21.440552,-154.053139,37000,570.8,87.0
21.443253,-153.997259,37000,570.7,87.1
21.445964,-153.94221,37000,569.8,87.0
21.4487,-153.885848,37000,569.7,87.1
21.451318,-153.830872,37000,569.7,87.1
21.453918,-153.775285,37000,569.7,87.1
21.456578,-153.719737,37000,570.7,87.1
21.459229,-153.663574,37000,570.7,87.2
21.461792,-153.609111,37000,570.7,87.2
21.464447,-153.552113,37000,570.7,87.1
21.46701,-153.497381,37000,570.7,87.2
21.469574,-153.44205,37000,570.7,87.2
21.472092,-153.386419,37000,570.6,87.3
21.474501,-153.333079,37000,570.7,87.2
21.47699,-153.277455,37000,570.6,87.3
21.47937,-153.223222,37000,570.6,87.3
21.481809,-153.167216,37000,571.6,87.3
21.48423,-153.111216,37000,571.6,87.3
21.48674,-153.055131,37000,571.6,87.3
21.489118,-152.999369,37000,571.6,87.4
21.491492,-152.94337,37000,571.6,87.4
21.493744,-152.889088,37000,570.6,87.4
21.496124,-152.833457,37000,570.6,87.4
21.498459,-152.777527,37000,570.5,87.5
21.500803,-152.721405,37000,569.5,87.5
21.503037,-152.666168,37000,569.5,87.5
21.505318,-152.611491,37000,568.5,87.6
21.507523,-152.556951,37000,567.6,87.5
21.509674,-152.502969,37000,567.5,87.6
21.511836,-152.44873,37000,567.5,87.6
21.514024,-152.393087,37000,567.5,87.6
21.516174,-152.337774,37000,567.5,87.6
21.518326,-152.281544,37000,567.5,87.7
21.520477,-152.225364,37000,567.5,87.7
21.522491,-152.17223,37000,567.5,87.7
21.524597,-152.117698,37000,567.5,87.7
21.526703,-152.061468,37000,567.4,87.8
21.528717,-152.006936,37000,567.5,87.7
21.530736,-151.953532,37000,567.4,87.8
21.532013,-151.917247,37000,567.4,87.8
21.534367,-151.85257,37000,567.4,87.8
21.535858,-151.81038,37000,568.4,87.8
21.537346,-151.769613,37000,568.4,87.8
21.539337,-151.713651,37000,567.4,87.8
21.54107,-151.66275,37000,567.4,87.9
21.542095,-151.633199,37000,567.4,87.9
21.544418,-151.566034,37000,567.4,87.9
21.54526,-151.543274,37000,567.5,87.6
21.702667,-151.136569,37000,0.0,0.0
21.772109,-150.988413,37000,0.0,0.0
21.783794,-150.963389,37000,552.3,63.4
21.804749,-150.91849,37000,551.9,63.5
21.817963,-150.889994,37000,551.9,63.5
21.836584,-150.850016,37000,551.9,63.5
21.857765,-150.804596,37000,552.3,63.4
21.864716,-150.789601,37000,551.9,63.5
21.893967,-150.726729,37000,551.9,63.5
30.860316,-124.771234,37000,519.3,75.2
30.871994,-124.719813,37000,519.1,75.3
30.883965,-124.667029,37000,519.1,75.3
30.89621,-124.612911,37000,518.1,75.2
30.908032,-124.560681,37000,517.8,75.3
30.919252,-124.510858,37000,517.8,75.3
30.928894,-124.468043,37000,517.8,75.3
30.933243,-124.448655,37000,517.8,75.3
30.977921,-124.249124,37000,0.0,0.0
30.99029,-124.193628,37000,0.0,0.0
30.99029,-124.193626,37000,0.0,75.0
31.049412,-123.92644,37000,516.1,75.6
31.106205,-123.666943,37000,0.0,0.0
31.115935,-123.622229,37000,0.0,0.0
31.140884,-123.506631,37000,512.5,75.9
31.150104,-123.461884,37000,512.3,76.4
31.176636,-123.367202,37000,0.0,0.0
31.194946,-123.320348,37000,510.9,67.2
31.204697,-123.298645,37000,510.9,61.7
31.224448,-123.255396,37000,510.4,62.3
31.245346,-123.208816,37000,509.9,62.4
31.263931,-123.167348,37000,509.9,62.4
31.281784,-123.127657,37000,510.4,62.3
31.303587,-123.07923,37000,509.5,62.3
31.324448,-123.032981,37000,509.5,62.3
31.346182,-122.984857,37000,508.6,62.2
31.367981,-122.936527,37000,508.6,62.2
31.389755,-122.888232,37000,508.1,62.3
31.411285,-122.840397,37000,508.1,62.3
31.433142,-122.791827,37000,507.2,62.3
31.454636,-122.743997,37000,507.2,62.3
31.475365,-122.697949,37000,506.8,62.4
31.496704,-122.650398,37000,506.8,62.4
31.517807,-122.603383,37000,506.8,62.4
31.537033,-122.560407,37000,506.3,62.5
31.555667,-122.518707,37000,505.4,62.4
31.576988,-122.470972,37000,505.0,62.5
31.598465,-122.422701,37000,505.0,62.5
31.619797,-122.37477,37000,504.1,62.5
31.641129,-122.326894,37000,503.6,62.6
31.662272,-122.27926,37000,503.6,62.6
31.682739,-122.233025,37000,503.2,62.7
31.703796,-122.185437,37000,502.3,62.6
31.725174,-122.137164,37000,501.8,62.7
31.745507,-122.091064,37000,500.9,62.7
31.766464,-122.043511,37000,500.5,62.8
31.787265,-121.996223,37000,500.5,62.8
31.80835,-121.948242,37000,499.6,62.7
31.828903,-121.90155,37000,499.1,62.8
31.849924,-121.853569,37000,499.1,62.8
31.871012,-121.805364,37000,499.1,62.8
31.891914,-121.757663,37000,499.1,62.8
31.912583,-121.710467,37000,499.1,62.8
31.933113,-121.663494,37000,498.7,62.9
31.953781,-121.616071,37000,497.3,63.0
31.974265,-121.568934,37000,496.0,63.0
31.994888,-121.521457,37000,495.1,63.0
32.01535,-121.474292,37000,493.7,63.0
32.035947,-121.426728,37000,492.4,63.1
32.056197,-121.37998,37000,491.5,63.0
32.076214,-121.333736,37000,491.0,63.1
32.09679,-121.286148,37000,490.2,63.1
32.116882,-121.239569,37000,489.7,63.2
32.136887,-121.192987,37000,489.3,63.3
32.157308,-121.145512,37000,488.8,63.1
32.177399,-121.098834,37000,487.5,63.2
