lat,lon,alt,gs,track,vs
40.099869,-82.663574,38000,434.7,265.0,0
40.096298,-82.715149,38000,434.8,264.9,0
40.092696,-82.766939,38000,433.8,264.7,0
40.089066,-82.818176,38000,433.8,264.7,0
40.085495,-82.869324,38000,432.8,264.8,0
40.081849,-82.921059,38000,431.8,264.8,0
40.078217,-82.972473,38000,430.9,264.7,0
40.074494,-83.023994,38000,430.0,264.5,0
40.070755,-83.075256,38000,428.9,264.6,0
40.067092,-83.126366,38000,429.0,264.5,0
40.063339,-83.177246,38000,428.0,264.5,0
40.05969,-83.227241,38000,428.0,264.5,0
40.055873,-83.27824,38000,427.0,264.5,0
40.052078,-83.328613,38000,427.1,264.4,0
40.048325,-83.378967,38000,426.0,264.5,0
40.044571,-83.429199,38000,425.0,264.5,0
40.040837,-83.478803,38000,424.1,264.3,0
40.036972,-83.529297,38000,423.1,264.3,0
40.033062,-83.579428,38000,422.2,264.1,0
40.029199,-83.62949,38000,422.1,264.3,0
40.025381,-83.679428,38000,421.1,264.3,0
40.0215,-83.729553,38000,421.2,264.1,0
40.017607,-83.779179,38000,421.2,264.1,0
40.013672,-83.828735,38000,420.2,264.1,0
40.009827,-83.877747,38000,420.2,264.1,0
40.005844,-83.927002,38000,420.3,264.0,0
40.001862,-83.976807,38000,420.3,264.0,0
39.997915,-84.025872,38000,420.9,263.3,64
39.994446,-84.058716,38000,421.3,261.8,0
39.988861,-84.108337,38000,421.4,261.7,0
39.983368,-84.157959,38000,421.2,262.0,0
39.977921,-84.207642,38000,422.3,261.8,0
39.972565,-84.256836,38000,422.1,262.0,0
39.967255,-84.306458,38000,421.0,262.1,0
39.962024,-84.355774,38000,420.0,262.1,0
39.956863,-84.404602,38000,420.0,262.1,0
39.951508,-84.453796,38000,420.2,261.9,0
39.946149,-84.503465,38000,420.2,261.9,0
39.940703,-84.552904,38000,419.3,261.8,0
39.935303,-84.60199,38000,419.2,261.9,0
39.929949,-84.650532,38000,418.3,261.8,0
39.924549,-84.699721,38000,417.2,261.9,0
39.919189,-84.748057,38000,416.2,261.9,0
39.913749,-84.797058,38000,416.2,261.9,0
39.908302,-84.846008,38000,416.3,261.7,0
39.902756,-84.895238,38000,416.3,261.7,64
39.897171,-84.944438,38000,416.3,261.7,0
39.891683,-84.993286,38000,417.5,261.6,0
39.886097,-85.042114,38000,420.6,261.5,0
39.880371,-85.09137,38000,421.7,261.4,0
39.874738,-85.140564,38000,422.6,261.6,0
39.868973,-85.190556,38000,423.7,261.5,0
39.863205,-85.240352,38000,424.7,261.5,0
39.857483,-85.29003,38000,425.7,261.5,0
39.851648,-85.340332,38000,425.8,261.4,0
39.845783,-85.390442,38000,427.0,261.2,0
39.839871,-85.440308,38000,426.8,261.4,0
39.833912,-85.491272,38000,427.8,261.4,0
39.828003,-85.54176,38000,428.0,261.3,0
39.822052,-85.591497,38000,429.0,261.3,0
39.816082,-85.641602,38025,429.1,261.1,0
39.810104,-85.691449,38000,429.1,261.1,0
39.804025,-85.741821,38000,429.1,261.1,0
39.798067,-85.79126,38000,430.2,261.0,0
39.791968,-85.841431,38000,430.2,261.0,0
39.785843,-85.892069,38000,430.2,261.0,0
39.779818,-85.94165,38000,429.3,261.0,64
39.773758,-85.991125,38000,428.3,261.0,0
39.767622,-86.041016,38000,427.4,260.9,0
39.761477,-86.091003,38000,426.3,261.0,0
39.755402,-86.139977,38000,424.5,260.8,0
39.749176,-86.189834,38000,422.3,260.9,0
39.743088,-86.238795,38000,422.3,260.9,0
39.737,-86.287696,38000,421.5,260.7,0
39.730752,-86.337524,38000,421.4,260.9,0
39.724607,-86.386292,38000,420.5,260.7,0
39.71846,-86.434937,38000,420.5,260.7,0
39.71228,-86.483838,38000,420.5,260.7,0
39.705963,-86.533276,38000,420.7,260.6,0
