lat,lon,alt,gs,track,vs
40.285096,-86.850357,700,64.0,89.1,1152
40.285172,-86.848755,775,63.1,87.3,1152
40.285309,-86.846619,875,60.1,87.1,1024
40.2854,-86.844971,950,59.1,86.1,1024
40.285608,-86.843241,1025,57.3,77.9,960
40.285767,-86.842651,1050,58.9,69.1,896
40.285934,-86.842117,1075,59.9,62.2,896
40.286591,-86.841064,1125,65.1,45.0,704
40.287003,-86.840698,1150,68.2,34.8,768
40.287657,-86.840245,1175,71.6,28.4,768
40.288376,-86.839844,1200,75.6,20.1,576
40.289193,-86.839496,1225,76.9,15.8,704
40.290589,-86.839059,1275,75.7,12.2,896
40.291893,-86.838809,1325,78.6,7.3,768
40.293103,-86.838684,1375,82.1,2.1,576
40.294639,-86.838747,1425,84.1,358.0,768
40.295431,-86.838809,1450,84.5,353.9,768
40.296036,-86.838996,1450,86.6,346.0,704
40.296827,-86.839371,1475,88.4,338.1,704
40.297386,-86.839745,1475,90.7,328.1,576
40.297897,-86.840271,1500,91.5,326.1,576
40.298317,-86.840744,1525,91.9,315.9,640
40.298969,-86.841743,1550,90.5,314.1,640
40.299341,-86.842429,1575,87.4,303.3,960
40.29982,-86.843628,1625,86.5,299.8,960
40.300319,-86.845488,1675,84.8,289.3,960
40.300461,-86.846375,1700,84.5,280.9,640
40.300644,-86.848389,1725,86.5,276.0,448
40.300919,-86.851196,1725,90.9,278.2,128
40.301788,-86.859192,1725,95.9,277.8,128
40.302292,-86.863159,1725,100.3,279.2,-128
40.303065,-86.870332,1750,100.0,278.0,192
40.303436,-86.874268,1750,99.5,275.8,64
40.303577,-86.877573,1750,100.1,272.9,64
40.303619,-86.880066,1750,100.0,268.3,0
40.303482,-86.881531,1750,98.2,261.2,-64
40.302926,-86.884065,1750,96.3,254.9,0
40.302321,-86.885938,1750,92.3,247.1,64
40.301343,-86.888809,1725,91.2,244.0,-384
40.300095,-86.891235,1675,88.6,229.1,-512
40.298876,-86.892804,1650,87.7,225.0,-512
