lat,lon,alt,gs,track,vs
35.803986,-83.99929,700,59.4,45.0,-64
35.804257,-83.998952,725,88.4,43.6,192
35.805313,-83.997688,750,93.4,44.1,576
35.807004,-83.995679,825,97.6,45.0,960
35.80806,-83.99437,875,102.5,44.6,768
35.808912,-83.993342,900,106.8,44.6,512
35.810588,-83.991297,950,111.7,44.3,640
35.812823,-83.988667,1025,116.7,44.0,704
35.815247,-83.985729,1125,120.9,44.7,896
35.817431,-83.983232,1200,123.2,41.7,1088
35.818771,-83.981953,1250,124.6,35.9,768
35.819992,-83.98107,1275,126.3,29.4,576
35.821335,-83.980293,1300,127.2,23.1,704
35.82312,-83.979549,1350,128.1,19.1,832
35.824036,-83.979206,1375,127.9,15.9,1152
35.826004,-83.978577,1475,128.6,15.3,1344
35.827377,-83.978062,1500,130.1,16.1,960
35.83042,-83.976979,1550,134.5,16.4,512
35.834381,-83.975601,1650,138.1,15.6,896
35.837868,-83.974408,1750,138.3,15.9,1088
35.841499,-83.973181,1850,139.0,15.4,1024
35.844864,-83.972054,1950,137.8,15.1,1152
35.848016,-83.97096,2050,137.8,15.1,1152
35.852159,-83.969616,2150,140.9,15.2,768
35.854614,-83.968792,2200,141.4,12.7,832
35.856256,-83.968506,2225,141.2,7.3,896
35.858002,-83.968449,2275,141.0,1.2,1088
35.860748,-83.968563,2350,141.2,356.8,1088
35.864136,-83.968849,2450,141.4,355.9,896
35.868173,-83.969207,2550,142.4,356.0,960
35.871711,-83.969499,2650,142.4,355.6,1024
35.875168,-83.969822,2750,142.4,356.0,1152
35.878415,-83.970142,2850,141.4,355.5,1152
35.882172,-83.970509,2950,142.5,355.2,1024
35.885537,-83.970843,3050,143.5,355.2,1088
35.889262,-83.971252,3150,144.7,354.5,1024
35.893684,-83.971778,3250,146.7,354.5,896
35.898102,-83.97234,3350,147.8,354.2,960
35.902436,-83.972889,3450,149.8,354.2,896
35.906662,-83.97337,3550,151.7,354.3,896
35.911331,-83.973999,3650,154.8,354.1,960
35.915222,-83.974514,3750,154.9,353.7,1152
35.919614,-83.975109,3850,157.0,353.4,1024
35.923524,-83.975694,3950,157.2,353.1,1088
35.927248,-83.97622,4050,156.0,353.4,1216
35.930228,-83.976687,4150,155.0,353.3,1280
35.934091,-83.977213,4250,155.0,353.3,1152
35.938019,-83.977776,4350,155.9,353.7,1088
35.941726,-83.978265,4450,156.0,353.4,1024
35.944199,-83.978806,4500,156.3,348.2,1024
35.946167,-83.979549,4550,156.2,341.3,1024
35.949035,-83.981012,4625,155.5,336.9,1216
35.951781,-83.982531,4725,155.3,336.1,1152
35.95518,-83.984459,4825,154.8,334.8,1152
35.958618,-83.986473,4925,154.3,334.3,1216
35.961511,-83.988199,5025,154.3,334.3,1280
35.964935,-83.990192,5125,155.2,334.4,1088
35.968493,-83.99229,5225,154.8,334.8,1024
35.972076,-83.994312,5325,156.2,335.4,1024
35.975189,-83.996201,5400,155.7,332.5,960
35.976966,-83.99755,5425,153.9,325.6,960
35.978037,-83.998718,5475,152.4,319.0,960
35.979061,-84.000062,5500,150.9,311.5,960
35.979813,-84.001408,5525,148.9,304.3,960
35.980597,-84.003276,5575,146.3,297.3,1024
35.981109,-84.004971,5625,142.9,289.2,1152
35.981506,-84.006901,5675,141.7,283.1,1152
35.981854,-84.009529,5725,140.2,277.4,1088
35.982087,-84.013152,5825,140.2,273.3,960
35.982147,-84.018402,5925,140.0,270.4,896
35.98218,-84.022795,6025,140.0,270.0,1152
35.98218,-84.026944,6125,140.0,270.0,1024
35.982193,-84.032536,6225,143.0,270.4,832
35.982285,-84.037971,6325,146.1,272.0,896
35.982459,-84.043248,6425,147.2,272.7,896
35.982697,-84.048386,6525,148.3,273.5,960
35.982971,-84.053135,6625,148.3,273.9,1088
35.983246,-84.057827,6725,148.4,274.2,1152
35.98353,-84.062123,6825,148.5,274.6,1088
35.983887,-84.067154,6925,148.6,275.0,1024
35.984436,-84.074249,7075,148.7,275.4,1024
35.984985,-84.081516,7225,148.7,275.4,1024
35.98558,-84.088955,7400,148.8,275.8,1088
35.98613,-84.096165,7550,147.7,275.4,1088
35.986725,-84.103546,7700,148.8,275.8,1024
35.986975,-84.106536,7750,150.7,275.3,640
35.987254,-84.110393,7750,154.7,275.6,192
35.987533,-84.113958,7750,158.8,275.8,0
35.987952,-84.1191,7750,163.8,275.6,64
35.988371,-84.124243,7775,168.8,275.4,0
35.989197,-84.134102,7750,172.9,276.0,0
35.990792,-84.153287,7750,172.8,275.6,0
35.992355,-84.17244,7750,172.9,276.0,0
35.994003,-84.191952,7750,173.9,275.9,0
35.99554,-84.211023,7750,174.9,275.9,0
35.99717,-84.2306,7750,173.9,275.9,0
35.998718,-84.249744,7750,172.8,275.6,-64
36.000275,-84.269314,7750,171.8,275.7,0
36.001831,-84.288654,7750,172.8,275.6,0
36.003387,-84.307995,7750,171.8,275.7,0
36.004944,-84.327373,7750,170.8,275.7,0
36.006527,-84.346658,7750,171.8,275.7,0
36.008063,-84.366001,7750,170.8,275.7,0
36.009599,-84.385168,7750,170.8,275.7,0
36.011078,-84.403782,7750,169.8,275.4,0
36.012625,-84.42327,7750,168.8,275.4,0
36.014191,-84.442635,7750,169.9,275.7,0
36.015701,-84.462032,7750,170.8,275.4,0
36.017212,-84.481258,7750,170.8,275.7,0
36.018723,-84.500542,7750,172.8,275.6,0
36.020279,-84.520168,7750,172.8,275.6,-64
36.02179,-84.539337,7750,171.8,275.7,0
36.023332,-84.55867,7750,170.8,275.7,0
36.024811,-84.577446,7750,171.8,275.7,-64
36.026358,-84.596947,7750,172.7,275.3,0
36.027878,-84.616241,7750,172.8,275.6,0
36.029343,-84.63541,7750,171.7,275.4,0
36.030827,-84.654742,7750,170.8,275.4,0
36.032318,-84.673462,7750,171.7,275.4,0
36.033783,-84.692802,7750,172.7,275.3,0
36.035294,-84.712543,7750,173.7,275.3,0
36.036758,-84.73177,7750,175.7,275.2,0
36.038269,-84.751339,7750,175.8,275.5,0
36.039825,-84.770908,7750,171.8,275.7,0
36.04129,-84.789677,7750,168.8,275.4,0
36.042744,-84.808668,7750,167.7,275.1,0
36.044128,-84.827385,7750,169.8,275.4,0
36.045631,-84.846828,7750,172.7,275.3,-64
36.047058,-84.865837,7750,173.7,275.3,0
36.048517,-84.885514,7750,173.7,275.3,0
36.050006,-84.904623,7750,173.7,275.3,0
36.05145,-84.9242,7750,174.7,275.2,-64
36.052963,-84.943829,7750,174.8,275.6,0
36.054475,-84.963762,7750,173.7,275.3,0
36.055872,-84.983105,7750,172.7,275.3,0
36.057362,-85.002331,7750,169.8,275.4,0
36.058758,-85.020914,7750,170.8,275.4,0
36.060196,-85.040474,7750,168.7,275.1,0
36.061644,-85.059133,7750,164.7,275.2,0
36.062988,-85.077667,7750,162.7,275.3,0
36.064362,-85.096207,7750,162.7,275.3,0
36.065695,-85.114006,7750,161.7,275.3,0
36.066998,-85.131946,7775,159.6,275.0,192
36.068301,-85.150121,7825,158.6,275.1,64
36.069626,-85.167904,7825,159.6,275.0,0
36.070908,-85.185826,7825,160.6,275.0,0
36.072189,-85.203953,7825,163.6,274.9,0
36.073515,-85.222642,7825,166.7,275.2,-64
36.074819,-85.240816,7825,166.7,275.2,0
36.076215,-85.259516,7825,166.7,275.2,0
36.077612,-85.278216,7825,164.7,275.2,0
36.078918,-85.296192,7825,162.7,275.3,0
36.080312,-85.314565,7825,162.6,274.9,0
36.081569,-85.332271,7825,161.6,275.0,0
36.082901,-85.350838,7825,162.6,274.9,0
36.084137,-85.368347,7825,164.6,274.9,0
36.085419,-85.386887,7825,164.6,274.9,0
36.08669,-85.405144,7825,164.7,275.2,0
36.088028,-85.423794,7825,164.7,275.2,0
36.08931,-85.441647,7800,166.6,274.8,-320
36.090134,-85.453606,7700,171.6,274.7,-448
36.091019,-85.466737,7600,174.6,274.9,-448
36.09195,-85.480119,7500,176.6,274.9,-576
36.092834,-85.492567,7400,175.6,274.9,-512
36.09375,-85.505276,7300,176.7,275.2,-448
36.09465,-85.518163,7200,178.6,274.8,-448
