lat,lon,alt,gs,track
26.199506,-80.159842,300,0.0,0.0
26.20079,-80.155369,400,54.2,52.5
26.201614,-80.154384,400,52.3,46.5
26.202026,-80.154073,400,52.6,38.8
26.203537,-80.153452,400,54.6,26.1
26.203766,-80.1534,400,54.6,26.1
26.204041,-80.1534,400,57.6,8.0
26.204407,-80.153296,500,62.5,7.3
26.204636,-80.153296,400,63.0,1.8
26.204956,-80.153348,500,66.1,356.5
26.205597,-80.1534,500,67.5,348.0
26.207187,-80.154032,500,67.4,344.5
26.207513,-80.15419,500,68.2,337.6
26.207794,-80.154333,600,68.4,333.1
26.208572,-80.154851,600,71.0,327.6
26.208939,-80.15511,500,73.0,323.9
26.209534,-80.155628,600,74.4,318.8
26.209981,-80.156144,500,77.1,316.6
26.210358,-80.156613,600,78.5,315.5
26.211319,-80.157908,600,77.9,311.9
26.212097,-80.159411,600,80.2,303.3
26.212234,-80.159774,700,81.8,296.9
26.212372,-80.160188,600,82.3,294.4
26.212774,-80.161373,700,80.4,291.1
26.213333,-80.163091,700,83.5,288.9
26.213798,-80.165018,700,85.6,284.2
26.214203,-80.166977,700,90.0,282.2
26.214543,-80.168927,700,89.1,279.0
26.214798,-80.171589,700,89.5,275.8
26.215118,-80.175476,800,91.3,274.4
26.215256,-80.178223,800,91.1,272.5
26.215393,-80.182058,800,93.3,274.9
26.21553,-80.18299,800,94.4,279.8
26.215805,-80.18439,800,94.1,284.8
26.216583,-80.187136,800,91.1,287.2
26.21727,-80.189209,900,92.4,289.6
26.217957,-80.191126,900,89.2,293.1
26.219009,-80.19351,1000,84.5,296.0
26.21933,-80.194339,1000,85.0,296.6
26.220337,-80.196257,1000,84.2,299.9
26.221161,-80.19776,1000,85.1,303.5
26.223633,-80.201595,1000,83.2,305.2
26.22496,-80.203719,1100,82.4,305.6
26.226972,-80.206745,1100,78.8,305.7
26.227432,-80.207399,1200,79.0,308.3
26.228165,-80.208383,1200,77.6,308.2
26.229218,-80.210145,1100,82.4,305.6
26.229858,-80.211233,1200,85.4,302.6
26.23114,-80.213565,1200,85.6,300.2
26.233658,-80.218385,1300,90.6,300.5
26.233932,-80.218903,1200,90.6,300.5
26.234653,-80.220319,1300,89.6,299.4
26.236496,-80.223982,1300,86.8,297.5
26.237366,-80.225847,1400,86.8,294.5
26.237549,-80.226366,1400,92.2,294.3
26.238983,-80.229985,1400,88.8,292.5
26.241165,-80.235849,1500,89.2,293.1
26.242447,-80.23901,1500,85.5,294.2
26.244415,-80.243726,1600,87.3,293.6
26.245743,-80.246991,1600,86.8,294.5
26.247757,-80.251914,1600,90.5,293.5
26.248398,-80.253624,1700,88.0,291.3
26.250092,-80.258755,1800,86.4,290.3
26.251785,-80.263833,1800,89.8,288.8
26.252747,-80.266891,1800,88.9,287.0
26.253204,-80.268653,1900,88.3,285.8
26.25444,-80.274094,1900,91.2,285.3
26.254852,-80.275908,1900,91.8,281.3
26.255081,-80.277773,2000,90.3,279.6
26.255585,-80.281556,2000,90.9,278.2
26.256042,-80.28622,2000,94.6,276.7
26.256134,-80.287671,2100,93.3,274.3
26.256317,-80.291558,2100,95.0,271.8
26.256592,-80.297932,2100,95.1,272.4
26.256866,-80.301922,2100,93.3,274.9
26.256866,-80.302389,2200,92.3,275.0
26.257233,-80.305757,2200,94.9,277.9
26.257919,-80.311095,2200,94.6,276.7
26.258057,-80.312546,2300,89.9,278.3
26.258286,-80.31493,2300,94.5,276.1
26.258972,-80.320734,2300,93.4,275.5
26.259064,-80.3226,2300,91.3,274.4
26.259155,-80.323999,2400,92.1,271.9
26.259155,-80.326953,2400,97.0,270.0
26.259018,-80.32944,2400,95.2,266.4
26.258652,-80.334415,2400,97.4,264.7
26.258102,-80.339079,2400,99.7,263.1
26.25705,-80.348511,2400,103.6,263.9
26.256958,-80.350117,2400,104.2,266.1
26.256546,-80.356595,2400,104.2,266.1
26.256454,-80.358253,2400,105.1,267.8
26.255722,-80.38147,2400,0.0,0.0
26.255676,-80.381988,2400,110.1,267.9
26.255585,-80.393233,2400,108.1,267.4
26.255585,-80.394944,2400,107.0,270.5
26.255676,-80.39883,2400,107.0,271.6
26.255997,-80.406085,2400,108.1,272.1
26.256134,-80.411578,2400,108.0,270.5
26.256317,-80.422565,2400,106.0,270.0
26.256088,-80.430805,2400,104.0,270.0
26.255814,-80.435779,2400,108.2,266.8
26.254395,-80.451067,2300,108.1,267.9
26.252289,-80.460084,2300,112.5,255.6
26.251831,-80.463453,2300,110.8,259.6
26.251511,-80.49693,2300,0.0,0.0
26.252014,-80.507346,2300,105.0,270.5
26.250824,-80.52823,2300,0.0,0.0
26.250458,-80.531495,2300,105.7,263.5
26.251511,-80.557406,2300,0.0,0.0
26.06916,-81.264601,2400,0.0,0.0
26.063278,-81.332254,2400,0.0,0.0
26.06282,-81.33557,2400,109.3,261.0
26.059341,-81.355884,2400,0.0,0.0
26.059067,-81.376406,2400,0.0,0.0
26.058197,-81.383817,2400,110.4,258.0
26.054077,-81.404805,2400,0.0,0.0
26.053391,-81.40864,2400,107.5,257.6
26.052383,-81.433773,2300,0.0,0.0
26.052246,-81.436105,2300,114.2,267.0
26.037505,-81.663331,1000,0.0,0.0
26.039612,-81.661999,1100,56.6,32.0
26.040436,-81.661325,1100,54.4,36.0
26.040665,-81.66117,1100,55.0,36.9
26.053802,-81.654329,1300,0.0,0.0
26.058472,-81.652101,1400,59.5,24.8
26.05925,-81.651738,1500,59.5,29.1
26.059937,-81.651272,1500,57.7,33.7
26.061584,-81.649458,1500,56.1,39.9
26.061722,-81.649251,1500,51.7,48.9
26.061905,-81.649095,1600,51.0,48.2
26.062225,-81.64868,1500,50.3,47.4
26.062912,-81.647903,1600,50.3,47.4
26.063553,-81.647126,1600,52.5,49.6
26.064056,-81.6464,1600,56.9,50.7
26.064697,-81.645519,1600,57.8,52.7
26.065292,-81.644638,1600,53.2,48.8
26.065796,-81.644068,1700,53.2,41.2
26.066986,-81.64298,1700,55.9,42.8
26.067719,-81.642099,1700,55.9,47.2
26.06868,-81.640752,1700,54.8,51.7
26.070145,-81.638731,1800,52.8,52.7
26.070648,-81.638109,1800,54.6,48.7
26.085938,-81.619971,1900,0.0,0.0
26.090881,-81.615825,1900,66.0,40.7
26.092392,-81.614115,1900,65.1,43.8
26.092804,-81.613649,1900,63.8,48.8
26.093582,-81.61256,1900,65.6,52.4
26.095322,-81.609917,1900,65.0,53.1
26.095871,-81.609088,1900,64.1,55.8
26.097336,-81.606601,1900,63.8,54.6
26.100677,-81.602818,1900,63.6,53.3
26.101135,-81.602351,1900,68.0,41.4
26.102875,-81.600589,1900,63.8,41.2
26.104843,-81.598724,1900,61.1,39.7
26.105713,-81.597946,1900,61.6,35.8
26.10672,-81.597221,1900,64.4,33.0
26.112717,-81.594008,1900,64.9,28.5
26.114182,-81.593127,1900,71.1,27.6
26.117661,-81.59121,1900,70.7,28.7
26.11908,-81.590277,1900,70.5,31.7
26.121552,-81.588567,1900,70.0,31.0
26.137802,-81.574264,1800,0.0,0.0
26.139267,-81.572761,1700,71.4,44.4
26.145401,-81.567371,1700,74.5,40.1
26.145813,-81.566853,1700,68.6,43.2
26.147827,-81.564417,1700,64.4,44.4
26.15451,-81.557266,1600,62.6,51.5
26.154968,-81.556903,1700,60.6,37.6
26.156067,-81.555919,1600,61.4,37.1
26.156479,-81.555504,1600,60.9,42.3
26.157532,-81.554364,1600,63.7,46.3
26.157898,-81.553897,1600,60.2,48.4
26.161148,-81.549596,1600,62.5,50.2
26.16156,-81.549182,1600,59.8,38.2
26.162521,-81.548508,1600,62.1,33.2
26.1633,-81.54799,1600,65.8,28.1
26.1633,-81.547989,1600,68.5,212.0
26.183578,-81.53322,1600,0.0,0.0
26.189484,-81.530837,1600,67.6,23.5
26.194336,-81.528297,1500,68.5,25.1
26.194656,-81.528142,1500,78.9,22.3
26.196304,-81.527364,1600,76.3,21.5
26.198273,-81.526587,1600,77.5,19.6
26.19928,-81.526224,1500,76.2,16.8
26.202026,-81.525343,1600,76.0,16.0
26.205826,-81.524359,1600,76.7,15.1
26.211136,-81.522908,1600,74.2,14.0
26.213516,-81.522182,1600,73.8,15.7
26.215714,-81.521249,1600,73.7,18.2
26.218597,-81.519384,1500,69.8,25.5
26.218872,-81.519177,1500,73.5,33.9
26.220016,-81.518296,1500,71.9,34.8
26.231461,-81.51047,1500,0.0,0.0
26.233658,-81.509175,1600,66.2,28.9
26.234985,-81.508242,1500,66.6,32.7
26.236267,-81.507257,1500,69.4,36.2
26.237595,-81.506273,1500,73.2,32.2
26.239471,-81.504977,1400,76.7,30.6
26.240707,-81.504148,1400,74.3,33.5
26.241486,-81.503526,1400,75.7,33.7
26.24176,-81.503319,1400,69.2,37.4
26.24295,-81.502179,1500,66.0,40.7
26.244141,-81.501142,1500,62.0,37.8
26.244644,-81.500728,1500,61.9,34.5
26.248856,-81.498189,1500,61.6,32.4
26.249725,-81.497774,1500,64.0,25.0
26.25444,-81.496064,1500,65.6,21.5
26.256454,-81.495494,1500,63.8,13.6
26.257004,-81.495286,1500,65.5,18.7
26.258194,-81.49482,1500,67.7,19.0
26.259384,-81.49425,1500,70.4,22.6
26.261536,-81.493317,1500,68.4,20.6
26.266434,-81.491244,1500,65.6,21.5
26.268402,-81.49026,1500,66.7,23.9
26.270416,-81.489327,1500,63.3,21.3
26.27179,-81.488757,1500,64.2,18.1
26.273254,-81.48829,1500,64.3,15.3
26.276825,-81.487202,1500,67.7,16.3
26.279251,-81.486321,1500,67.7,19.0
26.285248,-81.483989,1500,68.0,19.8
26.287033,-81.483212,1500,68.2,22.4
26.289368,-81.481968,1500,67.1,24.7
26.292847,-81.480154,1500,68.9,25.8
26.29628,-81.478341,1500,67.1,24.7
26.300308,-81.47632,1500,67.6,23.5
26.304703,-81.474143,1500,68.0,24.3
26.305573,-81.473677,1400,69.4,24.7
26.307861,-81.472485,1500,65.3,25.4
26.312347,-81.469945,1500,67.1,26.6
26.317383,-81.467095,1400,65.7,26.2
26.31871,-81.466214,1400,65.9,30.1
26.319763,-81.46554,1500,66.4,30.8
26.32132,-81.464504,1400,63.6,30.2
26.321594,-81.464349,1400,68.6,30.7
26.322968,-81.463364,1400,66.6,32.7
26.326675,-81.460721,1400,70.7,33.5
26.351807,-81.434551,1100,0.0,0.0
26.357254,-81.433255,1100,67.3,11.1
26.366867,-81.432167,1100,67.9,9.3
26.367188,-81.432167,1100,71.0,0.0
26.372406,-81.432167,1100,70.0,0.0
26.401108,-81.430198,1100,0.0,0.0
26.406784,-81.430405,1100,71.1,2.4
26.407104,-81.430457,1100,71.9,351.2
26.408752,-81.43082,1100,72.4,348.9
26.41008,-81.431234,1100,72.3,345.6
26.412781,-81.432011,1100,76.4,345.6
26.415573,-81.432789,1100,78.1,346.7
26.417313,-81.433152,1100,77.1,350.3
26.419373,-81.43367,1200,76.7,348.0
26.420425,-81.433929,1100,76.5,348.7
26.422577,-81.434447,1100,79.3,346.1
26.424728,-81.435121,1200,77.9,344.4
26.428024,-81.436105,1200,79.6,345.4
26.429489,-81.43652,1100,81.5,345.8
26.431412,-81.437038,1100,84.2,347.0
26.432602,-81.437297,1100,85.7,348.6
27.267334,-80.814134,900,66.7,160.8
27.262619,-80.811958,1000,67.1,159.9
27.262527,-80.811906,900,61.9,148.9
27.261922,-80.811468,1000,61.9,148.9
27.260804,-80.810676,900,65.7,146.8
27.260478,-80.810465,1000,65.7,146.8
27.258337,-80.80888,1000,65.7,146.8
27.257359,-80.808035,1000,64.2,142.6
27.254608,-80.805635,1000,60.4,141.0
27.253635,-80.804707,1000,62.4,138.9
27.251587,-80.802542,1000,62.4,138.9
27.250982,-80.801855,1100,63.7,133.7
27.249818,-80.800376,1100,63.1,130.5
27.24939,-80.799779,1100,62.4,131.1
27.240275,-80.7849,1400,0.0,0.0
27.238815,-80.781797,1400,58.6,115.2
27.235291,-80.775008,1500,58.6,115.2
27.235061,-80.774759,1500,62.3,132.4
27.234688,-80.774284,1600,62.3,132.4
27.234549,-80.774178,1500,62.3,132.4
27.234037,-80.773491,1600,61.5,134.3
27.231033,-80.769982,1700,60.8,133.7
