lat,lon,alt,gs,track,vs
18.650223,-98.934881,7300,98.2,93.5,1408
18.650253,-98.933503,7400,97.0,88.2,1408
18.650363,-98.932484,7400,95.9,82.2,1280
18.650595,-98.931186,7400,95.9,78.6,1088
18.651294,-98.928789,7500,100.9,70.3,832
18.651666,-98.92784,7500,101.4,68.0,960
18.693283,-98.890882,9500,104.8,32.9,1088
18.69752,-98.887939,9700,103.2,31.5,1216
18.702548,-98.884843,9900,103.9,30.0,1024
18.706284,-98.882495,10000,102.9,32.3,1216
18.709112,-98.880599,10200,99.0,33.0,1280
18.710834,-98.8795,10300,97.6,29.5,960
18.712463,-98.878651,10300,98.8,25.8,832
18.714294,-98.877836,10400,99.5,22.4,832
18.716171,-98.877149,10400,99.9,18.1,960
18.718185,-98.876512,10500,100.2,14.4,960
18.719726,-98.876204,10500,100.1,8.6,1024
18.721436,-98.87607,10600,99.2,4.0,1088
18.723031,-98.876104,10700,99.1,357.7,1152
18.724228,-98.876266,10700,98.7,353.0,1152
18.725098,-98.876414,10700,99.2,347.8,1024
18.726334,-98.876806,10800,99.0,341.8,896
18.727686,-98.877353,10800,99.3,335.0,896
18.728714,-98.877983,10900,100.3,330.1,896
18.730087,-98.878964,10900,101.6,323.8,896
18.73082,-98.879602,10900,102.2,319.8,896
18.731689,-98.880484,11000,103.2,314.2,896
18.732742,-98.881858,11000,103.9,308.8,1024
18.733598,-98.883195,11100,104.6,303.7,1024
18.73425,-98.884394,11100,105.5,297.0,832
18.734902,-98.885892,11200,107.0,293.7,832
18.735489,-98.887547,11200,108.2,289.4,768
18.735947,-98.88946,11200,111.1,283.5,768
18.736857,-98.894032,11400,114.3,281.6,768
18.737602,-98.898376,11400,118.5,279.2,896
18.738253,-98.90317,11600,119.1,277.7,960
18.738672,-98.906666,11600,121.6,275.7,640
18.738765,-98.909113,11700,124.0,271.4,640
18.738647,-98.911138,11700,126.3,266.4,704
18.73844,-98.912759,11700,127.0,262.8,832
18.738052,-98.914326,11800,128.6,254.7,832
18.737462,-98.916104,11800,130.4,249.3,768
18.73681,-98.917553,11800,131.5,243.8,576
18.735739,-98.9196,11900,133.1,239.8,448
18.734576,-98.921248,11900,136.7,231.5,512
18.733365,-98.922646,11900,136.6,227.7,640
18.732015,-98.923945,11900,136.8,221.1,832
18.730898,-98.924844,12000,135.4,215.7,1024
18.729362,-98.925842,12000,134.3,211.9,1024
18.727826,-98.926641,12100,133.3,205.8,896
18.726243,-98.92734,12100,130.4,200.7,1088
