lat,lon,alt,gs,track,vs
29.955667,-81.332281,150,145.2,126.3,2112
29.954636,-81.33071,250,148.0,126.5,2368
29.953674,-81.329148,350,150.2,126.3,2496
29.952874,-81.327942,450,151.0,126.1,2560
29.952072,-81.326671,525,155.2,126.3,2560
29.951111,-81.325163,600,159.6,126.1,2432
29.950034,-81.323383,675,163.2,126.0,2240
29.949103,-81.321954,750,166.8,126.0,2112
29.948318,-81.320747,850,169.0,125.8,2176
29.947055,-81.318713,950,173.2,126.1,2496
29.945847,-81.316816,1050,178.0,126.6,2560
29.944839,-81.315254,1125,182.2,126.7,2304
29.943749,-81.313605,1175,186.6,126.5,2048
29.942167,-81.311188,1275,190.0,126.9,1792
29.940165,-81.308112,1375,190.2,126.4,1728
29.938396,-81.305365,1475,186.8,126.1,1600
29.936646,-81.302544,1575,187.0,125.6,1536
29.93454,-81.299097,1675,187.3,125.2,1536
29.932251,-81.295422,1775,187.3,125.2,1600
29.931015,-81.293389,1875,185.6,125.6,1792
29.929459,-81.291019,1975,185.4,127.6,2112
29.928154,-81.289325,2075,186.3,131.7,2240
29.926385,-81.287347,2175,189.7,137.6,2368
29.924973,-81.286011,2250,191.8,140.5,2432
29.923233,-81.284503,2350,195.2,143.5,2496
29.921722,-81.283264,2450,197.0,144.3,2496
29.919682,-81.281635,2550,200.0,145.6,2496
29.917877,-81.280248,2650,201.6,145.9,2496
29.915911,-81.278778,2750,205.0,146.5,2496
29.91394,-81.277232,2850,207.2,146.6,2496
29.911972,-81.275778,2950,209.4,146.7,2432
29.909906,-81.274217,3050,211.6,146.8,2432
29.908277,-81.272978,3150,214.4,146.6,2496
29.906089,-81.271308,3250,216.6,146.7,2496
29.903961,-81.269725,3350,219.4,146.5,2432
29.901852,-81.268077,3450,222.2,146.4,2368
29.899155,-81.266028,3550,225.8,146.4,2048
29.896592,-81.264092,3625,229.4,146.4,1664
29.893892,-81.262045,3675,232.7,146.0,1216
29.891006,-81.259784,3700,234.1,146.0,768
29.883092,-81.253698,3775,234.9,146.1,448
29.878902,-81.250467,3825,232.7,146.0,896
29.877045,-81.24902,3900,230.5,146.0,1344
29.875305,-81.247647,3975,227.7,146.1,1664
29.872804,-81.245728,4050,224.7,145.9,2112
29.871185,-81.244477,4150,222.4,145.8,2368
29.868942,-81.242734,4250,221.1,145.9,2432
29.867031,-81.241258,4350,218.8,145.8,2496
29.865097,-81.239724,4450,217.4,145.9,2560
29.863354,-81.238403,4550,216.1,145.9,2496
29.861115,-81.23666,4650,213.8,145.9,2432
29.859071,-81.235064,4750,212.5,145.9,2432
29.857116,-81.233556,4850,211.1,146.0,2432
29.855255,-81.232118,4950,210.5,146.2,2496
29.853252,-81.230594,5050,210.5,146.2,2496
29.851181,-81.229002,5150,210.5,146.2,2432
29.849075,-81.227417,5250,210.5,146.2,2432
29.84706,-81.225855,5350,211.3,146.4,2368
29.845001,-81.224301,5450,212.7,146.3,2368
29.843429,-81.223109,5550,214.4,146.6,2496
29.841156,-81.221396,5650,216.6,146.7,2560
29.839193,-81.219931,5750,217.5,146.8,2368
29.837005,-81.218262,5850,219.7,146.9,2432
29.83491,-81.216754,5950,222.7,147.1,2496
29.832367,-81.214846,6025,227.2,147.2,2240
29.830399,-81.213367,6125,228.6,147.1,2176
29.827602,-81.211314,6225,232.7,146.9,2112
29.825317,-81.209617,6325,236.3,146.9,2048
29.822667,-81.207599,6425,238.5,147.0,2048
29.819916,-81.20555,6525,242.1,147.0,2048
29.816711,-81.20312,6625,245.7,147.0,2048
29.814101,-81.20119,6725,248.0,147.0,2048
29.811676,-81.19937,6825,250.7,146.9,2048
29.808841,-81.197258,6925,254.1,146.6,2048
29.804884,-81.194189,7025,258.8,146.2,1856
29.801559,-81.191659,7100,263.8,146.1,1472
29.798553,-81.189342,7150,267.9,145.9,1152
29.795201,-81.186757,7200,272.4,146.1,1088
29.791617,-81.183956,7275,277.4,146.0,1024
29.786868,-81.180294,7350,282.3,146.0,1024
29.777418,-81.173024,7500,285.4,146.1,1024
29.767822,-81.165619,7650,286.8,146.1,960
29.758611,-81.158537,7725,290.4,146.1,512
29.749695,-81.151622,7750,295.4,146.0,192
29.74118,-81.145072,7750,299.8,146.1,0
29.733719,-81.139315,7750,303.4,146.1,64
29.724518,-81.132237,7750,307.6,146.0,0
29.711838,-81.122413,7750,312.3,145.7,64
