lat,lon,alt,gs,track
28.710918,-81.584717,-50.0,10.0,329.0
28.711681,-81.585281,-50.0,10.0,327.0
28.70961,-81.583466,-25,0.0,142.0
28.70549,-81.58067,50,75.7,150.7
28.703568,-81.57956,125,76.9,153.8
28.702015,-81.578764,175,78.8,156.0
28.699501,-81.577579,275,82.1,157.8
28.69722,-81.576664,350,83.8,160.5
28.695877,-81.576233,375,85.9,165.1
28.694799,-81.576071,425,87.1,170.8
28.694148,-81.576071,450,89.0,178.7
28.693217,-81.576179,475,89.7,187.1
28.69249,-81.576391,525,91.0,194.6
28.691483,-81.576761,550,93.4,201.4
28.690475,-81.577342,575,97.5,208.1
28.689492,-81.578064,575,99.9,214.8
28.688507,-81.578979,625,100.8,220.2
28.687683,-81.579877,625,103.3,226.6
28.686932,-81.580918,650,104.5,230.8
28.686234,-81.582049,700,106.0,236.2
28.685623,-81.583258,700,108.2,242.5
28.684982,-81.585001,750,109.6,248.6
28.684525,-81.586744,775,110.2,254.2
28.684139,-81.588619,775,110.2,258.5
28.683767,-81.591258,825,109.2,261.6
28.683441,-81.594759,900,107.6,264.1
28.683151,-81.598734,950,107.2,266.8
28.682968,-81.603593,1025,107.1,267.9
28.682922,-81.607502,1075,104.0,270.5
28.68306,-81.611199,1150,104.2,273.3
28.68338,-81.616058,1200,104.5,275.5
28.683813,-81.620717,1275,105.7,276.5
28.68457,-81.627573,1325,107.5,275.3
28.684937,-81.632908,1400,112.3,274.1
28.685396,-81.638004,1475,110.7,276.2
28.685669,-81.640778,1575,107.8,276.9
28.685908,-81.643066,1600,106.8,277.0
28.686172,-81.646429,1650,108.2,273.7
28.686493,-81.650338,1725,106.7,276.5
28.687088,-81.65525,1800,105.1,278.2
28.68791,-81.661108,1875,105.4,279.3
28.688189,-81.663423,1900,106.5,275.4
28.688329,-81.666439,1950,107.1,272.7
28.688553,-81.672099,2025,110.1,272.1
28.688748,-81.675756,2025,114.3,274.0
28.689148,-81.680973,2100,113.4,275.1
28.68924,-81.683455,2100,112.0,271.0
28.689148,-81.686043,2125,112.2,266.9
28.688887,-81.68852,2125,114.9,263.0
28.68869,-81.69011,2175,113.1,261.9
28.687958,-81.695181,2250,110.6,260.1
28.687118,-81.700745,2325,108.7,259.9
28.686584,-81.704636,2425,105.1,261.8
28.686001,-81.710061,2500,108.9,262.6
28.685349,-81.716203,2575,108.7,263.7
28.684791,-81.72094,2650,105.9,262.4
28.684139,-81.726379,2725,104.1,261.7
28.683487,-81.731819,2800,104.8,262.9
28.682922,-81.737066,2850,109.8,263.2
28.682696,-81.739143,2875,113.9,262.9
28.682465,-81.742031,2850,118.4,265.2
28.682323,-81.745013,2875,121.0,269.0
28.682184,-81.749537,2875,125.2,266.8
28.681503,-81.76036,2850,129.4,265.6
28.680508,-81.773825,2875,129.5,265.1
28.679398,-81.787192,2850,129.6,264.7
28.678299,-81.800449,2875,128.5,265.1
28.6772,-81.813707,2875,129.7,264.2
28.675964,-81.827228,2875,132.9,263.5
28.675278,-81.8342,2900,128.9,263.3
28.6745,-81.842546,2975,124.6,264.5
28.673804,-81.850299,3050,120.7,263.8
28.672989,-81.85855,3125,119.7,263.8
28.672256,-81.866578,3175,119.6,264.2
28.671616,-81.874641,3250,118.5,264.7
28.670929,-81.882318,3300,117.5,264.6
28.670313,-81.890259,3350,117.5,264.6
28.669281,-81.902654,3350,120.4,265.2
28.668365,-81.915119,3350,119.4,265.2
28.667427,-81.927418,3350,122.6,264.4
28.666306,-81.940261,3350,125.6,264.5
28.665115,-81.953624,3350,129.5,265.1
28.664215,-81.967109,3375,129.4,265.6
28.663879,-81.972322,3350,133.5,265.3
28.663467,-81.978185,3350,137.5,265.0
28.662323,-81.992657,3350,140.5,265.1
28.661421,-82.005669,3350,136.4,265.4
28.660304,-82.019187,3350,132.5,264.8
28.65921,-82.032852,3375,129.5,265.1
28.658707,-82.039613,3375,133.5,264.8
28.658615,-82.041039,3350,134.5,264.9
28.657883,-82.051284,3350,130.4,265.6
28.656876,-82.064596,3350,130.6,264.7
28.655789,-82.077996,3350,129.6,264.7
28.654997,-82.088928,3350,125.3,265.9
28.654037,-82.102203,3375,129.5,265.1
28.653647,-82.107508,3350,133.5,264.8
28.653414,-82.110201,3375,136.5,265.0
28.653275,-82.112086,3350,137.5,265.0
28.652161,-82.124599,3350,139.7,264.2
28.651016,-82.137328,3350,135.4,265.3
28.650696,-82.143825,3350,133.1,267.4
28.650146,-82.157505,3350,128.2,266.9
28.649506,-82.170393,3350,126.1,267.3
28.649085,-82.183551,3350,129.1,268.2
28.648526,-82.19696,3350,127.1,267.3
28.648014,-82.210424,3350,130.1,267.8
28.647549,-82.224103,3350,130.1,267.4
28.646851,-82.237351,3350,128.3,266.4
28.646292,-82.249361,3350,125.1,267.2
28.64592,-82.262232,3350,124.1,267.7
28.645432,-82.271858,3350,125.3,266.3
28.644836,-82.284957,3350,124.2,266.8
28.644197,-82.297992,3350,127.1,267.3
28.643964,-82.303862,3350,131.1,267.4
28.643359,-82.317648,3350,133.1,267.4
28.642894,-82.331651,3350,136.1,267.9
28.642428,-82.345922,3350,135.1,268.3
28.641963,-82.359709,3350,133.1,267.9
28.641637,-82.368218,3350,137.2,267.1
28.641357,-82.375647,3375,140.1,267.5
28.641311,-82.380389,3425,137.0,270.4
28.641451,-82.386798,3400,135.1,272.1
28.641823,-82.393206,3375,135.4,274.2
28.642242,-82.400154,3350,131.1,272.6
28.642319,-82.402267,3350,131.0,271.3
28.642288,-82.407532,3350,128.0,269.1
28.642009,-82.417118,3350,127.1,267.8
28.641541,-82.430209,3350,129.1,268.2
28.641312,-82.43829,3350,134.1,267.9
28.641171,-82.441945,3350,137.2,267.1
28.640938,-82.446469,3375,141.2,266.8
28.640659,-82.451908,3350,143.2,266.8
28.640167,-82.462798,3350,139.1,267.9
28.640147,-82.469249,3325,138.0,270.0
28.640287,-82.475496,3300,138.1,272.1
28.640579,-82.481126,3300,138.4,274.6
28.641404,-82.491006,3300,136.7,275.9
28.641953,-82.496338,3300,135.9,276.8
28.642382,-82.5007,3275,136.8,276.3
28.643326,-82.509965,3225,137.9,276.7
28.644424,-82.518997,3200,138.3,277.9
28.646292,-82.532959,3200,136.6,278.8
