lat,lon,alt,gs,track,vs
42.185591,-71.172627,-150,43.4,334.0,0
42.185944,-71.172867,-150,48.3,335.6,0
42.18629,-71.173074,-150,52.8,335.4,0
42.18663,-71.173304,-150,57.3,335.2,0
42.187174,-71.173649,-175,61.3,333.9,0
42.187547,-71.173905,-175,64.4,334.2,0
42.188599,-71.174615,-125,69.3,333.4,512
42.189697,-71.175426,-75,69.1,328.6,1024
42.190572,-71.17614,0,64.1,329.0,1472
42.191895,-71.177174,100,59.2,329.5,640
42.192621,-71.177801,100,62.4,328.1,192
42.193366,-71.178504,125,67.1,326.5,384
42.1956,-71.180484,200,69.6,324.9,512
42.197788,-71.182783,275,72.2,323.5,832
42.200069,-71.184955,375,76.8,325.1,512
42.201965,-71.186849,450,74.2,322.7,1216
42.203235,-71.188213,550,71.6,319.0,768
42.205032,-71.190345,600,73.2,321.1,768
42.206451,-71.191781,700,70.4,321.3,1088
42.20723,-71.19278,750,70.0,316.7,832
42.20803,-71.193897,775,71.5,312.2,704
42.208466,-71.194652,800,71.0,305.3,704
42.20874,-71.195276,825,70.8,300.5,768
42.208914,-71.195814,825,70.9,291.5,576
42.209007,-71.196516,850,72.2,280.4,256
42.209007,-71.197219,850,76.1,267.7,-64
42.208867,-71.197985,850,78.5,259.0,-192
42.208694,-71.198647,850,81.9,250.0,64
42.208282,-71.199708,875,83.2,241.3,512
42.207843,-71.200476,900,83.2,237.3,832
42.207285,-71.201371,950,78.7,229.6,1216
42.206261,-71.202904,1000,79.2,226.0,704
42.204117,-71.205826,1075,84.2,223.6,640
42.20256,-71.207698,1175,82.3,220.1,896
42.200729,-71.209634,1225,82.0,217.6,896
42.199185,-71.211079,1300,80.7,213.9,704
42.197296,-71.212692,1375,80.8,211.3,896
42.19574,-71.213878,1425,80.1,207.5,640
42.193179,-71.215551,1525,81.4,206.2,960
42.190247,-71.217499,1600,82.3,205.9,448
42.187128,-71.219447,1700,85.0,205.1,704
42.184381,-71.221108,1775,86.9,203.0,640
42.181503,-71.222742,1875,87.1,201.6,832
42.178802,-71.224053,1950,87.0,199.5,576
42.17514,-71.225739,2025,90.1,197.4,448
42.171812,-71.22692,2100,90.3,195.4,896
42.169717,-71.227687,2200,86.8,194.7,832
42.166877,-71.228581,2275,87.1,192.6,512
42.165115,-71.229047,2300,91.6,190.7,0
42.164131,-71.229284,2300,95.5,190.2,0
42.162129,-71.229795,2300,100.5,189.7,128
42.158126,-71.230625,2375,102.1,188.4,384
42.152344,-71.231793,2450,105.2,188.8,256
42.148499,-71.23273,2450,109.0,191.1,640
42.142251,-71.234585,2525,110.6,192.5,128
42.13578,-71.236501,2575,114.0,193.2,256
42.131973,-71.237661,2550,118.1,193.2,-512
42.129961,-71.238354,2525,123.0,194.6,-448
