lat,lon,alt,gs,track,vs
39.858864,-104.696533,5225,104.0,0.6,0
39.859888,-104.696533,5225,108.0,0.5,0
39.860184,-104.696483,5225,112.0,0.5,0
39.860773,-104.696472,5225,116.0,0.5,0
39.861331,-104.696472,5225,120.0,0.5,0
39.861923,-104.696483,5225,123.0,0.5,0
39.862495,-104.696472,5225,127.0,0.4,0
39.86348,-104.696483,5225,131.0,0.9,0
39.8638,-104.696483,5225,134.0,0.9,0
39.864311,-104.696472,5225,138.0,0.8,0
39.865082,-104.696423,5225,141.0,0.8,0
39.865723,-104.696423,5225,145.0,0.4,0
39.866409,-104.696423,5225,148.0,0.4,0
39.866778,-104.696411,5225,152.0,0.4,0
39.867942,-104.696411,5225,155.0,0.4,0
39.868652,-104.696423,5225,158.0,0.4,0
39.869385,-104.696411,5225,161.0,0.4,0
39.870083,-104.696411,5225,165.0,0.7,0
39.871247,-104.69635,5225,168.0,0.7,0
39.872038,-104.69635,5225,174.0,0.7,0
39.87291,-104.696363,5225,177.0,0.6,64
39.874603,-104.696363,5225,180.0,0.6,64
39.876042,-104.69635,5250,188.0,0.3,128
39.877438,-104.69635,5250,191.0,0.3,256
39.879272,-104.696304,5250,195.0,0.3,704
39.880188,-104.696304,5275,197.0,0.3,1280
39.881628,-104.696289,5325,198.0,0.3,1728
39.884561,-104.696289,5425,199.0,0.3,1920
39.888052,-104.696228,5525,202.0,0.3,1472
39.890533,-104.696244,5575,206.0,0.6,1728
39.892428,-104.696167,5650,207.0,0.8,2176
39.893921,-104.696125,5700,207.0,0.8,2560
39.895935,-104.696125,5800,207.0,0.8,2816
39.898132,-104.696065,5900,207.0,0.6,2880
39.899963,-104.696065,6000,207.0,0.6,3072
39.901749,-104.696005,6075,206.0,0.6,2944
39.90374,-104.695984,6175,206.0,0.6,2816
39.904578,-104.695984,6225,206.0,0.6,2816
39.905183,-104.695984,6250,207.0,1.1,2304
39.907242,-104.695886,6325,207.1,1.4,2112
39.909606,-104.695801,6375,208.1,1.6,1664
39.912306,-104.695679,6475,210.2,2.2,1792
39.915665,-104.695527,6575,211.2,2.2,1536
39.917799,-104.695374,6625,213.2,2.2,1088
39.921291,-104.695251,6675,218.1,2.1,832
39.925806,-104.695025,6750,222.1,2.1,1152
39.930182,-104.694838,6850,226.1,1.8,1344
39.934525,-104.694702,6925,231.0,1.0,1152
39.937165,-104.694713,6975,235.0,0.5,896
39.940703,-104.694651,7025,239.0,0.7,832
39.943822,-104.694588,7075,243.0,0.7,576
39.946568,-104.694526,7100,247.0,0.7,704
39.951317,-104.694464,7175,250.0,0.9,1088
39.953086,-104.694401,7200,254.0,0.9,1536
39.959137,-104.694276,7350,258.0,0.7,1984
39.966476,-104.694153,7550,262.0,0.9,1984
39.972824,-104.694027,7700,266.0,0.9,1536
39.975151,-104.694027,7725,270.0,0.9,1344
39.978969,-104.693964,7800,274.0,0.8,1408
39.983276,-104.693848,7875,277.0,0.8,1344
39.987208,-104.693777,7950,281.0,1.0,1408
39.991817,-104.693652,8025,285.0,0.8,1280
39.99596,-104.69359,8100,289.0,0.8,1280
39.998611,-104.693542,8150,291.0,0.6,1728
40.003316,-104.693465,8250,294.0,0.8,2176
40.006897,-104.69342,8350,294.0,0.8,2624
40.012894,-104.693359,8550,295.0,0.8,2880
40.018445,-104.693278,8750,295.0,0.2,3136
40.02356,-104.693359,8950,294.2,357.9,3328
40.028961,-104.693848,9150,293.0,355.3,3072
40.034133,-104.694776,9350,292.9,352.0,2752
40.040359,-104.696228,9550,292.8,348.6,2688
40.045678,-104.697834,9750,292.0,345.7,2752
40.050845,-104.699769,9950,290.7,343.0,3200
40.055603,-104.701904,10150,288.5,339.9,3264
40.060547,-104.704468,10350,287.5,337.7,2816
40.064392,-104.706543,10475,288.2,337.4,2368
