lat,lon,alt,gs,track,vs
37.897018,-103.536267,39050,481.3,34.8,0
37.93222,-103.505937,39025,479.8,34.0,-64
37.968063,-103.475666,39000,476.2,34.4,64
37.991235,-103.454908,39000,474.3,35.7,-128
38.001022,-103.44522,39000,474.9,39.0,-128
38.009064,-103.435981,39000,476.3,42.7,0
38.016513,-103.426189,39000,477.3,45.8,0
38.022657,-103.417053,39000,477.4,49.5,0
38.029129,-103.406242,39000,478.0,53.2,0
38.034994,-103.394961,39000,478.5,56.9,64
38.040848,-103.38199,39000,478.2,59.7,0
38.045792,-103.369193,39000,478.5,63.2,0
38.050049,-103.35657,39000,478.1,67.0,0
38.06694,-103.305846,39000,477.2,66.9,0
38.084246,-103.255005,39000,479.7,66.5,64
38.101913,-103.20358,39000,480.1,66.4,192
38.119308,-103.152739,39050,481.5,66.6,-128
38.136841,-103.101196,39000,482.0,66.8,-128
38.15419,-103.049829,38950,481.6,66.9,64
38.171677,-102.998053,39000,483.9,66.9,192
38.189221,-102.946014,39000,489.2,66.9,-64
38.206865,-102.893531,39000,493.3,67.0,0
38.224229,-102.841644,39000,492.9,67.1,64
38.2415,-102.789877,39000,492.0,67.0,64
38.258864,-102.737812,39000,491.6,67.1,0
38.276367,-102.685294,39000,492.0,67.0,-64
38.293917,-102.632725,39000,492.9,67.1,0
38.31134,-102.580631,39000,493.3,67.0,0
38.328599,-102.528713,39000,493.9,67.1,0
38.34613,-102.475677,39000,493.5,67.2,0
38.363746,-102.422193,38975,495.3,67.3,-64
38.381195,-102.369145,38975,495.3,67.3,64
38.398773,-102.315615,39000,496.2,67.4,64
38.416443,-102.261936,39000,497.5,67.3,64
38.4339,-102.208679,39025,497.2,67.4,0
38.451078,-102.156006,39025,496.8,67.5,0
38.468262,-102.103291,39025,495.8,67.5,0
38.485382,-102.050867,39025,494.9,67.4,64
38.502704,-101.997803,39000,493.6,67.5,-64
38.519897,-101.944945,39025,491.4,67.5,0
38.536835,-101.89282,39000,491.4,67.5,-64
38.553772,-101.840336,39000,491.0,67.6,-64
38.570903,-101.787476,38975,492.3,67.6,-64
38.58783,-101.735309,38950,492.3,67.6,64
38.605026,-101.68219,38950,494.5,67.5,0
38.622343,-101.628418,38975,496.0,67.7,0
38.639614,-101.574707,39050,493.8,67.8,256
38.656631,-101.521494,39050,492.1,67.9,0
38.673737,-101.467712,39050,489.9,67.9,0
38.690449,-101.415161,39000,492.5,67.8,-192
38.707581,-101.361475,38975,492.5,67.8,64
38.724432,-101.308594,39025,488.9,67.9,-64
38.741191,-101.255859,39000,489.9,67.9,0
38.757889,-101.203248,39000,489.5,68.1,0
38.77446,-101.150884,39025,491.7,68.0,-64
38.791235,-101.097778,39000,494.9,68.1,64
38.807854,-101.0448,39025,495.4,68.2,64
38.824659,-100.991211,39050,496.4,68.2,64
38.841698,-100.936829,39050,494.5,68.2,0
38.858551,-100.882913,39025,490.1,68.2,-256
38.874796,-100.830811,39025,481.5,68.2,0
38.891052,-100.778901,39000,477.1,68.2,-64
38.907243,-100.727051,39000,473.9,68.2,64
38.923536,-100.674744,39000,473.5,68.3,64
38.939504,-100.623352,39000,474.5,68.4,64
38.955518,-100.571655,39000,475.0,68.5,64
38.971346,-100.520264,39000,475.9,68.6,64
38.987228,-100.468717,39025,476.3,68.4,0
39.003001,-100.417358,39000,476.9,68.6,0
39.018677,-100.366019,39025,475.6,68.7,0
39.03447,-100.314311,39025,475.0,68.5,0
39.050491,-100.262305,39050,473.2,68.4,0
39.066079,-100.211304,39025,472.4,68.7,0
39.081861,-100.159485,39050,470.2,68.7,0
39.097409,-100.108032,39025,468.9,68.7,-64
39.113097,-100.056458,39000,469.3,68.6,-128
39.128832,-100.004944,38975,468.3,68.6,0
39.144566,-99.95343,38975,468.0,68.7,64
39.159988,-99.902324,39000,467.6,68.8,0
39.175244,-99.851807,39000,466.3,68.9,0
39.190521,-99.800879,39000,465.0,68.9,-64
39.205948,-99.749471,38975,465.0,68.9,64
39.221145,-99.698486,38975,465.0,68.9,-64
39.236298,-99.647847,39000,463.7,69.0,128
39.25145,-99.596916,39025,462.8,69.0,0
39.266556,-99.546283,39000,462.8,69.0,0
39.281663,-99.495544,39000,461.5,69.1,0
39.296722,-99.4446,39000,461.1,69.2,0
39.311829,-99.39349,38975,462.1,69.2,0
39.326889,-99.342379,39000,461.1,69.2,0
39.341901,-99.291626,38975,462.1,69.2,-64
39.356705,-99.241638,38950,463.7,69.0,-64
39.37207,-99.189765,38950,465.6,69.1,0
39.387268,-99.138296,38950,468.4,69.2,64
39.402466,-99.086426,38975,469.3,69.3,128
39.417595,-99.034485,39025,469.9,69.4,192
39.432818,-98.9823,39050,469.9,69.4,0
39.447808,-98.930237,39050,469.6,69.6,0
39.462937,-98.878357,39050,469.0,69.4,0
39.477997,-98.82632,39050,468.6,69.5,0
39.493195,-98.774315,39050,467.1,69.3,0
39.508163,-98.722906,39025,466.8,69.4,0
39.523315,-98.670715,39025,465.1,69.6,0
39.538026,-98.619141,39000,465.4,69.9,-64
39.552933,-98.567246,39025,464.2,69.6,0
39.56749,-98.516733,39000,462.0,69.6,0
39.582092,-98.465802,39000,461.6,69.7,0
39.596821,-98.414185,38975,461.3,69.8,0
39.611253,-98.363159,38975,460.9,69.9,0
39.625498,-98.312683,39000,460.9,69.9,0
39.639975,-98.261536,38975,460.0,69.9,0
39.654593,-98.210144,38975,460.3,69.8,-64
39.669164,-98.158875,38975,461.3,69.8,64
39.683641,-98.107788,38950,461.9,70.0,0
39.698227,-98.055845,38975,462.8,70.0,0
39.712646,-98.004197,38975,463.7,70.1,0
39.727203,-97.952071,38975,465.6,70.2,64
39.741806,-97.899827,39000,466.9,70.1,64
39.75617,-97.84845,39000,467.2,70.0,64
39.770645,-97.79689,39000,462.8,70.0,0
39.784799,-97.746277,39025,458.4,70.1,-128
39.798889,-97.695744,39000,458.0,70.2,0
39.812963,-97.644897,39000,459.0,70.3,0
39.827162,-97.593506,39000,460.8,70.3,0
39.841278,-97.542234,39000,458.6,70.4,64
39.855326,-97.491089,39000,455.5,70.4,-64
39.869245,-97.440186,39000,454.2,70.4,-64
39.883209,-97.389321,38975,453.2,70.4,0
39.897083,-97.338745,38975,452.0,70.5,0
39.91063,-97.289062,38975,452.9,70.5,0
39.924549,-97.238055,38975,452.9,70.5,64
39.938282,-97.187431,38975,453.9,70.6,64
39.952286,-97.135864,39000,455.1,70.5,0
39.966064,-97.085327,39000,455.1,70.5,-64
39.979807,-97.034496,38975,456.7,70.7,0
39.993484,-96.983765,39000,458.0,70.6,64
40.007401,-96.932312,39000,459.2,70.5,0
40.021271,-96.881042,39000,458.6,70.8,-256
40.024683,-96.868453,38950,457.6,70.7,-704
40.026499,-96.861649,38900,457.6,70.7,-1024
40.028229,-96.855042,38850,457.3,70.8,-1472
40.031296,-96.843628,38725,457.3,70.8,-1920
40.033435,-96.835681,38600,457.3,70.8,-2368
40.03553,-96.827878,38475,458.6,70.8,-2816
40.041229,-96.80658,38075,460.8,70.7,-2752
40.047307,-96.78387,37675,461.7,70.8,-2816
40.052124,-96.76593,37375,461.4,70.9,-2368
40.053825,-96.759526,37300,460.5,70.9,-1920
40.061829,-96.729431,36950,457.0,71.0,-2240
40.064713,-96.718567,36775,456.0,70.9,-2688
