lat,lon,alt,gs,track,vs
45.589966,-122.583239,0,139.2,298.8,0
45.593308,-122.591835,25,171.8,298.5,576
45.594635,-122.595297,100,175.4,298.6,1472
45.59517,-122.596642,150,175.9,298.9,2048
45.595825,-122.598311,225,175.0,299.0,2880
45.596558,-122.600254,325,172.8,299.1,3264
45.597336,-122.602197,425,171.8,298.5,3136
45.598103,-122.604263,525,171.8,298.5,3072
45.598663,-122.605814,600,171.4,298.2,2688
45.599258,-122.607422,650,172.2,298.0,2240
45.600151,-122.609825,750,175.4,297.9,1792
45.601315,-122.612915,850,177.6,297.9,1984
45.602479,-122.616005,950,179.4,298.3,2304
45.60347,-122.618542,1050,179.4,298.3,2560
45.604431,-122.621155,1150,178.5,298.4,2752
45.605209,-122.623231,1250,178.5,298.4,2624
45.606079,-122.625509,1350,179.4,298.3,2240
45.606483,-122.626579,1375,179.4,298.3,1984
45.606949,-122.627787,1400,180.8,298.4,1728
45.607315,-122.628792,1425,181.6,298.3,1472
45.608158,-122.630974,1475,183.9,298.2,1088
45.609229,-122.633926,1525,187.0,298.1,896
45.610336,-122.636897,1550,191.4,297.4,960
45.611343,-122.639912,1600,195.5,295.1,1216
45.612674,-122.644295,1675,200.2,293.2,1088
45.613745,-122.648071,1725,205.0,292.1,1088
45.614676,-122.651367,1775,209.3,291.3,1152
45.615463,-122.654315,1825,212.4,291.2,896
45.616119,-122.656792,1850,216.2,290.9,896
45.616864,-122.65947,1875,219.3,290.8,832
45.617841,-122.66304,1925,223.4,290.7,1088
45.6184,-122.665306,1950,226.6,290.7,1152
45.619492,-122.669521,2025,231.3,290.2,1472
45.620728,-122.674232,2125,236.1,290.6,1920
45.621918,-122.678699,2225,238.3,290.6,2048
45.623148,-122.683365,2325,241.5,290.6,1856
45.624545,-122.688652,2425,245.9,290.7,1984
45.625476,-122.692154,2500,246.8,290.6,2368
45.626267,-122.695244,2600,248.1,290.8,2688
45.627182,-122.698461,2700,249.0,291.9,2816
45.628362,-122.702316,2800,249.5,293.4,2880
45.629105,-122.704624,2900,249.6,295.1,2944
45.63041,-122.708221,3000,250.0,296.9,3008
45.631302,-122.710653,3100,250.5,298.1,3072
45.632492,-122.713668,3200,249.8,299.2,3200
45.633591,-122.716414,3300,250.4,299.9,3200
45.63474,-122.719139,3400,250.2,300.8,3072
45.63581,-122.72168,3500,251.8,301.4,3008
45.637114,-122.724701,3600,251.4,301.7,2944
45.638306,-122.727401,3700,253.0,302.2,2816
45.64,-122.731155,3800,253.6,302.4,2624
45.641257,-122.733971,3900,254.9,302.5,2496
45.642793,-122.737404,4000,256.3,302.6,2432
45.644469,-122.741112,4100,257.7,302.6,2496
45.646145,-122.744888,4200,259.1,302.7,2688
45.647449,-122.747772,4300,259.1,302.7,2624
45.648799,-122.750793,4400,260.5,302.8,2688
45.650116,-122.753728,4500,261.3,302.7,2688
45.651718,-122.757278,4600,261.6,302.4,2752
45.65332,-122.760896,4700,263.3,302.1,2688
45.654524,-122.763634,4800,264.2,302.0,2688
45.656158,-122.767461,4900,265.0,301.9,2496
45.657737,-122.771118,5000,266.7,301.7,2304
45.659459,-122.775032,5100,268.9,301.6,2240
45.661102,-122.778849,5200,269.8,301.5,2432
45.662671,-122.782448,5300,270.6,301.4,2560
45.664254,-122.786293,5400,272.2,300.7,2560
45.665634,-122.789634,5500,272.3,299.5,2560
45.667047,-122.793571,5600,274.1,296.7,2304
45.668304,-122.797554,5700,274.9,294.0,2240
45.669654,-122.802635,5800,275.4,291.1,2304
45.670441,-122.806382,5900,276.9,286.1,2368
45.67119,-122.811287,6000,276.7,280.6,2432
45.671539,-122.81576,6100,277.0,276.8,2496
45.671677,-122.820516,6200,278.0,271.0,2560
45.671563,-122.824471,6300,277.4,267.1,2624
45.671265,-122.828354,6400,277.8,263.4,2624
