lat,lon,alt,gs,track
25.378281,-81.128642,22000,427.9,41.6
25.390366,-81.11735,22000,427.6,39.5
25.403183,-81.106415,22000,426.2,37.1
25.416046,-81.096293,22000,425.3,34.8
25.430374,-81.085968,22000,423.3,32.8
25.442047,-81.078186,22000,419.5,30.4
25.452436,-81.072054,22000,416.9,27.4
25.463928,-81.066132,22000,414.4,24.5
25.473664,-81.061741,22000,411.3,22.1
25.486512,-81.056611,22000,409.6,19.5
25.518082,-81.044769,22000,407.9,18.4
25.543725,-81.035467,22000,407.0,17.6
25.553035,-81.032824,22000,404.6,13.7
25.55946,-81.031529,22000,402.6,9.6
25.567245,-81.03068,22000,400.6,5.2
25.574844,-81.030426,22000,400.0,0.9
25.582224,-81.030855,22000,397.7,356.5
25.589346,-81.031788,22000,395.3,352.6
25.602127,-81.03419,22000,394.1,349.9
25.637558,-81.041056,22000,397.7,350.3
25.673721,-81.047414,22000,405.9,351.1
25.70993,-81.053772,21975,396.7,351.2
25.738724,-81.058502,22025,387.1,351.7
25.773376,-81.064148,22025,382.3,351.4
25.808212,-81.070048,22000,383.6,351.1
25.842544,-81.075827,22025,384.3,351.5
25.873672,-81.081226,21950,386.7,351.1
25.880437,-81.082376,21925,385.7,351.0
25.908415,-81.087288,21650,379.8,350.9
25.936207,-81.092306,21400,374.8,350.8
25.964278,-81.097324,21150,372.9,350.7
25.990301,-81.101919,20875,370.7,350.8
26.018417,-81.106775,20600,368.3,351.2
26.045605,-81.111427,20350,368.3,351.2
26.072433,-81.116051,20075,368.6,351.0
26.084518,-81.118176,20025,367.6,350.9
26.117752,-81.124135,20000,366.8,350.7
26.151045,-81.130072,19975,366.6,350.9
26.184004,-81.135882,20000,366.5,351.0
26.217103,-81.141586,20000,366.3,351.2
26.250183,-81.147352,20000,366.5,351.0
26.283188,-81.153156,20000,366.5,351.0
26.316399,-81.158964,20000,369.6,351.0
26.349405,-81.164721,20000,368.4,351.1
26.382689,-81.170478,20000,369.4,351.1
26.416533,-81.176394,20000,371.6,351.0
26.450283,-81.18231,20000,366.6,350.9
26.483139,-81.188136,20000,366.6,350.9
26.516556,-81.194095,20000,367.6,350.9
26.549973,-81.200003,20000,368.6,351.0
