lat,lon,alt,gs,track
42.177109,-83.943787,3200,91.8,339.6
42.177292,-83.943911,3300,89.6,330.6
42.177864,-83.944681,3300,87.5,321.0
42.17807,-83.945097,3300,83.9,300.9
42.178253,-83.945597,3200,82.6,286.9
42.178299,-83.946346,3200,81.8,282.0
42.178207,-83.946845,3200,79.6,255.4
42.178096,-83.947236,3200,79.6,255.4
42.177887,-83.947594,3200,77.9,236.5
42.177658,-83.947906,3200,77.9,221.9
42.177155,-83.948156,3200,77.4,194.2
42.176788,-83.948156,3200,79.0,181.4
42.176467,-83.948066,3200,81.3,163.6
42.176141,-83.947811,3200,82.8,155.0
42.175815,-83.947491,3200,85.0,138.8
42.175536,-83.94698,3200,87.4,125.7
42.175369,-83.946408,3200,89.2,113.1
42.17535,-83.945894,3200,91.4,95.0
42.175415,-83.945035,3200,92.9,82.0
42.17569,-83.944286,3200,94.9,69.7
42.176285,-83.943475,3200,97.8,37.1
42.176886,-83.943148,3200,98.4,25.3
42.177352,-83.94302,3200,100.1,8.6
42.178116,-83.943038,3200,100.1,357.1
42.178802,-83.943162,3200,99.0,348.4
42.179493,-83.943467,3200,94.9,343.5
42.179626,-83.943475,3200,94.0,343.3
42.181366,-83.944161,3200,89.6,343.8
42.184433,-83.945285,3200,91.7,346.1
42.185532,-83.945534,3200,91.8,352.5
42.186172,-83.945534,3200,92.0,359.4
42.187966,-83.945447,3200,92.2,3.7
42.188198,-83.945447,3200,92.2,3.7
42.190201,-83.945285,3300,93.1,1.9
42.191364,-83.945256,3200,94.0,0.6
42.19455,-83.945222,3200,98.0,1.8
42.198441,-83.94516,3200,99.0,359.4
42.2005,-83.945347,3200,99.3,355.4
42.202927,-83.945534,3200,98.0,358.2
42.205215,-83.945472,3200,98.0,1.2
42.208169,-83.945447,3200,97.0,358.8
42.212033,-83.945639,3200,100.0,1.1
42.215292,-83.945447,3200,98.1,2.9
42.222926,-83.945128,3200,97.1,2.4
42.225999,-83.945064,3200,101.0,359.4
42.234146,-83.945285,3200,99.0,359.4
42.238266,-83.945285,3200,97.1,357.6
42.23909,-83.94541,3200,96.2,351.0
42.239732,-83.945639,3200,94.3,342.7
42.240326,-83.946096,3200,90.6,329.5
42.240616,-83.946469,3200,87.2,319.2
42.240895,-83.94698,3200,85.0,306.9
42.241013,-83.947407,3200,82.3,295.9
42.241128,-83.947811,3200,80.1,286.0
42.24115,-83.948094,3200,79.1,272.9
42.241058,-83.948656,3200,78.1,260.4
42.240942,-83.949088,3200,77.6,248.1
42.240663,-83.949663,3200,77.9,236.5
42.240372,-83.950029,3200,78.5,226.6
42.240097,-83.950279,3200,77.1,213.9
42.239731,-83.950528,3200,77.9,204.3
42.239182,-83.950715,3200,76.9,192.8
42.238907,-83.950715,3200,78.0,180.0
42.238541,-83.950653,3200,78.3,169.7
42.238037,-83.950341,3200,79.9,157.9
42.237683,-83.949855,3200,81.0,144.5
42.237451,-83.949344,3200,85.4,115.7
42.237357,-83.948833,3200,87.9,101.8
42.237357,-83.948258,3200,91.1,88.1
42.237451,-83.947683,3200,91.1,88.1
42.237534,-83.947407,3200,93.6,70.0
42.237776,-83.946916,3100,96.5,56.0
42.23822,-83.946284,3100,97.6,46.7
42.238661,-83.945958,3100,98.0,28.7
42.239313,-83.945703,3100,97.7,17.9
42.239871,-83.945639,3100,97.4,5.3
42.240476,-83.945639,3200,95.0,358.8
42.249089,-83.945894,3200,96.0,359.4
42.251556,-83.946022,3200,94.2,356.4
42.253278,-83.946342,3200,94.1,351.4
42.255932,-83.946789,3200,98.4,354.8
42.258865,-83.94698,3200,100.1,357.7
42.261795,-83.94722,3200,98.4,354.8
42.264175,-83.947594,3100,100.1,351.4
42.264908,-83.947844,3100,99.0,341.8
42.265522,-83.948322,3100,96.4,329.4
42.266034,-83.948897,3100,94.2,318.0
42.266173,-83.949152,3200,92.8,311.9
42.266266,-83.949408,3100,92.0,307.5
42.266453,-83.949919,3100,88.9,289.0
42.266499,-83.950749,3100,87.6,276.6
42.266464,-83.951277,3100,85.5,264.0
42.266313,-83.951771,3100,84.9,248.6
42.26608,-83.952218,3100,84.6,234.6
42.265754,-83.952537,3100,84.6,215.4
42.265382,-83.952793,3100,84.1,206.9
42.265091,-83.9529,3100,84.6,194.4
42.264684,-83.952921,3100,85.0,181.4
42.264358,-83.952793,3100,84.5,169.1
42.263706,-83.952346,3100,84.4,161.4
42.263427,-83.951962,3100,84.4,143.7
42.263194,-83.951515,3100,84.6,128.8
42.263101,-83.951004,3100,86.3,108.2
42.263077,-83.950403,3100,88.1,92.6
42.263147,-83.949791,3100,89.4,84.9
42.263287,-83.949344,3100,91.4,66.8
42.263672,-83.948656,3100,93.2,54.6
42.263846,-83.948449,3100,94.8,45.0
42.264172,-83.94813,3100,97.4,31.6
42.264587,-83.947906,3100,98.0,24.7
42.264999,-83.947782,3100,98.0,14.2
42.265411,-83.947719,3100,97.5,5.9
42.265823,-83.947782,3100,95.4,354.6
42.266453,-83.948002,3100,91.9,345.5
42.266685,-83.94813,3200,91.1,342.8
42.267896,-83.948705,3200,86.2,338.2
42.26857,-83.949093,3200,84.9,338.6
42.268799,-83.949217,3200,85.8,338.8
42.270447,-83.949966,3200,88.9,343.0
42.272415,-83.950653,3200,93.6,346.4
42.274087,-83.951068,3200,96.3,350.4
42.275996,-83.951388,3100,98.7,353.0
42.279254,-83.951899,3200,96.4,354.6
42.279487,-83.951962,3100,96.3,355.2
42.279739,-83.951964,3200,96.3,355.2
42.281067,-83.952026,3200,94.1,358.2
42.281296,-83.952026,3200,94.0,358.8
42.28418,-83.952151,3200,94.0,358.8
42.284375,-83.952154,3200,94.0,358.8
42.285645,-83.952151,3100,97.0,0.6
42.286835,-83.952026,3100,97.7,7.1
