lat,lon,alt,gs,track,vs
36.189244,-86.884499,350,42.5,195.0,0
36.188825,-86.884616,375,48.5,194.3,640
36.188546,-86.884675,350,54.6,193.8,192
36.187958,-86.884861,325,56.8,194.3,-64
36.18782,-86.884918,350,64.3,195.3,-384
36.187225,-86.885147,325,68.4,195.3,-128
36.186498,-86.885376,325,74.5,194.8,-576
36.185986,-86.885551,325,79.8,195.3,-320
36.18544,-86.885719,325,84.9,195.0,-128
36.184682,-86.88596,350,89.0,195.0,256
36.18338,-86.886406,375,91.9,194.5,512
36.181237,-86.887012,475,95.8,193.9,960
36.180865,-86.887129,475,97.0,194.3,1536
36.180222,-86.887379,450,99.0,194.0,320
36.179764,-86.887493,500,101.1,194.3,512
36.179515,-86.887597,525,101.1,194.3,1152
36.179049,-86.887713,500,103.3,194.6,768
36.178863,-86.887772,475,103.1,194.0,0
36.177979,-86.888065,525,105.0,193.8,384
36.175511,-86.888824,575,109.9,195.3,640
36.173767,-86.889439,625,111.1,195.7,896
36.170949,-86.890577,700,113.8,198.4,768
36.170623,-86.890694,725,114.2,198.9,832
36.167644,-86.891979,825,113.9,200.0,1088
36.165177,-86.893031,925,111.6,198.3,1408
36.163361,-86.893791,1025,109.7,198.6,1536
36.161499,-86.894646,1125,108.3,201.1,1472
36.159943,-86.895447,1225,105.1,201.2,1600
36.157837,-86.89642,1325,104.2,201.4,1344
36.155913,-86.897414,1425,104.0,202.6,1216
36.154004,-86.898408,1525,101.2,203.3,1600
36.152481,-86.899166,1625,100.8,202.8,1472
36.150652,-86.900161,1725,99.4,203.7,1600
36.149395,-86.900804,1825,97.1,205.0,1728
36.148232,-86.901505,1925,93.9,205.2,1984
36.146882,-86.902323,2025,89.9,205.7,1920
36.145569,-86.903114,2125,87.2,206.6,1664
36.144333,-86.903915,2225,83.6,206.3,1664
36.142971,-86.90466,2325,81.9,205.3,1536
36.141575,-86.905479,2400,83.3,204.1,1088
36.139713,-86.906414,2500,84.7,202.9,1088
36.136966,-86.907758,2600,87.7,200.7,704
36.133759,-86.909237,2700,92.4,199.6,832
36.130914,-86.910446,2800,93.9,198.6,832
36.12854,-86.911411,2900,94.9,198.4,1024
36.126166,-86.912316,3000,94.3,197.3,1088
36.123978,-86.913192,3100,95.2,197.1,1024
36.121216,-86.914158,3200,96.8,196.2,896
36.11879,-86.915016,3300,96.6,195.6,1088
36.116409,-86.915817,3400,95.3,195.2,1152
36.114295,-86.916523,3500,95.3,195.2,1088
36.111786,-86.917362,3600,96.0,194.5,1024
36.108895,-86.918277,3700,97.0,194.3,896
36.106335,-86.919036,3800,97.7,193.6,960
36.104324,-86.919651,3825,101.9,193.6,512
36.102448,-86.920223,3850,106.0,193.6,64
36.099976,-86.920967,3850,110.1,193.7,64
36.097229,-86.921768,3850,114.2,193.7,-128
36.087528,-86.924822,3825,118.9,194.6,-64
36.077042,-86.928291,3850,120.3,195.4,0
36.06633,-86.931896,3825,121.6,195.8,0
36.055664,-86.935616,3825,121.3,195.3,0
36.048065,-86.93819,3825,121.8,194.3,-128
36.0466,-86.938534,3825,121.2,188.1,-64
36.045456,-86.938534,3825,123.1,178.1,0
36.04422,-86.938362,3825,125.8,170.4,64
36.043024,-86.937912,3825,128.1,162.3,0
36.042139,-86.937444,3825,131.2,156.2,-64
36.041016,-86.936588,3825,133.1,149.8,-64
36.040277,-86.935866,3850,136.2,142.5,64
36.039346,-86.934814,3850,140.0,133.8,256
36.03804,-86.932869,3900,140.7,129.2,640
36.037445,-86.931839,3925,141.2,127.5,896
36.036227,-86.92973,4000,137.9,125.0,1344
36.034784,-86.927159,4100,134.5,124.4,1344
36.032913,-86.923828,4200,131.7,124.2,1152
36.031386,-86.921082,4300,129.5,124.3,1216
36.029896,-86.918335,4400,125.9,124.3,1344
36.028519,-86.915817,4500,122.6,123.7,1472
36.027054,-86.913128,4600,121.2,123.6,1280
36.025543,-86.910267,4700,118.4,123.3,1280
36.024033,-86.907463,4800,117.6,123.6,1216
36.023254,-86.906033,4825,119.0,123.7,768
36.022541,-86.904719,4825,121.8,123.9,320
36.020691,-86.901455,4850,126.5,124.7,64
