lat,lon,alt,gs,track
35.403625,-97.604012,-50.0,9.2,0.0
35.40385,-97.604015,-50.0,9.2,0.0
35.403851,-97.604012,-50.0,9.2,0.0
35.398089,-97.605695,1325,0.0,0.0
35.394923,-97.605695,1425,104.0,178.9
35.39241,-97.605572,1525,103.1,177.2
35.389755,-97.6054,1625,107.2,176.8
35.386684,-97.605227,1725,110.1,177.9
35.384033,-97.605114,1825,113.0,178.5
35.380829,-97.604942,1925,115.2,177.0
35.378863,-97.604701,2000,117.1,172.1
35.377533,-97.604313,2050,118.5,168.3
35.376396,-97.603883,2075,121.2,160.2
35.375046,-97.603182,2100,122.5,153.9
35.373642,-97.602081,2125,125.6,146.7
35.372498,-97.600994,2150,129.3,140.6
35.370987,-97.599277,2200,131.6,136.2
35.369614,-97.597389,2250,131.1,131.0
35.368469,-97.59573,2350,129.3,129.4
35.367004,-97.593441,2450,127.0,127.3
35.365952,-97.591724,2550,124.6,125.9
35.364618,-97.589215,2650,122.6,122.0
35.363082,-97.585943,2750,125.4,119.6
35.361786,-97.583427,2775,127.6,123.8
35.360707,-97.581618,2825,128.2,128.0
35.359497,-97.58004,2875,128.0,133.4
35.356937,-97.577002,2975,128.7,136.3
35.353771,-97.573203,3025,133.6,134.7
35.351532,-97.57021,3050,137.4,131.5
35.348138,-97.565373,3150,139.1,130.3
35.345856,-97.562084,3250,138.3,130.6
35.342226,-97.556841,3325,140.6,129.8
35.339447,-97.5527,3425,142.3,128.7
35.336105,-97.547493,3525,143.2,127.9
35.333242,-97.543283,3600,143.9,130.8
35.331024,-97.54034,3650,145.0,134.7
35.327609,-97.536446,3725,146.5,137.5
35.324304,-97.532998,3800,146.4,140.6
35.32164,-97.530384,3900,143.8,141.8
35.319276,-97.527855,3975,143.1,138.4
35.317554,-97.525693,4050,142.9,133.3
35.315272,-97.522713,4150,140.8,133.0
35.313271,-97.520142,4225,137.2,134.4
35.311661,-97.518253,4325,135.1,135.9
35.307907,-97.513847,4425,138.6,136.2
35.303914,-97.509155,4500,142.1,135.3
35.300748,-97.505123,4600,142.2,133.0
35.297516,-97.500973,4700,142.9,133.9
35.294907,-97.497425,4725,145.3,130.8
35.292984,-97.494621,4750,149.2,129.6
35.290833,-97.491507,4750,153.9,130.5
35.288179,-97.488001,4775,155.6,134.0
35.285805,-97.485254,4850,155.1,137.9
35.283245,-97.482683,4925,152.4,141.9
35.281429,-97.481164,4975,150.0,146.4
35.27948,-97.479801,5050,146.8,151.5
35.277658,-97.478592,5125,143.1,152.5
35.27623,-97.477627,5225,138.4,150.1
35.274493,-97.476255,5300,136.0,144.0
35.273346,-97.474995,5350,136.0,138.0
35.272072,-97.473333,5400,136.7,131.7
35.270142,-97.470417,5400,141.4,129.6
35.268394,-97.468132,5425,142.9,133.9
35.266625,-97.466145,5450,143.1,138.4
35.264158,-97.463574,5550,141.1,139.3
35.261719,-97.460861,5650,138.0,137.1
35.260108,-97.458782,5700,137.4,132.1
35.258194,-97.45594,5750,137.4,128.2
35.256198,-97.452821,5850,136.7,128.5
35.254382,-97.450308,5925,133.7,132.9
35.251915,-97.447328,6025,135.1,135.9
35.248352,-97.443237,6075,140.1,136.7
35.246796,-97.441406,6075,143.6,136.4
35.245422,-97.439804,6075,148.5,135.6
35.241627,-97.435348,6100,152.9,137.6
35.238602,-97.432251,6150,154.3,141.1
35.235156,-97.428686,6200,156.5,138.4
35.233017,-97.426128,6200,158.5,133.5
35.228577,-97.420144,6275,157.8,133.2
35.226404,-97.417603,6350,155.0,137.4
35.224503,-97.415659,6425,153.8,141.9
35.220291,-97.411792,6525,153.4,140.3
35.217636,-97.408877,6575,154.2,136.6
35.21323,-97.403698,6650,156.4,136.8
35.207644,-97.397404,6725,158.5,137.1
35.20285,-97.392005,6800,158.5,137.1
35.198426,-97.387161,6875,158.8,139.1
35.195075,-97.383442,6950,158.4,136.0
35.192276,-97.379954,7000,157.1,132.9
35.190033,-97.376703,7050,157.0,129.6
35.188385,-97.373956,7100,158.1,124.7
35.1866,-97.370481,7150,158.6,120.3
35.181976,-97.361064,7250,159.9,121.7
35.176941,-97.351423,7350,161.8,122.1
35.173279,-97.344136,7375,166.5,121.5
35.168243,-97.333878,7500,166.4,120.7
35.164164,-97.32542,7625,165.3,120.1
35.159555,-97.316036,7700,167.1,121.8
35.156342,-97.310056,7825,164.8,124.4
35.152945,-97.304363,7950,161.0,126.2
35.149246,-97.298061,8100,157.1,125.4
35.144938,-97.290401,8225,157.8,123.9
35.140841,-97.282791,8275,162.3,122.4
35.138374,-97.277699,8325,165.2,119.4
35.134506,-97.269082,8450,165.1,118.6
35.13167,-97.262421,8550,163.2,116.6
35.129995,-97.2579,8650,161.8,112.9
35.128876,-97.254059,8700,161.6,108.8
35.126643,-97.246456,8850,160.1,110.5
35.123384,-97.235241,8950,163.5,109.7
35.121872,-97.230742,9000,164.4,113.3
35.119008,-97.222252,9100,164.3,111.4
35.116494,-97.214355,9250,162.3,110.6
35.11377,-97.205574,9400,161.8,111.0
35.110886,-97.195933,9475,166.7,109.6
35.107544,-97.184442,9575,170.5,108.1
35.105182,-97.174759,9700,169.9,106.4
35.103925,-97.170238,9775,168.3,110.2
35.101505,-97.162342,9925,165.1,110.2
35.098711,-97.15353,10075,163.1,111.2
35.09522,-97.142658,10200,166.4,112.2
35.093857,-97.138983,10225,166.4,116.4
35.092567,-97.136307,10250,166.7,122.3
35.090844,-97.133389,10250,168.4,127.3
35.088776,-97.130407,10250,170.0,131.7
35.082697,-97.122459,10375,169.1,133.3
35.078415,-97.116795,10550,164.9,132.8
35.073166,-97.109948,10700,164.1,133.5
35.068726,-97.104511,10750,166.9,135.5
35.062363,-97.097168,10825,170.5,137.1
35.05481,-97.088816,10925,173.3,136.2
35.049087,-97.082233,11050,171.2,136.4
35.044144,-97.076428,11200,168.3,135.5
35.039474,-97.070767,11350,165.5,135.0
35.033936,-97.064097,11500,164.8,135.7
35.027533,-97.05637,11600,168.3,134.0
35.021249,-97.048416,11725,170.5,133.8
35.014731,-97.040291,11850,170.4,134.8
35.008959,-97.033253,11975,169.7,134.5
35.006538,-97.030048,12025,170.9,130.5
35.004776,-97.027158,12075,172.9,125.3
35.002022,-97.02198,12125,173.9,122.3
34.993969,-97.006016,12350,176.0,121.5
34.989761,-96.998067,12425,177.5,123.5
34.986099,-96.991172,12500,179.6,121.6
34.983582,-96.985679,12575,179.9,118.6
34.978455,-96.974357,12750,177.9,120.0
34.975937,-96.96948,12825,177.0,123.2
34.966689,-96.95303,13050,178.9,123.6
34.961336,-96.943703,13175,180.9,125.1
34.954818,-96.932888,13350,179.4,126.6
34.949707,-96.924806,13475,180.1,128.5
34.946136,-96.919649,13550,180.7,131.2
34.942978,-96.915109,13575,183.7,128.4
34.940899,-96.911602,13600,186.7,123.9
34.931259,-96.894201,13800,189.2,124.4
34.927446,-96.887741,13925,187.2,126.8
34.925308,-96.884616,13975,185.6,131.5
34.919952,-96.877834,14075,186.7,133.7
34.913269,-96.869482,14150,188.8,135.2
34.903885,-96.85844,14350,187.4,136.5
