lat,lon,alt,gs,track
41.712062,-85.977088,1700,102.0,0.0
41.717468,-85.977006,1675,100.0,1.1
41.722229,-85.976819,1650,99.1,2.9
41.725143,-85.976577,1650,94.2,3.7
41.728638,-85.97632,1625,89.3,4.5
41.729828,-85.976132,1650,85.3,4.7
41.732033,-85.976002,1600,83.0,1.4
41.735571,-85.976002,1550,81.0,0.0
41.736511,-85.97607,1500,80.4,354.3
41.737061,-85.976257,1500,80.1,347.0
41.737564,-85.976507,1475,80.8,338.2
41.738224,-85.977024,1450,79.4,328.9
41.738708,-85.977568,1450,80.0,317.5
41.739342,-85.978557,1400,80.1,311.5
41.739532,-85.979004,1400,81.8,302.5
41.739761,-85.979753,1375,82.5,292.8
41.739944,-85.980752,1375,81.3,283.5
41.740226,-85.982772,1350,79.1,279.5
41.740366,-85.983922,1375,75.0,279.2
41.740494,-85.985246,1375,70.9,278.9
41.74086,-85.98843,1300,70.5,276.5
41.740906,-85.989428,1275,70.0,270.8
41.740814,-85.990178,1275,67.9,260.7
41.740677,-85.990802,1250,66.4,251.6
41.74054,-85.991176,1250,64.8,243.4
41.740226,-85.991715,1250,64.2,232.6
41.739807,-85.992226,1225,63.0,223.1
41.739258,-85.992799,1225,61.4,217.1
41.73848,-85.993486,1200,58.0,212.3
41.737701,-85.994048,1150,55.0,207.0
41.737014,-85.994398,1125,54.8,201.4
41.736328,-85.994672,1075,55.8,194.5
41.735733,-85.994859,1050,55.6,188.3
41.734454,-85.995036,1000,54.2,185.3
41.732964,-85.9951,950,52.0,182.2
41.732117,-85.995109,925,50.0,177.7
41.731195,-85.994972,900,49.4,173.0
41.72924,-85.994653,825,49.4,173.0
41.727264,-85.994235,750,46.5,171.4
41.725469,-85.99395,675,47.5,171.5
41.723514,-85.993567,625,46.5,171.4
41.719929,-85.992865,550,46.5,171.4
41.719324,-85.992737,550,42.4,171.9
41.716049,-85.992113,600,41.4,171.7
41.715321,-85.992034,625,63.3,174.6
41.713394,-85.991738,700,65.6,172.1
41.711178,-85.991204,800,65.9,170.4
41.709732,-85.990802,850,63.8,166.4
41.707947,-85.99024,950,60.6,166.6
41.705777,-85.989479,1050,58.7,166.2
41.703278,-85.988742,1100,59.2,168.3
41.700989,-85.98818,1200,62.0,169.8
41.698795,-85.987627,1275,60.4,167.6
41.698376,-85.987435,1275,60.2,158.6
41.698013,-85.987119,1300,60.9,150.5
41.697724,-85.986797,1300,61.0,139.0
41.697538,-85.986477,1325,61.0,131.0
41.697327,-85.985995,1325,63.1,119.4
41.697212,-85.985583,1350,64.0,115.0
41.697165,-85.985136,1350,66.5,102.2
41.697144,-85.984497,1350,69.0,90.8
41.697235,-85.983623,1375,71.6,82.8
41.697418,-85.982312,1400,74.7,77.6
41.697677,-85.981176,1425,77.2,73.4
41.697957,-85.980218,1425,78.9,67.7
41.698196,-85.979691,1450,80.1,60.9
41.698515,-85.979068,1450,82.5,50.9
41.699074,-85.978429,1475,85.7,41.7
41.699586,-85.977982,1500,87.1,34.2
41.700191,-85.977599,1525,89.4,26.6
41.701035,-85.977194,1525,90.8,16.6
41.701859,-85.977006,1575,90.1,8.9
41.702866,-85.976944,1600,91.1,1.9
41.704239,-85.976944,1600,96.0,359.4
41.707314,-85.977152,1575,99.1,357.1
41.71257,-85.977381,1575,98.0,358.8
41.721588,-85.977631,1550,94.0,359.4
41.724724,-85.977663,1550,89.0,358.7
41.728029,-85.97779,1500,85.1,356.6
41.731247,-85.978192,1450,85.4,354.6
41.734177,-85.978629,1400,83.6,353.1
41.735105,-85.97894,1400,83.7,345.5
41.735804,-85.979323,1400,82.9,336.5
41.736282,-85.979691,1375,81.8,327.5
41.736828,-85.980345,1375,80.7,317.0
41.737198,-85.981001,1350,78.2,308.8
41.737564,-85.981813,1350,76.9,302.2
41.737747,-85.9825,1325,76.0,290.8
41.737885,-85.983249,1325,75.2,283.9
41.737992,-85.984242,1325,73.3,275.5
41.738038,-85.985711,1300,72.0,269.2
41.737898,-85.988457,1250,73.1,266.9
41.737793,-85.990115,1175,72.3,264.5
41.737656,-85.991176,1150,70.6,257.7
41.737427,-85.991988,1150,67.8,248.4
41.737154,-85.992609,1150,64.7,238.3
41.736828,-85.99312,1125,62.6,231.5
41.736455,-85.993567,1100,60.9,222.3
41.73599,-85.994014,1075,59.6,214.8
41.735431,-85.994398,1050,58.1,206.6
41.734873,-85.994717,1025,57.6,200.3
41.734222,-85.994922,1000,56.5,193.3
41.733582,-85.995046,950,55.3,186.2
41.732824,-85.9951,925,55.0,181.0
41.731796,-85.995046,900,55.1,175.8
41.729705,-85.994781,825,52.2,174.5
41.728541,-85.994525,775,50.6,170.9
41.726679,-85.994142,700,47.4,172.7
41.725097,-85.993887,650,46.7,170.1
41.723421,-85.993567,600,46.4,172.6
41.721559,-85.993184,550,46.5,171.4
41.720395,-85.992992,550,45.5,171.2
41.720022,-85.992865,550,37.3,172.3
41.71972,-85.992801,-50.0,33.5,0.0
41.716578,-85.99229,600,49.5,171.9
41.716232,-85.992175,625,56.6,171.9
41.714676,-85.9918,725,51.8,170.0
41.713074,-85.991488,775,56.7,170.9
41.711838,-85.991301,775,61.3,174.4
41.709641,-85.991076,850,63.1,176.4
41.708588,-85.990989,925,59.0,179.0
41.707267,-85.991012,1025,54.0,180.0
41.70607,-85.990989,1050,58.0,182.0
41.7052,-85.991051,1075,62.0,180.0
41.703217,-85.991076,1125,63.0,181.8
41.701401,-85.991114,1200,64.0,179.1
41.700439,-85.990989,1250,61.4,173.4
41.700027,-85.990927,1250,61.4,167.8
41.699493,-85.990629,1275,60.2,158.6
41.699112,-85.990365,1300,60.9,150.5
41.698746,-85.989928,1325,62.5,140.2
41.698422,-85.989479,1350,63.9,129.9
41.698196,-85.988867,1350,64.9,118.5
41.698003,-85.98833,1375,66.5,111.2
41.69791,-85.987755,1400,67.5,102.0
41.697922,-85.987119,1400,69.1,93.3
41.697957,-85.986413,1425,71.3,84.4
41.698105,-85.985683,1450,73.8,74.3
41.698334,-85.984996,1450,76.6,66.1
41.698748,-85.984114,1500,79.9,58.3
41.699753,-85.981875,1500,84.4,58.6
41.700377,-85.980792,1525,87.0,52.5
41.700943,-85.980003,1550,88.4,45.5
41.701681,-85.979196,1600,89.6,38.7
41.702519,-85.978429,1600,91.9,30.8
41.70369,-85.977755,1600,94.0,23.8
41.7048,-85.977215,1600,96.2,16.9
41.70615,-85.976832,1600,99.6,10.4
41.707443,-85.976694,1575,102.4,5.0
41.709036,-85.976641,1575,104.0,359.5
41.711922,-85.976832,1550,105.2,356.2
41.718475,-85.977443,1575,101.2,356.0
41.721634,-85.977631,1575,100.0,358.9
41.724538,-85.977599,1550,95.0,0.6
41.728317,-85.977568,1500,90.0,359.4
41.730217,-85.977663,1475,85.0,358.6
41.733523,-85.97779,1400,82.1,357.9
41.735367,-85.977943,1325,85.5,354.0
41.736008,-85.97813,1325,85.6,345.8
41.736548,-85.978429,1300,86.0,340.3
41.736874,-85.978685,1300,85.0,331.9
41.737335,-85.979191,1300,83.6,323.3
41.737793,-85.979753,1300,82.0,315.0
41.738131,-85.980345,1300,79.8,307.9
41.738457,-85.981112,1275,78.4,299.8
41.738754,-85.982,1275,76.7,292.2
